x	Cp	
-5.000000e-01 	 -2.878337e-01 	 
-4.999471e-01 	 -6.425344e-01 	 
-4.997877e-01 	 -5.249664e-01 	 
-4.995212e-01 	 -6.004542e-01 	 
-4.991479e-01 	 -6.134385e-01 	 
-4.986692e-01 	 -6.685993e-01 	 
-4.980874e-01 	 -7.488756e-01 	 
-4.974055e-01 	 -7.890876e-01 	 
-4.966272e-01 	 -8.633710e-01 	 
-4.958019e-01 	 -9.030472e-01 	 
-4.949751e-01 	 -9.379394e-01 	 
-4.941451e-01 	 -9.672669e-01 	 
-4.933106e-01 	 -9.790269e-01 	 
-4.924700e-01 	 -9.928511e-01 	 
-4.916220e-01 	 -9.944480e-01 	 
-4.907651e-01 	 -9.941857e-01 	 
-4.898979e-01 	 -9.892449e-01 	 
-4.890191e-01 	 -9.801093e-01 	 
-4.881274e-01 	 -9.695555e-01 	 
-4.872214e-01 	 -9.559830e-01 	 
-4.863000e-01 	 -9.415456e-01 	 
-4.853619e-01 	 -9.261962e-01 	 
-4.844059e-01 	 -9.102890e-01 	 
-4.834308e-01 	 -8.948204e-01 	 
-4.824354e-01 	 -8.796855e-01 	 
-4.814187e-01 	 -8.655337e-01 	 
-4.803795e-01 	 -8.526450e-01 	 
-4.793168e-01 	 -8.411505e-01 	 
-4.782296e-01 	 -8.313470e-01 	 
-4.771168e-01 	 -8.230611e-01 	 
-4.759774e-01 	 -8.161851e-01 	 
-4.748105e-01 	 -8.104247e-01 	 
-4.736151e-01 	 -8.055432e-01 	 
-4.723904e-01 	 -8.014743e-01 	 
-4.711355e-01 	 -7.981138e-01 	 
-4.698495e-01 	 -7.953941e-01 	 
-4.685315e-01 	 -7.931897e-01 	 
-4.671808e-01 	 -7.913887e-01 	 
-4.657966e-01 	 -7.899120e-01 	 
-4.643781e-01 	 -7.886854e-01 	 
-4.629246e-01 	 -7.876692e-01 	 
-4.614355e-01 	 -7.868178e-01 	 
-4.599099e-01 	 -7.860996e-01 	 
-4.583473e-01 	 -7.854998e-01 	 
-4.567470e-01 	 -7.849969e-01 	 
-4.551085e-01 	 -7.845744e-01 	 
-4.534310e-01 	 -7.842228e-01 	 
-4.517142e-01 	 -7.839362e-01 	 
-4.499573e-01 	 -7.837014e-01 	 
-4.481600e-01 	 -7.835065e-01 	 
-4.463216e-01 	 -7.833576e-01 	 
-4.444418e-01 	 -7.832598e-01 	 
-4.425201e-01 	 -7.832088e-01 	 
-4.405560e-01 	 -7.832087e-01 	 
-4.385493e-01 	 -7.832783e-01 	 
-4.364994e-01 	 -7.834315e-01 	 
-4.344059e-01 	 -7.836682e-01 	 
-4.322687e-01 	 -7.839873e-01 	 
-4.300873e-01 	 -7.843842e-01 	 
-4.278614e-01 	 -7.848354e-01 	 
-4.255908e-01 	 -7.853079e-01 	 
-4.232753e-01 	 -7.857773e-01 	 
-4.209144e-01 	 -7.862301e-01 	 
-4.185082e-01 	 -7.866577e-01 	 
-4.160563e-01 	 -7.870582e-01 	 
-4.135585e-01 	 -7.874376e-01 	 
-4.110149e-01 	 -7.878039e-01 	 
-4.084250e-01 	 -7.881654e-01 	 
-4.057890e-01 	 -7.885337e-01 	 
-4.031065e-01 	 -7.889208e-01 	 
-4.003777e-01 	 -7.893304e-01 	 
-3.976024e-01 	 -7.897563e-01 	 
-3.947805e-01 	 -7.901895e-01 	 
-3.919121e-01 	 -7.906271e-01 	 
-3.889972e-01 	 -7.910687e-01 	 
-3.860356e-01 	 -7.915134e-01 	 
-3.830275e-01 	 -7.919576e-01 	 
-3.799730e-01 	 -7.924003e-01 	 
-3.768719e-01 	 -7.928590e-01 	 
-3.737246e-01 	 -7.933550e-01 	 
-3.705310e-01 	 -7.938901e-01 	 
-3.672912e-01 	 -7.944610e-01 	 
-3.640054e-01 	 -7.950705e-01 	 
-3.606737e-01 	 -7.957227e-01 	 
-3.572963e-01 	 -7.964047e-01 	 
-3.538734e-01 	 -7.970735e-01 	 
-3.504051e-01 	 -7.977050e-01 	 
-3.468917e-01 	 -7.983176e-01 	 
-3.433333e-01 	 -7.989200e-01 	 
-3.397303e-01 	 -7.995093e-01 	 
-3.360828e-01 	 -8.000912e-01 	 
-3.323911e-01 	 -8.006745e-01 	 
-3.286555e-01 	 -8.012676e-01 	 
-3.248764e-01 	 -8.018627e-01 	 
-3.210539e-01 	 -8.024554e-01 	 
-3.171885e-01 	 -8.030546e-01 	 
-3.132804e-01 	 -8.036508e-01 	 
-3.093301e-01 	 -8.042346e-01 	 
-3.053378e-01 	 -8.047997e-01 	 
-3.013040e-01 	 -8.053351e-01 	 
-2.972291e-01 	 -8.058470e-01 	 
-2.931134e-01 	 -8.063256e-01 	 
-2.889573e-01 	 -8.067398e-01 	 
-2.847613e-01 	 -8.070807e-01 	 
-2.805259e-01 	 -8.073585e-01 	 
-2.762514e-01 	 -8.075974e-01 	 
-2.719383e-01 	 -8.078289e-01 	 
-2.675872e-01 	 -8.080465e-01 	 
-2.631984e-01 	 -8.082310e-01 	 
-2.587725e-01 	 -8.083883e-01 	 
-2.543100e-01 	 -8.084973e-01 	 
-2.498114e-01 	 -8.085199e-01 	 
-2.452773e-01 	 -8.084532e-01 	 
-2.407081e-01 	 -8.083187e-01 	 
-2.361044e-01 	 -8.081324e-01 	 
-2.314668e-01 	 -8.078715e-01 	 
-2.267958e-01 	 -8.075104e-01 	 
-2.220921e-01 	 -8.070925e-01 	 
-2.173561e-01 	 -8.066718e-01 	 
-2.125886e-01 	 -8.062516e-01 	 
-2.077900e-01 	 -8.058290e-01 	 
-2.029611e-01 	 -8.053943e-01 	 
-1.981024e-01 	 -8.049338e-01 	 
-1.932145e-01 	 -8.044581e-01 	 
-1.882982e-01 	 -8.039846e-01 	 
-1.833540e-01 	 -8.035211e-01 	 
-1.783826e-01 	 -8.030687e-01 	 
-1.733846e-01 	 -8.026288e-01 	 
-1.683608e-01 	 -8.022044e-01 	 
-1.633118e-01 	 -8.018030e-01 	 
-1.582382e-01 	 -8.014325e-01 	 
-1.531409e-01 	 -8.010894e-01 	 
-1.480203e-01 	 -8.007712e-01 	 
-1.428774e-01 	 -8.004920e-01 	 
-1.377127e-01 	 -8.002684e-01 	 
