x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	
0.000000e+00 	5.089525e-02 	1.140391e-01 	9.031402e-02 	1.083713e-01 	1.126594e-01 	4.525775e-02 	8.466969e-02 	2.180665e-01 	5.945751e-02 	3.630629e-01 	1.091589e-01 	1.157053e-01 	1.694165e-01 	8.966702e-02 	3.129399e-01 	1.614562e-01 	9.324690e-02 	 
1.550293e-02 	5.087529e-02 	1.139610e-01 	9.019491e-02 	1.081587e-01 	1.123230e-01 	4.481820e-02 	1.001854e-01 	2.382457e-01 	3.853239e-02 	3.892676e-01 	1.297012e-01 	8.320136e-02 	1.716947e-01 	9.041207e-02 	3.244853e-01 	1.555441e-01 	8.953997e-02 	 
3.121948e-02 	5.085694e-02 	1.138994e-01 	9.010384e-02 	1.079947e-01 	1.120673e-01 	4.466512e-02 	1.161268e-01 	2.451946e-01 	5.573884e-02 	4.022405e-01 	1.520106e-01 	5.498465e-02 	1.875766e-01 	9.223294e-02 	3.279924e-01 	1.439656e-01 	9.024202e-02 	 
4.672241e-02 	5.084221e-02 	1.138573e-01 	9.004011e-02 	1.078773e-01 	1.118494e-01 	4.464697e-02 	1.293222e-01 	2.410026e-01 	9.596901e-02 	3.940642e-01 	1.769328e-01 	3.860245e-02 	2.346136e-01 	9.237745e-02 	3.250740e-01 	1.306217e-01 	9.121091e-02 	 
6.240845e-02 	5.083247e-02 	1.138314e-01 	8.999744e-02 	1.077876e-01 	1.116075e-01 	4.461347e-02 	1.368679e-01 	2.316456e-01 	1.131581e-01 	3.469606e-01 	2.042845e-01 	3.657417e-02 	3.057898e-01 	8.920492e-02 	3.226143e-01 	1.210783e-01 	8.927090e-02 	 
7.794189e-02 	5.082657e-02 	1.138168e-01 	8.996888e-02 	1.077049e-01 	1.113003e-01 	4.448104e-02 	1.358996e-01 	2.214463e-01 	1.053296e-01 	2.851012e-01 	2.312242e-01 	4.622652e-02 	3.496347e-01 	8.396510e-02 	3.218579e-01 	1.198106e-01 	8.266232e-02 	 
9.362793e-02 	5.082199e-02 	1.138091e-01 	8.994053e-02 	1.075952e-01 	1.109032e-01 	4.422309e-02 	1.251860e-01 	2.065073e-01 	8.861860e-02 	2.097211e-01 	2.546922e-01 	6.244916e-02 	3.418372e-01 	7.963196e-02 	3.182819e-01 	1.259806e-01 	7.122394e-02 	 
1.093445e-01 	5.081896e-02 	1.137982e-01 	8.989259e-02 	1.074310e-01 	1.104348e-01 	4.386349e-02 	1.058205e-01 	1.772216e-01 	7.611012e-02 	1.486097e-01 	2.699303e-01 	8.093172e-02 	3.053606e-01 	7.808141e-02 	3.098981e-01 	1.368236e-01 	5.698717e-02 	 
1.248779e-01 	5.081429e-02 	1.137699e-01 	8.980638e-02 	1.072040e-01 	1.099487e-01 	4.342444e-02 	8.182252e-02 	1.264884e-01 	7.467925e-02 	1.447891e-01 	2.764056e-01 	1.000575e-01 	2.696025e-01 	7.824371e-02 	2.997800e-01 	1.532887e-01 	4.335726e-02 	 
1.405640e-01 	5.080377e-02 	1.137106e-01 	8.967402e-02 	1.069188e-01 	1.094850e-01 	4.287219e-02 	5.808417e-02 	5.608967e-02 	8.543934e-02 	1.416735e-01 	2.738676e-01 	1.205996e-01 	2.433594e-01 	8.082652e-02 	2.900010e-01 	1.748821e-01 	3.299775e-02 	 
1.560974e-01 	5.078601e-02 	1.136190e-01 	8.950064e-02 	1.066041e-01 	1.090797e-01 	4.215413e-02 	4.047634e-02 	-1.305863e-02 	1.057463e-01 	1.187925e-01 	2.779308e-01 	1.414867e-01 	2.235485e-01 	8.929411e-02 	2.797310e-01 	1.921560e-01 	2.736619e-02 	 
1.718140e-01 	5.075866e-02 	1.134940e-01 	8.929151e-02 	1.062791e-01 	1.087073e-01 	4.120482e-02 	3.196084e-02 	-5.541297e-02 	1.321001e-01 	8.921385e-02 	3.092571e-01 	1.607711e-01 	2.025301e-01 	1.034774e-01 	2.679756e-01 	2.006812e-01 	2.528321e-02 	 
1.873474e-01 	5.072267e-02 	1.133474e-01 	8.906865e-02 	1.059643e-01 	1.083500e-01 	4.005700e-02 	3.323754e-02 	-5.786203e-02 	1.588900e-01 	6.331948e-02 	3.454141e-01 	1.753578e-01 	1.794175e-01 	1.192166e-01 	2.569941e-01 	2.076953e-01 	2.430786e-02 	 
2.030640e-01 	5.067994e-02 	1.131928e-01 	8.883628e-02 	1.056645e-01 	1.079720e-01 	3.876115e-02 	4.267988e-02 	-3.079162e-02 	1.809693e-01 	4.989337e-02 	3.542705e-01 	1.852734e-01 	1.603654e-01 	1.371220e-01 	2.487983e-01 	2.215571e-01 	2.211934e-02 	 
2.185974e-01 	5.063707e-02 	1.130458e-01 	8.860616e-02 	1.054034e-01 	1.075555e-01 	3.749062e-02 	5.772937e-02 	6.068166e-03 	1.918521e-01 	5.140908e-02 	3.360798e-01 	1.924652e-01 	1.519800e-01 	1.599903e-01 	2.437066e-01 	2.408668e-01 	1.870415e-02 	 
2.343140e-01 	5.059660e-02 	1.129087e-01 	8.839329e-02 	1.051749e-01 	1.070757e-01 	3.641837e-02 	7.667045e-02 	3.853909e-02 	1.858520e-01 	5.933929e-02 	3.000104e-01 	2.003851e-01 	1.513007e-01 	1.869606e-01 	2.404119e-01 	2.596049e-01 	1.657967e-02 	 
2.498474e-01 	5.056147e-02 	1.127978e-01 	8.821449e-02 	1.049630e-01 	1.065585e-01 	3.577412e-02 	9.729502e-02 	5.821909e-02 	1.610609e-01 	6.333661e-02 	2.547109e-01 	2.123343e-01 	1.497377e-01 	2.103273e-01 	2.380284e-01 	2.729509e-01 	1.871191e-02 	 
2.655640e-01 	5.053374e-02 	1.127171e-01 	8.805690e-02 	1.047395e-01 	1.060423e-01 	3.567437e-02 	1.179423e-01 	6.357199e-02 	1.228010e-01 	5.858738e-02 	2.081014e-01 	2.275221e-01 	1.430455e-01 	2.242408e-01 	2.360361e-01 	2.812283e-01 	2.667174e-02 	 
2.810974e-01 	5.051444e-02 	1.126606e-01 	8.791687e-02 	1.045001e-01 	1.056033e-01 	3.611438e-02 	1.352378e-01 	5.576505e-02 	8.213330e-02 	4.698820e-02 	1.596602e-01 	2.382913e-01 	1.357938e-01 	2.282439e-01 	2.342732e-01 	2.864086e-01 	4.042600e-02 	 
2.968140e-01 	5.050229e-02 	1.126191e-01 	8.779204e-02 	1.042400e-01 	1.052668e-01 	3.696045e-02 	1.460443e-01 	3.458600e-02 	4.557398e-02 	3.460816e-02 	1.063256e-01 	2.395484e-01 	1.364131e-01 	2.269900e-01 	2.325739e-01 	2.902085e-01 	5.867836e-02 	 
3.123474e-01 	5.049614e-02 	1.125881e-01 	8.768877e-02 	1.039650e-01 	1.050506e-01 	3.793042e-02 	1.469098e-01 	4.771278e-04 	1.727615e-02 	2.799987e-02 	5.598678e-02 	2.355575e-01 	1.489741e-01 	2.242809e-01 	2.310734e-01 	2.930324e-01 	7.779917e-02 	 
3.280640e-01 	5.049263e-02 	1.125640e-01 	8.760505e-02 	1.036832e-01 	1.049289e-01 	3.872225e-02 	1.362607e-01 	-3.705537e-02 	-1.380109e-03 	3.052823e-02 	1.332297e-02 	2.413397e-01 	1.681409e-01 	2.205312e-01 	2.298749e-01 	2.947962e-01 	9.555565e-02 	 
3.436279e-01 	5.049012e-02 	1.125457e-01 	8.754691e-02 	1.034254e-01 	1.048609e-01 	3.904898e-02 	1.156350e-01 	-5.675067e-02 	-8.438542e-03 	4.309202e-02 	-1.594551e-02 	2.665188e-01 	1.836490e-01 	2.144797e-01 	2.283130e-01 	2.945509e-01 	1.119578e-01 	 
3.593445e-01 	5.048878e-02 	1.125349e-01 	8.752248e-02 	1.032136e-01 	1.048013e-01 	3.878922e-02 	8.910760e-02 	-4.693479e-02 	-5.136063e-03 	6.400187e-02 	-2.992268e-02 	3.028318e-01 	1.899984e-01 	2.051840e-01 	2.250647e-01 	2.911205e-01 	1.307577e-01 	 
3.748779e-01 	5.048989e-02 	1.125384e-01 	8.753845e-02 	1.030771e-01 	1.047202e-01 	3.801576e-02 	6.352775e-02 	-1.500396e-02 	4.410984e-03 	8.739858e-02 	-3.147611e-02 	3.320118e-01 	1.862676e-01 	1.933497e-01 	2.201846e-01 	2.844187e-01 	1.540481e-01 	 
3.905945e-01 	5.049404e-02 	1.125632e-01 	8.759890e-02 	1.030319e-01 	1.045985e-01 	3.695721e-02 	4.343797e-02 	2.548483e-02 	1.628099e-02 	1.072505e-01 	-2.646646e-02 	3.475024e-01 	1.755274e-01 	1.797638e-01 	2.153898e-01 	2.754491e-01 	1.804863e-01 	 
4.061584e-01 	5.050340e-02 	1.126123e-01 	8.770590e-02 	1.030889e-01 	1.044257e-01 	3.597131e-02 	3.149321e-02 	6.679785e-02 	2.609949e-02 	1.191926e-01 	-1.799512e-02 	3.475520e-01 	1.661901e-01 	1.657689e-01 	2.125391e-01 	2.660336e-01 	2.044255e-01 	 
4.216919e-01 	5.051874e-02 	1.126880e-01 	8.785877e-02 	1.032368e-01 	1.042004e-01 	3.536167e-02 	2.800154e-02 	1.095544e-01 	3.001111e-02 	1.248081e-01 	-9.769910e-03 	3.385758e-01 	1.670970e-01 	1.522323e-01 	2.111695e-01 	2.572784e-01 	2.230527e-01 	 
4.374084e-01 	5.053923e-02 	1.127907e-01 	8.805122e-02 	1.034546e-01 	1.039474e-01 	3.531879e-02 	3.351586e-02 	1.545756e-01 	2.545628e-02 	1.308302e-01 	-8.299901e-03 	3.266919e-01 	1.808426e-01 	1.400662e-01 	2.086446e-01 	2.495183e-01 	2.378903e-01 	 
4.529724e-01 	5.056390e-02 	1.129118e-01 	8.826505e-02 	1.037093e-01 	1.037246e-01 	3.583197e-02 	4.717929e-02 	1.979740e-01 	1.540435e-02 	1.458718e-01 	-1.154150e-02 	3.040763e-01 	2.008916e-01 	1.303953e-01 	2.023399e-01 	2.425758e-01 	2.517555e-01 	 
4.686890e-01 	5.059219e-02 	1.130443e-01 	8.848538e-02 	1.039827e-01 	1.035791e-01 	3.676448e-02 	6.653631e-02 	2.350115e-01 	8.101486e-03 	1.691058e-01 	-7.084515e-03 	2.659878e-01 	2.205147e-01 	1.231342e-01 	1.917516e-01 	2.355665e-01 	2.662095e-01 	 
4.842529e-01 	5.062059e-02 	1.131675e-01 	8.869477e-02 	1.042508e-01 	1.035669e-01 	3.787349e-02 	8.783117e-02 	2.584028e-01 	1.884671e-03 	1.893084e-01 	1.024206e-02 	2.248993e-01 	2.444951e-01 	1.177562e-01 	1.793489e-01 	2.281774e-01 	2.802776e-01 	 
