x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	
0.000000e+00 	1.055044e-01 	1.481903e-01 	1.022379e-01 	1.128635e-01 	1.079516e-01 	4.414984e-02 	4.940572e-02 	1.597123e-02 	1.768077e-01 	5.283992e-02 	1.428848e-01 	2.066468e-01 	7.556024e-02 	2.987675e-02 	1.414166e-01 	1.666564e-01 	1.067316e-01 	 
1.550293e-02 	1.054633e-01 	1.480964e-01 	1.021019e-01 	1.126247e-01 	1.075432e-01 	4.243248e-02 	4.605472e-02 	6.426241e-03 	1.996501e-01 	7.227541e-02 	1.373867e-01 	2.132984e-01 	1.144542e-01 	1.873790e-02 	1.353238e-01 	1.611847e-01 	1.219245e-01 	 
3.121948e-02 	1.054254e-01 	1.480209e-01 	1.019937e-01 	1.124285e-01 	1.072110e-01 	4.081211e-02 	4.853589e-02 	4.188635e-03 	1.863605e-01 	7.801788e-02 	1.287269e-01 	2.180989e-01 	1.164403e-01 	1.052237e-02 	1.331059e-01 	1.569594e-01 	1.355635e-01 	 
4.672241e-02 	1.053950e-01 	1.479679e-01 	1.019141e-01 	1.122771e-01 	1.069489e-01 	3.956668e-02 	5.538902e-02 	1.671207e-02 	1.738730e-01 	5.978359e-02 	1.217295e-01 	2.178507e-01 	9.667144e-02 	4.921065e-03 	1.332701e-01 	1.567580e-01 	1.458851e-01 	 
6.240845e-02 	1.053749e-01 	1.479338e-01 	1.018569e-01 	1.121562e-01 	1.067244e-01 	3.882863e-02 	6.477629e-02 	4.476172e-02 	1.836305e-01 	3.981293e-02 	1.178125e-01 	2.113955e-01 	8.052351e-02 	-4.124260e-04 	1.271709e-01 	1.586737e-01 	1.516881e-01 	 
7.794189e-02 	1.053624e-01 	1.479131e-01 	1.018171e-01 	1.120546e-01 	1.065052e-01 	3.865903e-02 	7.493995e-02 	8.106692e-02 	1.984419e-01 	2.176660e-02 	1.150418e-01 	1.995897e-01 	8.664323e-02 	-5.228231e-03 	1.137634e-01 	1.583157e-01 	1.532771e-01 	 
9.362793e-02 	1.053525e-01 	1.479012e-01 	1.017821e-01 	1.119482e-01 	1.062499e-01 	3.897293e-02 	8.522919e-02 	1.172167e-01 	2.029978e-01 	2.134164e-02 	1.087286e-01 	1.846285e-01 	1.110341e-01 	-6.191477e-03 	1.005618e-01 	1.557811e-01 	1.530171e-01 	 
1.093445e-01 	1.053461e-01 	1.478870e-01 	1.017348e-01 	1.118126e-01 	1.059401e-01 	3.959905e-02 	9.459150e-02 	1.462369e-01 	1.938975e-01 	7.558403e-02 	9.401760e-02 	1.687339e-01 	1.334748e-01 	-8.831444e-04 	9.484450e-02 	1.566029e-01 	1.539209e-01 	 
1.248779e-01 	1.053357e-01 	1.478537e-01 	1.016552e-01 	1.116346e-01 	1.055815e-01 	4.031080e-02 	1.012463e-01 	1.670438e-01 	1.742872e-01 	1.239094e-01 	7.097161e-02 	1.524431e-01 	1.426532e-01 	8.686089e-03 	9.733389e-02 	1.615520e-01 	1.581528e-01 	 
1.405640e-01 	1.053133e-01 	1.477852e-01 	1.015340e-01 	1.114079e-01 	1.051872e-01 	4.091814e-02 	1.030498e-01 	1.818959e-01 	1.470211e-01 	1.508853e-01 	5.079703e-02 	1.350892e-01 	1.440481e-01 	1.857930e-02 	1.043378e-01 	1.652004e-01 	1.658778e-01 	 
