x0	avg	
-5.000000e-01 	 1.883478e-02 	 
-4.999471e-01 	 1.647582e-04 	 
-4.997877e-01 	 4.955435e-03 	 
-4.995212e-01 	 1.213014e-02 	 
-4.991479e-01 	 1.443395e-02 	 
-4.986692e-01 	 1.691411e-02 	 
-4.980874e-01 	 1.861170e-02 	 
-4.974055e-01 	 1.924192e-02 	 
-4.966272e-01 	 1.945141e-02 	 
-4.958019e-01 	 1.899674e-02 	 
-4.949751e-01 	 1.825514e-02 	 
-4.941451e-01 	 1.729859e-02 	 
-4.933106e-01 	 1.615535e-02 	 
-4.924700e-01 	 1.495726e-02 	 
-4.916220e-01 	 1.364396e-02 	 
-4.907651e-01 	 1.230342e-02 	 
-4.898979e-01 	 1.093717e-02 	 
-4.890191e-01 	 9.554154e-03 	 
-4.881274e-01 	 8.197160e-03 	 
-4.872214e-01 	 6.875643e-03 	 
-4.863000e-01 	 5.626006e-03 	 
-4.853619e-01 	 4.471361e-03 	 
-4.844059e-01 	 3.440556e-03 	 
-4.834308e-01 	 2.563014e-03 	 
-4.824354e-01 	 1.849308e-03 	 
-4.814187e-01 	 1.305039e-03 	 
-4.803795e-01 	 9.087568e-04 	 
-4.793168e-01 	 6.199396e-04 	 
-4.782296e-01 	 3.818826e-04 	 
-4.771168e-01 	 1.333960e-04 	 
-4.759774e-01 	 -1.606936e-04 	 
-4.748105e-01 	 -4.889435e-04 	 
-4.736151e-01 	 -7.927679e-04 	 
-4.723904e-01 	 -1.007728e-03 	 
-4.711355e-01 	 -1.108834e-03 	 
-4.698495e-01 	 -1.115045e-03 	 
-4.685315e-01 	 -1.061843e-03 	 
-4.671808e-01 	 -9.836869e-04 	 
-4.657966e-01 	 -9.032968e-04 	 
-4.643781e-01 	 -8.254359e-04 	 
-4.629246e-01 	 -7.503898e-04 	 
-4.614355e-01 	 -6.829065e-04 	 
-4.599099e-01 	 -6.229407e-04 	 
-4.583473e-01 	 -5.653099e-04 	 
-4.567470e-01 	 -5.117749e-04 	 
-4.551085e-01 	 -4.667004e-04 	 
-4.534310e-01 	 -4.249395e-04 	 
-4.517142e-01 	 -3.832799e-04 	 
-4.499573e-01 	 -3.487145e-04 	 
-4.481600e-01 	 -3.201978e-04 	 
-4.463216e-01 	 -2.873787e-04 	 
-4.444418e-01 	 -2.520126e-04 	 
-4.425201e-01 	 -2.180074e-04 	 
-4.405560e-01 	 -1.750097e-04 	 
-4.385493e-01 	 -1.190081e-04 	 
-4.364994e-01 	 -6.097076e-05 	 
-4.344059e-01 	 -4.037417e-06 	 
-4.322687e-01 	 5.483768e-05 	 
-4.300873e-01 	 1.059165e-04 	 
-4.278614e-01 	 1.400638e-04 	 
-4.255908e-01 	 1.632188e-04 	 
-4.232753e-01 	 1.794187e-04 	 
-4.209144e-01 	 1.832168e-04 	 
-4.185082e-01 	 1.763956e-04 	 
-4.160563e-01 	 1.685378e-04 	 
-4.135585e-01 	 1.618816e-04 	 
-4.110149e-01 	 1.531399e-04 	 
-4.084250e-01 	 1.438830e-04 	 
-4.057890e-01 	 1.368904e-04 	 
-4.031065e-01 	 1.304372e-04 	 
-4.003777e-01 	 1.247205e-04 	 
-3.976024e-01 	 1.249332e-04 	 
-3.947805e-01 	 1.321657e-04 	 
-3.919121e-01 	 1.394176e-04 	 
-3.889972e-01 	 1.400840e-04 	 
-3.860356e-01 	 1.347081e-04 	 
-3.830275e-01 	 1.275300e-04 	 
-3.799730e-01 	 1.220001e-04 	 
-3.768719e-01 	 1.195284e-04 	 
-3.737246e-01 	 1.192209e-04 	 
-3.705310e-01 	 1.187899e-04 	 
-3.672912e-01 	 1.173093e-04 	 
-3.640054e-01 	 1.163017e-04 	 
-3.606737e-01 	 1.170683e-04 	 
-3.572963e-01 	 1.184523e-04 	 
-3.538734e-01 	 1.178604e-04 	 
-3.504051e-01 	 1.137216e-04 	 
-3.468917e-01 	 1.056213e-04 	 
-3.433333e-01 	 9.434748e-05 	 
-3.397303e-01 	 8.167547e-05 	 
-3.360828e-01 	 6.969539e-05 	 
-3.323911e-01 	 6.009790e-05 	 
-3.286555e-01 	 5.306716e-05 	 
-3.248764e-01 	 4.513536e-05 	 
-3.210539e-01 	 3.079727e-05 	 
-3.171885e-01 	 9.010358e-06 	 
-3.132804e-01 	 -1.522753e-05 	 
-3.093301e-01 	 -3.822186e-05 	 
-3.053378e-01 	 -6.256551e-05 	 
-3.013040e-01 	 -9.273252e-05 	 
-2.972291e-01 	 -1.282322e-04 	 
-2.931134e-01 	 -1.639578e-04 	 
-2.889573e-01 	 -1.970820e-04 	 
-2.847613e-01 	 -2.290442e-04 	 
-2.805259e-01 	 -2.609525e-04 	 
-2.762514e-01 	 -2.940200e-04 	 
-2.719383e-01 	 -3.314729e-04 	 
-2.675872e-01 	 -3.752004e-04 	 
-2.631984e-01 	 -4.226608e-04 	 
-2.587725e-01 	 -4.704992e-04 	 
-2.543100e-01 	 -5.180303e-04 	 
-2.498114e-01 	 -5.649146e-04 	 
-2.452773e-01 	 -6.093296e-04 	 
-2.407081e-01 	 -6.493655e-04 	 
-2.361044e-01 	 -6.850157e-04 	 
-2.314668e-01 	 -7.159564e-04 	 
-2.267958e-01 	 -7.408358e-04 	 
-2.220921e-01 	 -7.598398e-04 	 
-2.173561e-01 	 -7.739006e-04 	 
-2.125886e-01 	 -7.848460e-04 	 
-2.077900e-01 	 -7.950392e-04 	 
-2.029611e-01 	 -8.039849e-04 	 
-1.981024e-01 	 -8.089521e-04 	 
-1.932145e-01 	 -8.093761e-04 	 
-1.882982e-01 	 -8.083623e-04 	 
-1.833540e-01 	 -8.071461e-04 	 
-1.783826e-01 	 -8.037286e-04 	 
-1.733846e-01 	 -7.973276e-04 	 
-1.683608e-01 	 -7.884388e-04 	 
-1.633118e-01 	 -7.783935e-04 	 
-1.582382e-01 	 -7.676938e-04 	 
-1.531409e-01 	 -7.574634e-04 	 
-1.480203e-01 	 -7.487765e-04 	 
-1.428774e-01 	 -7.417267e-04 	 
-1.377127e-01 	 -7.356799e-04 	 
-1.325270e-01 	 -7.304661e-04 	 
-1.273210e-01 	 -7.261580e-04 	 
-1.220955e-01 	 -7.219540e-04 	 
-1.168511e-01 	 -7.178143e-04 	 
-1.115886e-01 	 -7.138149e-04 	 
-1.063087e-01 	 -7.096755e-04 	 
-1.010122e-01 	 -7.050756e-04 	 
-9.569988e-02 	 -6.994867e-04 	 
-9.037240e-02 	 -6.934135e-04 	 
-8.503056e-02 	 -6.870949e-04 	 
-7.967512e-02 	 -6.807566e-04 	 
-7.430684e-02 	 -6.747239e-04 	 
