x0	avg	
-5.000000e-01 	 -2.280297e-01 	 
-4.999471e-01 	 -5.571145e-01 	 
-4.997877e-01 	 -4.486635e-01 	 
-4.995212e-01 	 -5.204057e-01 	 
-4.991479e-01 	 -5.340028e-01 	 
-4.986692e-01 	 -5.875745e-01 	 
-4.980874e-01 	 -6.642320e-01 	 
-4.974055e-01 	 -7.040968e-01 	 
-4.966272e-01 	 -7.756839e-01 	 
-4.958019e-01 	 -8.148921e-01 	 
-4.949751e-01 	 -8.496793e-01 	 
-4.941451e-01 	 -8.789752e-01 	 
-4.933106e-01 	 -8.918706e-01 	 
-4.924700e-01 	 -9.065485e-01 	 
-4.916220e-01 	 -9.096609e-01 	 
-4.907651e-01 	 -9.109406e-01 	 
-4.898979e-01 	 -9.076479e-01 	 
-4.890191e-01 	 -9.002742e-01 	 
-4.881274e-01 	 -8.913614e-01 	 
-4.872214e-01 	 -8.793945e-01 	 
-4.863000e-01 	 -8.663896e-01 	 
-4.853619e-01 	 -8.522807e-01 	 
-4.844059e-01 	 -8.374161e-01 	 
-4.834308e-01 	 -8.227352e-01 	 
-4.824354e-01 	 -8.081540e-01 	 
-4.814187e-01 	 -7.943053e-01 	 
-4.803795e-01 	 -7.814751e-01 	 
-4.793168e-01 	 -7.698359e-01 	 
-4.782296e-01 	 -7.597327e-01 	 
-4.771168e-01 	 -7.510920e-01 	 
-4.759774e-01 	 -7.438917e-01 	 
-4.748105e-01 	 -7.378781e-01 	 
-4.736151e-01 	 -7.327887e-01 	 
-4.723904e-01 	 -7.285120e-01 	 
-4.711355e-01 	 -7.249442e-01 	 
-4.698495e-01 	 -7.220384e-01 	 
-4.685315e-01 	 -7.196817e-01 	 
-4.671808e-01 	 -7.177629e-01 	 
-4.657966e-01 	 -7.161947e-01 	 
-4.643781e-01 	 -7.148950e-01 	 
-4.629246e-01 	 -7.138188e-01 	 
-4.614355e-01 	 -7.129204e-01 	 
-4.599099e-01 	 -7.121615e-01 	 
-4.583473e-01 	 -7.115225e-01 	 
-4.567470e-01 	 -7.109839e-01 	 
-4.551085e-01 	 -7.105273e-01 	 
-4.534310e-01 	 -7.101392e-01 	 
-4.517142e-01 	 -7.098165e-01 	 
-4.499573e-01 	 -7.095481e-01 	 
-4.481600e-01 	 -7.093181e-01 	 
-4.463216e-01 	 -7.091228e-01 	 
-4.444418e-01 	 -7.089689e-01 	 
-4.425201e-01 	 -7.088526e-01 	 
-4.405560e-01 	 -7.087736e-01 	 
-4.385493e-01 	 -7.087521e-01 	 
-4.364994e-01 	 -7.088135e-01 	 
-4.344059e-01 	 -7.089592e-01 	 
-4.322687e-01 	 -7.091784e-01 	 
-4.300873e-01 	 -7.094610e-01 	 
-4.278614e-01 	 -7.097901e-01 	 
-4.255908e-01 	 -7.101398e-01 	 
-4.232753e-01 	 -7.104879e-01 	 
-4.209144e-01 	 -7.108266e-01 	 
-4.185082e-01 	 -7.111523e-01 	 
-4.160563e-01 	 -7.114620e-01 	 
-4.135585e-01 	 -7.117532e-01 	 
-4.110149e-01 	 -7.120304e-01 	 
-4.084250e-01 	 -7.122981e-01 	 
-4.057890e-01 	 -7.125645e-01 	 
-4.031065e-01 	 -7.128388e-01 	 
-4.003777e-01 	 -7.131315e-01 	 
-3.976024e-01 	 -7.134538e-01 	 
-3.947805e-01 	 -7.138082e-01 	 
-3.919121e-01 	 -7.141874e-01 	 
-3.889972e-01 	 -7.145802e-01 	 
-3.860356e-01 	 -7.149769e-01 	 
-3.830275e-01 	 -7.153721e-01 	 
-3.799730e-01 	 -7.157648e-01 	 
-3.768719e-01 	 -7.161626e-01 	 
-3.737246e-01 	 -7.165789e-01 	 
-3.705310e-01 	 -7.170185e-01 	 
-3.672912e-01 	 -7.174743e-01 	 
-3.640054e-01 	 -7.179464e-01 	 
-3.606737e-01 	 -7.184472e-01 	 
-3.572963e-01 	 -7.189865e-01 	 
-3.538734e-01 	 -7.195567e-01 	 
-3.504051e-01 	 -7.201451e-01 	 
-3.468917e-01 	 -7.207440e-01 	 
-3.433333e-01 	 -7.213420e-01 	 
-3.397303e-01 	 -7.219263e-01 	 
-3.360828e-01 	 -7.224934e-01 	 
-3.323911e-01 	 -7.230502e-01 	 
-3.286555e-01 	 -7.236207e-01 	 
-3.248764e-01 	 -7.242293e-01 	 
-3.210539e-01 	 -7.248610e-01 	 
-3.171885e-01 	 -7.254634e-01 	 
-3.132804e-01 	 -7.260149e-01 	 
-3.093301e-01 	 -7.265422e-01 	 
-3.053378e-01 	 -7.270708e-01 	 
-3.013040e-01 	 -7.275931e-01 	 
-2.972291e-01 	 -7.280722e-01 	 
-2.931134e-01 	 -7.284743e-01 	 
-2.889573e-01 	 -7.288233e-01 	 
-2.847613e-01 	 -7.291493e-01 	 
-2.805259e-01 	 -7.294655e-01 	 
-2.762514e-01 	 -7.297991e-01 	 
-2.719383e-01 	 -7.301467e-01 	 
-2.675872e-01 	 -7.304739e-01 	 
-2.631984e-01 	 -7.307471e-01 	 
-2.587725e-01 	 -7.309571e-01 	 
-2.543100e-01 	 -7.311080e-01 	 
-2.498114e-01 	 -7.311888e-01 	 
-2.452773e-01 	 -7.311798e-01 	 
-2.407081e-01 	 -7.310861e-01 	 
-2.361044e-01 	 -7.309213e-01 	 
-2.314668e-01 	 -7.306797e-01 	 
-2.267958e-01 	 -7.303668e-01 	 
-2.220921e-01 	 -7.299940e-01 	 
-2.173561e-01 	 -7.295668e-01 	 
-2.125886e-01 	 -7.291062e-01 	 
-2.077900e-01 	 -7.286267e-01 	 
