xm 	 xl 	 cl 	 cd 	
-4.85313e-01 	 5.37485e-03 	 4.49239e-03 	 2.20185e-01 	
-4.79938e-01 	 5.37485e-03 	 4.49239e-03 	 2.20185e-01 	
-4.74563e-01 	 5.37485e-03 	 4.49239e-03 	 2.20185e-01 	
-4.69188e-01 	 5.37485e-03 	 4.49239e-03 	 2.20185e-01 	
-4.63813e-01 	 5.37485e-03 	 4.49239e-03 	 2.20185e-01 	
-4.58438e-01 	 5.37485e-03 	 4.49239e-03 	 2.20185e-01 	
-4.53402e-01 	 4.69846e-03 	 9.11078e-03 	 1.59469e-01 	
-4.48703e-01 	 4.69846e-03 	 8.84078e-03 	 1.39862e-01 	
-4.44005e-01 	 4.69846e-03 	 8.38550e-03 	 1.25257e-01 	
-4.39306e-01 	 4.69846e-03 	 7.88575e-03 	 1.13874e-01 	
-4.34608e-01 	 4.69846e-03 	 7.47969e-03 	 1.04432e-01 	
-4.29909e-01 	 4.69846e-03 	 7.19324e-03 	 9.64243e-02 	
-4.25211e-01 	 4.69846e-03 	 6.97837e-03 	 8.95153e-02 	
-4.20512e-01 	 4.69846e-03 	 6.79765e-03 	 8.35385e-02 	
-4.15814e-01 	 4.69846e-03 	 6.58937e-03 	 7.83863e-02 	
-4.11116e-01 	 4.69846e-03 	 6.38687e-03 	 7.36998e-02 	
-4.06417e-01 	 4.69846e-03 	 6.22045e-03 	 6.94724e-02 	
-4.01719e-01 	 4.69846e-03 	 6.06338e-03 	 6.56086e-02 	
-3.97020e-01 	 4.69846e-03 	 5.93871e-03 	 6.19846e-02 	
-3.92322e-01 	 4.69846e-03 	 5.82886e-03 	 5.87647e-02 	
-3.87623e-01 	 4.69846e-03 	 5.72950e-03 	 5.57621e-02 	
-3.82925e-01 	 4.69846e-03 	 5.64067e-03 	 5.29573e-02 	
-3.78226e-01 	 4.69846e-03 	 5.51446e-03 	 5.03963e-02 	
-3.73528e-01 	 4.69846e-03 	 5.39798e-03 	 4.78740e-02 	
-3.68829e-01 	 4.69846e-03 	 5.33801e-03 	 4.55524e-02 	
-3.64131e-01 	 4.69846e-03 	 5.24008e-03 	 4.33478e-02 	
-3.59432e-01 	 4.69846e-03 	 5.14665e-03 	 4.13289e-02 	
-3.54734e-01 	 4.69846e-03 	 5.06107e-03 	 3.93836e-02 	
-3.50036e-01 	 4.69846e-03 	 4.98479e-03 	 3.74991e-02 	
-3.45337e-01 	 4.69846e-03 	 4.91145e-03 	 3.57251e-02 	
-3.40639e-01 	 4.69846e-03 	 4.84260e-03 	 3.40548e-02 	
-3.35940e-01 	 4.69846e-03 	 4.77977e-03 	 3.24079e-02 	
-3.31242e-01 	 4.69846e-03 	 4.68285e-03 	 3.08791e-02 	
-3.26543e-01 	 4.69846e-03 	 4.63859e-03 	 2.93802e-02 	
-3.21845e-01 	 4.69846e-03 	 4.59064e-03 	 2.77787e-02 	
-3.17146e-01 	 4.69846e-03 	 4.49873e-03 	 2.66214e-02 	
-3.12448e-01 	 4.69846e-03 	 4.42298e-03 	 2.52992e-02 	
-3.07749e-01 	 4.69846e-03 	 4.38782e-03 	 2.39510e-02 	
-3.03051e-01 	 4.69846e-03 	 4.35797e-03 	 2.26607e-02 	
-2.98352e-01 	 4.69846e-03 	 4.29580e-03 	 2.14400e-02 	
-2.93654e-01 	 4.69846e-03 	 4.22288e-03 	 2.04212e-02 	
-2.88955e-01 	 4.69846e-03 	 4.16858e-03 	 1.93182e-02 	
-2.84257e-01 	 4.69846e-03 	 4.15040e-03 	 1.80660e-02 	
-2.79559e-01 	 4.69846e-03 	 4.11898e-03 	 1.70272e-02 	
-2.74860e-01 	 4.69846e-03 	 4.05747e-03 	 1.60997e-02 	
-2.70162e-01 	 4.69846e-03 	 4.01639e-03 	 1.50578e-02 	
-2.65463e-01 	 4.69846e-03 	 3.97855e-03 	 1.40605e-02 	
-2.60765e-01 	 4.69846e-03 	 3.92525e-03 	 1.31913e-02 	
-2.56066e-01 	 4.69846e-03 	 3.87414e-03 	 1.23391e-02 	
-2.51368e-01 	 4.69846e-03 	 3.84454e-03 	 1.14208e-02 	
-2.46669e-01 	 4.69846e-03 	 3.81812e-03 	 1.04652e-02 	
-2.41971e-01 	 4.69846e-03 	 3.80016e-03 	 9.57983e-03 	
-2.37272e-01 	 4.69846e-03 	 3.78377e-03 	 8.72087e-03 	
-2.32574e-01 	 4.69846e-03 	 3.74110e-03 	 7.95403e-03 	
-2.27875e-01 	 4.69846e-03 	 3.69992e-03 	 7.20086e-03 	
-2.23177e-01 	 4.69846e-03 	 3.66019e-03 	 6.46221e-03 	
-2.18479e-01 	 4.69846e-03 	 3.64396e-03 	 5.63561e-03 	
