x0	cl_sle	x1	cd_sle	
-5.125000e-01 	 -1.120374e+01 	-5.125000e-01 	 3.362368e+01 	 
-5.075000e-01 	 -1.120374e+01 	-5.075000e-01 	 3.362368e+01 	 
-5.025000e-01 	 -1.120374e+01 	-5.025000e-01 	 3.362368e+01 	 
-4.975000e-01 	 -1.120374e+01 	-4.975000e-01 	 3.362368e+01 	 
-4.925000e-01 	 -1.120374e+01 	-4.925000e-01 	 3.362368e+01 	 
-4.875000e-01 	 -1.120374e+01 	-4.875000e-01 	 3.362368e+01 	 
-4.825000e-01 	 -1.120374e+01 	-4.825000e-01 	 3.362368e+01 	 
-4.775000e-01 	 -5.382638e+00 	-4.775000e-01 	 1.965024e+01 	 
-4.725000e-01 	 -5.382638e+00 	-4.725000e-01 	 1.965024e+01 	 
-4.675000e-01 	 -5.382638e+00 	-4.675000e-01 	 1.965024e+01 	 
-4.625000e-01 	 -5.382638e+00 	-4.625000e-01 	 1.965024e+01 	 
-4.575000e-01 	 -5.382638e+00 	-4.575000e-01 	 1.965024e+01 	 
-4.525000e-01 	 -5.382638e+00 	-4.525000e-01 	 1.965024e+01 	 
-4.475000e-01 	 -5.382638e+00 	-4.475000e-01 	 1.965024e+01 	 
-4.425000e-01 	 -2.789520e+00 	-4.425000e-01 	 1.180584e+01 	 
-4.375000e-01 	 -2.789520e+00 	-4.375000e-01 	 1.180584e+01 	 
-4.325000e-01 	 -2.789520e+00 	-4.325000e-01 	 1.180584e+01 	 
-4.275000e-01 	 -2.789520e+00 	-4.275000e-01 	 1.180584e+01 	 
-4.225000e-01 	 -2.789520e+00 	-4.225000e-01 	 1.180584e+01 	 
-4.175000e-01 	 -2.789520e+00 	-4.175000e-01 	 1.180584e+01 	 
-4.125000e-01 	 -2.789520e+00 	-4.125000e-01 	 1.180584e+01 	 
-4.075000e-01 	 -1.645284e+00 	-4.075000e-01 	 8.109468e+00 	 
-4.025000e-01 	 -1.645284e+00 	-4.025000e-01 	 8.109468e+00 	 
-3.975000e-01 	 -1.645284e+00 	-3.975000e-01 	 8.109468e+00 	 
-3.925000e-01 	 -1.645284e+00 	-3.925000e-01 	 8.109468e+00 	 
-3.875000e-01 	 -1.645284e+00 	-3.875000e-01 	 8.109468e+00 	 
-3.825000e-01 	 -1.645284e+00 	-3.825000e-01 	 8.109468e+00 	 
-3.775000e-01 	 -1.645284e+00 	-3.775000e-01 	 8.109468e+00 	 
-3.725000e-01 	 -9.262180e-01 	-3.725000e-01 	 5.721103e+00 	 
-3.675000e-01 	 -9.262180e-01 	-3.675000e-01 	 5.721103e+00 	 
-3.625000e-01 	 -9.262180e-01 	-3.625000e-01 	 5.721103e+00 	 
-3.575000e-01 	 -9.262180e-01 	-3.575000e-01 	 5.721103e+00 	 
-3.525000e-01 	 -9.262180e-01 	-3.525000e-01 	 5.721103e+00 	 
-3.475000e-01 	 -9.262180e-01 	-3.475000e-01 	 5.721103e+00 	 
-3.425000e-01 	 -9.262180e-01 	-3.425000e-01 	 5.721103e+00 	 
-3.375000e-01 	 -4.099889e-01 	-3.375000e-01 	 3.989193e+00 	 
-3.325000e-01 	 -4.099889e-01 	-3.325000e-01 	 3.989193e+00 	 
-3.275000e-01 	 -4.099889e-01 	-3.275000e-01 	 3.989193e+00 	 
-3.225000e-01 	 -4.099889e-01 	-3.225000e-01 	 3.989193e+00 	 
-3.175000e-01 	 -4.099889e-01 	-3.175000e-01 	 3.989193e+00 	 
-3.125000e-01 	 -4.099889e-01 	-3.125000e-01 	 3.989193e+00 	 
-3.075000e-01 	 -4.099889e-01 	-3.075000e-01 	 3.989193e+00 	 
-3.025000e-01 	 -2.726543e-03 	-3.025000e-01 	 2.624382e+00 	 
-2.975000e-01 	 -2.726543e-03 	-2.975000e-01 	 2.624382e+00 	 
-2.925000e-01 	 -2.726543e-03 	-2.925000e-01 	 2.624382e+00 	 
-2.875000e-01 	 -2.726543e-03 	-2.875000e-01 	 2.624382e+00 	 
-2.825000e-01 	 -2.726543e-03 	-2.825000e-01 	 2.624382e+00 	 
-2.775000e-01 	 -2.726543e-03 	-2.775000e-01 	 2.624382e+00 	 
-2.725000e-01 	 -2.726543e-03 	-2.725000e-01 	 2.624382e+00 	 
-2.675000e-01 	 3.233512e-01 	-2.675000e-01 	 1.527287e+00 	 
-2.625000e-01 	 3.233512e-01 	-2.625000e-01 	 1.527287e+00 	 
-2.575000e-01 	 3.233512e-01 	-2.575000e-01 	 1.527287e+00 	 
-2.525000e-01 	 3.233512e-01 	-2.525000e-01 	 1.527287e+00 	 
-2.475000e-01 	 3.233512e-01 	-2.475000e-01 	 1.527287e+00 	 
-2.425000e-01 	 3.233512e-01 	-2.425000e-01 	 1.527287e+00 	 
-2.375000e-01 	 3.233512e-01 	-2.375000e-01 	 1.527287e+00 	 
-2.325000e-01 	 5.984211e-01 	-2.325000e-01 	 6.007789e-01 	 
