x0	cl_sle	x1	cd_sle	
-4.815920e-01 	 1.046055e+00 	-4.815920e-01 	 4.294363e+01 	 
-4.768940e-01 	 1.046055e+00 	-4.768940e-01 	 4.294363e+01 	 
-4.721960e-01 	 1.046055e+00 	-4.721960e-01 	 4.294363e+01 	 
-4.674970e-01 	 1.046055e+00 	-4.674970e-01 	 4.294363e+01 	 
-4.627990e-01 	 1.046055e+00 	-4.627990e-01 	 4.294363e+01 	 
-4.581000e-01 	 1.046055e+00 	-4.581000e-01 	 4.294363e+01 	 
-4.534020e-01 	 1.046055e+00 	-4.534020e-01 	 4.294363e+01 	 
-4.487030e-01 	 1.553516e+00 	-4.487030e-01 	 2.183767e+01 	 
-4.440050e-01 	 1.553516e+00 	-4.440050e-01 	 2.183767e+01 	 
-4.393060e-01 	 1.553516e+00 	-4.393060e-01 	 2.183767e+01 	 
-4.346080e-01 	 1.553516e+00 	-4.346080e-01 	 2.183767e+01 	 
-4.299090e-01 	 1.553516e+00 	-4.299090e-01 	 2.183767e+01 	 
-4.252110e-01 	 1.553516e+00 	-4.252110e-01 	 2.183767e+01 	 
-4.205120e-01 	 1.553516e+00 	-4.205120e-01 	 2.183767e+01 	 
-4.158140e-01 	 1.240154e+00 	-4.158140e-01 	 1.344882e+01 	 
-4.111160e-01 	 1.240154e+00 	-4.111160e-01 	 1.344882e+01 	 
-4.064170e-01 	 1.240154e+00 	-4.064170e-01 	 1.344882e+01 	 
-4.017190e-01 	 1.240154e+00 	-4.017190e-01 	 1.344882e+01 	 
-3.970200e-01 	 1.240154e+00 	-3.970200e-01 	 1.344882e+01 	 
-3.923220e-01 	 1.240154e+00 	-3.923220e-01 	 1.344882e+01 	 
-3.876230e-01 	 1.240154e+00 	-3.876230e-01 	 1.344882e+01 	 
-3.829250e-01 	 1.083001e+00 	-3.829250e-01 	 9.305850e+00 	 
-3.782260e-01 	 1.083001e+00 	-3.782260e-01 	 9.305850e+00 	 
-3.735280e-01 	 1.083001e+00 	-3.735280e-01 	 9.305850e+00 	 
-3.688290e-01 	 1.083001e+00 	-3.688290e-01 	 9.305850e+00 	 
-3.641310e-01 	 1.083001e+00 	-3.641310e-01 	 9.305850e+00 	 
-3.594320e-01 	 1.083001e+00 	-3.594320e-01 	 9.305850e+00 	 
-3.547340e-01 	 1.083001e+00 	-3.547340e-01 	 9.305850e+00 	 
-3.500360e-01 	 9.696443e-01 	-3.500360e-01 	 6.605073e+00 	 
-3.453370e-01 	 9.696443e-01 	-3.453370e-01 	 6.605073e+00 	 
-3.406390e-01 	 9.696443e-01 	-3.406390e-01 	 6.605073e+00 	 
-3.359400e-01 	 9.696443e-01 	-3.359400e-01 	 6.605073e+00 	 
-3.312420e-01 	 9.696443e-01 	-3.312420e-01 	 6.605073e+00 	 
-3.265430e-01 	 9.696443e-01 	-3.265430e-01 	 6.605073e+00 	 
-3.218450e-01 	 9.696443e-01 	-3.218450e-01 	 6.605073e+00 	 
-3.171460e-01 	 8.804282e-01 	-3.171460e-01 	 4.632377e+00 	 
-3.124480e-01 	 8.804282e-01 	-3.124480e-01 	 4.632377e+00 	 
-3.077490e-01 	 8.804282e-01 	-3.077490e-01 	 4.632377e+00 	 
-3.030510e-01 	 8.804282e-01 	-3.030510e-01 	 4.632377e+00 	 
-2.983520e-01 	 8.804282e-01 	-2.983520e-01 	 4.632377e+00 	 
-2.936540e-01 	 8.804282e-01 	-2.936540e-01 	 4.632377e+00 	 
-2.889550e-01 	 8.804282e-01 	-2.889550e-01 	 4.632377e+00 	 
-2.842570e-01 	 8.156440e-01 	-2.842570e-01 	 3.069895e+00 	 
-2.795590e-01 	 8.156440e-01 	-2.795590e-01 	 3.069895e+00 	 
-2.748600e-01 	 8.156440e-01 	-2.748600e-01 	 3.069895e+00 	 
-2.701620e-01 	 8.156440e-01 	-2.701620e-01 	 3.069895e+00 	 
-2.654630e-01 	 8.156440e-01 	-2.654630e-01 	 3.069895e+00 	 
-2.607650e-01 	 8.156440e-01 	-2.607650e-01 	 3.069895e+00 	 
-2.560660e-01 	 8.156440e-01 	-2.560660e-01 	 3.069895e+00 	 
-2.513680e-01 	 7.642078e-01 	-2.513680e-01 	 1.792595e+00 	 
-2.466690e-01 	 7.642078e-01 	-2.466690e-01 	 1.792595e+00 	 
-2.419710e-01 	 7.642078e-01 	-2.419710e-01 	 1.792595e+00 	 
-2.372720e-01 	 7.642078e-01 	-2.372720e-01 	 1.792595e+00 	 
-2.325740e-01 	 7.642078e-01 	-2.325740e-01 	 1.792595e+00 	 
-2.278750e-01 	 7.642078e-01 	-2.278750e-01 	 1.792595e+00 	 
