f	scd	
0.000000e+00 	 8.526531e-05 	 
2.833595e-02 	 3.918446e-04 	 
5.667190e-02 	 3.817535e-04 	 
8.500784e-02 	 3.625626e-04 	 
1.133438e-01 	 1.890361e-04 	 
1.416797e-01 	 7.677909e-05 	 
1.700157e-01 	 1.121325e-04 	 
1.983516e-01 	 2.318354e-04 	 
2.266876e-01 	 6.285257e-05 	 
2.550235e-01 	 3.307833e-05 	 
2.833595e-01 	 8.656725e-06 	 
3.116954e-01 	 7.944517e-06 	 
3.400314e-01 	 5.349956e-06 	 
3.683673e-01 	 7.943144e-06 	 
3.967033e-01 	 1.234167e-05 	 
4.250392e-01 	 4.688796e-06 	 
4.533752e-01 	 1.906771e-06 	 
4.817111e-01 	 3.271078e-06 	 
5.100471e-01 	 3.933034e-06 	 
5.383830e-01 	 2.312855e-06 	 
5.667190e-01 	 1.571680e-06 	 
5.950549e-01 	 1.157516e-06 	 
6.233908e-01 	 8.186884e-07 	 
6.517268e-01 	 1.358197e-06 	 
6.800627e-01 	 2.036608e-06 	 
7.083987e-01 	 7.481368e-07 	 
7.367346e-01 	 1.159569e-06 	 
7.650706e-01 	 9.886938e-07 	 
7.934065e-01 	 4.819877e-07 	 
8.217425e-01 	 3.658350e-07 	 
8.500784e-01 	 7.885314e-07 	 
8.784144e-01 	 1.531473e-06 	 
9.067503e-01 	 3.502696e-07 	 
9.350863e-01 	 5.584788e-07 	 
9.634222e-01 	 2.585795e-07 	 
9.917582e-01 	 9.329088e-08 	 
1.020094e+00 	 1.282115e-07 	 
1.048430e+00 	 1.377365e-07 	 
1.076766e+00 	 1.199707e-07 	 
1.105102e+00 	 1.109187e-07 	 
1.133438e+00 	 1.372053e-07 	 
1.161774e+00 	 2.207542e-07 	 
1.190110e+00 	 2.027459e-07 	 
1.218446e+00 	 8.750538e-08 	 
1.246782e+00 	 1.042503e-07 	 
1.275118e+00 	 6.151416e-08 	 
1.303454e+00 	 4.169713e-08 	 
1.331790e+00 	 4.520806e-08 	 
1.360125e+00 	 3.607640e-08 	 
1.388461e+00 	 5.391875e-08 	 
1.416797e+00 	 7.113367e-08 	 
1.445133e+00 	 3.659809e-08 	 
1.473469e+00 	 3.047441e-08 	 
1.501805e+00 	 4.923317e-08 	 
1.530141e+00 	 4.806672e-08 	 
1.558477e+00 	 2.351116e-08 	 
1.586813e+00 	 2.201637e-08 	 
1.615149e+00 	 2.710304e-08 	 
1.643485e+00 	 6.477352e-08 	 
1.671821e+00 	 5.118436e-08 	 
1.700157e+00 	 2.887335e-08 	 
1.728493e+00 	 2.643202e-08 	 
1.756829e+00 	 2.590310e-08 	 
1.785165e+00 	 2.780784e-08 	 
1.813501e+00 	 2.338981e-08 	 
1.841837e+00 	 1.480184e-08 	 
1.870173e+00 	 2.773015e-08 	 
1.898508e+00 	 2.274735e-08 	 
1.926844e+00 	 2.652416e-08 	 
1.955180e+00 	 2.529067e-08 	 
1.983516e+00 	 1.475977e-08 	 
2.011852e+00 	 6.956255e-09 	 
2.040188e+00 	 1.155040e-08 	 
2.068524e+00 	 8.875366e-09 	 
2.096860e+00 	 8.845449e-09 	 
2.125196e+00 	 7.204853e-09 	 
2.153532e+00 	 9.317465e-09 	 
2.181868e+00 	 1.454766e-08 	 
2.210204e+00 	 1.746323e-08 	 
2.238540e+00 	 6.587474e-09 	 
2.266876e+00 	 5.836186e-09 	 
2.295212e+00 	 6.009164e-09 	 
2.323548e+00 	 9.380405e-09 	 
2.351884e+00 	 1.471153e-08 	 
2.380220e+00 	 1.010077e-08 	 
2.408556e+00 	 3.312561e-09 	 
2.436891e+00 	 4.272787e-09 	 
2.465227e+00 	 5.642257e-09 	 
2.493563e+00 	 6.194006e-09 	 
2.521899e+00 	 6.482209e-09 	 
2.550235e+00 	 7.944674e-09 	 
2.578571e+00 	 5.858069e-09 	 
2.606907e+00 	 6.065137e-09 	 
2.635243e+00 	 1.147742e-08 	 
2.663579e+00 	 7.120296e-09 	 
2.691915e+00 	 5.019398e-09 	 
2.720251e+00 	 4.199342e-09 	 
2.748587e+00 	 2.604842e-09 	 
2.776923e+00 	 9.016196e-10 	 
2.805259e+00 	 8.546256e-10 	 
2.833595e+00 	 1.490294e-09 	 
2.861931e+00 	 1.223540e-09 	 
2.890267e+00 	 1.070576e-09 	 
2.918603e+00 	 2.346872e-09 	 
2.946939e+00 	 1.269813e-09 	 
2.975274e+00 	 2.011895e-09 	 
