f	scl	
0.000000e+00 	 4.671194e-04 	 
2.833595e-02 	 2.980615e-03 	 
5.667190e-02 	 3.771301e-03 	 
8.500784e-02 	 4.046726e-03 	 
1.133438e-01 	 1.597657e-03 	 
1.416797e-01 	 3.391761e-04 	 
1.700157e-01 	 2.750771e-03 	 
1.983516e-01 	 7.363409e-03 	 
2.266876e-01 	 1.308016e-03 	 
2.550235e-01 	 1.421989e-04 	 
2.833595e-01 	 3.713958e-05 	 
3.116954e-01 	 4.800743e-05 	 
3.400314e-01 	 3.679718e-05 	 
3.683673e-01 	 5.611916e-05 	 
3.967033e-01 	 9.066557e-05 	 
4.250392e-01 	 2.789284e-05 	 
4.533752e-01 	 8.814550e-06 	 
4.817111e-01 	 1.713642e-05 	 
5.100471e-01 	 1.565342e-05 	 
5.383830e-01 	 5.021870e-06 	 
5.667190e-01 	 3.182549e-06 	 
5.950549e-01 	 2.620501e-06 	 
6.233908e-01 	 2.147459e-06 	 
6.517268e-01 	 4.209004e-06 	 
6.800627e-01 	 5.567900e-06 	 
7.083987e-01 	 2.796621e-06 	 
7.367346e-01 	 3.640050e-06 	 
7.650706e-01 	 2.502280e-06 	 
7.934065e-01 	 9.177677e-07 	 
8.217425e-01 	 9.372577e-07 	 
8.500784e-01 	 1.899692e-06 	 
8.784144e-01 	 3.569387e-06 	 
9.067503e-01 	 8.195458e-07 	 
9.350863e-01 	 1.270934e-06 	 
9.634222e-01 	 5.356629e-07 	 
9.917582e-01 	 2.522263e-07 	 
1.020094e+00 	 2.812129e-07 	 
1.048430e+00 	 3.080627e-07 	 
1.076766e+00 	 2.552323e-07 	 
1.105102e+00 	 2.878243e-07 	 
1.133438e+00 	 4.080896e-07 	 
1.161774e+00 	 6.418186e-07 	 
1.190110e+00 	 6.329274e-07 	 
1.218446e+00 	 1.864181e-07 	 
1.246782e+00 	 1.838613e-07 	 
1.275118e+00 	 1.404474e-07 	 
1.303454e+00 	 1.014454e-07 	 
1.331790e+00 	 1.544615e-07 	 
1.360125e+00 	 1.471437e-07 	 
1.388461e+00 	 1.773043e-07 	 
1.416797e+00 	 2.654832e-07 	 
1.445133e+00 	 1.367887e-07 	 
1.473469e+00 	 1.143953e-07 	 
1.501805e+00 	 1.601388e-07 	 
1.530141e+00 	 2.089679e-07 	 
1.558477e+00 	 1.267698e-07 	 
1.586813e+00 	 5.539872e-08 	 
1.615149e+00 	 9.137879e-08 	 
1.643485e+00 	 1.723451e-07 	 
1.671821e+00 	 1.212038e-07 	 
1.700157e+00 	 6.862736e-08 	 
1.728493e+00 	 6.595652e-08 	 
1.756829e+00 	 7.062907e-08 	 
1.785165e+00 	 8.662830e-08 	 
1.813501e+00 	 6.797311e-08 	 
1.841837e+00 	 4.420426e-08 	 
1.870173e+00 	 5.635164e-08 	 
1.898508e+00 	 4.863364e-08 	 
1.926844e+00 	 6.865738e-08 	 
1.955180e+00 	 5.977300e-08 	 
1.983516e+00 	 3.403963e-08 	 
2.011852e+00 	 2.792147e-08 	 
2.040188e+00 	 4.388990e-08 	 
2.068524e+00 	 3.353436e-08 	 
2.096860e+00 	 1.913407e-08 	 
2.125196e+00 	 2.035332e-08 	 
2.153532e+00 	 3.512401e-08 	 
2.181868e+00 	 4.416104e-08 	 
2.210204e+00 	 6.274791e-08 	 
2.238540e+00 	 3.128176e-08 	 
2.266876e+00 	 3.391339e-08 	 
2.295212e+00 	 1.850384e-08 	 
2.323548e+00 	 2.703355e-08 	 
2.351884e+00 	 4.582122e-08 	 
2.380220e+00 	 3.053300e-08 	 
2.408556e+00 	 3.041679e-08 	 
2.436891e+00 	 3.096544e-08 	 
2.465227e+00 	 2.016862e-08 	 
2.493563e+00 	 1.665286e-08 	 
2.521899e+00 	 2.173941e-08 	 
2.550235e+00 	 2.547068e-08 	 
2.578571e+00 	 1.269645e-08 	 
2.606907e+00 	 1.845956e-08 	 
2.635243e+00 	 4.461445e-08 	 
2.663579e+00 	 2.911733e-08 	 
2.691915e+00 	 1.924276e-08 	 
2.720251e+00 	 1.361061e-08 	 
2.748587e+00 	 7.978893e-09 	 
2.776923e+00 	 3.549360e-09 	 
2.805259e+00 	 5.054777e-09 	 
2.833595e+00 	 5.459035e-09 	 
2.861931e+00 	 6.041547e-09 	 
2.890267e+00 	 4.955736e-09 	 
2.918603e+00 	 1.264926e-08 	 
2.946939e+00 	 6.493853e-09 	 
2.975274e+00 	 1.094868e-08 	 
3.003610e+00 	 8.809354e-09 	 
3.031946e+00 	 4.813162e-09 	 
3.060282e+00 	 3.429646e-09 	 
3.088618e+00 	 9.492068e-09 	 
3.116954e+00 	 9.752656e-09 	 
3.145290e+00 	 6.657599e-09 	 
3.173626e+00 	 6.320049e-09 	 
3.201962e+00 	 6.523168e-09 	 
3.230298e+00 	 4.954718e-09 	 
3.258634e+00 	 9.663219e-09 	 
3.286970e+00 	 7.126574e-09 	 
3.315306e+00 	 3.647413e-09 	 
3.343642e+00 	 4.131237e-09 	 
3.371978e+00 	 2.888981e-09 	 
3.400314e+00 	 2.001937e-09 	 
3.428650e+00 	 4.251162e-09 	 
3.456986e+00 	 5.713258e-09 	 
