f	scl	
0.000000e+00 	 2.194370e-03 	 
2.022031e-02 	 3.608305e-03 	 
4.044062e-02 	 2.125558e-03 	 
6.066094e-02 	 2.978346e-03 	 
8.088125e-02 	 3.720702e-03 	 
1.011016e-01 	 3.341475e-03 	 
1.213219e-01 	 7.615904e-04 	 
1.415422e-01 	 2.172948e-04 	 
1.617625e-01 	 2.261822e-04 	 
1.819828e-01 	 6.133879e-03 	 
2.022031e-01 	 9.194416e-03 	 
2.224234e-01 	 1.012780e-03 	 
2.426437e-01 	 1.811648e-04 	 
2.628641e-01 	 1.061968e-04 	 
2.830844e-01 	 2.043614e-05 	 
3.033047e-01 	 4.657416e-05 	 
3.235250e-01 	 5.870322e-05 	 
3.437453e-01 	 1.693778e-05 	 
3.639656e-01 	 4.257068e-05 	 
3.841859e-01 	 1.434543e-04 	 
4.044062e-01 	 5.648176e-05 	 
4.246266e-01 	 1.842123e-05 	 
4.448469e-01 	 5.849107e-06 	 
4.650672e-01 	 8.402925e-06 	 
4.852875e-01 	 2.159534e-05 	 
5.055078e-01 	 2.049344e-05 	 
5.257281e-01 	 7.876226e-06 	 
5.459484e-01 	 3.717435e-06 	 
5.661687e-01 	 3.819073e-06 	 
5.863890e-01 	 3.221262e-06 	 
6.066094e-01 	 7.637383e-07 	 
6.268297e-01 	 1.700703e-06 	 
6.470500e-01 	 5.694176e-06 	 
6.672703e-01 	 1.950430e-06 	 
6.874906e-01 	 6.608828e-06 	 
7.077109e-01 	 3.940664e-06 	 
7.279312e-01 	 4.339580e-06 	 
7.481515e-01 	 4.722657e-06 	 
7.683719e-01 	 1.301097e-06 	 
7.885922e-01 	 8.623455e-07 	 
8.088125e-01 	 8.911223e-07 	 
8.290328e-01 	 1.084510e-06 	 
8.492531e-01 	 1.408636e-06 	 
8.694734e-01 	 4.282590e-06 	 
8.896937e-01 	 2.715191e-06 	 
9.099140e-01 	 4.587109e-07 	 
9.301344e-01 	 1.618250e-06 	 
9.503547e-01 	 1.125873e-06 	 
9.705750e-01 	 2.965172e-07 	 
9.907953e-01 	 1.588658e-07 	 
1.011016e+00 	 3.120131e-07 	 
1.031236e+00 	 1.030737e-07 	 
1.051456e+00 	 3.152722e-07 	 
1.071677e+00 	 1.607304e-07 	 
1.091897e+00 	 3.046927e-07 	 
1.112117e+00 	 1.826170e-07 	 
1.132337e+00 	 3.521839e-07 	 
1.152558e+00 	 7.438589e-07 	 
1.172778e+00 	 7.656787e-07 	 
1.192998e+00 	 6.827368e-07 	 
1.213219e+00 	 2.144526e-07 	 
1.233439e+00 	 1.145875e-07 	 
1.253659e+00 	 1.484654e-07 	 
1.273880e+00 	 1.698934e-07 	 
1.294100e+00 	 1.316385e-07 	 
1.314320e+00 	 1.634238e-07 	 
1.334541e+00 	 1.798992e-07 	 
1.354761e+00 	 1.760921e-07 	 
1.374981e+00 	 1.332770e-07 	 
1.395202e+00 	 2.095004e-07 	 
1.415422e+00 	 4.055854e-07 	 
1.435642e+00 	 1.416481e-07 	 
1.455862e+00 	 5.367009e-08 	 
1.476083e+00 	 1.079969e-07 	 
1.496303e+00 	 1.309878e-07 	 
1.516523e+00 	 1.857297e-07 	 
1.536744e+00 	 2.240796e-07 	 
1.556964e+00 	 1.735032e-07 	 
1.577184e+00 	 7.785545e-08 	 
1.597405e+00 	 6.923334e-08 	 
1.617625e+00 	 1.286161e-07 	 
1.637845e+00 	 1.904840e-07 	 
1.658066e+00 	 1.573918e-07 	 
1.678286e+00 	 6.346106e-08 	 
1.698506e+00 	 5.329132e-08 	 
1.718727e+00 	 7.802543e-08 	 
1.738947e+00 	 4.380379e-08 	 
1.759167e+00 	 7.441900e-08 	 
1.779387e+00 	 1.144701e-07 	 
1.799608e+00 	 9.052747e-08 	 
1.819828e+00 	 7.749107e-08 	 
1.840048e+00 	 5.089186e-08 	 
1.860269e+00 	 7.390427e-08 	 
1.880489e+00 	 5.074509e-08 	 
1.900709e+00 	 3.020377e-08 	 
1.920930e+00 	 5.325560e-08 	 
1.941150e+00 	 6.340293e-08 	 
1.961370e+00 	 6.381376e-08 	 
1.981591e+00 	 2.826898e-08 	 
2.001811e+00 	 2.601197e-08 	 
2.022031e+00 	 2.031252e-08 	 
2.042252e+00 	 4.934198e-08 	 
2.062472e+00 	 5.187508e-08 	 
2.082692e+00 	 2.850441e-08 	 
2.102912e+00 	 2.811501e-08 	 
