x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	
0.000000e+00 	6.512658e-01 	6.520421e-01 	6.477482e-01 	6.617976e-01 	6.548899e-01 	6.326581e-01 	6.273825e-01 	6.485442e-01 	6.410467e-01 	6.692285e-01 	6.555738e-01 	6.745026e-01 	6.706372e-01 	6.786948e-01 	6.840057e-01 	6.789345e-01 	6.737922e-01 	 
1.554871e-02 	6.512986e-01 	6.522064e-01 	6.487803e-01 	6.618706e-01 	6.379471e-01 	6.317746e-01 	6.262910e-01 	6.415454e-01 	6.404860e-01 	6.751738e-01 	6.566196e-01 	6.680786e-01 	6.681803e-01 	6.768145e-01 	6.839801e-01 	6.791127e-01 	6.748064e-01 	 
3.108215e-02 	6.514047e-01 	6.523866e-01 	6.499732e-01 	6.574398e-01 	6.275938e-01 	6.427557e-01 	6.281728e-01 	6.330567e-01 	6.388927e-01 	6.810190e-01 	6.574106e-01 	6.666402e-01 	6.690952e-01 	6.753836e-01 	6.838784e-01 	6.787126e-01 	6.740251e-01 	 
4.679871e-02 	6.515610e-01 	6.525283e-01 	6.507910e-01 	6.497685e-01 	6.243109e-01 	6.603150e-01 	6.245784e-01 	6.267521e-01 	6.368215e-01 	6.826147e-01 	6.577755e-01 	6.691269e-01 	6.724023e-01 	6.774806e-01 	6.838043e-01 	6.782398e-01 	6.724209e-01 	 
6.234741e-02 	6.517174e-01 	6.526432e-01 	6.508346e-01 	6.416205e-01 	6.254932e-01 	6.749126e-01 	6.147770e-01 	6.260635e-01 	6.370154e-01 	6.797880e-01 	6.556453e-01 	6.677036e-01 	6.758446e-01 	6.806469e-01 	6.836939e-01 	6.778462e-01 	6.724951e-01 	 
7.804871e-02 	6.518772e-01 	6.527066e-01 	6.501113e-01 	6.378088e-01 	6.286228e-01 	6.786344e-01 	6.122931e-01 	6.339205e-01 	6.417813e-01 	6.747217e-01 	6.528726e-01 	6.656214e-01 	6.813539e-01 	6.817137e-01 	6.833650e-01 	6.776561e-01 	6.747879e-01 	 
9.359741e-02 	6.520191e-01 	6.527055e-01 	6.490662e-01 	6.415343e-01 	6.336834e-01 	6.730900e-01 	6.238522e-01 	6.458297e-01 	6.441618e-01 	6.712635e-01 	6.515737e-01 	6.758842e-01 	6.888173e-01 	6.814057e-01 	6.828222e-01 	6.780191e-01 	6.775545e-01 	 
1.093140e-01 	6.521268e-01 	6.526592e-01 	6.482699e-01 	6.490850e-01 	6.441794e-01 	6.641162e-01 	6.325176e-01 	6.496037e-01 	6.449444e-01 	6.703845e-01 	6.521451e-01 	6.834056e-01 	6.958130e-01 	6.821753e-01 	6.820874e-01 	6.788806e-01 	6.793731e-01 	 
1.248474e-01 	6.521996e-01 	6.526130e-01 	6.481239e-01 	6.548978e-01 	6.543303e-01 	6.542237e-01 	6.335429e-01 	6.462360e-01 	6.463304e-01 	6.701978e-01 	6.532454e-01 	6.859798e-01 	6.999267e-01 	6.828156e-01 	6.812290e-01 	6.798493e-01 	6.800402e-01 	 
1.405640e-01 	6.522484e-01 	6.526181e-01 	6.485894e-01 	6.571497e-01 	6.534699e-01 	6.454436e-01 	6.342150e-01 	6.423747e-01 	6.486258e-01 	6.695945e-01 	6.551512e-01 	6.848953e-01 	6.995088e-01 	6.811607e-01 	6.806134e-01 	6.806770e-01 	6.800433e-01 	 
1.561127e-01 	6.523232e-01 	6.526886e-01 	6.492653e-01 	6.557244e-01 	6.415775e-01 	6.366056e-01 	6.419060e-01 	6.389433e-01 	6.515433e-01 	6.688901e-01 	6.611819e-01 	6.806074e-01 	6.955865e-01 	6.788078e-01 	6.787326e-01 	6.811352e-01 	6.794163e-01 	 
1.718292e-01 	6.524590e-01 	6.527636e-01 	6.497071e-01 	6.513115e-01 	6.355108e-01 	6.281558e-01 	6.518511e-01 	6.385733e-01 	6.534872e-01 	6.672060e-01 	6.727520e-01 	6.772984e-01 	6.913529e-01 	6.778610e-01 	6.760823e-01 	6.813341e-01 	6.783338e-01 	 
1.873779e-01 	6.526055e-01 	6.527694e-01 	6.496733e-01 	6.456481e-01 	6.455283e-01 	6.251899e-01 	6.595537e-01 	6.424891e-01 	6.549193e-01 	6.638840e-01 	6.853682e-01 	6.770628e-01 	6.882492e-01 	6.788175e-01 	6.760961e-01 	6.814770e-01 	6.772619e-01 	 
2.030945e-01 	6.526926e-01 	6.526933e-01 	6.492355e-01 	6.414505e-01 	6.625408e-01 	6.248675e-01 	6.648297e-01 	6.495314e-01 	6.570309e-01 	6.591086e-01 	6.943842e-01 	6.785458e-01 	6.858343e-01 	6.807066e-01 	6.782275e-01 	6.815159e-01 	6.764281e-01 	 
2.186584e-01 	6.526922e-01 	6.525578e-01 	6.486501e-01 	6.416973e-01 	6.707300e-01 	6.206810e-01 	6.644087e-01 	6.329523e-01 	6.579931e-01 	6.557884e-01 	6.985090e-01 	6.789261e-01 	6.846008e-01 	6.824920e-01 	6.795174e-01 	6.813930e-01 	6.758771e-01 	 
2.342072e-01 	6.526428e-01 	6.523878e-01 	6.482260e-01 	6.458309e-01 	6.642797e-01 	6.119203e-01 	6.601502e-01 	5.950300e-01 	6.590309e-01 	6.558145e-01 	6.987529e-01 	6.752191e-01 	6.850684e-01 	6.834150e-01 	6.795313e-01 	6.812013e-01 	6.753910e-01 	 
2.499390e-01 	6.525682e-01 	6.522161e-01 	6.481686e-01 	6.501426e-01 	6.539467e-01 	6.128552e-01 	6.550369e-01 	6.015348e-01 	6.590080e-01 	6.553858e-01 	6.963333e-01 	6.694798e-01 	6.866414e-01 	6.823322e-01 	6.796848e-01 	6.809624e-01 	6.747444e-01 	 
2.655029e-01 	6.524810e-01 	6.520823e-01 	6.484247e-01 	6.517822e-01 	6.427497e-01 	6.330712e-01 	6.494933e-01 	6.343624e-01 	6.556227e-01 	6.544324e-01 	6.923558e-01 	6.636745e-01 	6.870068e-01 	6.815704e-01 	6.805960e-01 	6.806124e-01 	6.739998e-01 	 
2.812347e-01 	6.523982e-01 	6.519953e-01 	6.487908e-01 	6.505462e-01 	6.292848e-01 	6.515988e-01 	6.415745e-01 	6.660101e-01 	6.482824e-01 	6.574939e-01 	6.881147e-01 	6.547617e-01 	6.863230e-01 	6.836833e-01 	6.819462e-01 	6.802213e-01 	6.730804e-01 	 
2.967834e-01 	6.523462e-01 	6.519835e-01 	6.491126e-01 	6.476083e-01 	6.190954e-01 	6.601726e-01 	6.251491e-01 	6.842691e-01 	6.368289e-01 	6.593572e-01 	6.849104e-01 	6.514553e-01 	6.867533e-01 	6.882188e-01 	6.823063e-01 	6.794668e-01 	6.719724e-01 	 
3.123474e-01 	6.523452e-01 	6.520825e-01 	6.492278e-01 	6.450248e-01 	6.263094e-01 	6.641214e-01 	6.018266e-01 	6.850225e-01 	6.221910e-01 	6.600331e-01 	6.807495e-01 	6.575132e-01 	6.875732e-01 	6.923174e-01 	6.817859e-01 	6.785715e-01 	6.708255e-01 	 
3.280792e-01 	6.524254e-01 	6.522100e-01 	6.491852e-01 	6.448864e-01 	6.508723e-01 	6.629164e-01 	6.022611e-01 	6.801564e-01 	6.001167e-01 	6.664979e-01 	6.757159e-01 	6.695372e-01 	6.863560e-01 	6.928213e-01 	6.810549e-01 	6.777564e-01 	6.699967e-01 	 
