x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	
0.000000e+00 	1.034964e-01 	1.255895e-01 	1.969037e-01 	2.077118e-01 	3.489134e-01 	1.794829e-01 	3.269995e-01 	2.954065e-01 	3.961657e-01 	9.717765e-02 	4.672920e-01 	3.984053e-01 	4.071279e-01 	3.336840e-01 	3.588885e-01 	4.139333e-01 	2.801805e-01 	 
1.554871e-02 	1.032825e-01 	1.245268e-01 	1.916830e-01 	2.392282e-01 	3.468676e-01 	4.987872e-03 	3.364586e-01 	3.338109e-01 	4.060616e-01 	1.164502e-01 	4.196990e-01 	3.774884e-01 	3.900697e-01 	3.074258e-01 	3.543859e-01 	4.142393e-01 	3.087408e-01 	 
3.108215e-02 	1.029695e-01 	1.233176e-01 	1.874543e-01 	2.706912e-01 	2.889291e-01 	-1.163259e-01 	3.560073e-01 	3.509623e-01 	3.906313e-01 	1.870046e-01 	3.456136e-01 	3.017939e-01 	3.530533e-01 	3.015510e-01 	3.496292e-01 	4.138950e-01 	3.377754e-01 	 
4.679871e-02 	1.025621e-01 	1.220509e-01 	1.855920e-01 	2.941503e-01 	2.273707e-01 	-6.748360e-02 	3.831452e-01 	3.250597e-01 	4.003507e-01 	2.737392e-01 	2.956960e-01 	2.017387e-01 	2.964801e-01 	3.340681e-01 	3.518957e-01 	4.130219e-01 	3.529096e-01 	 
6.234741e-02 	1.021071e-01 	1.207984e-01 	1.862787e-01 	2.980584e-01 	1.983046e-01 	7.980567e-02 	3.960549e-01 	2.599725e-01 	4.404851e-01 	3.310251e-01 	2.663790e-01 	8.940160e-02 	2.438499e-01 	3.609420e-01 	3.628123e-01 	4.128273e-01 	3.522908e-01 	 
7.804871e-02 	1.016117e-01 	1.196051e-01 	1.883421e-01 	2.743242e-01 	2.127551e-01 	2.121795e-01 	3.258062e-01 	1.994533e-01 	4.658267e-01 	3.604612e-01 	2.426903e-01 	4.784373e-02 	2.171109e-01 	3.582367e-01 	3.764217e-01 	4.145375e-01 	3.436668e-01 	 
9.359741e-02 	1.011196e-01 	1.185336e-01 	1.898983e-01 	2.344726e-01 	2.387155e-01 	2.828493e-01 	1.744717e-01 	2.092847e-01 	4.719675e-01 	3.758568e-01 	2.182605e-01 	1.593792e-01 	2.133397e-01 	3.384006e-01 	3.871377e-01 	4.139030e-01 	3.276104e-01 	 
1.093140e-01 	1.006540e-01 	1.175422e-01 	1.894649e-01 	2.069443e-01 	2.638303e-01 	3.146675e-01 	1.249634e-01 	2.913713e-01 	4.745289e-01 	3.833155e-01 	1.983305e-01 	3.193970e-01 	2.188990e-01 	3.268825e-01 	3.907895e-01 	4.058497e-01 	3.024342e-01 	 
1.248474e-01 	1.002457e-01 	1.165566e-01 	1.867742e-01 	2.085331e-01 	2.967923e-01 	3.354837e-01 	1.626218e-01 	3.572086e-01 	4.687001e-01 	3.946292e-01 	1.845539e-01 	3.555873e-01 	2.359860e-01 	3.457458e-01 	3.863971e-01 	3.927738e-01 	2.737975e-01 	 
1.405640e-01 	9.987701e-02 	1.154319e-01 	1.829437e-01 	2.285054e-01 	3.138205e-01 	3.595503e-01 	1.567863e-01 	3.721927e-01 	4.694028e-01 	4.071317e-01 	1.656362e-01 	3.054486e-01 	2.676105e-01 	3.753537e-01 	3.866121e-01 	3.806832e-01 	2.470305e-01 	 
