x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	
0.000000e+00 	2.955886e-01 	2.804986e-01 	3.425199e-01 	3.390835e-01 	2.346033e-01 	1.516908e-01 	1.906441e-01 	1.630847e-01 	1.448731e-01 	8.668344e-02 	2.943700e-03 	-9.313665e-02 	3.448543e-02 	3.194317e-02 	3.438453e-02 	1.537320e-01 	-3.157774e-02 	 
1.554871e-02 	2.953018e-01 	2.791272e-01 	3.389170e-01 	3.421065e-01 	2.351145e-01 	1.386763e-01 	1.805775e-01 	1.557197e-01 	1.740660e-01 	6.755145e-02 	8.091020e-02 	-4.241952e-02 	5.592125e-02 	3.216384e-02 	3.774996e-02 	1.422186e-01 	-2.052002e-02 	 
3.108215e-02 	2.948430e-01 	2.774965e-01 	3.344660e-01 	3.377222e-01 	2.442822e-01 	1.033148e-01 	1.577173e-01 	1.652322e-01 	1.609759e-01 	2.908577e-02 	1.358839e-01 	3.155075e-02 	9.656128e-02 	4.048333e-02 	3.965378e-02 	1.250542e-01 	-1.478860e-02 	 
4.679871e-02 	2.942010e-01 	2.756690e-01 	3.306082e-01 	3.382377e-01 	2.547741e-01 	6.778900e-02 	1.329949e-01 	1.787076e-01 	1.490889e-01 	1.099235e-02 	1.354867e-01 	8.472438e-02 	1.605574e-01 	5.421148e-02 	3.442610e-02 	1.074524e-01 	-1.533866e-03 	 
6.234741e-02 	2.934417e-01 	2.737445e-01 	3.284334e-01 	3.512171e-01 	2.725353e-01 	9.235123e-02 	1.271770e-01 	1.957305e-01 	1.220492e-01 	2.240051e-02 	1.271631e-01 	1.078038e-01 	2.162671e-01 	6.700803e-02 	2.381797e-02 	9.195809e-02 	1.770508e-02 	 
7.804871e-02 	2.925826e-01 	2.717674e-01 	3.279939e-01 	3.591059e-01 	2.985258e-01 	1.534411e-01 	1.596977e-01 	2.171451e-01 	1.097383e-01 	3.915847e-02 	1.281272e-01 	1.247097e-01 	2.351950e-01 	7.407135e-02 	1.487555e-02 	7.660025e-02 	3.073060e-02 	 
9.359741e-02 	2.916910e-01 	2.698869e-01 	3.284593e-01 	3.520156e-01 	3.265264e-01 	1.819624e-01 	2.066083e-01 	2.180628e-01 	1.120655e-01 	6.127486e-02 	1.342700e-01 	1.413251e-01 	2.153715e-01 	8.987202e-02 	9.329655e-03 	6.167675e-02 	2.982794e-02 	 
1.093140e-01 	2.908115e-01 	2.681246e-01 	3.285060e-01 	3.392689e-01 	3.360434e-01 	1.806599e-01 	2.289311e-01 	1.902860e-01 	9.883016e-02 	7.425395e-02 	1.367415e-01 	1.052382e-01 	1.677191e-01 	1.093585e-01 	4.720207e-03 	4.746421e-02 	1.581549e-02 	 
1.248474e-01 	2.900079e-01 	2.664959e-01 	3.271249e-01 	3.348635e-01 	3.099110e-01 	1.925667e-01 	2.730415e-01 	1.648524e-01 	8.742407e-02 	6.427434e-02 	1.381584e-01 	7.886256e-02 	1.002311e-01 	1.058902e-01 	7.093231e-04 	3.524314e-02 	-1.772173e-03 	 
1.405640e-01 	2.892827e-01 	2.648363e-01 	3.242383e-01 	3.383802e-01 	2.643487e-01 	2.188337e-01 	3.132920e-01 	1.514468e-01 	8.452672e-02 	6.003878e-02 	1.540413e-01 	1.042945e-01 	2.848584e-02 	7.595894e-02 	-1.970256e-03 	2.750438e-02 	-1.182331e-02 	 
1.561127e-01 	2.886054e-01 	2.630590e-01 	3.208274e-01 	3.406516e-01 	2.425972e-01 	2.418841e-01 	2.924268e-01 	1.505157e-01 	8.316028e-02 	6.602719e-02 	1.809290e-01 	1.223823e-01 	-2.020914e-02 	3.697014e-02 	7.795508e-03 	2.613470e-02 	-9.754799e-03 	 
1.718292e-01 	2.879104e-01 	2.611434e-01 	3.179859e-01 	3.401701e-01 	2.413214e-01 	2.777049e-01 	2.315640e-01 	1.911272e-01 	8.641364e-02 	5.368704e-02 	1.938368e-01 	1.109534e-01 	-3.772617e-02 	1.386532e-02 	3.405922e-02 	2.844413e-02 	2.539343e-03 	 
1.873779e-01 	2.872321e-01 	2.592594e-01 	3.163504e-01 	3.415385e-01 	2.255130e-01 	3.013686e-01 	1.889049e-01 	2.304551e-01 	8.934682e-02 	3.255344e-02 	1.780576e-01 	1.024190e-01 	-4.614183e-02 	2.606647e-02 	5.003060e-02 	2.894527e-02 	1.942867e-02 	 
2.030945e-01 	2.866275e-01 	2.574962e-01 	3.155740e-01 	3.450171e-01 	1.969448e-01 	2.932712e-01 	1.836133e-01 	1.872028e-01 	8.795069e-02 	3.322584e-02 	1.398999e-01 	1.055383e-01 	-5.987362e-02 	6.378642e-02 	4.364989e-02 	2.530431e-02 	3.339808e-02 	 
2.186584e-01 	2.861635e-01 	2.559677e-01 	3.148966e-01 	3.443300e-01 	2.151327e-01 	2.664218e-01 	1.816324e-01 	9.008601e-02 	8.523442e-02 	3.968897e-02 	9.630654e-02 	9.800497e-02 	-5.443295e-02 	8.996928e-02 	3.668997e-02 	1.926927e-02 	3.907364e-02 	 
2.342072e-01 	2.858281e-01 	2.547158e-01 	3.136266e-01 	3.384680e-01 	2.687671e-01 	2.492435e-01 	1.822608e-01 	9.227071e-02 	8.899360e-02 	3.749611e-02 	6.137684e-02 	7.731647e-02 	-2.174131e-02 	8.218141e-02 	5.093313e-02 	1.201409e-02 	3.982769e-02 	 
2.499390e-01 	2.856149e-01 	2.537439e-01 	3.114743e-01 	3.339756e-01 	2.783603e-01 	2.818896e-01 	1.920503e-01 	1.896189e-01 	8.658370e-02 	3.522660e-02 	4.418543e-02 	5.371358e-02 	1.768765e-02 	6.899904e-02 	8.923936e-02 	5.365800e-03 	4.287389e-02 	 
2.655029e-01 	2.855158e-01 	2.529928e-01 	3.088179e-01 	3.336600e-01 	2.660054e-01 	3.095740e-01 	1.809569e-01 	2.506477e-01 	6.833165e-02 	3.739605e-02 	4.308016e-02 	4.823595e-02 	5.407227e-02 	9.540381e-02 	1.235567e-01 	1.646251e-03 	4.935012e-02 	 
2.812347e-01 	2.854890e-01 	2.523401e-01 	3.063201e-01 	3.348528e-01 	2.698426e-01 	2.813372e-01 	1.392164e-01 	2.864941e-01 	1.859010e-02 	3.898699e-02 	4.098757e-02 	9.191957e-02 	8.041959e-02 	1.518773e-01 	1.205812e-01 	1.606439e-03 	5.173606e-02 	 
2.967834e-01 	2.854840e-01 	2.517196e-01 	3.045040e-01 	3.364214e-01 	2.906518e-01 	2.316096e-01 	8.724562e-02 	2.357284e-01 	-3.139828e-02 	3.390336e-02 	2.954639e-02 	1.801452e-01 	8.317100e-02 	1.812165e-01 	8.179476e-02 	1.075552e-02 	4.064998e-02 	 
3.123474e-01 	2.854564e-01 	2.510024e-01 	3.032996e-01 	3.370620e-01 	3.042347e-01 	2.131556e-01 	9.306577e-02 	1.576049e-01 	-7.115248e-02 	3.653432e-02 	1.513503e-02 	2.413768e-01 	7.747528e-02 	1.537471e-01 	3.314285e-02 	2.754919e-02 	1.529173e-02 	 
3.280792e-01 	2.853287e-01 	2.501516e-01 	3.022816e-01 	3.336674e-01 	2.532159e-01 	2.095107e-01 	1.794227e-01 	1.307248e-01 	-1.034805e-01 	6.199083e-02 	-8.452429e-04 	2.323259e-01 	8.379111e-02 	8.823317e-02 	-1.517676e-03 	3.556433e-02 	-1.412407e-02 	 
3.436432e-01 	2.850844e-01 	2.492272e-01 	3.008952e-01 	3.260524e-01 	2.165249e-01 	1.884055e-01 	1.930436e-01 	1.257868e-01 	-6.663688e-02 	6.335990e-02 	-1.205570e-02 	1.938469e-01 	1.083946e-01 	2.543942e-02 	-2.397234e-03 	2.805178e-02 	-3.344131e-02 	 
3.593750e-01 	2.847448e-01 	2.482197e-01 	2.988104e-01 	3.189145e-01 	2.456418e-01 	1.743450e-01 	2.240664e-01 	1.034503e-01 	1.624194e-02 	1.990367e-02 	-5.015708e-03 	1.722539e-01 	1.411061e-01 	-6.366121e-03 	3.325858e-02 	1.692993e-02 	-3.651419e-02 	 
3.749237e-01 	2.843448e-01 	2.471757e-01 	2.961608e-01 	3.168931e-01 	2.678573e-01 	1.812625e-01 	2.881751e-01 	5.420097e-02 	7.119580e-02 	-1.199410e-02 	1.067188e-02 	1.647393e-01 	1.450173e-01 	-3.787018e-03 	7.393059e-02 	1.406418e-02 	-2.496419e-02 	 
3.904877e-01 	2.839132e-01 	2.459995e-01 	2.932057e-01 	3.183935e-01 	2.662198e-01 	2.058331e-01 	2.917394e-01 	-2.332744e-02 	9.354988e-02 	-4.288612e-02 	1.279381e-03 	1.481829e-01 	1.257563e-01 	1.760521e-02 	7.832850e-02 	2.148659e-02 	-5.259044e-03 	 
4.062195e-01 	2.833992e-01 	2.444765e-01 	2.901967e-01 	3.198400e-01 	2.573415e-01 	2.203379e-01 	2.428285e-01 	-5.360353e-02 	1.236941e-01 	-5.660484e-02 	-4.502198e-02 	1.163082e-01 	1.541268e-01 	4.100946e-02 	4.454294e-02 	3.306605e-02 	1.361158e-02 	 
4.217682e-01 	2.827021e-01 	2.424796e-01 	2.873168e-01 	3.187258e-01 	2.393490e-01 	2.459432e-01 	1.995685e-01 	-9.306467e-03 	1.887545e-01 	-5.209183e-02 	-9.278072e-02 	7.919516e-02 	2.313911e-01 	4.901040e-02 	1.635448e-02 	4.140580e-02 	2.108645e-02 	 
