x0	T4	x1	T5	x2	T6	x3	T8	
-4.850296e-01 	 2.620987e-02 	-4.850296e-01 	 2.945217e-02 	-4.850296e-01 	 2.826168e-02 	-4.850296e-01 	 1.969458e-02 	 
-4.849759e-01 	 -2.068573e-04 	-4.849759e-01 	 1.267877e-03 	-4.849759e-01 	 9.535989e-04 	-4.849759e-01 	 -1.303009e-03 	 
-4.848141e-01 	 3.726503e-03 	-4.848141e-01 	 6.499411e-03 	-4.848141e-01 	 5.952938e-03 	-4.848141e-01 	 1.271978e-03 	 
-4.845435e-01 	 1.050789e-02 	-4.845435e-01 	 1.518665e-02 	-4.845435e-01 	 1.421140e-02 	-4.845435e-01 	 5.773008e-03 	 
-4.841645e-01 	 1.066405e-02 	-4.841645e-01 	 1.686361e-02 	-4.841645e-01 	 1.559962e-02 	-4.841645e-01 	 4.879328e-03 	 
-4.836787e-01 	 1.078697e-02 	-4.836787e-01 	 1.842495e-02 	-4.836787e-01 	 1.687332e-02 	-4.836787e-01 	 4.272667e-03 	 
-4.830884e-01 	 9.803531e-03 	-4.830884e-01 	 1.878402e-02 	-4.830884e-01 	 1.694351e-02 	-4.830884e-01 	 3.160464e-03 	 
-4.823968e-01 	 7.513514e-03 	-4.823968e-01 	 1.751982e-02 	-4.823968e-01 	 1.541702e-02 	-4.823968e-01 	 1.525722e-03 	 
-4.816078e-01 	 5.125050e-03 	-4.816078e-01 	 1.567500e-02 	-4.816078e-01 	 1.332647e-02 	-4.816078e-01 	 3.691068e-04 	 
-4.807713e-01 	 2.709306e-03 	-4.807713e-01 	 1.308273e-02 	-4.807713e-01 	 1.055434e-02 	-4.807713e-01 	 -5.074028e-04 	 
-4.799334e-01 	 9.729650e-04 	-4.799334e-01 	 1.035640e-02 	-4.799334e-01 	 7.770120e-03 	-4.799334e-01 	 -9.106664e-04 	 
-4.790923e-01 	 -6.588519e-05 	-4.790923e-01 	 7.742034e-03 	-4.790923e-01 	 5.233185e-03 	-4.790923e-01 	 -1.050581e-03 	 
-4.782468e-01 	 -6.653516e-04 	-4.782468e-01 	 5.268102e-03 	-4.782468e-01 	 3.001803e-03 	-4.782468e-01 	 -1.022673e-03 	 
-4.773954e-01 	 -9.112014e-04 	-4.773954e-01 	 3.243989e-03 	-4.773954e-01 	 1.372071e-03 	-4.773954e-01 	 -7.547420e-04 	 
-4.765367e-01 	 -1.051874e-03 	-4.765367e-01 	 1.616310e-03 	-4.765367e-01 	 2.442737e-04 	-4.765367e-01 	 -4.430618e-04 	 
