x0	T4	x1	T5	x2	T6	x3	T8	
-4.850296e-01 	 -8.496108e-01 	-4.850296e-01 	 -1.071707e+00 	-4.850296e-01 	 -9.772614e-01 	-4.850296e-01 	 -3.395818e-01 	 
-4.849759e-01 	 -1.332649e+00 	-4.849759e-01 	 -1.636179e+00 	-4.849759e-01 	 -1.514343e+00 	-4.849759e-01 	 -6.828119e-01 	 
-4.848141e-01 	 -1.181478e+00 	-4.848141e-01 	 -1.477152e+00 	-4.848141e-01 	 -1.359845e+00 	-4.848141e-01 	 -5.629972e-01 	 
-4.845435e-01 	 -1.259969e+00 	-4.845435e-01 	 -1.590837e+00 	-4.845435e-01 	 -1.465323e+00 	-4.845435e-01 	 -6.098332e-01 	 
-4.841645e-01 	 -1.248882e+00 	-4.841645e-01 	 -1.619356e+00 	-4.841645e-01 	 -1.485627e+00 	-4.841645e-01 	 -5.793157e-01 	 
-4.836787e-01 	 -1.264484e+00 	-4.836787e-01 	 -1.683551e+00 	-4.836787e-01 	 -1.539323e+00 	-4.836787e-01 	 -5.708041e-01 	 
-4.830884e-01 	 -1.301319e+00 	-4.830884e-01 	 -1.781747e+00 	-4.830884e-01 	 -1.623037e+00 	-4.830884e-01 	 -5.785925e-01 	 
-4.823968e-01 	 -1.271333e+00 	-4.823968e-01 	 -1.804596e+00 	-4.823968e-01 	 -1.633221e+00 	-4.823968e-01 	 -5.435608e-01 	 
-4.816078e-01 	 -1.277898e+00 	-4.816078e-01 	 -1.862589e+00 	-4.816078e-01 	 -1.676834e+00 	-4.816078e-01 	 -5.458735e-01 	 
-4.807713e-01 	 -1.250118e+00 	-4.807713e-01 	 -1.869712e+00 	-4.807713e-01 	 -1.672098e+00 	-4.807713e-01 	 -5.283418e-01 	 
-4.799334e-01 	 -1.230112e+00 	-4.799334e-01 	 -1.865470e+00 	-4.799334e-01 	 -1.659482e+00 	-4.799334e-01 	 -5.219668e-01 	 
-4.790923e-01 	 -1.220497e+00 	-4.790923e-01 	 -1.859381e+00 	-4.790923e-01 	 -1.647763e+00 	-4.790923e-01 	 -5.222595e-01 	 
-4.782468e-01 	 -1.203939e+00 	-4.782468e-01 	 -1.833969e+00 	-4.782468e-01 	 -1.620508e+00 	-4.782468e-01 	 -5.152685e-01 	 
-4.773954e-01 	 -1.202612e+00 	-4.773954e-01 	 -1.818221e+00 	-4.773954e-01 	 -1.605428e+00 	-4.773954e-01 	 -5.186818e-01 	 
-4.765367e-01 	 -1.196338e+00 	-4.765367e-01 	 -1.795290e+00 	-4.765367e-01 	 -1.585486e+00 	-4.765367e-01 	 -5.166606e-01 	 
-4.756693e-01 	 -1.195877e+00 	-4.756693e-01 	 -1.777887e+00 	-4.756693e-01 	 -1.572774e+00 	-4.756693e-01 	 -5.190381e-01 	 
-4.747918e-01 	 -1.196503e+00 	-4.747918e-01 	 -1.763243e+00 	-4.747918e-01 	 -1.563729e+00 	-4.747918e-01 	 -5.213760e-01 	 
-4.739030e-01 	 -1.197818e+00 	-4.739030e-01 	 -1.750928e+00 	-4.739030e-01 	 -1.557454e+00 	-4.739030e-01 	 -5.229734e-01 	 
-4.730016e-01 	 -1.202335e+00 	-4.730016e-01 	 -1.743588e+00 	-4.730016e-01 	 -1.556310e+00 	-4.730016e-01 	 -5.260808e-01 	 
-4.720862e-01 	 -1.206303e+00 	-4.720862e-01 	 -1.737868e+00 	-4.720862e-01 	 -1.557220e+00 	-4.720862e-01 	 -5.279298e-01 	 
-4.711557e-01 	 -1.211429e+00 	-4.711557e-01 	 -1.735088e+00 	-4.711557e-01 	 -1.561801e+00 	-4.711557e-01 	 -5.305498e-01 	 
-4.702089e-01 	 -1.216750e+00 	-4.702089e-01 	 -1.734586e+00 	-4.702089e-01 	 -1.568387e+00 	-4.702089e-01 	 -5.333234e-01 	 
-4.692445e-01 	 -1.222146e+00 	-4.692445e-01 	 -1.736390e+00 	-4.692445e-01 	 -1.575385e+00 	-4.692445e-01 	 -5.361685e-01 	 
-4.682615e-01 	 -1.228568e+00 	-4.682615e-01 	 -1.741210e+00 	-4.682615e-01 	 -1.582683e+00 	-4.682615e-01 	 -5.398600e-01 	 
-4.672586e-01 	 -1.235165e+00 	-4.672586e-01 	 -1.747802e+00 	-4.672586e-01 	 -1.589662e+00 	-4.672586e-01 	 -5.437648e-01 	 
-4.662348e-01 	 -1.242393e+00 	-4.662348e-01 	 -1.755762e+00 	-4.662348e-01 	 -1.597513e+00 	-4.662348e-01 	 -5.482669e-01 	 
-4.651891e-01 	 -1.250137e+00 	-4.651891e-01 	 -1.764468e+00 	-4.651891e-01 	 -1.606693e+00 	-4.651891e-01 	 -5.531068e-01 	 
-4.641204e-01 	 -1.257877e+00 	-4.641204e-01 	 -1.773289e+00 	-4.641204e-01 	 -1.616741e+00 	-4.641204e-01 	 -5.578620e-01 	 
-4.630276e-01 	 -1.265646e+00 	-4.630276e-01 	 -1.782127e+00 	-4.630276e-01 	 -1.627524e+00 	-4.630276e-01 	 -5.625191e-01 	 
