x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	
0.000000e+00 	1.034964e-01 	1.255895e-01 	1.969037e-01 	2.077118e-01 	3.489134e-01 	1.794829e-01 	3.269995e-01 	2.954065e-01 	3.961657e-01 	9.717765e-02 	4.672920e-01 	 
1.554871e-02 	1.032825e-01 	1.245268e-01 	1.916830e-01 	2.392282e-01 	3.468676e-01 	4.987872e-03 	3.364586e-01 	3.338109e-01 	4.060616e-01 	1.164502e-01 	4.196990e-01 	 
3.108215e-02 	1.029695e-01 	1.233176e-01 	1.874543e-01 	2.706912e-01 	2.889291e-01 	-1.163259e-01 	3.560073e-01 	3.509623e-01 	3.906313e-01 	1.870046e-01 	3.456136e-01 	 
4.679871e-02 	1.025621e-01 	1.220509e-01 	1.855920e-01 	2.941503e-01 	2.273707e-01 	-6.748360e-02 	3.831452e-01 	3.250597e-01 	4.003507e-01 	2.737392e-01 	2.956960e-01 	 
6.234741e-02 	1.021071e-01 	1.207984e-01 	1.862787e-01 	2.980584e-01 	1.983046e-01 	7.980567e-02 	3.960549e-01 	2.599725e-01 	4.404851e-01 	3.310251e-01 	2.663790e-01 	 
7.804871e-02 	1.016117e-01 	1.196051e-01 	1.883421e-01 	2.743242e-01 	2.127551e-01 	2.121795e-01 	3.258062e-01 	1.994533e-01 	4.658267e-01 	3.604612e-01 	2.426903e-01 	 
9.359741e-02 	1.011196e-01 	1.185336e-01 	1.898983e-01 	2.344726e-01 	2.387155e-01 	2.828493e-01 	1.744717e-01 	2.092847e-01 	4.719675e-01 	3.758568e-01 	2.182605e-01 	 
1.093140e-01 	1.006540e-01 	1.175422e-01 	1.894649e-01 	2.069443e-01 	2.638303e-01 	3.146675e-01 	1.249634e-01 	2.913713e-01 	4.745289e-01 	3.833155e-01 	1.983305e-01 	 
1.248474e-01 	1.002457e-01 	1.165566e-01 	1.867742e-01 	2.085331e-01 	2.967923e-01 	3.354837e-01 	1.626218e-01 	3.572086e-01 	4.687001e-01 	3.946292e-01 	1.845539e-01 	 
1.405640e-01 	9.987701e-02 	1.154319e-01 	1.829437e-01 	2.285054e-01 	3.138205e-01 	3.595503e-01 	1.567863e-01 	3.721927e-01 	4.694028e-01 	4.071317e-01 	1.656362e-01 	 
1.561127e-01 	9.951660e-02 	1.141645e-01 	1.797659e-01 	2.517026e-01 	2.963341e-01 	3.849563e-01 	1.496445e-01 	3.485287e-01 	4.737564e-01 	4.085450e-01 	1.410704e-01 	 
1.718292e-01 	9.913265e-02 	1.128293e-01 	1.782981e-01 	2.714494e-01 	2.352466e-01 	4.105631e-01 	2.058979e-01 	2.650445e-01 	4.674464e-01 	4.173529e-01 	1.251648e-01 	 
1.873779e-01 	9.875667e-02 	1.115992e-01 	1.784741e-01 	2.806025e-01 	1.523838e-01 	4.155015e-01 	2.806586e-01 	2.028927e-01 	4.558815e-01 	4.493755e-01 	1.272620e-01 	 
2.030945e-01 	9.843048e-02 	1.105306e-01 	1.792090e-01 	2.722224e-01 	1.180563e-01 	4.018854e-01 	3.193799e-01 	2.620315e-01 	4.256292e-01 	4.745274e-01 	1.433127e-01 	 
2.186584e-01 	9.818536e-02 	1.096752e-01 	1.792946e-01 	2.496716e-01 	1.732798e-01 	3.727103e-01 	3.341580e-01 	2.376244e-01 	3.767220e-01 	4.672323e-01 	1.667867e-01 	 
2.342072e-01 	9.801397e-02 	1.090292e-01 	1.780734e-01 	2.288448e-01 	2.682032e-01 	2.660764e-01 	3.598650e-01 	-3.372849e-02 	3.279041e-01 	4.507891e-01 	1.979561e-01 	 
2.499390e-01 	9.791457e-02 	1.085362e-01 	1.756892e-01 	2.236375e-01 	3.358114e-01 	8.291215e-02 	3.905942e-01 	-2.121087e-01 	2.806822e-01 	4.431603e-01 	2.393354e-01 	 
2.655029e-01 	9.787560e-02 	1.081184e-01 	1.730977e-01 	2.336821e-01 	3.639570e-01 	2.416024e-02 	4.031269e-01 	-1.269073e-01 	2.398646e-01 	4.357186e-01 	2.778979e-01 	 
2.812347e-01 	9.786429e-02 	1.077193e-01 	1.711958e-01 	2.483950e-01 	3.619740e-01 	1.456342e-02 	4.217349e-01 	2.248926e-03 	2.147345e-01 	4.056089e-01 	3.039221e-01 	 
2.967834e-01 	9.785316e-02 	1.073043e-01 	1.702373e-01 	2.572406e-01 	3.117301e-01 	6.165076e-02 	4.224260e-01 	1.091849e-01 	1.891630e-01 	4.028386e-01 	3.309860e-01 	 
3.123474e-01 	9.781799e-02 	1.067779e-01 	1.698232e-01 	2.544420e-01 	1.857440e-01 	1.931305e-01 	2.682050e-01 	2.125541e-01 	2.098422e-01 	4.205934e-01 	3.624843e-01 	 
3.280792e-01 	9.771198e-02 	1.061790e-01 	1.692285e-01 	2.400931e-01 	9.843777e-02 	2.979340e-01 	1.228283e-01 	2.703741e-01 	2.163509e-01 	3.319262e-01 	3.632049e-01 	 
3.436432e-01 	9.754563e-02 	1.055618e-01 	1.678774e-01 	2.238132e-01 	1.547548e-01 	3.589344e-01 	1.354489e-01 	2.834699e-01 	1.577776e-01 	2.208507e-01 	3.251471e-01 	 
3.593750e-01 	9.733856e-02 	1.049049e-01 	1.657689e-01 	2.168576e-01 	2.434889e-01 	4.010072e-01 	1.619349e-01 	2.834413e-01 	1.161137e-01 	2.160593e-01 	3.110750e-01 	 
3.749237e-01 	9.710430e-02 	1.042379e-01 	1.633255e-01 	2.219559e-01 	2.902799e-01 	3.301071e-01 	2.522787e-01 	2.987249e-01 	9.205640e-02 	2.376615e-01 	3.412822e-01 	 
3.904877e-01 	9.685582e-02 	1.034523e-01 	1.609603e-01 	2.319105e-01 	2.832741e-01 	1.974603e-01 	3.519116e-01 	2.771913e-01 	1.084954e-01 	2.215307e-01 	3.776377e-01 	 
4.062195e-01 	9.655245e-02 	1.024022e-01 	1.589100e-01 	2.374420e-01 	2.247387e-01 	1.610706e-01 	3.834357e-01 	2.420655e-01 	2.101594e-01 	1.868146e-01 	4.072005e-01 	 
4.217682e-01 	9.613483e-02 	1.010669e-01 	1.571392e-01 	2.326972e-01 	1.529159e-01 	1.651161e-01 	4.134293e-01 	2.294771e-01 	2.906438e-01 	1.826278e-01 	4.097653e-01 	 
4.373322e-01 	9.556665e-02 	9.950703e-02 	1.552875e-01 	2.182316e-01 	1.249208e-01 	1.833707e-01 	4.381078e-01 	1.842422e-01 	2.977093e-01 	2.007937e-01 	4.090418e-01 	 
4.530487e-01 	9.486721e-02 	9.782101e-02 	1.529362e-01 	2.010836e-01 	1.557876e-01 	2.055373e-01 	3.961188e-01 	1.762435e-01 	2.919928e-01 	2.047869e-01 	3.915008e-01 	 
4.686127e-01 	9.412074e-02 	9.615094e-02 	1.500040e-01 	1.910971e-01 	2.098845e-01 	2.370729e-01 	3.110139e-01 	2.138937e-01 	2.757705e-01 	1.871702e-01 	3.244431e-01 	 
4.843445e-01 	9.338016e-02 	9.452001e-02 	1.465663e-01 	1.921857e-01 	2.516018e-01 	2.589346e-01 	3.320433e-01 	2.669379e-01 	2.644754e-01 	1.524877e-01 	2.666019e-01 	 
4.999084e-01 	9.270553e-02 	9.292705e-02 	1.431119e-01 	2.007130e-01 	2.606533e-01 	2.182869e-01 	3.364497e-01 	3.330416e-01 	2.831366e-01 	1.226431e-01 	2.312186e-01 	 
5.154724e-01 	9.207175e-02 	9.135289e-02 	1.400340e-01 	2.092943e-01 	2.311310e-01 	1.222586e-01 	3.141544e-01 	4.097434e-01 	3.269386e-01 	1.249324e-01 	2.179101e-01 	 
5.312042e-01 	9.145337e-02 	8.982469e-02 	1.373776e-01 	2.114068e-01 	1.735817e-01 	7.907625e-02 	2.487816e-01 	4.379371e-01 	3.642057e-01 	1.975001e-01 	2.238733e-01 	 
5.467682e-01 	9.087443e-02 	8.835776e-02 	1.348230e-01 	2.041890e-01 	1.200305e-01 	1.290929e-01 	1.590860e-01 	4.025223e-01 	3.719355e-01 	2.910827e-01 	2.231658e-01 	 
5.623474e-01 	9.033308e-02 	8.685112e-02 	1.319163e-01 	1.897910e-01 	9.860227e-02 	2.121315e-01 	1.026030e-01 	3.794699e-01 	3.534352e-01 	3.354008e-01 	1.959603e-01 	 
5.780792e-01 	8.979637e-02 	8.525592e-02 	1.284442e-01 	1.739170e-01 	1.158191e-01 	2.693678e-01 	1.148109e-01 	3.748743e-01 	3.147409e-01 	3.437405e-01 	1.505664e-01 	 
5.936584e-01 	8.925673e-02 	8.362942e-02 	1.245917e-01 	1.632321e-01 	1.570390e-01 	2.832665e-01 	1.494297e-01 	3.722183e-01 	2.794077e-01 	3.519199e-01 	1.118826e-01 	 
6.092224e-01 	8.870736e-02 	8.198697e-02 	1.206024e-01 	1.604837e-01 	2.019991e-01 	2.572049e-01 	1.415810e-01 	3.437213e-01 	2.751180e-01 	3.640181e-01 	9.804879e-02 	 
6.249695e-01 	8.813811e-02 	8.034950e-02 	1.166442e-01 	1.640904e-01 	2.320159e-01 	1.762542e-01 	1.030939e-01 	2.448557e-01 	2.903006e-01 	3.772122e-01 	1.040249e-01 	 
6.405487e-01 	8.755428e-02 	7.876538e-02 	1.127804e-01 	1.693511e-01 	2.323996e-01 	5.415058e-02 	1.017229e-01 	1.021718e-01 	3.033228e-01 	3.871144e-01 	1.062779e-01 	 
6.561279e-01 	8.694106e-02 	7.718287e-02 	1.088577e-01 	1.712683e-01 	2.011122e-01 	1.445226e-02 	1.715996e-01 	5.961084e-02 	3.058389e-01 	3.887978e-01 	1.024918e-01 	 
6.717072e-01 	8.629303e-02 	7.557044e-02 	1.047003e-01 	1.665113e-01 	1.515096e-01 	8.659080e-02 	2.679896e-01 	8.553270e-02 	3.009782e-01 	3.889261e-01 	1.132772e-01 	 
6.874542e-01 	8.562003e-02 	7.381739e-02 	1.002412e-01 	1.545300e-01 	1.062403e-01 	1.654065e-01 	3.305810e-01 	7.994911e-02 	2.974488e-01 	3.945033e-01 	1.528538e-01 	 
7.030334e-01 	8.491481e-02 	7.194076e-02 	9.588552e-02 	1.381862e-01 	8.264600e-02 	2.221898e-01 	3.244445e-01 	1.288453e-01 	3.059727e-01 	3.859324e-01 	2.169399e-01 	 
7.186127e-01 	8.415011e-02 	6.998026e-02 	9.193382e-02 	1.217546e-01 	8.247225e-02 	2.564789e-01 	2.285052e-01 	2.486462e-01 	3.327249e-01 	3.281883e-01 	2.862765e-01 	 
7.343597e-01 	8.334142e-02 	6.788877e-02 	8.834684e-02 	1.094026e-01 	9.906308e-02 	2.663065e-01 	1.356583e-01 	2.831598e-01 	3.444379e-01 	1.666548e-01 	3.382334e-01 	 
