x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	
0.000000e+00 	2.955886e-01 	2.804986e-01 	3.425199e-01 	3.390835e-01 	2.346033e-01 	1.516908e-01 	1.906441e-01 	1.630847e-01 	1.448731e-01 	8.668344e-02 	2.943700e-03 	 
1.554871e-02 	2.953018e-01 	2.791272e-01 	3.389170e-01 	3.421065e-01 	2.351145e-01 	1.386763e-01 	1.805775e-01 	1.557197e-01 	1.740660e-01 	6.755145e-02 	8.091020e-02 	 
3.108215e-02 	2.948430e-01 	2.774965e-01 	3.344660e-01 	3.377222e-01 	2.442822e-01 	1.033148e-01 	1.577173e-01 	1.652322e-01 	1.609759e-01 	2.908577e-02 	1.358839e-01 	 
4.679871e-02 	2.942010e-01 	2.756690e-01 	3.306082e-01 	3.382377e-01 	2.547741e-01 	6.778900e-02 	1.329949e-01 	1.787076e-01 	1.490889e-01 	1.099235e-02 	1.354867e-01 	 
6.234741e-02 	2.934417e-01 	2.737445e-01 	3.284334e-01 	3.512171e-01 	2.725353e-01 	9.235123e-02 	1.271770e-01 	1.957305e-01 	1.220492e-01 	2.240051e-02 	1.271631e-01 	 
7.804871e-02 	2.925826e-01 	2.717674e-01 	3.279939e-01 	3.591059e-01 	2.985258e-01 	1.534411e-01 	1.596977e-01 	2.171451e-01 	1.097383e-01 	3.915847e-02 	1.281272e-01 	 
9.359741e-02 	2.916910e-01 	2.698869e-01 	3.284593e-01 	3.520156e-01 	3.265264e-01 	1.819624e-01 	2.066083e-01 	2.180628e-01 	1.120655e-01 	6.127486e-02 	1.342700e-01 	 
1.093140e-01 	2.908115e-01 	2.681246e-01 	3.285060e-01 	3.392689e-01 	3.360434e-01 	1.806599e-01 	2.289311e-01 	1.902860e-01 	9.883016e-02 	7.425395e-02 	1.367415e-01 	 
1.248474e-01 	2.900079e-01 	2.664959e-01 	3.271249e-01 	3.348635e-01 	3.099110e-01 	1.925667e-01 	2.730415e-01 	1.648524e-01 	8.742407e-02 	6.427434e-02 	1.381584e-01 	 
1.405640e-01 	2.892827e-01 	2.648363e-01 	3.242383e-01 	3.383802e-01 	2.643487e-01 	2.188337e-01 	3.132920e-01 	1.514468e-01 	8.452672e-02 	6.003878e-02 	1.540413e-01 	 
1.561127e-01 	2.886054e-01 	2.630590e-01 	3.208274e-01 	3.406516e-01 	2.425972e-01 	2.418841e-01 	2.924268e-01 	1.505157e-01 	8.316028e-02 	6.602719e-02 	1.809290e-01 	 
1.718292e-01 	2.879104e-01 	2.611434e-01 	3.179859e-01 	3.401701e-01 	2.413214e-01 	2.777049e-01 	2.315640e-01 	1.911272e-01 	8.641364e-02 	5.368704e-02 	1.938368e-01 	 
1.873779e-01 	2.872321e-01 	2.592594e-01 	3.163504e-01 	3.415385e-01 	2.255130e-01 	3.013686e-01 	1.889049e-01 	2.304551e-01 	8.934682e-02 	3.255344e-02 	1.780576e-01 	 
2.030945e-01 	2.866275e-01 	2.574962e-01 	3.155740e-01 	3.450171e-01 	1.969448e-01 	2.932712e-01 	1.836133e-01 	1.872028e-01 	8.795069e-02 	3.322584e-02 	1.398999e-01 	 
2.186584e-01 	2.861635e-01 	2.559677e-01 	3.148966e-01 	3.443300e-01 	2.151327e-01 	2.664218e-01 	1.816324e-01 	9.008601e-02 	8.523442e-02 	3.968897e-02 	9.630654e-02 	 
2.342072e-01 	2.858281e-01 	2.547158e-01 	3.136266e-01 	3.384680e-01 	2.687671e-01 	2.492435e-01 	1.822608e-01 	9.227071e-02 	8.899360e-02 	3.749611e-02 	6.137684e-02 	 
2.499390e-01 	2.856149e-01 	2.537439e-01 	3.114743e-01 	3.339756e-01 	2.783603e-01 	2.818896e-01 	1.920503e-01 	1.896189e-01 	8.658370e-02 	3.522660e-02 	4.418543e-02 	 
2.655029e-01 	2.855158e-01 	2.529928e-01 	3.088179e-01 	3.336600e-01 	2.660054e-01 	3.095740e-01 	1.809569e-01 	2.506477e-01 	6.833165e-02 	3.739605e-02 	4.308016e-02 	 
2.812347e-01 	2.854890e-01 	2.523401e-01 	3.063201e-01 	3.348528e-01 	2.698426e-01 	2.813372e-01 	1.392164e-01 	2.864941e-01 	1.859010e-02 	3.898699e-02 	4.098757e-02 	 
2.967834e-01 	2.854840e-01 	2.517196e-01 	3.045040e-01 	3.364214e-01 	2.906518e-01 	2.316096e-01 	8.724562e-02 	2.357284e-01 	-3.139828e-02 	3.390336e-02 	2.954639e-02 	 
3.123474e-01 	2.854564e-01 	2.510024e-01 	3.032996e-01 	3.370620e-01 	3.042347e-01 	2.131556e-01 	9.306577e-02 	1.576049e-01 	-7.115248e-02 	3.653432e-02 	1.513503e-02 	 
3.280792e-01 	2.853287e-01 	2.501516e-01 	3.022816e-01 	3.336674e-01 	2.532159e-01 	2.095107e-01 	1.794227e-01 	1.307248e-01 	-1.034805e-01 	6.199083e-02 	-8.452429e-04 	 
3.436432e-01 	2.850844e-01 	2.492272e-01 	3.008952e-01 	3.260524e-01 	2.165249e-01 	1.884055e-01 	1.930436e-01 	1.257868e-01 	-6.663688e-02 	6.335990e-02 	-1.205570e-02 	 
3.593750e-01 	2.847448e-01 	2.482197e-01 	2.988104e-01 	3.189145e-01 	2.456418e-01 	1.743450e-01 	2.240664e-01 	1.034503e-01 	1.624194e-02 	1.990367e-02 	-5.015708e-03 	 
3.749237e-01 	2.843448e-01 	2.471757e-01 	2.961608e-01 	3.168931e-01 	2.678573e-01 	1.812625e-01 	2.881751e-01 	5.420097e-02 	7.119580e-02 	-1.199410e-02 	1.067188e-02 	 
3.904877e-01 	2.839132e-01 	2.459995e-01 	2.932057e-01 	3.183935e-01 	2.662198e-01 	2.058331e-01 	2.917394e-01 	-2.332744e-02 	9.354988e-02 	-4.288612e-02 	1.279381e-03 	 
4.062195e-01 	2.833992e-01 	2.444765e-01 	2.901967e-01 	3.198400e-01 	2.573415e-01 	2.203379e-01 	2.428285e-01 	-5.360353e-02 	1.236941e-01 	-5.660484e-02 	-4.502198e-02 	 
4.217682e-01 	2.827021e-01 	2.424796e-01 	2.873168e-01 	3.187258e-01 	2.393490e-01 	2.459432e-01 	1.995685e-01 	-9.306467e-03 	1.887545e-01 	-5.209183e-02 	-9.278072e-02 	 
4.373322e-01 	2.817470e-01 	2.399867e-01 	2.844064e-01 	3.129442e-01 	2.149456e-01 	2.555216e-01 	1.723440e-01 	1.102153e-01 	2.292879e-01 	-6.798747e-02 	-7.817359e-02 	 
4.530487e-01 	2.805420e-01 	2.370841e-01 	2.811210e-01 	3.026644e-01 	2.057019e-01 	2.284913e-01 	1.658512e-01 	2.062733e-01 	2.306367e-01 	-7.181741e-02 	2.133356e-02 	 
4.686127e-01 	2.792077e-01 	2.340000e-01 	2.772793e-01 	2.923192e-01 	2.193271e-01 	1.733563e-01 	2.150324e-01 	2.220694e-01 	1.995374e-01 	-3.077378e-02 	1.024343e-01 	 
4.843445e-01 	2.778280e-01 	2.308280e-01 	2.727450e-01 	2.866876e-01 	2.307387e-01 	1.204628e-01 	2.363005e-01 	1.988660e-01 	1.582381e-01 	3.354237e-02 	1.263922e-01 	 
4.999084e-01 	2.765213e-01 	2.276703e-01 	2.678259e-01 	2.866288e-01 	2.288628e-01 	1.185588e-01 	2.427103e-01 	1.462716e-01 	1.181362e-01 	9.537008e-02 	1.166575e-01 	 
5.154724e-01 	2.752731e-01 	2.244877e-01 	2.628917e-01 	2.885936e-01 	2.232499e-01 	1.767174e-01 	2.352833e-01 	9.870794e-02 	7.297318e-02 	1.326740e-01 	8.374345e-02 	 
5.312042e-01 	2.740405e-01 	2.212919e-01 	2.582332e-01 	2.890200e-01 	2.172346e-01 	2.078371e-01 	2.334310e-01 	7.818460e-02 	5.716059e-02 	1.172386e-01 	3.174238e-02 	 
5.467682e-01 	2.728687e-01 	2.181882e-01 	2.538681e-01 	2.857696e-01 	2.094721e-01 	1.955044e-01 	2.371306e-01 	1.244843e-01 	9.034882e-02 	6.333444e-02 	-1.705856e-02 	 
5.623474e-01 	2.717790e-01 	2.150726e-01 	2.493822e-01 	2.780094e-01 	1.982855e-01 	1.880769e-01 	2.249974e-01 	1.621820e-01 	1.522024e-01 	3.765645e-02 	-4.745457e-02 	 
5.780792e-01 	2.707277e-01 	2.118278e-01 	2.444107e-01 	2.667281e-01 	1.873681e-01 	1.816416e-01 	1.927709e-01 	1.470414e-01 	2.202430e-01 	5.677559e-02 	-5.957902e-02 	 
5.936584e-01 	2.696886e-01 	2.085181e-01 	2.389459e-01 	2.552179e-01 	1.845158e-01 	1.642905e-01 	1.664209e-01 	1.040435e-01 	2.670698e-01 	9.247370e-02 	-5.911699e-02 	 
6.092224e-01 	2.686232e-01 	2.051322e-01 	2.330285e-01 	2.467053e-01 	1.885804e-01 	1.455896e-01 	1.559613e-01 	6.192181e-02 	2.659670e-01 	1.152548e-01 	-5.462849e-02 	 
6.249695e-01 	2.675070e-01 	2.016758e-01 	2.267874e-01 	2.425999e-01 	1.905060e-01 	1.427628e-01 	1.436754e-01 	5.853551e-02 	2.310748e-01 	1.120873e-01 	-4.354640e-02 	 
6.405487e-01 	2.663541e-01 	1.982560e-01 	2.204623e-01 	2.414855e-01 	1.875410e-01 	1.736395e-01 	1.325097e-01 	1.289545e-01 	1.985294e-01 	9.397439e-02 	-1.047884e-02 	 
6.561279e-01 	2.651430e-01 	1.948237e-01 	2.139597e-01 	2.402145e-01 	1.845079e-01 	2.059293e-01 	1.443986e-01 	2.147479e-01 	1.746086e-01 	7.218211e-02 	2.979348e-02 	 
6.717072e-01 	2.638584e-01 	1.913850e-01 	2.071678e-01 	2.360495e-01 	1.818966e-01 	1.926938e-01 	1.653873e-01 	2.527064e-01 	1.431872e-01 	4.675759e-02 	3.631410e-02 	 
6.874542e-01 	2.625076e-01 	1.878284e-01 	1.999623e-01 	2.274089e-01 	1.768567e-01 	1.903685e-01 	1.454731e-01 	2.474092e-01 	9.632036e-02 	1.466349e-02 	7.495344e-03 	 
7.030334e-01 	2.610907e-01 	1.841035e-01 	1.927615e-01 	2.145053e-01 	1.670059e-01 	2.034605e-01 	8.723708e-02 	2.251224e-01 	4.096672e-02 	-2.114162e-02 	-1.708574e-02 	 
7.186127e-01 	2.595525e-01 	1.801011e-01 	1.858285e-01 	1.987683e-01 	1.537679e-01 	1.975178e-01 	7.723901e-02 	1.968181e-01 	-2.906086e-02 	-3.740550e-02 	-1.303519e-02 	 
7.343597e-01 	2.579119e-01 	1.757628e-01 	1.790642e-01 	1.825293e-01 	1.418274e-01 	1.764730e-01 	1.372464e-01 	1.199310e-01 	-7.997986e-02 	6.010940e-02 	1.037918e-02 	 
7.499390e-01 	2.562539e-01 	1.711895e-01 	1.722024e-01 	1.688992e-01 	1.335627e-01 	1.591173e-01 	1.833434e-01 	1.433761e-01 	-8.152457e-02 	2.554033e-01 	3.223110e-02 	 
7.655029e-01 	2.545526e-01 	1.663478e-01 	1.645968e-01 	1.596442e-01 	1.261809e-01 	1.552964e-01 	2.149219e-01 	1.627791e-01 	7.314296e-03 	3.453384e-01 	4.429878e-02 	 
7.810822e-01 	2.527809e-01 	1.611934e-01 	1.556580e-01 	1.549850e-01 	1.168754e-01 	1.659567e-01 	2.428173e-01 	1.147748e-01 	1.807304e-01 	3.215345e-01 	4.130168e-02 	 
7.968292e-01 	2.508717e-01 	1.556216e-01 	1.449337e-01 	1.533291e-01 	1.052046e-01 	1.829737e-01 	2.355307e-01 	6.273755e-02 	2.392597e-01 	2.561963e-01 	2.569230e-02 	 
8.124084e-01 	2.488210e-01 	1.497731e-01 	1.329108e-01 	1.521838e-01 	9.187359e-02 	1.914503e-01 	2.022437e-01 	3.372553e-02 	1.977585e-01 	1.914211e-01 	1.307358e-02 	 
8.279877e-01 	2.466209e-01 	1.436307e-01 	1.204155e-01 	1.491162e-01 	7.703874e-02 	1.835287e-01 	1.771951e-01 	3.111807e-02 	1.751188e-01 	1.350898e-01 	-5.502693e-03 	 
