x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	
0.000000e+00 	6.891200e-01 	6.879413e-01 	6.879693e-01 	6.977111e-01 	6.764499e-01 	7.004444e-01 	6.667384e-01 	7.019476e-01 	6.582290e-01 	6.825858e-01 	6.749710e-01 	6.739562e-01 	6.611871e-01 	6.357641e-01 	6.797672e-01 	6.908028e-01 	6.925750e-01 	 
1.554871e-02 	6.890362e-01 	6.878347e-01 	6.894313e-01 	6.947942e-01 	6.727840e-01 	6.949698e-01 	6.780952e-01 	7.001126e-01 	6.566588e-01 	6.823189e-01 	6.735745e-01 	6.766531e-01 	6.646965e-01 	6.403565e-01 	6.832868e-01 	6.888820e-01 	6.900836e-01 	 
3.108215e-02 	6.889507e-01 	6.877543e-01 	6.898476e-01 	6.872916e-01 	6.721653e-01 	6.897655e-01 	6.888078e-01 	6.958408e-01 	6.575167e-01 	6.815038e-01 	6.736529e-01 	6.801960e-01 	6.673231e-01 	6.501865e-01 	6.860520e-01 	6.873430e-01 	6.881428e-01 	 
4.679871e-02 	6.888744e-01 	6.877012e-01 	6.890152e-01 	6.780027e-01 	6.761237e-01 	6.850479e-01 	6.981862e-01 	6.878683e-01 	6.627652e-01 	6.805785e-01 	6.743631e-01 	6.839764e-01 	6.687117e-01 	6.609885e-01 	6.879576e-01 	6.865164e-01 	6.873124e-01 	 
6.234741e-02 	6.888165e-01 	6.876734e-01 	6.871734e-01 	6.712757e-01 	6.836203e-01 	6.789739e-01 	7.043816e-01 	6.746472e-01 	6.721281e-01 	6.805037e-01 	6.752751e-01 	6.876547e-01 	6.696175e-01 	6.689482e-01 	6.890993e-01 	6.862653e-01 	6.878169e-01 	 
7.804871e-02 	6.887715e-01 	6.876644e-01 	6.849500e-01 	6.705614e-01 	6.922232e-01 	6.707283e-01 	7.060661e-01 	6.543429e-01 	6.830445e-01 	6.808438e-01 	6.769018e-01 	6.911888e-01 	6.707391e-01 	6.732332e-01 	6.899712e-01 	6.862379e-01 	6.893206e-01 	 
9.359741e-02 	6.887336e-01 	6.876827e-01 	6.832638e-01 	6.763633e-01 	6.991780e-01 	6.607484e-01 	7.054231e-01 	6.312517e-01 	6.914708e-01 	6.798096e-01 	6.797394e-01 	6.940727e-01 	6.717138e-01 	6.749954e-01 	6.910653e-01 	6.862178e-01 	6.912342e-01 	 
1.093140e-01 	6.887236e-01 	6.877492e-01 	6.827897e-01 	6.852536e-01 	7.024987e-01 	6.496455e-01 	7.054977e-01 	6.213425e-01 	6.952230e-01 	6.768836e-01 	6.832809e-01 	6.959199e-01 	6.722795e-01 	6.756759e-01 	6.923748e-01 	6.861722e-01 	6.931581e-01 	 
1.248474e-01 	6.887792e-01 	6.878515e-01 	6.837370e-01 	6.928871e-01 	7.003118e-01 	6.389784e-01 	7.060286e-01 	6.309584e-01 	6.951555e-01 	6.726024e-01 	6.861712e-01 	6.965935e-01 	6.725906e-01 	6.758851e-01 	6.934133e-01 	6.861787e-01 	6.949106e-01 	 
1.405640e-01 	6.888981e-01 	6.879347e-01 	6.856961e-01 	6.973923e-01 	6.924160e-01 	6.338295e-01 	7.062700e-01 	6.498430e-01 	6.936830e-01 	6.674926e-01 	6.874804e-01 	6.962835e-01 	6.726859e-01 	6.755674e-01 	6.939282e-01 	6.862468e-01 	6.964978e-01 	 
