x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	
0.000000e+00 	5.177010e-02 	6.042698e-02 	4.985728e-03 	4.540637e-02 	1.543574e-01 	1.877099e-01 	-1.548526e-01 	1.247669e-01 	3.942905e-04 	3.498467e-01 	1.709079e-01 	2.011193e-01 	1.786297e-01 	3.263195e-01 	1.656294e-01 	1.763279e-01 	2.260505e-01 	 
1.554871e-02 	5.184368e-02 	6.049517e-02 	1.086143e-02 	8.879416e-02 	1.086541e-01 	2.233331e-01 	-1.169998e-01 	1.517883e-01 	-1.802717e-03 	3.424656e-01 	1.745114e-01 	2.435135e-01 	1.686369e-01 	3.383397e-01 	1.840008e-01 	1.870373e-01 	2.291222e-01 	 
3.108215e-02 	5.194248e-02 	6.047265e-02 	2.174968e-02 	1.127934e-01 	5.309641e-02 	2.593472e-01 	-6.144882e-02 	1.789140e-01 	-1.291533e-02 	3.301435e-01 	1.846258e-01 	2.647289e-01 	1.633725e-01 	3.503694e-01 	2.011069e-01 	1.989539e-01 	2.245505e-01 	 
4.679871e-02 	5.206246e-02 	6.040029e-02 	3.362755e-02 	1.059485e-01 	7.596008e-03 	2.868991e-01 	-1.380947e-02 	1.987721e-01 	-3.535753e-02 	3.091697e-01 	2.006714e-01 	2.645371e-01 	1.534600e-01 	3.562374e-01 	2.131960e-01 	2.100969e-01 	2.148237e-01 	 
6.234741e-02 	5.219676e-02 	6.032029e-02 	4.219618e-02 	6.598551e-02 	-1.427927e-02 	3.007001e-01 	1.255183e-02 	2.018521e-01 	-5.473912e-02 	2.826778e-01 	2.198601e-01 	2.543598e-01 	1.397710e-01 	3.526741e-01 	2.204606e-01 	2.183917e-01 	2.046601e-01 	 
7.804871e-02 	5.234339e-02 	6.026306e-02 	4.464199e-02 	7.913906e-03 	-7.175311e-03 	3.047632e-01 	2.500172e-02 	1.681361e-01 	-5.202146e-02 	2.556780e-01 	2.395724e-01 	2.460579e-01 	1.249126e-01 	3.426715e-01 	2.253993e-01 	2.227474e-01 	1.972778e-01 	 
9.359741e-02 	5.248275e-02 	6.025384e-02 	3.962711e-02 	-3.811485e-02 	3.146075e-02 	2.969297e-01 	3.846938e-02 	7.830109e-02 	-1.890641e-02 	2.255524e-01 	2.583805e-01 	2.446943e-01 	1.113954e-01 	3.301075e-01 	2.291721e-01 	2.225637e-01 	1.937040e-01 	 
1.093140e-01 	5.259141e-02 	6.030364e-02 	2.833794e-02 	-5.090938e-02 	9.384217e-02 	2.759071e-01 	6.278729e-02 	-3.736077e-02 	3.147797e-02 	1.884609e-01 	2.766039e-01 	2.495604e-01 	1.032525e-01 	3.132301e-01 	2.312592e-01 	2.179766e-01 	1.930861e-01 	 
1.248474e-01 	5.264565e-02 	6.041173e-02 	1.509321e-02 	-2.729877e-02 	1.541107e-01 	2.371859e-01 	9.419281e-02 	-1.112346e-01 	7.105032e-02 	1.504551e-01 	2.929420e-01 	2.581288e-01 	1.036919e-01 	2.884045e-01 	2.299725e-01 	2.096363e-01 	1.944486e-01 	 
1.405640e-01 	5.265004e-02 	6.057203e-02 	5.022166e-03 	2.120091e-02 	1.886921e-01 	1.404895e-01 	1.260782e-01 	-1.365590e-01 	8.424702e-02 	1.160785e-01 	3.057503e-01 	2.686404e-01 	1.097743e-01 	2.555247e-01 	2.241290e-01 	1.984136e-01 	1.974220e-01 	 
1.561127e-01 	5.263548e-02 	6.074130e-02 	2.358749e-03 	7.477091e-02 	1.821059e-01 	1.165534e-02 	1.573073e-01 	-1.340261e-01 	7.688845e-02 	8.847509e-02 	3.124655e-01 	2.811647e-01 	1.156009e-01 	2.214069e-01 	2.142458e-01 	1.864529e-01 	2.022604e-01 	 
1.718292e-01 	5.263147e-02 	6.086603e-02 	7.779720e-03 	1.166931e-01 	1.352185e-01 	-2.726006e-02 	1.904958e-01 	-1.112146e-01 	6.629299e-02 	6.887533e-02 	3.106694e-01 	2.984287e-01 	1.211686e-01 	1.916805e-01 	2.018432e-01 	1.758725e-01 	2.094079e-01 	 
1.873779e-01 	5.264979e-02 	6.091417e-02 	1.851129e-02 	1.324027e-01 	7.780521e-02 	1.115767e-02 	2.203629e-01 	-7.405867e-02 	5.862921e-02 	5.779506e-02 	2.991072e-01 	3.202029e-01 	1.331546e-01 	1.688418e-01 	1.898114e-01 	1.684027e-01 	2.179496e-01 	 
2.030945e-01 	5.268499e-02 	6.087375e-02 	3.039114e-02 	1.115844e-01 	4.438651e-02 	7.527958e-02 	2.412026e-01 	-3.373758e-02 	5.640952e-02 	5.243962e-02 	2.795437e-01 	3.427280e-01 	1.550829e-01 	1.502352e-01 	1.812995e-01 	1.636477e-01 	2.256851e-01 	 
2.186584e-01 	5.270308e-02 	6.078696e-02 	3.905638e-02 	5.735078e-02 	4.059347e-02 	1.351707e-01 	2.514931e-01 	-2.252699e-03 	3.758258e-02 	4.955668e-02 	2.579407e-01 	3.621117e-01 	1.804636e-01 	1.333638e-01 	1.793065e-01 	1.601066e-01 	2.296275e-01 	 
2.342072e-01 	5.267560e-02 	6.073907e-02 	4.167851e-02 	-6.062132e-03 	5.654796e-02 	1.729900e-01 	2.394240e-01 	1.942697e-02 	-6.926818e-03 	4.710313e-02 	2.391216e-01 	3.790439e-01 	2.032843e-01 	1.169424e-01 	1.836706e-01 	1.560194e-01 	2.286963e-01 	 
2.499390e-01 	5.260250e-02 	6.077961e-02 	3.675322e-02 	-4.767792e-02 	9.368530e-02 	1.802273e-01 	2.127716e-01 	3.854658e-02 	-5.780195e-02 	4.679774e-02 	2.219730e-01 	3.943962e-01 	2.214663e-01 	1.019676e-01 	1.905671e-01 	1.506099e-01 	2.242256e-01 	 
