x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	
0.000000e+00 	1.983943e-01 	1.785115e-01 	4.591763e-02 	4.712235e-02 	1.687309e-01 	1.049738e-01 	1.262556e-01 	7.805569e-02 	5.813258e-02 	1.106821e-01 	3.444678e-02 	2.838994e-01 	1.561051e-01 	-4.454247e-02 	1.217389e-01 	2.609557e-03 	6.766021e-02 	 
1.554871e-02 	1.986295e-01 	1.789993e-01 	3.899333e-02 	6.508657e-02 	1.495192e-01 	1.687560e-01 	1.518792e-01 	6.512802e-02 	7.328666e-02 	1.062499e-01 	6.465421e-02 	2.598643e-01 	1.737694e-01 	-2.191692e-02 	1.256240e-01 	-9.318702e-03 	8.320437e-02 	 
3.108215e-02 	1.989198e-01 	1.791915e-01 	3.959303e-02 	8.796072e-02 	1.386975e-01 	2.163863e-01 	1.554125e-01 	3.865512e-02 	1.087601e-01 	9.726605e-02 	9.771077e-02 	2.356695e-01 	1.657293e-01 	8.844538e-05 	1.186619e-01 	-1.565162e-02 	9.898672e-02 	 
4.679871e-02 	1.992593e-01 	1.791295e-01 	4.858403e-02 	9.800445e-02 	1.379648e-01 	2.136549e-01 	1.415170e-01 	2.525815e-05 	1.486871e-01 	8.105559e-02 	1.329634e-01 	2.184107e-01 	1.513675e-01 	5.996263e-03 	1.121069e-01 	-1.770765e-02 	1.126936e-01 	 
6.234741e-02 	1.996267e-01 	1.789326e-01 	6.240907e-02 	9.602858e-02 	1.400769e-01 	1.918335e-01 	1.216023e-01 	-4.977525e-02 	1.780367e-01 	7.569028e-02 	1.710306e-01 	2.059611e-01 	1.482865e-01 	-3.016777e-03 	1.126075e-01 	-1.788572e-02 	1.217789e-01 	 
7.804871e-02 	2.000248e-01 	1.787375e-01 	7.516313e-02 	9.086958e-02 	1.323454e-01 	1.785331e-01 	1.056254e-01 	-1.057712e-01 	1.861724e-01 	8.793069e-02 	2.101070e-01 	1.912861e-01 	1.553470e-01 	-1.435436e-02 	1.179287e-01 	-1.823882e-02 	1.256227e-01 	 
9.359741e-02 	2.004301e-01 	1.786518e-01 	8.154491e-02 	8.696813e-02 	1.148537e-01 	1.704819e-01 	9.849677e-02 	-1.311852e-01 	1.695432e-01 	1.027709e-01 	2.391441e-01 	1.725992e-01 	1.611814e-01 	-1.666625e-02 	1.213008e-01 	-1.960488e-02 	1.251377e-01 	 
1.093140e-01 	2.007995e-01 	1.787218e-01 	7.993419e-02 	8.062918e-02 	1.077953e-01 	1.662584e-01 	1.041326e-01 	-9.015452e-02 	1.374155e-01 	1.045259e-01 	2.486854e-01 	1.536276e-01 	1.602598e-01 	-8.054325e-03 	1.183385e-01 	-2.182531e-02 	1.221376e-01 	 
1.248474e-01 	2.010614e-01 	1.789489e-01 	7.128695e-02 	6.579846e-02 	1.174576e-01 	1.806663e-01 	1.167260e-01 	-1.541681e-02 	1.060363e-01 	9.215324e-02 	2.387336e-01 	1.399178e-01 	1.553585e-01 	5.416264e-03 	1.096463e-01 	-2.380049e-02 	1.180523e-01 	 
1.405640e-01 	2.011952e-01 	1.793224e-01 	5.820894e-02 	5.129395e-02 	1.210364e-01 	2.367386e-01 	1.181654e-01 	4.460505e-02 	8.129254e-02 	7.225969e-02 	2.176101e-01 	1.332857e-01 	1.494884e-01 	1.669772e-02 	9.802353e-02 	-2.374125e-02 	1.133616e-01 	 
1.561127e-01 	2.012391e-01 	1.797802e-01 	4.507485e-02 	6.076543e-02 	1.115480e-01 	3.082290e-01 	1.024890e-01 	8.222293e-02 	5.960867e-02 	5.108070e-02 	1.937186e-01 	1.326757e-01 	1.431881e-01 	2.262164e-02 	8.616460e-02 	-1.976796e-02 	1.081966e-01 	 
1.718292e-01 	2.012637e-01 	1.802306e-01 	3.614528e-02 	9.217699e-02 	1.084493e-01 	3.290602e-01 	7.736497e-02 	1.068662e-01 	3.919987e-02 	3.296881e-02 	1.723139e-01 	1.351943e-01 	1.376352e-01 	2.525420e-02 	7.579701e-02 	-1.097858e-02 	1.020885e-01 	 
1.873779e-01 	2.013185e-01 	1.805690e-01 	3.523853e-02 	1.148201e-01 	1.240601e-01 	3.071214e-01 	5.052786e-02 	1.224042e-01 	2.711086e-02 	2.297932e-02 	1.564809e-01 	1.392968e-01 	1.355636e-01 	2.718576e-02 	6.886090e-02 	1.232971e-03 	9.454057e-02 	 
2.030945e-01 	2.014232e-01 	1.807279e-01 	4.336134e-02 	1.166180e-01 	1.516461e-01 	2.663978e-01 	2.512952e-02 	1.294138e-01 	-1.048129e-02 	2.403586e-02 	1.444578e-01 	1.448290e-01 	1.405214e-01 	2.968610e-02 	6.481405e-02 	1.375578e-02 	8.533895e-02 	 
2.186584e-01 	2.015285e-01 	1.806838e-01 	5.706589e-02 	1.074576e-01 	1.763007e-01 	2.294034e-01 	1.007117e-04 	1.280344e-01 	-6.786483e-02 	3.697425e-02 	1.346398e-01 	1.494582e-01 	1.571565e-01 	3.409689e-02 	6.048765e-02 	2.219821e-02 	7.605815e-02 	 
2.342072e-01 	2.015577e-01 	1.805220e-01 	6.998161e-02 	9.792560e-02 	1.897790e-01 	1.987227e-01 	1.149072e-02 	1.224504e-01 	-9.729313e-02 	6.186790e-02 	1.253259e-01 	1.513205e-01 	1.850265e-01 	4.165002e-02 	5.290284e-02 	2.421644e-02 	6.874758e-02 	 
2.499390e-01 	2.014870e-01 	1.803746e-01 	7.661974e-02 	9.196291e-02 	1.912263e-01 	1.658952e-01 	6.901750e-02 	1.187315e-01 	-8.571542e-02 	9.643380e-02 	1.154178e-01 	1.528922e-01 	2.159820e-01 	5.059878e-02 	4.306643e-02 	2.031662e-02 	6.445227e-02 	 
2.655029e-01 	2.013537e-01 	1.802886e-01 	7.486268e-02 	8.430279e-02 	1.823478e-01 	1.340302e-01 	1.258003e-01 	1.200242e-01 	-4.994903e-02 	1.340172e-01 	1.043984e-01 	1.576975e-01 	2.406082e-01 	5.670818e-02 	3.585962e-02 	1.323378e-02 	6.227697e-02 	 
2.812347e-01 	2.011827e-01 	1.802064e-01 	6.568772e-02 	6.721359e-02 	1.624678e-01 	1.137702e-01 	1.870735e-01 	1.235919e-01 	-7.939500e-03 	1.652230e-01 	8.900537e-02 	1.647572e-01 	2.548270e-01 	5.898748e-02 	3.518220e-02 	5.317918e-03 	6.007055e-02 	 
2.967834e-01 	2.010111e-01 	1.799742e-01 	5.222306e-02 	5.187443e-02 	1.349614e-01 	1.131455e-01 	2.389972e-01 	1.234565e-01 	2.985639e-02 	1.802400e-01 	6.833377e-02 	1.697061e-01 	2.564490e-01 	6.140186e-02 	4.114724e-02 	-1.890036e-03 	5.639123e-02 	 
3.123474e-01 	2.008408e-01 	1.793686e-01 	3.864270e-02 	6.180500e-02 	1.092707e-01 	1.289494e-01 	2.569948e-01 	1.129690e-01 	6.164878e-02 	1.804471e-01 	4.702384e-02 	1.710551e-01 	2.454548e-01 	6.818410e-02 	5.068311e-02 	-7.420006e-03 	5.105269e-02 	 
3.280792e-01 	2.006188e-01 	1.782080e-01 	2.946115e-02 	9.226876e-02 	9.737770e-02 	1.520787e-01 	2.465909e-01 	9.666048e-02 	8.835278e-02 	1.656485e-01 	3.169855e-02 	1.708447e-01 	2.229515e-01 	7.851341e-02 	6.068381e-02 	-9.837025e-03 	4.475756e-02 	 
3.436432e-01 	2.002847e-01 	1.765396e-01 	2.855907e-02 	1.126026e-01 	1.047777e-01 	1.738190e-01 	2.251360e-01 	9.718005e-02 	1.100367e-01 	1.293670e-01 	2.674158e-02 	1.709780e-01 	1.946708e-01 	8.732828e-02 	6.901976e-02 	-7.726358e-03 	3.876298e-02 	 
3.593750e-01 	1.998120e-01 	1.745622e-01 	3.673689e-02 	1.128102e-01 	1.238082e-01 	1.882717e-01 	2.035052e-01 	1.198517e-01 	1.280142e-01 	6.946655e-02 	3.263029e-02 	1.726732e-01 	1.697696e-01 	9.168121e-02 	7.493655e-02 	-8.060810e-04 	3.406123e-02 	 
3.749237e-01 	1.992397e-01 	1.726274e-01 	4.985015e-02 	1.032224e-01 	1.414511e-01 	1.893519e-01 	1.901426e-01 	1.398566e-01 	1.431288e-01 	1.526158e-03 	4.815395e-02 	1.792182e-01 	1.568000e-01 	9.256985e-02 	7.815629e-02 	9.478003e-03 	3.169058e-02 	 
3.904877e-01 	1.985855e-01 	1.709558e-01 	6.073081e-02 	9.407003e-02 	1.521711e-01 	1.754423e-01 	1.894418e-01 	1.344776e-01 	1.558756e-01 	-5.374074e-02 	7.203109e-02 	1.926991e-01 	1.544706e-01 	9.209225e-02 	7.924721e-02 	2.071277e-02 	3.238743e-02 	 
4.062195e-01 	1.978403e-01 	1.696446e-01 	6.374501e-02 	8.867069e-02 	1.585114e-01 	1.490788e-01 	1.997550e-01 	1.113202e-01 	1.663323e-01 	-8.270475e-02 	1.029903e-01 	2.075580e-01 	1.536924e-01 	9.011053e-02 	7.881264e-02 	3.001972e-02 	3.700196e-02 	 
4.217682e-01 	1.970197e-01 	1.686819e-01 	5.763916e-02 	8.152382e-02 	1.601059e-01 	1.177845e-01 	2.150118e-01 	9.231313e-02 	1.740128e-01 	-8.243663e-02 	1.368633e-01 	2.136541e-01 	1.462477e-01 	8.506802e-02 	7.726784e-02 	3.443108e-02 	4.620551e-02 	 
4.373322e-01 	1.961546e-01 	1.678833e-01 	4.474531e-02 	6.569519e-02 	1.517320e-01 	9.384003e-02 	2.285620e-01 	8.173455e-02 	1.772036e-01 	-5.830399e-02 	1.660615e-01 	2.067188e-01 	1.314627e-01 	7.505883e-02 	7.521621e-02 	3.235555e-02 	6.039917e-02 	 
4.530487e-01 	1.952927e-01 	1.669727e-01 	2.898345e-02 	5.046076e-02 	1.333508e-01 	9.104513e-02 	2.282979e-01 	7.062058e-02 	1.752902e-01 	-1.842457e-02 	1.825899e-01 	1.882277e-01 	1.133874e-01 	5.922924e-02 	7.370882e-02 	2.371630e-02 	7.893854e-02 	 
4.686127e-01 	1.944782e-01 	1.657358e-01 	1.548934e-02 	5.637673e-02 	1.137592e-01 	1.131308e-01 	2.043013e-01 	5.929497e-02 	1.696704e-01 	2.476210e-02 	1.843582e-01 	1.623518e-01 	9.525998e-02 	4.242775e-02 	7.375519e-02 	1.070502e-02 	9.866846e-02 	 
