z	circulation	
4.000000e+00 	 7.097731e-02 	 
3.960000e+00 	 7.120278e-02 	 
3.920000e+00 	 7.119487e-02 	 
3.880000e+00 	 7.106408e-02 	 
3.840000e+00 	 7.089039e-02 	 
3.800000e+00 	 7.065957e-02 	 
3.760000e+00 	 7.043846e-02 	 
3.720000e+00 	 7.044286e-02 	 
3.680000e+00 	 7.074944e-02 	 
3.640000e+00 	 7.133269e-02 	 
3.600000e+00 	 7.212663e-02 	 
3.560000e+00 	 7.297414e-02 	 
3.520000e+00 	 7.369248e-02 	 
3.480000e+00 	 7.415706e-02 	 
3.440000e+00 	 7.444981e-02 	 
3.400000e+00 	 7.492036e-02 	 
3.360000e+00 	 7.569361e-02 	 
3.320000e+00 	 7.647339e-02 	 
3.280000e+00 	 7.699930e-02 	 
3.240000e+00 	 7.731698e-02 	 
3.200000e+00 	 7.769608e-02 	 
3.160000e+00 	 7.829388e-02 	 
3.120000e+00 	 7.896101e-02 	 
3.080000e+00 	 7.942849e-02 	 
3.040000e+00 	 7.972352e-02 	 
3.000000e+00 	 8.018189e-02 	 
2.960000e+00 	 8.095545e-02 	 
2.920000e+00 	 8.171261e-02 	 
2.880000e+00 	 8.216279e-02 	 
2.840000e+00 	 8.242759e-02 	 
2.800000e+00 	 8.278630e-02 	 
2.760000e+00 	 8.332256e-02 	 
2.720000e+00 	 8.408295e-02 	 
2.680000e+00 	 8.508591e-02 	 
2.640000e+00 	 8.616954e-02 	 
2.600000e+00 	 8.697805e-02 	 
2.560000e+00 	 8.739469e-02 	 
2.520000e+00 	 8.763659e-02 	 
2.480000e+00 	 8.782557e-02 	 
2.440000e+00 	 8.786640e-02 	 
2.400000e+00 	 8.770586e-02 	 
2.360000e+00 	 8.744384e-02 	 
2.320000e+00 	 8.711468e-02 	 
2.280000e+00 	 8.668940e-02 	 
2.240000e+00 	 8.628877e-02 	 
2.200000e+00 	 8.603521e-02 	 
2.160000e+00 	 8.601787e-02 	 
2.120000e+00 	 8.622465e-02 	 
2.080000e+00 	 8.665133e-02 	 
2.040000e+00 	 8.727824e-02 	 
2.000000e+00 	 8.786569e-02 	 
1.960000e+00 	 8.819295e-02 	 
1.920000e+00 	 8.833185e-02 	 
1.880000e+00 	 8.857834e-02 	 
1.840000e+00 	 8.895249e-02 	 
1.800000e+00 	 8.930556e-02 	 
1.760000e+00 	 8.970715e-02 	 
1.720000e+00 	 9.033695e-02 	 
1.680000e+00 	 9.110788e-02 	 
1.640000e+00 	 9.176526e-02 	 
1.600000e+00 	 9.227508e-02 	 
1.560000e+00 	 9.279293e-02 	 
1.520000e+00 	 9.330430e-02 	 
1.480000e+00 	 9.369372e-02 	 
1.440000e+00 	 9.395841e-02 	 
1.400000e+00 	 9.418854e-02 	 
1.360000e+00 	 9.448969e-02 	 
1.320000e+00 	 9.480885e-02 	 
1.280000e+00 	 9.502844e-02 	 
1.240000e+00 	 9.507467e-02 	 
1.200000e+00 	 9.499742e-02 	 
1.160000e+00 	 9.483037e-02 	 
1.120000e+00 	 9.460749e-02 	 
1.080000e+00 	 9.448924e-02 	 
1.040000e+00 	 9.463088e-02 	 
1.000000e+00 	 9.511649e-02 	 
9.600000e-01 	 9.511649e-02 	 
9.200000e-01 	 9.585828e-02 	 
8.800000e-01 	 9.658266e-02 	 
8.400000e-01 	 9.708905e-02 	 
8.000000e-01 	 9.742498e-02 	 
7.600000e-01 	 9.784747e-02 	 
7.200000e-01 	 9.835050e-02 	 
6.800000e-01 	 9.860372e-02 	 
6.400000e-01 	 9.844504e-02 	 
6.000000e-01 	 9.820966e-02 	 
5.600000e-01 	 9.828089e-02 	 
5.200000e-01 	 9.855997e-02 	 
4.800000e-01 	 9.881939e-02 	 
4.400000e-01 	 9.902697e-02 	 
4.000000e-01 	 9.927920e-02 	 
3.600000e-01 	 9.954766e-02 	 
3.200000e-01 	 9.981142e-02 	 
2.800000e-01 	 1.000851e-01 	 
2.400000e-01 	 1.003682e-01 	 
2.000000e-01 	 1.006537e-01 	 
1.600000e-01 	 1.009263e-01 	 
1.200000e-01 	 1.012210e-01 	 
8.000000e-02 	 1.015564e-01 	 
4.000000e-02 	 1.018222e-01 	 
0.000000e+00 	 1.019669e-01 	 
-4.000000e-02 	 1.020470e-01 	 
-8.000000e-02 	 1.021679e-01 	 
-1.200000e-01 	 1.023121e-01 	 
-1.600000e-01 	 1.025023e-01 	 
-2.000000e-01 	 1.028161e-01 	 
-2.400000e-01 	 1.031436e-01 	 
-2.800000e-01 	 1.032908e-01 	 
-3.200000e-01 	 1.032476e-01 	 
-3.600000e-01 	 1.032832e-01 	 
-4.000000e-01 	 1.035471e-01 	 
-4.400000e-01 	 1.039345e-01 	 
-4.800000e-01 	 1.043032e-01 	 
-5.200000e-01 	 1.045745e-01 	 
-5.600000e-01 	 1.046488e-01 	 
-6.000000e-01 	 1.044345e-01 	 
-6.400000e-01 	 1.041018e-01 	 
-6.800000e-01 	 1.038857e-01 	 
-7.200000e-01 	 1.038740e-01 	 
-7.600000e-01 	 1.038805e-01 	 
-8.000000e-01 	 1.036604e-01 	 
-8.400000e-01 	 1.030409e-01 	 
-8.800000e-01 	 1.020856e-01 	 
-9.200000e-01 	 1.009962e-01 	 
-9.600000e-01 	 9.983398e-02 	 
-1.000000e+00 	 9.841304e-02 	 
-1.040000e+00 	 9.674489e-02 	 
-1.080000e+00 	 9.505748e-02 	 
-1.120000e+00 	 9.354937e-02 	 
-1.160000e+00 	 9.219950e-02 	 
-1.200000e+00 	 9.117635e-02 	 
-1.240000e+00 	 9.065730e-02 	 
-1.280000e+00 	 9.066348e-02 	 
-1.320000e+00 	 9.103747e-02 	 
-1.360000e+00 	 9.158703e-02 	 
-1.400000e+00 	 9.222939e-02 	 
-1.440000e+00 	 9.293696e-02 	 
-1.480000e+00 	 9.358143e-02 	 
-1.520000e+00 	 9.397233e-02 	 
-1.560000e+00 	 9.409058e-02 	 
-1.600000e+00 	 9.426561e-02 	 
-1.640000e+00 	 9.459623e-02 	 
-1.680000e+00 	 9.496918e-02 	 
-1.720000e+00 	 9.516338e-02 	 
-1.760000e+00 	 9.528097e-02 	 
-1.800000e+00 	 9.557204e-02 	 
-1.840000e+00 	 9.600204e-02 	 
-1.880000e+00 	 9.627293e-02 	 
-1.920000e+00 	 9.607271e-02 	 
-1.960000e+00 	 9.532881e-02 	 
-2.000000e+00 	 9.426996e-02 	 
-2.040000e+00 	 9.311839e-02 	 
