xm 	 xl 	 cl 	 cd 	
-4.85313e-01 	 5.37485e-03 	 4.76539e-03 	 2.07126e-01 	
-4.79938e-01 	 5.37485e-03 	 4.76539e-03 	 2.07126e-01 	
-4.74563e-01 	 5.37485e-03 	 4.76539e-03 	 2.07126e-01 	
-4.69188e-01 	 5.37485e-03 	 4.76539e-03 	 2.07126e-01 	
-4.63813e-01 	 5.37485e-03 	 4.76539e-03 	 2.07126e-01 	
-4.58438e-01 	 5.37485e-03 	 4.76539e-03 	 2.07126e-01 	
-4.53402e-01 	 4.69846e-03 	 1.05165e-02 	 1.85726e-01 	
-4.48703e-01 	 4.69846e-03 	 1.07133e-02 	 1.51958e-01 	
-4.44005e-01 	 4.69846e-03 	 1.05726e-02 	 1.32046e-01 	
-4.39306e-01 	 4.69846e-03 	 1.03283e-02 	 1.17974e-01 	
-4.34608e-01 	 4.69846e-03 	 1.00843e-02 	 1.07123e-01 	
-4.29909e-01 	 4.69846e-03 	 9.83977e-03 	 9.83422e-02 	
-4.25211e-01 	 4.69846e-03 	 9.65307e-03 	 9.09706e-02 	
-4.20512e-01 	 4.69846e-03 	 9.51090e-03 	 8.46476e-02 	
-4.15814e-01 	 4.69846e-03 	 9.35798e-03 	 7.91378e-02 	
-4.11116e-01 	 4.69846e-03 	 9.23861e-03 	 7.42659e-02 	
-4.06417e-01 	 4.69846e-03 	 9.11334e-03 	 6.99028e-02 	
-4.01719e-01 	 4.69846e-03 	 8.98923e-03 	 6.59881e-02 	
-3.97020e-01 	 4.69846e-03 	 8.86489e-03 	 6.24117e-02 	
-3.92322e-01 	 4.69846e-03 	 8.73528e-03 	 5.91335e-02 	
-3.87623e-01 	 4.69846e-03 	 8.61244e-03 	 5.60844e-02 	
-3.82925e-01 	 4.69846e-03 	 8.47723e-03 	 5.32994e-02 	
-3.78226e-01 	 4.69846e-03 	 8.33831e-03 	 5.06834e-02 	
-3.73528e-01 	 4.69846e-03 	 8.19129e-03 	 4.82453e-02 	
-3.68829e-01 	 4.69846e-03 	 8.02869e-03 	 4.59360e-02 	
-3.64131e-01 	 4.69846e-03 	 7.84761e-03 	 4.37733e-02 	
-3.59432e-01 	 4.69846e-03 	 7.65854e-03 	 4.17122e-02 	
-3.54734e-01 	 4.69846e-03 	 7.45732e-03 	 3.97689e-02 	
-3.50036e-01 	 4.69846e-03 	 7.25049e-03 	 3.79178e-02 	
-3.45337e-01 	 4.69846e-03 	 7.02763e-03 	 3.61304e-02 	
-3.40639e-01 	 4.69846e-03 	 6.79810e-03 	 3.44340e-02 	
-3.35940e-01 	 4.69846e-03 	 6.57823e-03 	 3.28086e-02 	
-3.31242e-01 	 4.69846e-03 	 6.34516e-03 	 3.12479e-02 	
-3.26543e-01 	 4.69846e-03 	 6.11138e-03 	 2.97358e-02 	
-3.21845e-01 	 4.69846e-03 	 5.90702e-03 	 2.82995e-02 	
-3.17146e-01 	 4.69846e-03 	 5.74331e-03 	 2.69120e-02 	
-3.12448e-01 	 4.69846e-03 	 5.58551e-03 	 2.55675e-02 	
-3.07749e-01 	 4.69846e-03 	 5.43922e-03 	 2.42666e-02 	
-3.03051e-01 	 4.69846e-03 	 5.30203e-03 	 2.30127e-02 	
-2.98352e-01 	 4.69846e-03 	 5.16152e-03 	 2.18072e-02 	
-2.93654e-01 	 4.69846e-03 	 5.00897e-03 	 2.06326e-02 	
-2.88955e-01 	 4.69846e-03 	 4.85501e-03 	 1.94872e-02 	
-2.84257e-01 	 4.69846e-03 	 4.72877e-03 	 1.83859e-02 	
-2.79559e-01 	 4.69846e-03 	 4.62602e-03 	 1.73072e-02 	
-2.74860e-01 	 4.69846e-03 	 4.51322e-03 	 1.62507e-02 	
-2.70162e-01 	 4.69846e-03 	 4.40020e-03 	 1.52441e-02 	
-2.65463e-01 	 4.69846e-03 	 4.30218e-03 	 1.42583e-02 	
-2.60765e-01 	 4.69846e-03 	 4.19590e-03 	 1.32889e-02 	
-2.56066e-01 	 4.69846e-03 	 4.08387e-03 	 1.23637e-02 	
-2.51368e-01 	 4.69846e-03 	 3.98974e-03 	 1.14588e-02 	
-2.46669e-01 	 4.69846e-03 	 3.90528e-03 	 1.05578e-02 	
-2.41971e-01 	 4.69846e-03 	 3.81864e-03 	 9.68242e-03 	
-2.37272e-01 	 4.69846e-03 	 3.73038e-03 	 8.84208e-03 	
-2.32574e-01 	 4.69846e-03 	 3.63853e-03 	 8.02702e-03 	
-2.27875e-01 	 4.69846e-03 	 3.54949e-03 	 7.22110e-03 	
-2.23177e-01 	 4.69846e-03 	 3.46803e-03 	 6.43119e-03 	
-2.18479e-01 	 4.69846e-03 	 3.39666e-03 	 5.65503e-03 	
-2.13780e-01 	 4.69846e-03 	 3.32696e-03 	 4.90561e-03 	
-2.09082e-01 	 4.69846e-03 	 3.25674e-03 	 4.18120e-03 	
-2.04383e-01 	 4.69846e-03 	 3.19271e-03 	 3.46418e-03 	
-1.99685e-01 	 4.69846e-03 	 3.13962e-03 	 2.75009e-03 	
-1.94986e-01 	 4.69846e-03 	 3.08821e-03 	 2.05659e-03 	
-1.90288e-01 	 4.69846e-03 	 3.03533e-03 	 1.37901e-03 	
-1.85589e-01 	 4.69846e-03 	 2.98650e-03 	 7.13602e-04 	
-1.80891e-01 	 4.69846e-03 	 2.94061e-03 	 7.58596e-05 	
-1.76192e-01 	 4.69846e-03 	 2.90499e-03 	-5.51376e-04 	
-1.71494e-01 	 4.69846e-03 	 2.87336e-03 	-1.16474e-03 	
-1.66795e-01 	 4.69846e-03 	 2.84367e-03 	-1.76591e-03 	
-1.62097e-01 	 4.69846e-03 	 2.81507e-03 	-2.35323e-03 	
-1.57399e-01 	 4.69846e-03 	 2.78537e-03 	-2.92320e-03 	
-1.52700e-01 	 4.69846e-03 	 2.76006e-03 	-3.48965e-03 	
-1.48002e-01 	 4.69846e-03 	 2.73820e-03 	-4.04475e-03 	
-1.43303e-01 	 4.69846e-03 	 2.71830e-03 	-4.58910e-03 	
-1.38605e-01 	 4.69846e-03 	 2.69887e-03 	-5.12466e-03 	
-1.33906e-01 	 4.69846e-03 	 2.67835e-03 	-5.65250e-03 	
-1.29208e-01 	 4.69846e-03 	 2.65807e-03 	-6.16861e-03 	
-1.24509e-01 	 4.69846e-03 	 2.63770e-03 	-6.67573e-03 	
-1.19811e-01 	 4.69846e-03 	 2.61434e-03 	-7.17709e-03 	
-1.15112e-01 	 4.69846e-03 	 2.58812e-03 	-7.66759e-03 	
-1.10414e-01 	 4.69846e-03 	 2.56335e-03 	-8.14386e-03 	
-1.05715e-01 	 4.69846e-03 	 2.54553e-03 	-8.61641e-03 	
-1.01017e-01 	 4.69846e-03 	 2.53121e-03 	-9.08274e-03 	
-9.63185e-02 	 4.69846e-03 	 2.51579e-03 	-9.53564e-03 	
-9.16200e-02 	 4.69846e-03 	 2.50119e-03 	-9.97650e-03 	
-8.69216e-02 	 4.69846e-03 	 2.48626e-03 	-1.04079e-02 	
-8.22231e-02 	 4.69846e-03 	 2.47073e-03 	-1.08324e-02 	
-7.75246e-02 	 4.69846e-03 	 2.45840e-03 	-1.12566e-02 	
-7.28262e-02 	 4.69846e-03 	 2.44418e-03 	-1.16685e-02 	
-6.81277e-02 	 4.69846e-03 	 2.43022e-03 	-1.20776e-02 	
-6.34293e-02 	 4.69846e-03 	 2.41660e-03 	-1.24820e-02 	
-5.87308e-02 	 4.69846e-03 	 2.40307e-03 	-1.28744e-02 	
-5.40323e-02 	 4.69846e-03 	 2.39292e-03 	-1.32635e-02 	
-4.93339e-02 	 4.69846e-03 	 2.38250e-03 	-1.36496e-02 	
-4.46354e-02 	 4.69846e-03 	 2.36807e-03 	-1.40254e-02 	
-3.99369e-02 	 4.69846e-03 	 2.35187e-03 	-1.43927e-02 	
