x0	cl_wle	x1	cd_wle	
-5.125000e-01 	 -1.100290e+01 	-5.125000e-01 	 3.351605e+01 	 
-5.075000e-01 	 -1.100290e+01 	-5.075000e-01 	 3.351605e+01 	 
-5.025000e-01 	 -1.100290e+01 	-5.025000e-01 	 3.351605e+01 	 
-4.975000e-01 	 -1.100290e+01 	-4.975000e-01 	 3.351605e+01 	 
-4.925000e-01 	 -1.100290e+01 	-4.925000e-01 	 3.351605e+01 	 
-4.875000e-01 	 -1.100290e+01 	-4.875000e-01 	 3.351605e+01 	 
-4.825000e-01 	 -1.100290e+01 	-4.825000e-01 	 3.351605e+01 	 
-4.775000e-01 	 -5.481122e+00 	-4.775000e-01 	 2.166671e+01 	 
-4.725000e-01 	 -5.481122e+00 	-4.725000e-01 	 2.166671e+01 	 
-4.675000e-01 	 -5.481122e+00 	-4.675000e-01 	 2.166671e+01 	 
-4.625000e-01 	 -5.481122e+00 	-4.625000e-01 	 2.166671e+01 	 
-4.575000e-01 	 -5.481122e+00 	-4.575000e-01 	 2.166671e+01 	 
-4.525000e-01 	 -5.481122e+00 	-4.525000e-01 	 2.166671e+01 	 
-4.475000e-01 	 -5.481122e+00 	-4.475000e-01 	 2.166671e+01 	 
-4.425000e-01 	 -2.397269e+00 	-4.425000e-01 	 1.253843e+01 	 
-4.375000e-01 	 -2.397269e+00 	-4.375000e-01 	 1.253843e+01 	 
-4.325000e-01 	 -2.397269e+00 	-4.325000e-01 	 1.253843e+01 	 
-4.275000e-01 	 -2.397269e+00 	-4.275000e-01 	 1.253843e+01 	 
-4.225000e-01 	 -2.397269e+00 	-4.225000e-01 	 1.253843e+01 	 
-4.175000e-01 	 -2.397269e+00 	-4.175000e-01 	 1.253843e+01 	 
-4.125000e-01 	 -2.397269e+00 	-4.125000e-01 	 1.253843e+01 	 
-4.075000e-01 	 -1.346996e+00 	-4.075000e-01 	 8.600411e+00 	 
-4.025000e-01 	 -1.346996e+00 	-4.025000e-01 	 8.600411e+00 	 
-3.975000e-01 	 -1.346996e+00 	-3.975000e-01 	 8.600411e+00 	 
-3.925000e-01 	 -1.346996e+00 	-3.925000e-01 	 8.600411e+00 	 
-3.875000e-01 	 -1.346996e+00 	-3.875000e-01 	 8.600411e+00 	 
-3.825000e-01 	 -1.346996e+00 	-3.825000e-01 	 8.600411e+00 	 
-3.775000e-01 	 -1.346996e+00 	-3.775000e-01 	 8.600411e+00 	 
-3.725000e-01 	 -8.043407e-01 	-3.725000e-01 	 6.065752e+00 	 
-3.675000e-01 	 -8.043407e-01 	-3.675000e-01 	 6.065752e+00 	 
-3.625000e-01 	 -8.043407e-01 	-3.625000e-01 	 6.065752e+00 	 
-3.575000e-01 	 -8.043407e-01 	-3.575000e-01 	 6.065752e+00 	 
-3.525000e-01 	 -8.043407e-01 	-3.525000e-01 	 6.065752e+00 	 
-3.475000e-01 	 -8.043407e-01 	-3.475000e-01 	 6.065752e+00 	 
-3.425000e-01 	 -8.043407e-01 	-3.425000e-01 	 6.065752e+00 	 
-3.375000e-01 	 -4.060314e-01 	-3.375000e-01 	 4.207711e+00 	 
-3.325000e-01 	 -4.060314e-01 	-3.325000e-01 	 4.207711e+00 	 
-3.275000e-01 	 -4.060314e-01 	-3.275000e-01 	 4.207711e+00 	 
-3.225000e-01 	 -4.060314e-01 	-3.225000e-01 	 4.207711e+00 	 
-3.175000e-01 	 -4.060314e-01 	-3.175000e-01 	 4.207711e+00 	 
-3.125000e-01 	 -4.060314e-01 	-3.125000e-01 	 4.207711e+00 	 
-3.075000e-01 	 -4.060314e-01 	-3.075000e-01 	 4.207711e+00 	 
-3.025000e-01 	 -7.801184e-02 	-3.025000e-01 	 2.751755e+00 	 
-2.975000e-01 	 -7.801184e-02 	-2.975000e-01 	 2.751755e+00 	 
-2.925000e-01 	 -7.801184e-02 	-2.925000e-01 	 2.751755e+00 	 
