x0	SCd	
0.000000e+00 	 9.868873e-09 	 
3.306022e-02 	 4.896158e-08 	 
6.612044e-02 	 2.860472e-08 	 
9.918066e-02 	 1.837477e-08 	 
1.322409e-01 	 3.392548e-09 	 
1.653011e-01 	 1.028735e-08 	 
1.983613e-01 	 7.875313e-09 	 
2.314215e-01 	 2.352890e-09 	 
2.644818e-01 	 9.745091e-10 	 
2.975420e-01 	 1.143074e-09 	 
3.306022e-01 	 8.320644e-10 	 
3.636624e-01 	 9.444469e-10 	 
3.967226e-01 	 7.356684e-10 	 
4.297829e-01 	 5.380474e-10 	 
4.628431e-01 	 8.872142e-10 	 
4.959033e-01 	 5.046867e-10 	 
5.289635e-01 	 5.294997e-10 	 
5.620237e-01 	 4.401878e-10 	 
5.950840e-01 	 3.500451e-10 	 
6.281442e-01 	 3.059545e-10 	 
6.612044e-01 	 3.122506e-10 	 
6.942646e-01 	 3.016911e-10 	 
7.273248e-01 	 2.022134e-10 	 
7.603851e-01 	 2.409888e-10 	 
7.934453e-01 	 2.366487e-10 	 
8.265055e-01 	 3.212371e-10 	 
8.595657e-01 	 2.438280e-10 	 
8.926259e-01 	 1.829907e-10 	 
9.256862e-01 	 2.414212e-10 	 
9.587464e-01 	 1.876218e-10 	 
9.918066e-01 	 1.507731e-10 	 
1.024867e+00 	 1.490747e-10 	 
1.057927e+00 	 1.471848e-10 	 
1.090987e+00 	 1.770645e-10 	 
1.124047e+00 	 1.762934e-10 	 
1.157108e+00 	 9.230533e-11 	 
1.190168e+00 	 9.333189e-11 	 
1.223228e+00 	 1.153501e-10 	 
1.256288e+00 	 1.734818e-10 	 
1.289349e+00 	 1.359483e-10 	 
1.322409e+00 	 4.130179e-11 	 
1.355469e+00 	 5.194610e-11 	 
1.388529e+00 	 7.036448e-11 	 
1.421589e+00 	 8.137134e-11 	 
1.454650e+00 	 1.048930e-10 	 
1.487710e+00 	 8.392610e-11 	 
1.520770e+00 	 1.156659e-10 	 
1.553830e+00 	 1.146707e-10 	 
1.586891e+00 	 1.566709e-10 	 
1.619951e+00 	 1.271070e-10 	 
1.653011e+00 	 4.585676e-11 	 
1.686071e+00 	 6.626718e-11 	 
1.719131e+00 	 1.056863e-10 	 
1.752192e+00 	 8.953907e-11 	 
1.785252e+00 	 7.187345e-11 	 
1.818312e+00 	 9.594984e-11 	 
1.851372e+00 	 1.155877e-10 	 
1.884433e+00 	 6.788923e-11 	 
1.917493e+00 	 6.071858e-11 	 
1.950553e+00 	 6.670975e-11 	 
1.983613e+00 	 4.995637e-11 	 
2.016673e+00 	 1.037931e-10 	 
2.049734e+00 	 9.395848e-11 	 
2.082794e+00 	 3.529292e-11 	 
2.115854e+00 	 4.788691e-11 	 
2.148914e+00 	 7.482876e-11 	 
2.181975e+00 	 7.147644e-11 	 
2.215035e+00 	 7.435244e-11 	 
2.248095e+00 	 7.728058e-11 	 
2.281155e+00 	 6.637112e-11 	 
2.314215e+00 	 5.484621e-11 	 
2.347276e+00 	 5.812259e-11 	 
2.380336e+00 	 3.629354e-11 	 
2.413396e+00 	 2.561213e-11 	 
