f	SCd	
0.000000e+00 	 4.231756e-05 	 
1.519964e-02 	 1.968786e-04 	 
3.039927e-02 	 1.223767e-04 	 
4.559891e-02 	 5.186053e-05 	 
6.079855e-02 	 5.515148e-05 	 
7.599818e-02 	 6.159368e-05 	 
9.119782e-02 	 1.315389e-04 	 
1.063975e-01 	 1.237471e-04 	 
1.215971e-01 	 7.440575e-05 	 
1.367967e-01 	 3.223181e-05 	 
1.519964e-01 	 3.650490e-05 	 
1.671960e-01 	 5.955078e-05 	 
1.823956e-01 	 3.805337e-04 	 
1.975953e-01 	 4.149018e-04 	 
2.127949e-01 	 3.552714e-05 	 
2.279946e-01 	 2.947965e-05 	 
2.431942e-01 	 1.613958e-05 	 
2.583938e-01 	 1.531033e-05 	 
2.735935e-01 	 1.781169e-05 	 
2.887931e-01 	 1.246811e-05 	 
3.039927e-01 	 5.459697e-06 	 
3.191924e-01 	 1.037864e-05 	 
3.343920e-01 	 6.672411e-06 	 
3.495916e-01 	 5.604523e-06 	 
3.647913e-01 	 6.684366e-06 	 
3.799909e-01 	 1.568774e-05 	 
3.951906e-01 	 7.969474e-06 	 
4.103902e-01 	 2.959804e-06 	 
4.255898e-01 	 2.789835e-06 	 
4.407895e-01 	 1.670203e-06 	 
4.559891e-01 	 4.571294e-06 	 
4.711887e-01 	 7.777403e-06 	 
4.863884e-01 	 3.461653e-06 	 
5.015880e-01 	 2.422383e-06 	 
5.167877e-01 	 1.493071e-06 	 
5.319873e-01 	 1.121630e-06 	 
5.471869e-01 	 2.012935e-06 	 
5.623866e-01 	 1.729798e-06 	 
5.775862e-01 	 1.018631e-06 	 
5.927858e-01 	 4.746445e-07 	 
6.079855e-01 	 7.898005e-07 	 
6.231851e-01 	 9.240906e-07 	 
6.383847e-01 	 9.878564e-07 	 
6.535844e-01 	 2.405238e-06 	 
6.687840e-01 	 2.017738e-06 	 
6.839837e-01 	 1.523882e-06 	 
6.991833e-01 	 8.928447e-07 	 
7.143829e-01 	 7.958760e-07 	 
7.295826e-01 	 1.288742e-06 	 
7.447822e-01 	 1.119622e-06 	 
7.599818e-01 	 5.550712e-07 	 
7.751815e-01 	 4.976160e-07 	 
7.903811e-01 	 4.154704e-07 	 
8.055807e-01 	 5.758017e-07 	 
8.207804e-01 	 6.238009e-07 	 
8.359800e-01 	 6.434463e-07 	 
8.511797e-01 	 5.881274e-07 	 
8.663793e-01 	 5.402172e-07 	 
8.815789e-01 	 4.018473e-07 	 
8.967786e-01 	 1.171654e-07 	 
9.119782e-01 	 1.990981e-07 	 
9.271778e-01 	 3.891213e-07 	 
9.423775e-01 	 7.669032e-07 	 
9.575771e-01 	 3.864945e-07 	 
9.727768e-01 	 2.754929e-07 	 
9.879764e-01 	 3.321292e-07 	 
1.003176e+00 	 4.499174e-07 	 
1.018376e+00 	 5.921621e-07 	 
1.033575e+00 	 2.444735e-07 	 
1.048775e+00 	 1.027136e-07 	 
1.063975e+00 	 2.822481e-07 	 
1.079174e+00 	 1.350463e-07 	 
1.094374e+00 	 1.064053e-07 	 
1.109573e+00 	 1.940954e-07 	 
1.124773e+00 	 4.489802e-07 	 
1.139973e+00 	 2.111777e-07 	 
1.155172e+00 	 7.529149e-08 	 
1.170372e+00 	 1.549650e-07 	 
1.185572e+00 	 2.590897e-07 	 
1.200771e+00 	 1.072388e-07 	 
1.215971e+00 	 5.342705e-08 	 
1.231171e+00 	 4.735973e-08 	 
1.246370e+00 	 5.383602e-08 	 
1.261570e+00 	 5.109443e-08 	 
1.276769e+00 	 8.378678e-08 	 
1.291969e+00 	 1.338354e-07 	 
1.307169e+00 	 1.275424e-07 	 
1.322368e+00 	 1.887981e-07 	 
1.337568e+00 	 1.096237e-07 	 
1.352768e+00 	 3.957753e-08 	 
1.367967e+00 	 4.774655e-08 	 
1.383167e+00 	 1.013693e-07 	 
1.398367e+00 	 6.448233e-08 	 
1.413566e+00 	 8.788628e-08 	 
1.428766e+00 	 1.391712e-07 	 
1.443965e+00 	 4.220275e-08 	 
1.459165e+00 	 4.940907e-08 	 
1.474365e+00 	 3.427118e-08 	 
1.489564e+00 	 1.948869e-08 	 
1.504764e+00 	 4.823001e-08 	 
1.519964e+00 	 7.141704e-08 	 
1.535163e+00 	 6.299159e-08 	 
1.550363e+00 	 4.771981e-08 	 
1.565563e+00 	 4.000539e-08 	 
1.580762e+00 	 3.668607e-08 	 
1.595962e+00 	 2.816013e-08 	 
1.611161e+00 	 4.515590e-08 	 
1.626361e+00 	 7.377348e-08 	 
1.641561e+00 	 7.027178e-08 	 
1.656760e+00 	 7.265739e-08 	 
1.671960e+00 	 2.331727e-08 	 
1.687160e+00 	 2.242846e-08 	 
1.702359e+00 	 1.221810e-08 	 
