x0	cdp	x1	cdv	
0.000000e+00 	 3.880978e-01 	0.000000e+00 	 5.176400e-03 	 
1.248000e-01 	 3.947196e-01 	1.248000e-01 	 4.880300e-03 	 
2.498000e-01 	 3.952939e-01 	2.498000e-01 	 4.766400e-03 	 
3.748000e-01 	 3.862124e-01 	3.748000e-01 	 4.860400e-03 	 
5.000000e-01 	 3.799509e-01 	5.000000e-01 	 4.845500e-03 	 
6.249000e-01 	 3.692383e-01 	6.249000e-01 	 4.909900e-03 	 
7.499000e-01 	 3.589454e-01 	7.499000e-01 	 4.890800e-03 	 
8.750000e-01 	 3.467662e-01 	8.750000e-01 	 4.784700e-03 	 
9.998000e-01 	 3.378657e-01 	9.998000e-01 	 4.624100e-03 	 
1.124800e+00 	 3.376499e-01 	1.124800e+00 	 4.455700e-03 	 
1.249900e+00 	 3.425844e-01 	1.249900e+00 	 4.279200e-03 	 
1.374800e+00 	 3.516868e-01 	1.374800e+00 	 4.120000e-03 	 
1.499800e+00 	 3.624861e-01 	1.499800e+00 	 4.000400e-03 	 
1.624800e+00 	 3.757093e-01 	1.624800e+00 	 3.864800e-03 	 
1.749800e+00 	 3.868502e-01 	1.749800e+00 	 3.760000e-03 	 
1.874800e+00 	 3.953198e-01 	1.874800e+00 	 3.698400e-03 	 
1.999900e+00 	 4.040519e-01 	1.999900e+00 	 3.694100e-03 	 
2.124800e+00 	 4.093994e-01 	2.124800e+00 	 3.738700e-03 	 
2.249900e+00 	 4.096560e-01 	2.249900e+00 	 3.738900e-03 	 
2.374800e+00 	 4.130465e-01 	2.374800e+00 	 3.730700e-03 	 
2.499900e+00 	 4.153421e-01 	2.499900e+00 	 3.699300e-03 	 
2.624900e+00 	 4.175680e-01 	2.624900e+00 	 3.777900e-03 	 
2.749900e+00 	 4.207725e-01 	2.749900e+00 	 3.906100e-03 	 
2.874800e+00 	 4.239698e-01 	2.874800e+00 	 4.009300e-03 	 
2.999800e+00 	 4.257453e-01 	2.999800e+00 	 4.182000e-03 	 
3.124900e+00 	 4.227828e-01 	3.124900e+00 	 4.361200e-03 	 
3.249800e+00 	 4.197081e-01 	3.249800e+00 	 4.545600e-03 	 
3.374800e+00 	 4.164215e-01 	3.374800e+00 	 4.727600e-03 	 
3.499900e+00 	 4.130693e-01 	3.499900e+00 	 4.907300e-03 	 
3.624800e+00 	 4.122983e-01 	3.624800e+00 	 5.109800e-03 	 
3.749900e+00 	 4.071848e-01 	3.749900e+00 	 5.311100e-03 	 
3.874900e+00 	 4.014103e-01 	3.874900e+00 	 5.473300e-03 	 
3.999900e+00 	 3.964278e-01 	3.999900e+00 	 5.692100e-03 	 
4.124900e+00 	 3.915679e-01 	4.124900e+00 	 5.840100e-03 	 
4.249800e+00 	 3.861296e-01 	4.249800e+00 	 5.914000e-03 	 
