   n        time         Clv         Cdv
       0   240.00040  -0.0004816   0.0051764
       1   240.12520  -0.0003637   0.0048803
       2   240.25020  -0.0002936   0.0047664
       3   240.37520  -0.0003316   0.0048604
       4   240.50040  -0.0003276   0.0048455
       5   240.62530  -0.0003729   0.0049099
       6   240.75030  -0.0003763   0.0048908
       7   240.87540  -0.0003316   0.0047847
       8   241.00020  -0.0002592   0.0046241
       9   241.12520  -0.0001881   0.0044557
      10   241.25030  -0.0001139   0.0042792
      11   241.37520  -0.0000444   0.0041200
      12   241.50020   0.0000031   0.0040004
      13   241.62520   0.0000724   0.0038648
      14   241.75020   0.0001355   0.0037600
      15   241.87520   0.0001812   0.0036984
      16   242.00030   0.0002081   0.0036941
      17   242.12520   0.0002081   0.0037387
      18   242.25030   0.0002272   0.0037389
      19   242.37520   0.0002478   0.0037307
      20   242.50030   0.0002860   0.0036993
      21   242.62530   0.0002591   0.0037779
      22   242.75030   0.0002033   0.0039061
      23   242.87520   0.0001562   0.0040093
      24   243.00020   0.0000782   0.0041820
      25   243.12530  -0.0000041   0.0043612
      26   243.25020  -0.0000937   0.0045456
      27   243.37520  -0.0001841   0.0047276
      28   243.50030  -0.0002719   0.0049073
      29   243.62520  -0.0003744   0.0051098
      30   243.75030  -0.0004778   0.0053111
      31   243.87530  -0.0005646   0.0054733
      32   244.00030  -0.0006850   0.0056921
      33   244.12530  -0.0007661   0.0058401
      34   244.25020  -0.0008102   0.0059140
      35   244.37520  -0.0008604   0.0059868
      36   244.50040  -0.0008971   0.0060225
      37   244.62530  -0.0009711   0.0061128
      38   244.75030  -0.0010345   0.0062147
      39   244.87530  -0.0010614   0.0062431
      40   245.00040  -0.0010517   0.0062187
      41   245.12520  -0.0010145   0.0061482
      42   245.25040  -0.0010051   0.0061369
      43   245.37530  -0.0010282   0.0061858
      44   245.50030  -0.0010772   0.0062766
      45   245.62530  -0.0010870   0.0062484
      46   245.75030  -0.0011028   0.0062348
      47   245.87520  -0.0010615   0.0061144
      48   246.00030  -0.0009603   0.0058607
      49   246.12520  -0.0008077   0.0055694
      50   246.25030  -0.0007023   0.0053657
      51   246.37530  -0.0006193   0.0051958
      52   246.50020  -0.0004959   0.0049457
      53   246.62520  -0.0004024   0.0047603
      54   246.75030  -0.0003069   0.0045695
      55   246.87530  -0.0002048   0.0043644
      56   247.00030  -0.0001182   0.0041883
      57   247.12520  -0.0000161   0.0039867
      58   247.25030   0.0000632   0.0038235
      59   247.37520   0.0001242   0.0036890
      60   247.50020   0.0001620   0.0036064
      61   247.62530   0.0002114   0.0035189
      62   247.75020   0.0002383   0.0034833
      63   247.87520   0.0002683   0.0034499
      64   248.00040   0.0002884   0.0034316
      65   248.12540   0.0003085   0.0034166
      66   248.25040   0.0003428   0.0033765
      67   248.37520   0.0003595   0.0033634
      68   248.50020   0.0003826   0.0033329
      69   248.62530   0.0003914   0.0033298
      70   248.75030   0.0003848   0.0033672
      71   248.87530   0.0003556   0.0034391
      72   249.00040   0.0003131   0.0035492
      73   249.12520   0.0002464   0.0036909
      74   249.25030   0.0001949   0.0038055
      75   249.37530   0.0001584   0.0038831
      76   249.50030   0.0001212   0.0039657
      77   249.62520   0.0000583   0.0040917
      78   249.75040  -0.0000001   0.0042087
      79   249.87520  -0.0000504   0.0043010
      80   250.00040  -0.0001146   0.0044290
      81   250.12530  -0.0001872   0.0045645
      82   250.25030  -0.0002463   0.0046717
      83   250.37530  -0.0003039   0.0047855
      84   250.50040  -0.0003243   0.0048317
      85   250.62520  -0.0003431   0.0048706
      86   250.75020  -0.0003754   0.0049229
      87   250.87530  -0.0003797   0.0049332
      88   251.00030  -0.0003939   0.0049587
      89   251.12520  -0.0003934   0.0049509
      90   251.25030  -0.0004014   0.0049607
      91   251.37530  -0.0004016   0.0049557
      92   251.50030  -0.0004377   0.0050062
      93   251.62520  -0.0004670   0.0050413
      94   251.75020  -0.0004702   0.0050292
      95   251.87530  -0.0004507   0.0049718
      96   252.00030  -0.0004307   0.0049080
      97   252.12520  -0.0004000   0.0048264
      98   252.25040  -0.0003773   0.0047604
      99   252.37520  -0.0003476   0.0046923
     100   252.50020  -0.0003079   0.0046120
     101   252.62520  -0.0002687   0.0045374
     102   252.75030  -0.0002464   0.0044983
     103   252.87520  -0.0002466   0.0045105
     104   253.00030  -0.0002274   0.0044848
     105   253.12530  -0.0002063   0.0044537
     106   253.25040  -0.0001918   0.0044193
     107   253.37520  -0.0001870   0.0044028
     108   253.50030  -0.0001545   0.0043321
     109   253.62530  -0.0001401   0.0042791
     110   253.75030  -0.0001245   0.0042209
     111   253.87530  -0.0001339   0.0042194
     112   254.00030  -0.0001219   0.0041961
     113   254.12520  -0.0001275   0.0041997
     114   254.25040  -0.0001173   0.0041886
     115   254.37530  -0.0000991   0.0041770
     116   254.50030  -0.0000770   0.0041640
     117   254.62530  -0.0000364   0.0041157
     118   254.75020  -0.0000260   0.0041149
     119   254.87530  -0.0000318   0.0041480
     120   255.00030  -0.0000418   0.0041983
     121   255.12530  -0.0000688   0.0042776
     122   255.25020  -0.0001185   0.0044129
     123   255.37520  -0.0002285   0.0046500
     124   255.50030  -0.0003566   0.0049373
     125   255.62530  -0.0005024   0.0052580
     126   255.75020  -0.0006606   0.0056007
     127   255.87520  -0.0008289   0.0059464
     128   256.00030  -0.0010057   0.0062874
     129   256.12530  -0.0011637   0.0065779
     130   256.25020  -0.0013002   0.0068249
     131   256.37540  -0.0014247   0.0070447
     132   256.50040  -0.0015396   0.0072487
     133   256.62520  -0.0016257   0.0073884
     134   256.75030  -0.0016989   0.0074895
     135   256.87530  -0.0017124   0.0074910
     136   257.00030  -0.0017522   0.0075485
     137   257.12520  -0.0018868   0.0077551
     138   257.25020  -0.0019157   0.0077794
     139   257.37530  -0.0018948   0.0077154
     140   257.50030  -0.0018625   0.0076545
     141   257.62530  -0.0018686   0.0076656
     142   257.75030  -0.0018252   0.0075787
     143   257.87530  -0.0017484   0.0074275
     144   258.00030  -0.0016719   0.0072659
     145   258.12520  -0.0015661   0.0070551
     146   258.25030  -0.0014147   0.0067558
     147   258.37530  -0.0012394   0.0064281
     148   258.50030  -0.0011499   0.0062717
     149   258.62530  -0.0010757   0.0061208
     150   258.75030  -0.0009934   0.0059456
     151   258.87520  -0.0009967   0.0059403
     152   259.00040  -0.0010385   0.0059851
     153   259.12530  -0.0010187   0.0059081
     154   259.25030  -0.0009868   0.0058023
     155   259.37530  -0.0009310   0.0056681
     156   259.50030  -0.0008019   0.0054281
     157   259.62520  -0.0007237   0.0052989
     158   259.75030  -0.0006225   0.0051151
     159   259.87530  -0.0005508   0.0049800
     160   260.00030  -0.0004964   0.0048698
     161   260.12530  -0.0004509   0.0047814
     162   260.25030  -0.0003881   0.0046734
     163   260.37530  -0.0003359   0.0045830
     164   260.50030  -0.0002938   0.0045135
     165   260.62520  -0.0002181   0.0043890
     166   260.75030  -0.0001554   0.0042926
     167   260.87530  -0.0000982   0.0042066
     168   261.00020  -0.0000525   0.0041489
     169   261.12520  -0.0000072   0.0040959
     170   261.25020   0.0000227   0.0040755
     171   261.37530   0.0000282   0.0040875
     172   261.50040   0.0000310   0.0041037
     173   261.62530   0.0000208   0.0041522
     174   261.75040  -0.0000088   0.0042429
     175   261.87530  -0.0000567   0.0043590
     176   262.00040  -0.0001150   0.0044875
     177   262.12540  -0.0001620   0.0045838
     178   262.25030  -0.0002201   0.0047095
     179   262.37530  -0.0002934   0.0048697
     180   262.50020  -0.0003635   0.0050148
     181   262.62530  -0.0004100   0.0051122
     182   262.75030  -0.0004422   0.0051743
     183   262.87540  -0.0004894   0.0052697
     184   263.00020  -0.0005387   0.0053447
     185   263.12520  -0.0005930   0.0054224
     186   263.25030  -0.0006352   0.0054775
     187   263.37530  -0.0006601   0.0055094
     188   263.50030  -0.0006615   0.0055056
     189   263.62530  -0.0006627   0.0054881
     190   263.75030  -0.0006520   0.0054341
     191   263.87530  -0.0006289   0.0053662
     192   264.00030  -0.0005877   0.0052631
     193   264.12540  -0.0005288   0.0051413
     194   264.25030  -0.0004879   0.0050598
     195   264.37540  -0.0004188   0.0049232
     196   264.50020  -0.0003455   0.0047714
     197   264.62530  -0.0002816   0.0046337
     198   264.75030  -0.0002006   0.0044672
     199   264.87530  -0.0001142   0.0043033
     200   265.00030  -0.0000348   0.0041624
     201   265.12530   0.0000399   0.0040237
