x0	SCd	
0.000000e+00 	 5.979748e-08 	 
2.817036e-02 	 5.390550e-07 	 
5.634072e-02 	 8.650658e-07 	 
8.451107e-02 	 2.006195e-06 	 
1.126814e-01 	 1.482343e-06 	 
1.408518e-01 	 8.383592e-07 	 
1.690221e-01 	 2.351020e-06 	 
1.971925e-01 	 5.620749e-06 	 
2.253629e-01 	 1.101519e-06 	 
2.535332e-01 	 4.955650e-08 	 
2.817036e-01 	 1.170563e-07 	 
3.098739e-01 	 8.963805e-08 	 
3.380443e-01 	 6.692766e-08 	 
3.662146e-01 	 8.963798e-08 	 
3.943850e-01 	 3.391636e-08 	 
4.225554e-01 	 1.234517e-08 	 
4.507257e-01 	 2.604609e-09 	 
4.788961e-01 	 4.405205e-09 	 
5.070664e-01 	 2.601422e-09 	 
5.352368e-01 	 8.354928e-09 	 
5.634072e-01 	 9.344796e-09 	 
5.915775e-01 	 4.592948e-09 	 
6.197479e-01 	 4.442357e-09 	 
6.479182e-01 	 1.554474e-09 	 
6.760886e-01 	 4.275825e-09 	 
7.042589e-01 	 4.301804e-09 	 
7.324293e-01 	 2.892144e-09 	 
7.605997e-01 	 3.112480e-09 	 
7.887700e-01 	 4.414160e-09 	 
8.169404e-01 	 3.075212e-09 	 
8.451107e-01 	 6.592397e-10 	 
8.732811e-01 	 4.332430e-10 	 
9.014514e-01 	 1.769437e-09 	 
9.296218e-01 	 3.530014e-09 	 
9.577922e-01 	 2.061653e-09 	 
9.859625e-01 	 6.281119e-10 	 
1.014133e+00 	 7.567793e-10 	 
1.042303e+00 	 5.602020e-10 	 
1.070474e+00 	 3.618556e-10 	 
1.098644e+00 	 3.070512e-10 	 
1.126814e+00 	 4.488542e-10 	 
1.154985e+00 	 4.699778e-10 	 
1.183155e+00 	 1.032394e-10 	 
1.211325e+00 	 1.766224e-10 	 
1.239496e+00 	 6.993865e-11 	 
1.267666e+00 	 8.605605e-11 	 
1.295836e+00 	 3.273107e-10 	 
1.324007e+00 	 2.569787e-10 	 
1.352177e+00 	 1.683273e-10 	 
1.380348e+00 	 1.883790e-10 	 
1.408518e+00 	 3.145501e-10 	 
1.436688e+00 	 2.395700e-10 	 
1.464859e+00 	 2.147638e-10 	 
1.493029e+00 	 3.035998e-10 	 
1.521199e+00 	 6.265854e-10 	 
1.549370e+00 	 1.930439e-10 	 
1.577540e+00 	 1.325672e-10 	 
1.605710e+00 	 1.574253e-10 	 
1.633881e+00 	 4.222191e-10 	 
1.662051e+00 	 3.772160e-10 	 
1.690221e+00 	 1.317959e-10 	 
1.718392e+00 	 1.052748e-10 	 
1.746562e+00 	 1.097826e-10 	 
1.774733e+00 	 2.156487e-10 	 
1.802903e+00 	 1.320884e-10 	 
1.831073e+00 	 2.059810e-10 	 
1.859244e+00 	 1.551312e-10 	 
1.887414e+00 	 4.743760e-11 	 
1.915584e+00 	 8.248670e-11 	 
1.943755e+00 	 3.458452e-11 	 
1.971925e+00 	 4.489844e-11 	 
2.000095e+00 	 2.364767e-10 	 
2.028266e+00 	 1.869179e-10 	 
2.056436e+00 	 1.348910e-10 	 
2.084606e+00 	 9.012029e-11 	 
2.112777e+00 	 1.051970e-10 	 
2.140947e+00 	 4.251439e-10 	 
2.169118e+00 	 2.709620e-10 	 
2.197288e+00 	 2.601089e-10 	 
2.225458e+00 	 3.198266e-10 	 
2.253629e+00 	 1.164366e-10 	 
2.281799e+00 	 1.372051e-10 	 
2.309969e+00 	 2.420013e-10 	 
2.338140e+00 	 1.140937e-10 	 
2.366310e+00 	 2.727241e-10 	 
2.394480e+00 	 4.073660e-10 	 
2.422651e+00 	 2.239996e-10 	 
