f	SCd	
0.000000e+00 	 1.666173e-04 	 
3.396973e-02 	 1.663374e-03 	 
6.793946e-02 	 6.052126e-04 	 
1.019092e-01 	 5.729250e-04 	 
1.358789e-01 	 8.230974e-04 	 
1.698486e-01 	 5.432310e-04 	 
2.038184e-01 	 5.530456e-04 	 
2.377881e-01 	 1.755127e-04 	 
2.717578e-01 	 1.978768e-05 	 
3.057276e-01 	 2.209584e-05 	 
3.396973e-01 	 1.161477e-05 	 
3.736670e-01 	 1.228509e-05 	 
4.076368e-01 	 1.323088e-05 	 
4.416065e-01 	 6.000199e-06 	 
4.755762e-01 	 1.064600e-05 	 
5.095459e-01 	 9.705864e-06 	 
5.435157e-01 	 5.470536e-06 	 
5.774854e-01 	 6.465568e-06 	 
6.114551e-01 	 1.247665e-05 	 
6.454249e-01 	 8.325051e-06 	 
6.793946e-01 	 4.968186e-06 	 
7.133643e-01 	 4.050394e-06 	 
7.473341e-01 	 2.926967e-06 	 
7.813038e-01 	 2.301841e-06 	 
8.152735e-01 	 1.679619e-06 	 
8.492432e-01 	 1.888897e-06 	 
8.832130e-01 	 1.404658e-06 	 
9.171827e-01 	 4.061969e-07 	 
9.511524e-01 	 3.613213e-07 	 
9.851222e-01 	 4.136513e-07 	 
1.019092e+00 	 2.653689e-07 	 
1.053062e+00 	 8.291199e-07 	 
1.087031e+00 	 6.878084e-07 	 
1.121001e+00 	 4.993035e-07 	 
1.154971e+00 	 3.806446e-07 	 
1.188941e+00 	 1.931535e-07 	 
1.222910e+00 	 1.480268e-07 	 
1.256880e+00 	 1.948061e-07 	 
1.290850e+00 	 2.458972e-07 	 
1.324819e+00 	 1.842055e-07 	 
1.358789e+00 	 7.192701e-08 	 
1.392759e+00 	 1.890783e-07 	 
1.426729e+00 	 2.398383e-07 	 
1.460698e+00 	 1.595709e-07 	 
1.494668e+00 	 9.943227e-08 	 
1.528638e+00 	 4.632303e-08 	 
1.562608e+00 	 4.894989e-08 	 
1.596577e+00 	 9.037489e-08 	 
1.630547e+00 	 7.622898e-08 	 
1.664517e+00 	 9.990788e-08 	 
1.698486e+00 	 9.767794e-08 	 
1.732456e+00 	 6.980497e-08 	 
1.766426e+00 	 4.834846e-08 	 
1.800396e+00 	 3.119250e-08 	 
1.834365e+00 	 3.042028e-08 	 
1.868335e+00 	 4.200761e-08 	 
1.902305e+00 	 7.306011e-08 	 
1.936275e+00 	 7.837743e-08 	 
1.970244e+00 	 3.121205e-08 	 
2.004214e+00 	 2.470993e-08 	 
2.038184e+00 	 9.849706e-09 	 
2.072154e+00 	 6.122001e-09 	 
2.106123e+00 	 8.606380e-09 	 
2.140093e+00 	 2.328410e-08 	 
2.174063e+00 	 3.794640e-08 	 
2.208032e+00 	 2.279411e-08 	 
2.242002e+00 	 6.915180e-08 	 
2.275972e+00 	 4.065529e-08 	 
2.309942e+00 	 2.907590e-08 	 
2.343911e+00 	 3.138519e-08 	 
2.377881e+00 	 3.449686e-08 	 
2.411851e+00 	 5.489268e-08 	 
2.445821e+00 	 2.949853e-08 	 
2.479790e+00 	 1.354569e-08 	 
2.513760e+00 	 1.061225e-08 	 
2.547730e+00 	 1.996008e-08 	 
2.581699e+00 	 3.551906e-08 	 
2.615669e+00 	 1.730447e-08 	 
2.649639e+00 	 2.056287e-08 	 
2.683609e+00 	 2.064932e-08 	 
2.717578e+00 	 1.208428e-08 	 
2.751548e+00 	 3.332043e-09 	 
2.785518e+00 	 1.294153e-08 	 
2.819488e+00 	 1.995792e-08 	 
2.853457e+00 	 1.240414e-08 	 
2.887427e+00 	 8.950912e-09 	 
2.921397e+00 	 1.009540e-08 	 
2.955366e+00 	 1.194190e-08 	 
2.989336e+00 	 8.941896e-09 	 
3.023306e+00 	 6.116938e-09 	 
3.057276e+00 	 1.403651e-08 	 
3.091245e+00 	 1.381715e-08 	 
3.125215e+00 	 5.039412e-09 	 
3.159185e+00 	 7.393613e-09 	 
3.193155e+00 	 8.159031e-09 	 
3.227124e+00 	 1.217324e-08 	 
3.261094e+00 	 1.441146e-08 	 
3.295064e+00 	 4.594918e-09 	 
3.329034e+00 	 4.026691e-09 	 
3.363003e+00 	 1.511271e-09 	 
3.396973e+00 	 1.945334e-09 	 
3.430943e+00 	 7.375250e-09 	 
3.464912e+00 	 1.013766e-08 	 
3.498882e+00 	 9.240522e-09 	 
3.532852e+00 	 4.762974e-09 	 
3.566822e+00 	 4.968836e-09 	 
3.600791e+00 	 8.297014e-09 	 
3.634761e+00 	 1.009303e-08 	 
3.668731e+00 	 5.787232e-09 	 
3.702701e+00 	 2.383466e-09 	 
3.736670e+00 	 3.737157e-09 	 
3.770640e+00 	 7.928832e-09 	 
3.804610e+00 	 6.399139e-09 	 
3.838579e+00 	 4.714611e-09 	 
3.872549e+00 	 5.153581e-09 	 
3.906519e+00 	 3.484477e-09 	 
3.940489e+00 	 4.570033e-09 	 
3.974458e+00 	 6.092011e-09 	 
4.008428e+00 	 2.192667e-09 	 
4.042398e+00 	 7.542484e-10 	 
4.076368e+00 	 8.339275e-10 	 
4.110337e+00 	 1.103402e-09 	 
4.144307e+00 	 1.080248e-09 	 
4.178277e+00 	 1.488095e-09 	 
4.212246e+00 	 1.301231e-09 	 
4.246216e+00 	 2.160823e-09 	 
4.280186e+00 	 1.307963e-09 	 
4.314156e+00 	 1.948804e-09 	 
4.348125e+00 	 1.356306e-09 	 
4.382095e+00 	 1.265598e-09 	 
4.416065e+00 	 2.858727e-09 	 
4.450035e+00 	 3.270483e-09 	 
4.484004e+00 	 6.233710e-10 	 
4.517974e+00 	 2.396410e-09 	 
4.551944e+00 	 2.614190e-09 	 
4.585914e+00 	 1.006040e-09 	 
4.619883e+00 	 1.271557e-09 	 
4.653853e+00 	 2.218660e-09 	 
4.687823e+00 	 1.706088e-09 	 
4.721792e+00 	 9.758832e-10 	 
4.755762e+00 	 1.820789e-09 	 
4.789732e+00 	 1.092009e-09 	 
4.823702e+00 	 1.436524e-09 	 
4.857671e+00 	 2.635912e-09 	 
4.891641e+00 	 1.711862e-09 	 
4.925611e+00 	 2.078467e-09 	 
