f	SCl	
0.000000e+00 	 2.608954e-03 	 
3.396973e-02 	 1.050548e-02 	 
6.793946e-02 	 7.187772e-03 	 
1.019092e-01 	 4.402870e-03 	 
1.358789e-01 	 3.959135e-03 	 
1.698486e-01 	 3.807010e-03 	 
2.038184e-01 	 5.664709e-03 	 
2.377881e-01 	 1.849252e-03 	 
2.717578e-01 	 1.209986e-04 	 
3.057276e-01 	 7.919663e-05 	 
3.396973e-01 	 2.808902e-05 	 
3.736670e-01 	 6.133187e-05 	 
4.076368e-01 	 5.678986e-05 	 
4.416065e-01 	 3.504479e-05 	 
4.755762e-01 	 4.990406e-05 	 
5.095459e-01 	 3.852042e-05 	 
5.435157e-01 	 2.573064e-05 	 
5.774854e-01 	 1.819537e-05 	 
6.114551e-01 	 2.783670e-05 	 
6.454249e-01 	 1.811872e-05 	 
6.793946e-01 	 1.420295e-05 	 
7.133643e-01 	 1.334102e-05 	 
7.473341e-01 	 6.845160e-06 	 
7.813038e-01 	 5.515263e-06 	 
8.152735e-01 	 3.053388e-06 	 
8.492432e-01 	 3.537060e-06 	 
8.832130e-01 	 3.580998e-06 	 
9.171827e-01 	 1.384966e-06 	 
9.511524e-01 	 5.604683e-07 	 
9.851222e-01 	 4.994153e-07 	 
1.019092e+00 	 1.136055e-06 	 
1.053062e+00 	 2.878386e-06 	 
1.087031e+00 	 2.553092e-06 	 
1.121001e+00 	 1.919658e-06 	 
1.154971e+00 	 1.331398e-06 	 
1.188941e+00 	 5.289780e-07 	 
1.222910e+00 	 5.826110e-07 	 
1.256880e+00 	 7.824663e-07 	 
1.290850e+00 	 8.427559e-07 	 
1.324819e+00 	 9.073135e-07 	 
1.358789e+00 	 6.334825e-07 	 
1.392759e+00 	 8.690146e-07 	 
1.426729e+00 	 1.017927e-06 	 
1.460698e+00 	 7.772310e-07 	 
1.494668e+00 	 3.015736e-07 	 
1.528638e+00 	 7.221565e-08 	 
1.562608e+00 	 2.220043e-07 	 
1.596577e+00 	 4.007988e-07 	 
1.630547e+00 	 3.114171e-07 	 
1.664517e+00 	 3.819288e-07 	 
1.698486e+00 	 3.925071e-07 	 
1.732456e+00 	 1.694732e-07 	 
1.766426e+00 	 8.348349e-08 	 
1.800396e+00 	 1.095255e-07 	 
1.834365e+00 	 2.349818e-07 	 
1.868335e+00 	 2.488528e-07 	 
1.902305e+00 	 9.808767e-08 	 
1.936275e+00 	 3.004089e-07 	 
1.970244e+00 	 2.582270e-07 	 
2.004214e+00 	 1.572541e-07 	 
2.038184e+00 	 3.954839e-08 	 
2.072154e+00 	 1.951591e-08 	 
2.106123e+00 	 3.221253e-08 	 
2.140093e+00 	 8.582346e-08 	 
2.174063e+00 	 1.004754e-07 	 
2.208032e+00 	 1.086129e-07 	 
2.242002e+00 	 2.218214e-07 	 
2.275972e+00 	 8.799517e-08 	 
2.309942e+00 	 4.495397e-08 	 
2.343911e+00 	 3.894221e-08 	 
2.377881e+00 	 1.262424e-07 	 
2.411851e+00 	 2.358903e-07 	 
2.445821e+00 	 2.065774e-07 	 
2.479790e+00 	 5.692194e-08 	 
2.513760e+00 	 2.313308e-08 	 
2.547730e+00 	 6.108094e-08 	 
2.581699e+00 	 1.228582e-07 	 
2.615669e+00 	 4.365999e-08 	 
2.649639e+00 	 6.532907e-08 	 
2.683609e+00 	 9.315378e-08 	 
2.717578e+00 	 5.255577e-08 	 
2.751548e+00 	 5.022545e-08 	 
2.785518e+00 	 1.348666e-07 	 
2.819488e+00 	 8.365379e-08 	 
2.853457e+00 	 5.543986e-08 	 
2.887427e+00 	 4.794921e-08 	 
2.921397e+00 	 2.900830e-08 	 
2.955366e+00 	 6.117448e-08 	 
2.989336e+00 	 5.573714e-08 	 
3.023306e+00 	 2.945453e-08 	 
3.057276e+00 	 4.805520e-08 	 
3.091245e+00 	 6.271142e-08 	 
3.125215e+00 	 3.205362e-08 	 
3.159185e+00 	 5.454132e-08 	 
3.193155e+00 	 4.423890e-08 	 
3.227124e+00 	 6.965614e-08 	 
3.261094e+00 	 1.107469e-07 	 
3.295064e+00 	 2.745241e-08 	 
3.329034e+00 	 3.509196e-08 	 
3.363003e+00 	 3.637492e-08 	 
3.396973e+00 	 3.668124e-08 	 
3.430943e+00 	 5.493174e-08 	 
3.464912e+00 	 4.073371e-08 	 
3.498882e+00 	 3.566121e-08 	 
3.532852e+00 	 4.287745e-08 	 
3.566822e+00 	 4.377295e-08 	 
3.600791e+00 	 7.303110e-08 	 
3.634761e+00 	 4.071951e-08 	 
