f	SCd	
0.000000e+00 	 7.363994e-06 	 
3.397000e-02 	 6.457249e-04 	 
6.794000e-02 	 8.942667e-04 	 
1.019100e-01 	 5.233773e-04 	 
1.358800e-01 	 4.371065e-04 	 
1.698500e-01 	 3.641217e-04 	 
2.038200e-01 	 1.154533e-04 	 
2.377900e-01 	 9.769653e-06 	 
2.717600e-01 	 1.748062e-05 	 
3.057300e-01 	 1.930520e-05 	 
3.397000e-01 	 1.027241e-05 	 
3.736700e-01 	 4.829729e-06 	 
4.076400e-01 	 2.546434e-06 	 
4.416100e-01 	 4.404187e-06 	 
4.755800e-01 	 3.061569e-06 	 
5.095500e-01 	 1.697202e-06 	 
5.435200e-01 	 8.076260e-07 	 
5.774900e-01 	 4.726437e-07 	 
6.114600e-01 	 2.118301e-07 	 
6.454300e-01 	 2.398957e-07 	 
6.794000e-01 	 3.119190e-07 	 
7.133700e-01 	 3.802570e-07 	 
7.473400e-01 	 2.936470e-07 	 
7.813100e-01 	 1.479864e-07 	 
8.152800e-01 	 1.232593e-07 	 
8.492500e-01 	 2.599816e-07 	 
8.832200e-01 	 3.861778e-07 	 
9.171900e-01 	 3.391043e-07 	 
9.511600e-01 	 1.674264e-07 	 
9.851300e-01 	 1.119678e-07 	 
1.019100e+00 	 1.809705e-07 	 
1.053070e+00 	 1.720384e-07 	 
1.087040e+00 	 1.508962e-07 	 
1.121010e+00 	 6.431451e-08 	 
1.154980e+00 	 5.915909e-08 	 
1.188950e+00 	 6.671735e-08 	 
1.222920e+00 	 7.690692e-08 	 
1.256890e+00 	 1.657238e-07 	 
1.290860e+00 	 1.288445e-07 	 
1.324830e+00 	 5.830474e-08 	 
1.358800e+00 	 1.397200e-07 	 
1.392770e+00 	 1.120735e-07 	 
1.426740e+00 	 3.666477e-08 	 
1.460710e+00 	 5.371198e-08 	 
1.494680e+00 	 4.600356e-08 	 
1.528650e+00 	 2.682495e-08 	 
1.562620e+00 	 3.270694e-08 	 
1.596590e+00 	 1.954843e-08 	 
1.630560e+00 	 6.051364e-08 	 
1.664530e+00 	 4.257947e-08 	 
1.698500e+00 	 4.232005e-08 	 
1.732470e+00 	 2.773947e-08 	 
1.766440e+00 	 1.564215e-08 	 
1.800410e+00 	 3.487803e-08 	 
1.834380e+00 	 4.718209e-08 	 
