f	SCl	
0.000000e+00 	 5.559283e-05 	 
3.397000e-02 	 1.714627e-03 	 
6.794000e-02 	 2.079352e-03 	 
1.019100e-01 	 1.428626e-03 	 
1.358800e-01 	 9.028090e-04 	 
1.698500e-01 	 1.013583e-03 	 
2.038200e-01 	 4.157838e-04 	 
2.377900e-01 	 4.785440e-05 	 
2.717600e-01 	 5.835279e-05 	 
3.057300e-01 	 7.001763e-05 	 
3.397000e-01 	 3.698154e-05 	 
3.736700e-01 	 1.299383e-05 	 
4.076400e-01 	 5.918525e-06 	 
4.416100e-01 	 1.239874e-05 	 
4.755800e-01 	 1.225237e-05 	 
5.095500e-01 	 4.483276e-06 	 
5.435200e-01 	 2.869338e-06 	 
5.774900e-01 	 5.682077e-07 	 
6.114600e-01 	 7.014952e-07 	 
6.454300e-01 	 8.269970e-07 	 
6.794000e-01 	 1.668497e-06 	 
7.133700e-01 	 1.723637e-06 	 
7.473400e-01 	 1.258700e-06 	 
7.813100e-01 	 3.417654e-07 	 
8.152800e-01 	 3.100290e-07 	 
8.492500e-01 	 6.714361e-07 	 
8.832200e-01 	 5.546214e-07 	 
9.171900e-01 	 6.726024e-07 	 
9.511600e-01 	 3.781673e-07 	 
9.851300e-01 	 1.266558e-07 	 
1.019100e+00 	 3.661310e-07 	 
1.053070e+00 	 4.737816e-07 	 
1.087040e+00 	 2.127361e-07 	 
1.121010e+00 	 1.315758e-07 	 
1.154980e+00 	 3.200780e-07 	 
1.188950e+00 	 2.542094e-07 	 
1.222920e+00 	 1.853324e-07 	 
1.256890e+00 	 4.260250e-07 	 
1.290860e+00 	 2.065893e-07 	 
1.324830e+00 	 1.847002e-07 	 
1.358800e+00 	 2.180145e-07 	 
1.392770e+00 	 1.914895e-07 	 
1.426740e+00 	 1.739351e-07 	 
1.460710e+00 	 2.152029e-07 	 
1.494680e+00 	 1.373041e-07 	 
1.528650e+00 	 8.269641e-08 	 
1.562620e+00 	 8.149108e-08 	 
1.596590e+00 	 1.247139e-07 	 
1.630560e+00 	 1.931738e-07 	 
1.664530e+00 	 8.804054e-08 	 
1.698500e+00 	 3.917839e-08 	 
1.732470e+00 	 9.488615e-08 	 
1.766440e+00 	 7.975700e-08 	 
1.800410e+00 	 7.977104e-08 	 
1.834380e+00 	 9.492456e-08 	 
1.868350e+00 	 3.896675e-08 	 
1.902320e+00 	 3.591737e-08 	 
1.936290e+00 	 3.987139e-08 	 
1.970260e+00 	 8.516076e-08 	 
2.004230e+00 	 1.079587e-07 	 
2.038200e+00 	 5.224164e-08 	 
2.072170e+00 	 5.424454e-08 	 
2.106140e+00 	 1.475652e-08 	 
2.140110e+00 	 3.228923e-08 	 
2.174080e+00 	 7.153943e-08 	 
2.208050e+00 	 9.563731e-08 	 
2.242020e+00 	 7.597443e-08 	 
2.275990e+00 	 3.714521e-08 	 
2.309960e+00 	 4.051351e-08 	 
2.343930e+00 	 2.649899e-08 	 
2.377900e+00 	 4.554189e-08 	 
2.411870e+00 	 5.693294e-08 	 
2.445840e+00 	 5.681179e-08 	 
2.479810e+00 	 3.896919e-08 	 
2.513780e+00 	 2.482130e-08 	 
2.547750e+00 	 3.373359e-08 	 
2.581720e+00 	 4.566939e-08 	 
2.615690e+00 	 3.612426e-08 	 
