f	SCd	
0.000000e+00 	 6.609726e-10 	 
2.817031e-02 	 5.187722e-09 	 
5.634062e-02 	 2.473680e-09 	 
8.451093e-02 	 3.963696e-09 	 
1.126812e-01 	 3.083981e-09 	 
1.408516e-01 	 4.256450e-09 	 
1.690219e-01 	 3.097492e-09 	 
1.971922e-01 	 7.838236e-10 	 
2.253625e-01 	 1.339136e-09 	 
2.535328e-01 	 3.652482e-10 	 
2.817031e-01 	 4.406897e-10 	 
3.098734e-01 	 1.708161e-10 	 
3.380437e-01 	 5.670204e-11 	 
3.662140e-01 	 8.590188e-11 	 
3.943843e-01 	 1.134336e-10 	 
4.225547e-01 	 4.131766e-11 	 
4.507250e-01 	 1.262100e-10 	 
4.788953e-01 	 2.846648e-10 	 
5.070656e-01 	 9.390766e-11 	 
5.352359e-01 	 5.784897e-11 	 
5.634062e-01 	 1.807659e-10 	 
5.915765e-01 	 1.836534e-10 	 
6.197468e-01 	 3.036986e-11 	 
6.479171e-01 	 2.404498e-11 	 
6.760875e-01 	 3.738520e-11 	 
7.042578e-01 	 5.201583e-11 	 
7.324281e-01 	 3.113409e-11 	 
7.605984e-01 	 4.464723e-12 	 
7.887687e-01 	 2.739428e-11 	 
8.169390e-01 	 2.713759e-11 	 
8.451093e-01 	 1.100111e-11 	 
8.732796e-01 	 3.421199e-11 	 
9.014499e-01 	 5.115481e-11 	 
9.296203e-01 	 2.622786e-11 	 
9.577906e-01 	 2.381798e-11 	 
9.859609e-01 	 2.915433e-11 	 
1.014131e+00 	 1.460773e-11 	 
1.042301e+00 	 1.093398e-11 	 
1.070472e+00 	 3.665909e-11 	 
1.098642e+00 	 5.102123e-11 	 
1.126812e+00 	 3.367659e-11 	 
1.154983e+00 	 1.648633e-11 	 
1.183153e+00 	 1.826997e-11 	 
1.211323e+00 	 1.305715e-11 	 
1.239494e+00 	 2.834856e-11 	 
1.267664e+00 	 2.240902e-11 	 
1.295834e+00 	 1.566142e-11 	 
1.324005e+00 	 2.034399e-11 	 
1.352175e+00 	 1.236341e-11 	 
1.380345e+00 	 5.018755e-12 	 
1.408516e+00 	 6.016685e-12 	 
1.436686e+00 	 1.697011e-12 	 
1.464856e+00 	 1.383485e-11 	 
1.493026e+00 	 1.537259e-11 	 
1.521197e+00 	 1.077055e-11 	 
1.549367e+00 	 5.530274e-12 	 
1.577537e+00 	 1.532923e-11 	 
1.605708e+00 	 1.943653e-11 	 
1.633878e+00 	 2.119990e-12 	 
1.662048e+00 	 4.721172e-12 	 
1.690219e+00 	 5.301920e-12 	 
1.718389e+00 	 5.776446e-12 	 
1.746559e+00 	 2.301898e-12 	 
1.774730e+00 	 4.269077e-12 	 
1.802900e+00 	 5.267015e-12 	 
1.831070e+00 	 2.596059e-12 	 
1.859241e+00 	 3.449647e-12 	 
1.887411e+00 	 3.250367e-12 	 
1.915581e+00 	 5.796690e-12 	 
1.943751e+00 	 1.563997e-11 	 
1.971922e+00 	 1.260780e-11 	 
2.000092e+00 	 1.003496e-11 	 
2.028262e+00 	 3.817191e-12 	 
2.056433e+00 	 3.333157e-12 	 
2.084603e+00 	 4.934127e-12 	 
2.112773e+00 	 2.146466e-12 	 
2.140944e+00 	 3.443307e-12 	 
2.169114e+00 	 6.567996e-12 	 
2.197284e+00 	 4.655687e-12 	 
2.225455e+00 	 1.579802e-12 	 
2.253625e+00 	 2.660011e-12 	 
2.281795e+00 	 6.362020e-12 	 
2.309965e+00 	 1.500586e-12 	 
2.338136e+00 	 2.390794e-12 	 
2.366306e+00 	 5.751931e-12 	 
2.394476e+00 	 1.039317e-11 	 
2.422647e+00 	 2.093808e-13 	 
