x0	Forced	x1	Inflow	x2	G2	x3	G3	x4	G4	x5	3DU	
1.902651e-03 	 4.696520e-02 	1.902651e-03 	 4.900440e-02 	1.902651e-03 	 4.900580e-02 	1.902651e-03 	 5.965413e-02 	1.902651e-03 	 5.764093e-02 	2.997280e-02 	 2.997280e-02 	 
3.552651e-03 	 5.175280e-02 	3.552651e-03 	 4.578820e-02 	3.222651e-03 	 5.280880e-02 	2.452651e-03 	 5.282627e-02 	2.452651e-03 	 4.968960e-02 	3.269750e-02 	 2.090950e-02 	 
6.992651e-03 	 6.419280e-02 	6.992651e-03 	 5.538140e-02 	5.992651e-03 	 6.713300e-02 	3.532651e-03 	 6.999747e-02 	3.532651e-03 	 6.890067e-02 	3.542230e-02 	 1.849780e-02 	 
1.146265e-02 	 5.358180e-02 	1.146265e-02 	 5.046500e-02 	9.692651e-03 	 6.009440e-02 	5.072651e-03 	 7.613160e-02 	5.072651e-03 	 7.404693e-02 	4.087190e-02 	 1.593580e-02 	 
1.648265e-02 	 3.668840e-02 	1.648265e-02 	 3.492920e-02 	1.391265e-02 	 4.361880e-02 	6.962651e-03 	 6.848400e-02 	6.962651e-03 	 6.748387e-02 	4.359670e-02 	 1.382570e-02 	 
2.181265e-02 	 3.072280e-02 	2.181265e-02 	 2.849100e-02 	1.844265e-02 	 3.676380e-02 	9.102651e-03 	 6.378267e-02 	9.102651e-03 	 6.467307e-02 	4.904630e-02 	 1.186670e-02 	 
2.733265e-02 	 2.501200e-02 	2.733265e-02 	 2.304820e-02 	2.316265e-02 	 3.036260e-02 	1.142265e-02 	 5.552320e-02 	1.142265e-02 	 5.358760e-02 	5.177110e-02 	 9.907300e-03 	 
3.297265e-02 	 1.789520e-02 	3.297265e-02 	 1.613160e-02 	2.801265e-02 	 2.284560e-02 	1.388265e-02 	 4.592640e-02 	1.388265e-02 	 4.640773e-02 	5.994550e-02 	 7.194970e-03 	 
3.870265e-02 	 1.393640e-02 	3.870265e-02 	 1.176380e-02 	3.295265e-02 	 1.875700e-02 	1.643265e-02 	 4.050813e-02 	1.643265e-02 	 4.113853e-02 	6.267030e-02 	 5.537090e-03 	 
4.445265e-02 	 1.109300e-02 	4.445265e-02 	 8.837000e-03 	3.793265e-02 	 1.553700e-02 	1.903265e-02 	 3.536720e-02 	1.903265e-02 	 3.452800e-02 	7.084470e-02 	 4.030780e-03 	 
5.019265e-02 	 8.002800e-03 	5.019265e-02 	 5.870200e-03 	4.288265e-02 	 1.192980e-02 	2.161265e-02 	 3.060813e-02 	2.161265e-02 	 3.117413e-02 	7.901910e-02 	 2.072210e-03 	 
5.593265e-02 	 5.905800e-03 	5.593265e-02 	 3.726400e-03 	4.783265e-02 	 9.445800e-03 	2.420265e-02 	 2.742160e-02 	2.418265e-02 	 2.767920e-02 	9.264310e-02 	 8.682380e-04 	 
6.166265e-02 	 4.453400e-03 	6.166265e-02 	 2.333400e-03 	5.276265e-02 	 7.622000e-03 	2.678265e-02 	 2.442987e-02 	2.675265e-02 	 2.439253e-02 	1.062670e-01 	 -3.357390e-04 	 
6.739265e-02 	 3.058600e-03 	6.739265e-02 	 1.049600e-03 	5.769265e-02 	 5.839600e-03 	2.938265e-02 	 2.151440e-02 	2.931265e-02 	 2.207800e-02 	1.226160e-01 	 -1.237800e-03 	 
7.313265e-02 	 2.039600e-03 	7.313265e-02 	 1.232000e-04 	6.260265e-02 	 4.506800e-03 	3.199265e-02 	 1.915200e-02 	3.186265e-02 	 1.942773e-02 	1.416890e-01 	 -1.837940e-03 	 
7.888265e-02 	 1.231200e-03 	7.888265e-02 	 -5.106000e-04 	6.751265e-02 	 3.433000e-03 	3.461265e-02 	 1.687960e-02 	3.442265e-02 	 1.726173e-02 	1.716620e-01 	 -1.984170e-03 	 
8.463265e-02 	 5.768000e-04 	8.463265e-02 	 -1.025200e-03 	7.242265e-02 	 2.488400e-03 	3.726265e-02 	 1.478027e-02 	3.697265e-02 	 1.533107e-02 	2.016350e-01 	 -1.678150e-03 	 
9.041265e-02 	 2.058000e-04 	9.041265e-02 	 -1.374600e-03 	7.732265e-02 	 1.751000e-03 	3.993265e-02 	 1.297040e-02 	3.952265e-02 	 1.344000e-02 	2.316080e-01 	 -1.372120e-03 	 
9.620265e-02 	 -9.020000e-05 	9.620265e-02 	 -1.603200e-03 	8.221265e-02 	 1.108000e-03 	4.263265e-02 	 1.130320e-02 	4.207265e-02 	 1.192293e-02 	2.643050e-01 	 -1.216440e-03 	 
1.020127e-01 	 -5.128000e-04 	1.020127e-01 	 -1.757400e-03 	8.710265e-02 	 5.708000e-04 	4.536265e-02 	 9.809067e-03 	4.463265e-02 	 1.046387e-02 	2.888280e-01 	 -1.061990e-03 	 
1.078427e-01 	 -9.112000e-04 	1.078427e-01 	 -1.842600e-03 	9.199265e-02 	 2.436000e-04 	4.812265e-02 	 8.492533e-03 	4.718265e-02 	 9.186000e-03 	3.188010e-01 	 -9.067130e-04 	 
1.137027e-01 	 -1.127600e-03 	1.137027e-01 	 -1.877400e-03 	9.688265e-02 	 4.200000e-06 	5.092265e-02 	 7.294400e-03 	4.974265e-02 	 8.077200e-03 	3.487740e-01 	 -7.514410e-04 	 
1.195827e-01 	 -1.193800e-03 	1.195827e-01 	 -1.878800e-03 	1.017627e-01 	 -3.316000e-04 	5.376265e-02 	 6.221600e-03 	5.230265e-02 	 7.021067e-03 	3.841960e-01 	 -7.461010e-04 	 
1.254927e-01 	 -1.174000e-03 	1.254927e-01 	 -1.855600e-03 	1.066427e-01 	 -6.946000e-04 	5.665265e-02 	 5.256400e-03 	5.486265e-02 	 6.110933e-03 	4.196190e-01 	 -5.900070e-04 	 
1.314327e-01 	 -1.094200e-03 	1.314327e-01 	 -1.813800e-03 	1.115227e-01 	 -9.260000e-04 	5.958265e-02 	 4.380267e-03 	5.743265e-02 	 5.274667e-03 	4.441420e-01 	 -8.878180e-04 	 
1.374027e-01 	 -1.009000e-03 	1.374027e-01 	 -1.759800e-03 	1.163927e-01 	 -1.049400e-03 	6.255265e-02 	 3.587333e-03 	6.001265e-02 	 4.508933e-03 	4.523160e-01 	 -1.037340e-03 	 
1.434027e-01 	 -9.916000e-04 	1.434027e-01 	 -1.698800e-03 	1.212727e-01 	 -1.135200e-03 	6.558265e-02 	 2.872267e-03 	6.258265e-02 	 3.830133e-03 	4.632150e-01 	 -1.487960e-03 	 
1.494327e-01 	 -1.093600e-03 	1.494327e-01 	 -1.633200e-03 	1.261427e-01 	 -1.179200e-03 	6.866265e-02 	 2.222267e-03 	6.517265e-02 	 3.198667e-03 	4.741140e-01 	 -1.938580e-03 	 
1.555027e-01 	 -1.276400e-03 	1.555027e-01 	 -1.566400e-03 	1.310127e-01 	 -1.161400e-03 	7.179265e-02 	 1.634800e-03 	6.776265e-02 	 2.631733e-03 	4.822890e-01 	 -2.691110e-03 	 
1.616127e-01 	 -1.407600e-03 	1.616127e-01 	 -1.499000e-03 	1.358927e-01 	 -1.108800e-03 	7.498265e-02 	 1.107333e-03 	7.036265e-02 	 2.115200e-03 	4.904630e-01 	 -3.292890e-03 	 
1.677527e-01 	 -1.381000e-03 	1.677527e-01 	 -1.432800e-03 	1.407627e-01 	 -1.066600e-03 	7.822265e-02 	 6.321333e-04 	7.296265e-02 	 1.641600e-03 	4.986380e-01 	 -4.346940e-03 	 
1.739327e-01 	 -1.225000e-03 	1.739327e-01 	 -1.368600e-03 	1.456327e-01 	 -1.071200e-03 	8.153265e-02 	 2.082667e-04 	7.557265e-02 	 1.216267e-03 	5.068120e-01 	 -5.250230e-03 	 
1.801527e-01 	 -1.062000e-03 	1.801527e-01 	 -1.305600e-03 	1.505027e-01 	 -1.144400e-03 	8.489265e-02 	 -1.700000e-04 	7.819265e-02 	 8.258667e-04 	5.122620e-01 	 -6.304680e-03 	 
1.864127e-01 	 -9.806000e-04 	1.864127e-01 	 -1.246400e-03 	1.553727e-01 	 -1.276400e-03 	8.832265e-02 	 -5.037333e-04 	8.081265e-02 	 4.740000e-04 	5.204360e-01 	 -7.057220e-03 	 
1.927027e-01 	 -9.946000e-04 	1.927027e-01 	 -1.189000e-03 	1.602427e-01 	 -1.408200e-03 	9.181265e-02 	 -7.962667e-04 	8.345265e-02 	 1.553333e-04 	5.286100e-01 	 -7.508250e-03 	 
1.990427e-01 	 -1.068200e-03 	1.990427e-01 	 -1.134800e-03 	1.651127e-01 	 -1.464400e-03 	9.537265e-02 	 -1.049467e-03 	8.609265e-02 	 -1.338667e-04 	5.395100e-01 	 -7.808110e-03 	 
2.054227e-01 	 -1.135200e-03 	2.054227e-01 	 -1.083400e-03 	1.699827e-01 	 -1.418400e-03 	9.899265e-02 	 -1.268267e-03 	8.874265e-02 	 -3.926667e-04 	5.504090e-01 	 -7.354210e-03 	 
2.118327e-01 	 -1.129200e-03 	2.118327e-01 	 -1.035800e-03 	1.748527e-01 	 -1.300600e-03 	1.026827e-01 	 -1.451733e-03 	9.140265e-02 	 -6.250667e-04 	5.585830e-01 	 -6.599210e-03 	 
2.182927e-01 	 -1.042600e-03 	2.182927e-01 	 -9.908000e-04 	1.797227e-01 	 -1.169800e-03 	1.064427e-01 	 -1.606800e-03 	9.407265e-02 	 -8.337333e-04 	5.640330e-01 	 -5.693860e-03 	 
2.247927e-01 	 -9.440000e-04 	2.247927e-01 	 -9.506000e-04 	1.846027e-01 	 -1.076000e-03 	1.102727e-01 	 -1.732267e-03 	9.675265e-02 	 -1.018933e-03 	5.722070e-01 	 -4.938860e-03 	 
2.313327e-01 	 -8.960000e-04 	2.313327e-01 	 -9.122000e-04 	1.894727e-01 	 -1.050200e-03 	1.141627e-01 	 -1.832667e-03 	9.944265e-02 	 -1.182267e-03 	5.803810e-01 	 -4.033110e-03 	 
2.379227e-01 	 -8.882000e-04 	2.379227e-01 	 -8.744000e-04 	1.943527e-01 	 -1.086600e-03 	1.181327e-01 	 -1.911067e-03 	1.021427e-01 	 -1.326800e-03 	5.885560e-01 	 -2.976600e-03 	 
2.445427e-01 	 -8.800000e-04 	2.445427e-01 	 -8.380000e-04 	1.992227e-01 	 -1.165600e-03 	1.221727e-01 	 -1.967200e-03 	1.048527e-01 	 -1.452533e-03 	5.967300e-01 	 -1.618580e-03 	 
2.512027e-01 	 -8.626000e-04 	2.512027e-01 	 -8.022000e-04 	2.041027e-01 	 -1.245200e-03 	1.262827e-01 	 -2.004400e-03 	1.075727e-01 	 -1.561600e-03 	6.021800e-01 	 -7.132390e-04 	 
2.579127e-01 	 -8.524000e-04 	2.579127e-01 	 -7.690000e-04 	2.089827e-01 	 -1.279800e-03 	1.304727e-01 	 -2.028000e-03 	1.103027e-01 	 -1.656400e-03 	6.103540e-01 	 6.447770e-04 	 
2.646527e-01 	 -8.440000e-04 	2.646527e-01 	 -7.370000e-04 	2.138527e-01 	 -1.241200e-03 	1.347227e-01 	 -2.034667e-03 	1.130527e-01 	 -1.737067e-03 	6.185290e-01 	 1.701290e-03 	 
2.714427e-01 	 -8.158000e-04 	2.714427e-01 	 -7.066000e-04 	2.187327e-01 	 -1.155000e-03 	1.390527e-01 	 -2.031467e-03 	1.158027e-01 	 -1.803733e-03 	6.267030e-01 	 2.607040e-03 	 
2.782727e-01 	 -7.742000e-04 	2.782727e-01 	 -6.752000e-04 	2.236227e-01 	 -1.072400e-03 	1.434527e-01 	 -2.017067e-03 	1.185727e-01 	 -1.860000e-03 	6.348770e-01 	 3.663550e-03 	 
2.851327e-01 	 -7.480000e-04 	2.851327e-01 	 -6.404000e-04 	2.285027e-01 	 -1.023000e-03 	1.479327e-01 	 -1.994667e-03 	1.213527e-01 	 -1.905733e-03 	6.457770e-01 	 4.569720e-03 	 
