x0	g1_up	x1	dns_up	x2	g1_bot	x3	dns_bot	
-5.000000e-01 	 8.221605e-02 	-4.750813e-01 	 2.486478e-02 	-5.000000e-01 	 -7.767698e-02 	-4.927586e-01 	 -1.667412e-05 	 
-4.999955e-01 	 7.668338e-02 	-4.723079e-01 	 2.291953e-02 	-4.999955e-01 	 -7.407105e-02 	-4.913105e-01 	 2.952683e-03 	 
-4.999821e-01 	 7.961458e-02 	-4.695352e-01 	 2.092308e-02 	-4.999821e-01 	 -7.355487e-02 	-4.893831e-01 	 6.689983e-03 	 
-4.999596e-01 	 8.154896e-02 	-4.667642e-01 	 1.882425e-02 	-4.999596e-01 	 -7.217208e-02 	-4.893464e-01 	 9.044934e-03 	 
-4.999282e-01 	 8.271419e-02 	-4.649229e-01 	 1.703253e-02 	-4.999282e-01 	 -6.989378e-02 	-4.874350e-01 	 1.175834e-02 	 
-4.998893e-01 	 8.380589e-02 	-4.612181e-01 	 1.488255e-02 	-4.998893e-01 	 -6.752335e-02 	-4.855347e-01 	 1.375503e-02 	 
-4.998329e-01 	 8.462087e-02 	-4.575117e-01 	 1.283496e-02 	-4.998329e-01 	 -6.443655e-02 	-4.826967e-01 	 1.595654e-02 	 
-4.997422e-01 	 8.548745e-02 	-4.538029e-01 	 1.094095e-02 	-4.997422e-01 	 -6.044087e-02 	-4.770661e-01 	 1.744147e-02 	 
-4.996011e-01 	 8.614788e-02 	-4.491595e-01 	 9.046991e-03 	-4.996011e-01 	 -5.539243e-02 	-4.695803e-01 	 1.803059e-02 	 
-4.993942e-01 	 8.587302e-02 	-4.426485e-01 	 7.050738e-03 	-4.993942e-01 	 -4.917273e-02 	-4.588338e-01 	 1.795435e-02 	 
-4.991066e-01 	 8.462227e-02 	-4.380027e-01 	 5.310361e-03 	-4.991066e-01 	 -4.217360e-02 	-4.471627e-01 	 1.723822e-02 	 
-4.987246e-01 	 8.213073e-02 	-4.286840e-01 	 3.570224e-03 	-4.987246e-01 	 -3.455476e-02 	-4.359621e-01 	 1.631729e-02 	 
-4.982345e-01 	 7.852922e-02 	-4.184316e-01 	 1.778940e-03 	-4.982345e-01 	 -2.670938e-02 	-4.210224e-01 	 1.544775e-02 	 
-4.976237e-01 	 7.378331e-02 	-4.025692e-01 	 1.415267e-04 	-4.976237e-01 	 -1.893971e-02 	-4.070172e-01 	 1.457816e-02 	 
-4.968801e-01 	 6.816731e-02 	-3.848313e-01 	 -1.086234e-03 	-4.968801e-01 	 -1.153631e-02 	-3.948789e-01 	 1.386206e-02 	 
-4.959923e-01 	 6.193691e-02 	-3.586750e-01 	 -1.852813e-03 	-4.959923e-01 	 -4.761456e-03 	-3.818059e-01 	 1.314600e-02 	 
-4.949495e-01 	 5.537814e-02 	-3.269001e-01 	 -1.902381e-03 	-4.949495e-01 	 1.221204e-03 	-3.677968e-01 	 1.253239e-02 	 
-4.937416e-01 	 4.881782e-02 	-2.951212e-01 	 -1.695976e-03 	-4.937416e-01 	 6.301905e-03 	-3.481833e-01 	 1.171428e-02 	 
-4.923589e-01 	 4.250288e-02 	-2.689482e-01 	 -1.387469e-03 	-4.923589e-01 	 1.046005e-02 	-3.271673e-01 	 1.094743e-02 	 
-4.907925e-01 	 3.657976e-02 	-2.409076e-01 	 -1.181255e-03 	-4.907925e-01 	 1.372143e-02 	-3.042836e-01 	 1.007830e-02 	 
-4.890340e-01 	 3.117523e-02 	-2.100640e-01 	 -1.026092e-03 	-4.890340e-01 	 1.615713e-02 	-2.790627e-01 	 9.260478e-03 	 
-4.870756e-01 	 2.639783e-02 	-1.792209e-01 	 -8.965271e-04 	-4.870756e-01 	 1.788012e-02 	-2.519710e-01 	 8.545141e-03 	 
-4.849101e-01 	 2.230250e-02 	-1.483778e-01 	 -7.669618e-04 	-4.849101e-01 	 1.899821e-02 	-2.178700e-01 	 7.830163e-03 	 
-4.825307e-01 	 1.893967e-02 	-1.166000e-01 	 -6.373486e-04 	-4.825307e-01 	 1.962565e-02 	-1.790961e-01 	 7.115425e-03 	 
-4.799315e-01 	 1.632042e-02 	-8.856064e-02 	 -5.079268e-04 	-4.799315e-01 	 1.987966e-02 	-1.454616e-01 	 6.451618e-03 	 
-4.771068e-01 	 1.438656e-02 	-7.080282e-02 	 -4.558231e-04 	-4.771068e-01 	 1.985366e-02 	-1.108909e-01 	 5.890247e-03 	 
-4.740515e-01 	 1.302673e-02 	-6.146021e-02 	 -6.601230e-04 	-4.740515e-01 	 1.963016e-02 	-7.071271e-02 	 5.329164e-03 	 
-4.707611e-01 	 1.209588e-02 	-5.025083e-02 	 -1.017911e-03 	-4.707611e-01 	 1.927380e-02 	-4.174551e-02 	 5.023480e-03 	 
-4.672316e-01 	 1.145096e-02 	-3.717388e-02 	 -1.477992e-03 	-4.672316e-01 	 1.884101e-02 	-6.311606e-04 	 4.564834e-03 	 
-4.634595e-01 	 1.096053e-02 	-2.783685e-02 	 -2.040654e-03 	-4.634595e-01 	 1.836406e-02 	3.954861e-02 	 4.106140e-03 	 
-4.594418e-01 	 1.052781e-02 	-1.943759e-02 	 -2.808142e-03 	-4.594418e-01 	 1.787080e-02 	7.505787e-02 	 3.800791e-03 	 
-4.551758e-01 	 1.008322e-02 	-8.235390e-03 	 -3.626681e-03 	-4.551758e-01 	 1.737503e-02 	1.152384e-01 	 3.393292e-03 	 
-4.506595e-01 	 9.586818e-03 	1.559361e-03 	 -4.803654e-03 	-4.506595e-01 	 1.689171e-02 	1.460756e-01 	 3.138898e-03 	 
-4.458913e-01 	 9.011328e-03 	9.486547e-03 	 -5.878334e-03 	-4.458913e-01 	 1.642060e-02 	1.806495e-01 	 2.782306e-03 	 
-4.408700e-01 	 8.344810e-03 	1.601107e-02 	 -7.004280e-03 	-4.408700e-01 	 1.596462e-02 	2.170925e-01 	 2.425810e-03 	 
-4.355949e-01 	 7.582891e-03 	2.908761e-02 	 -7.489958e-03 	-4.355949e-01 	 1.552698e-02 	2.544710e-01 	 2.120556e-03 	 
-4.300657e-01 	 6.720108e-03 	4.216894e-02 	 -7.668470e-03 	-4.300657e-01 	 1.510113e-02 	2.946515e-01 	 1.713057e-03 	 
-4.242825e-01 	 5.759422e-03 	5.339268e-02 	 -7.104755e-03 	-4.242825e-01 	 1.469156e-02 	3.357659e-01 	 1.254411e-03 	 
-4.182458e-01 	 4.702874e-03 	6.181985e-02 	 -6.080433e-03 	-4.182458e-01 	 1.428964e-02 	3.731427e-01 	 8.467679e-04 	 
-4.119565e-01 	 3.568133e-03 	6.931005e-02 	 -5.209742e-03 	-4.119565e-01 	 1.389869e-02 	4.123887e-01 	 4.392208e-04 	 
-4.054160e-01 	 2.388553e-03 	7.960398e-02 	 -4.338908e-03 	-4.054160e-01 	 1.351513e-02 	4.478972e-01 	 8.267685e-05 	 
-3.986260e-01 	 1.222276e-03 	8.897211e-02 	 -2.904981e-03 	-3.986260e-01 	 1.314031e-02 	4.824750e-01 	 -1.794203e-05 	 
-3.915885e-01 	 1.483130e-04 	9.553172e-02 	 -1.778366e-03 	-3.915885e-01 	 1.277227e-02 	4.993078e-01 	 6.484487e-04 	 
-3.843059e-01 	 -7.483920e-04 	1.039629e-01 	 -4.980706e-04 	-3.843059e-01 	 1.241083e-02 	nan          	nan          	 
-3.767811e-01 	 -1.405046e-03 	1.114595e-01 	 7.821766e-04 	-3.767811e-01 	 1.205601e-02 	nan          	nan          	 
-3.690172e-01 	 -1.807897e-03 	1.217590e-01 	 2.011373e-03 	-3.690172e-01 	 1.170820e-02 	nan          	nan          	 
-3.610175e-01 	 -2.000242e-03 	1.320593e-01 	 3.291764e-03 	-3.610175e-01 	 1.136582e-02 	nan          	nan          	 
-3.527859e-01 	 -2.063415e-03 	1.442280e-01 	 4.521056e-03 	-3.527859e-01 	 1.103090e-02 	nan          	nan          	 
-3.443264e-01 	 -2.074827e-03 	1.573256e-01 	 5.392033e-03 	-3.443264e-01 	 1.070278e-02 	nan          	nan          	 
-3.356435e-01 	 -2.069679e-03 	1.788334e-01 	 6.186650e-03 	-3.356435e-01 	 1.038121e-02 	nan          	nan          	 
-3.267418e-01 	 -2.031283e-03 	2.050060e-01 	 6.469560e-03 	-3.267418e-01 	 1.006797e-02 	nan          	nan          	 
-3.176262e-01 	 -1.919076e-03 	2.339788e-01 	 6.522237e-03 	-3.176262e-01 	 9.761424e-03 	nan          	nan          	 
-3.083020e-01 	 -1.716854e-03 	2.620130e-01 	 6.318894e-03 	-3.083020e-01 	 9.461734e-03 	nan          	nan          	 
-2.987745e-01 	 -1.458263e-03 	2.881741e-01 	 5.859483e-03 	-2.987745e-01 	 9.170151e-03 	nan          	nan          	 
-2.890497e-01 	 -1.209437e-03 	3.152705e-01 	 5.451314e-03 	-2.890497e-01 	 8.886357e-03 	nan          	nan          	 
-2.791335e-01 	 -1.027357e-03 	3.414340e-01 	 5.145486e-03 	-2.791335e-01 	 8.610071e-03 	nan          	nan          	 
-2.690319e-01 	 -9.278686e-04 	3.722675e-01 	 4.660716e-03 	-2.690319e-01 	 8.341201e-03 	nan          	nan          	 
-2.587515e-01 	 -8.843506e-04 	4.012319e-01 	 4.175851e-03 	-2.587515e-01 	 8.080435e-03 	nan          	nan          	 
-2.482990e-01 	 -8.516874e-04 	4.367364e-01 	 3.563334e-03 	-2.482990e-01 	 7.826109e-03 	nan          	nan          	 
-2.376810e-01 	 -7.968118e-04 	4.619629e-01 	 3.103875e-03 	-2.376810e-01 	 7.580117e-03 	nan          	nan          	 
-2.269047e-01 	 -7.139725e-04 	4.843872e-01 	 2.746661e-03 	-2.269047e-01 	 7.341532e-03 	nan          	nan          	 
-2.159773e-01 	 -6.205534e-04 	4.984307e-01 	 4.334411e-03 	-2.159773e-01 	 7.110016e-03 	nan          	nan          	 
-2.049060e-01 	 -5.403756e-04 	nan          	nan          	-2.049060e-01 	 6.886186e-03 	nan          	nan          	 
-1.936986e-01 	 -4.878971e-04 	nan          	nan          	-1.936986e-01 	 6.669329e-03 	nan          	nan          	 
-1.823625e-01 	 -4.625617e-04 	nan          	nan          	-1.823625e-01 	 6.459699e-03 	nan          	nan          	 
-1.709058e-01 	 -4.534191e-04 	nan          	nan          	-1.709058e-01 	 6.256706e-03 	nan          	nan          	 
-1.593362e-01 	 -4.470304e-04 	nan          	nan          	-1.593362e-01 	 6.060621e-03 	nan          	nan          	 
-1.476619e-01 	 -4.328558e-04 	nan          	nan          	-1.476619e-01 	 5.871042e-03 	nan          	nan          	 
-1.358912e-01 	 -4.088220e-04 	nan          	nan          	-1.358912e-01 	 5.688217e-03 	nan          	nan          	 
-1.240322e-01 	 -3.823383e-04 	nan          	nan          	-1.240322e-01 	 5.511494e-03 	nan          	nan          	 
-1.120933e-01 	 -3.635363e-04 	nan          	nan          	-1.120933e-01 	 5.340815e-03 	nan          	nan          	 
