x0	g1_up	x1	dns_up	x2	g1_bot	x3	dns_bot	x4	O2_up	x5	O2_bot	
-5.000000e-01 	 8.446465e-02 	-4.750813e-01 	 2.486478e-02 	-5.000000e-01 	 -7.741043e-02 	-4.927586e-01 	 -1.667412e-05 	-5.000000e-01 	 5.214408e-04 	-5.000000e-01 	 5.208719e-04 	 
-4.999955e-01 	 7.856644e-02 	-4.723079e-01 	 2.291953e-02 	-4.999955e-01 	 -7.411775e-02 	-4.913105e-01 	 2.952683e-03 	-4.999955e-01 	 2.204589e-04 	-4.999955e-01 	 1.070220e-04 	 
-4.999821e-01 	 8.128078e-02 	-4.695352e-01 	 2.092308e-02 	-4.999821e-01 	 -7.353632e-02 	-4.893831e-01 	 6.689983e-03 	-4.999821e-01 	 1.983158e-04 	-4.999821e-01 	 -2.116027e-04 	 
-4.999596e-01 	 8.342478e-02 	-4.667642e-01 	 1.882425e-02 	-4.999596e-01 	 -7.227799e-02 	-4.893464e-01 	 9.044934e-03 	-4.999596e-01 	 4.323103e-04 	-4.999596e-01 	 -4.178890e-04 	 
-4.999282e-01 	 8.491937e-02 	-4.649229e-01 	 1.703253e-02 	-4.999282e-01 	 -6.998514e-02 	-4.874350e-01 	 1.175834e-02 	-4.999282e-01 	 7.852850e-04 	-4.999282e-01 	 -7.091745e-04 	 
-4.998909e-01 	 8.619726e-02 	-4.612181e-01 	 1.488255e-02 	-4.998909e-01 	 -6.768220e-02 	-4.855347e-01 	 1.375503e-02 	-4.998909e-01 	 1.205568e-03 	-4.998909e-01 	 -1.008183e-03 	 
-4.998460e-01 	 8.704637e-02 	-4.575117e-01 	 1.283496e-02 	-4.998460e-01 	 -6.508061e-02 	-4.826967e-01 	 1.595654e-02 	-4.998460e-01 	 1.740392e-03 	-4.998460e-01 	 -1.360176e-03 	 
-4.997860e-01 	 8.789137e-02 	-4.538029e-01 	 1.094095e-02 	-4.997860e-01 	 -6.211469e-02 	-4.770661e-01 	 1.744147e-02 	-4.997860e-01 	 2.451131e-03 	-4.997860e-01 	 -1.776361e-03 	 
-4.997035e-01 	 8.856516e-02 	-4.491595e-01 	 9.046991e-03 	-4.997035e-01 	 -5.864934e-02 	-4.695803e-01 	 1.803059e-02 	-4.997035e-01 	 3.415986e-03 	-4.997035e-01 	 -2.271622e-03 	 
-4.995917e-01 	 8.879244e-02 	-4.426485e-01 	 7.050738e-03 	-4.995917e-01 	 -5.466762e-02 	-4.588338e-01 	 1.795435e-02 	-4.995917e-01 	 4.713429e-03 	-4.995917e-01 	 -2.849254e-03 	 
-4.994438e-01 	 8.880331e-02 	-4.380027e-01 	 5.310361e-03 	-4.994438e-01 	 -5.015535e-02 	-4.471627e-01 	 1.723822e-02 	-4.994438e-01 	 6.389605e-03 	-4.994438e-01 	 -3.461044e-03 	 
-4.992531e-01 	 8.818942e-02 	-4.286840e-01 	 3.570224e-03 	-4.992531e-01 	 -4.509352e-02 	-4.359621e-01 	 1.631729e-02 	-4.992531e-01 	 8.471463e-03 	-4.992531e-01 	 -4.057503e-03 	 
-4.990135e-01 	 8.696660e-02 	-4.184316e-01 	 1.778940e-03 	-4.990135e-01 	 -3.970562e-02 	-4.210224e-01 	 1.544775e-02 	-4.990135e-01 	 1.093610e-02 	-4.990135e-01 	 -4.560203e-03 	 
-4.987188e-01 	 8.509697e-02 	-4.025692e-01 	 1.415267e-04 	-4.987188e-01 	 -3.406411e-02 	-4.070172e-01 	 1.457816e-02 	-4.987188e-01 	 1.373114e-02 	-4.987188e-01 	 -4.893343e-03 	 
-4.983631e-01 	 8.253562e-02 	-3.848313e-01 	 -1.086234e-03 	-4.983631e-01 	 -2.823707e-02 	-3.948789e-01 	 1.386206e-02 	-4.983631e-01 	 1.674069e-02 	-4.983631e-01 	 -4.976188e-03 	 
-4.979408e-01 	 7.938115e-02 	-3.586750e-01 	 -1.852813e-03 	-4.979408e-01 	 -2.243755e-02 	-3.818059e-01 	 1.314600e-02 	-4.979408e-01 	 1.983151e-02 	-4.979408e-01 	 -4.754777e-03 	 
-4.974464e-01 	 7.566550e-02 	-3.269001e-01 	 -1.902381e-03 	-4.974464e-01 	 -1.675522e-02 	-3.677968e-01 	 1.253239e-02 	-4.974464e-01 	 2.284013e-02 	-4.974464e-01 	 -4.192504e-03 	 
-4.968748e-01 	 7.143383e-02 	-2.951212e-01 	 -1.695976e-03 	-4.968748e-01 	 -1.132662e-02 	-3.481833e-01 	 1.171428e-02 	-4.968748e-01 	 2.559432e-02 	-4.968748e-01 	 -3.286393e-03 	 
-4.962209e-01 	 6.687299e-02 	-2.689482e-01 	 -1.387469e-03 	-4.962209e-01 	 -6.238000e-03 	-3.271673e-01 	 1.094743e-02 	-4.962209e-01 	 2.795539e-02 	-4.962209e-01 	 -2.062750e-03 	 
-4.954798e-01 	 6.206435e-02 	-2.409076e-01 	 -1.181255e-03 	-4.954798e-01 	 -1.577724e-03 	-3.042836e-01 	 1.007830e-02 	-4.954798e-01 	 2.979523e-02 	-4.954798e-01 	 -5.697243e-04 	 
-4.946470e-01 	 5.718268e-02 	-2.100640e-01 	 -1.026092e-03 	-4.946470e-01 	 2.601959e-03 	-2.790627e-01 	 9.260478e-03 	-4.946470e-01 	 3.106643e-02 	-4.946470e-01 	 1.122949e-03 	 
-4.937181e-01 	 5.237381e-02 	-1.792209e-01 	 -8.965271e-04 	-4.937181e-01 	 6.266407e-03 	-2.519710e-01 	 8.545141e-03 	-4.937181e-01 	 3.176392e-02 	-4.937181e-01 	 2.940032e-03 	 
-4.926888e-01 	 4.773488e-02 	-1.483778e-01 	 -7.669618e-04 	-4.926888e-01 	 9.408494e-03 	-2.178700e-01 	 7.830163e-03 	-4.926888e-01 	 3.190456e-02 	-4.926888e-01 	 4.803670e-03 	 
-4.915552e-01 	 4.338978e-02 	-1.166000e-01 	 -6.373486e-04 	-4.915552e-01 	 1.203666e-02 	-1.790961e-01 	 7.115425e-03 	-4.915552e-01 	 3.157172e-02 	-4.915552e-01 	 6.643090e-03 	 
-4.903135e-01 	 3.937701e-02 	-8.856064e-02 	 -5.079268e-04 	-4.903135e-01 	 1.417096e-02 	-1.454616e-01 	 6.451618e-03 	-4.903135e-01 	 3.084472e-02 	-4.903135e-01 	 8.399399e-03 	 
-4.889600e-01 	 3.574991e-02 	-7.080282e-02 	 -4.558231e-04 	-4.889600e-01 	 1.585898e-02 	-1.108909e-01 	 5.890247e-03 	-4.889600e-01 	 2.981417e-02 	-4.889600e-01 	 1.002623e-02 	 
-4.874914e-01 	 3.253093e-02 	-6.146021e-02 	 -6.601230e-04 	-4.874914e-01 	 1.714501e-02 	-7.071271e-02 	 5.329164e-03 	-4.874914e-01 	 2.857756e-02 	-4.874914e-01 	 1.149556e-02 	 
-4.859043e-01 	 2.969410e-02 	-5.025083e-02 	 -1.017911e-03 	-4.859043e-01 	 1.808615e-02 	-4.174551e-02 	 5.023480e-03 	-4.859043e-01 	 2.719464e-02 	-4.859043e-01 	 1.278693e-02 	 
-4.841958e-01 	 2.719851e-02 	-3.717388e-02 	 -1.477992e-03 	-4.841958e-01 	 1.872280e-02 	-6.311606e-04 	 4.564834e-03 	-4.841958e-01 	 2.572669e-02 	-4.841958e-01 	 1.389944e-02 	 
-4.823629e-01 	 2.498450e-02 	-2.783685e-02 	 -2.040654e-03 	-4.823629e-01 	 1.911801e-02 	3.954861e-02 	 4.106140e-03 	-4.823629e-01 	 2.420276e-02 	-4.823629e-01 	 1.482957e-02 	 
-4.804030e-01 	 2.298482e-02 	-1.943759e-02 	 -2.808142e-03 	-4.804030e-01 	 1.931844e-02 	7.505787e-02 	 3.800791e-03 	-4.804030e-01 	 2.265025e-02 	-4.804030e-01 	 1.559444e-02 	 
-4.783135e-01 	 2.114120e-02 	-8.235390e-03 	 -3.626681e-03 	-4.783135e-01 	 1.936968e-02 	1.152384e-01 	 3.393292e-03 	-4.783135e-01 	 2.108087e-02 	-4.783135e-01 	 1.620330e-02 	 
-4.760922e-01 	 1.939814e-02 	1.559361e-03 	 -4.803654e-03 	-4.760922e-01 	 1.930727e-02 	1.460756e-01 	 3.138898e-03 	-4.760922e-01 	 1.950618e-02 	-4.760922e-01 	 1.667326e-02 	 
-4.737368e-01 	 1.773123e-02 	9.486547e-03 	 -5.878334e-03 	-4.737368e-01 	 1.916732e-02 	1.806495e-01 	 2.782306e-03 	-4.737368e-01 	 1.794585e-02 	-4.737368e-01 	 1.702401e-02 	 
-4.712455e-01 	 1.613055e-02 	1.601107e-02 	 -7.004280e-03 	-4.712455e-01 	 1.897340e-02 	2.170925e-01 	 2.425810e-03 	-4.712455e-01 	 1.640887e-02 	-4.712455e-01 	 1.726884e-02 	 
-4.686162e-01 	 1.459061e-02 	2.908761e-02 	 -7.489958e-03 	-4.686162e-01 	 1.874416e-02 	2.544710e-01 	 2.120556e-03 	-4.686162e-01 	 1.491713e-02 	-4.686162e-01 	 1.742274e-02 	 
-4.658475e-01 	 1.311867e-02 	4.216894e-02 	 -7.668470e-03 	-4.658475e-01 	 1.849788e-02 	2.946515e-01 	 1.713057e-03 	-4.658475e-01 	 1.348438e-02 	-4.658475e-01 	 1.750005e-02 	 
-4.629378e-01 	 1.172980e-02 	5.339268e-02 	 -7.104755e-03 	-4.629378e-01 	 1.824175e-02 	3.357659e-01 	 1.254411e-03 	-4.629378e-01 	 1.212505e-02 	-4.629378e-01 	 1.751072e-02 	 
-4.598858e-01 	 1.043050e-02 	6.181985e-02 	 -6.080433e-03 	-4.598858e-01 	 1.798655e-02 	3.731427e-01 	 8.467679e-04 	-4.598858e-01 	 1.084627e-02 	-4.598858e-01 	 1.746785e-02 	 
-4.566903e-01 	 9.227119e-03 	6.931005e-02 	 -5.209742e-03 	-4.566903e-01 	 1.773001e-02 	4.123887e-01 	 4.392208e-04 	-4.566903e-01 	 9.652541e-03 	-4.566903e-01 	 1.737682e-02 	 
-4.533503e-01 	 8.119800e-03 	7.960398e-02 	 -4.338908e-03 	-4.533503e-01 	 1.748115e-02 	4.478972e-01 	 8.267685e-05 	-4.533503e-01 	 8.540748e-03 	-4.533503e-01 	 1.724678e-02 	 
-4.498649e-01 	 7.100292e-03 	8.897211e-02 	 -2.904981e-03 	-4.498649e-01 	 1.723380e-02 	4.824750e-01 	 -1.794203e-05 	-4.498649e-01 	 7.506948e-03 	-4.498649e-01 	 1.708461e-02 	 
-4.462334e-01 	 6.164818e-03 	9.553172e-02 	 -1.778366e-03 	-4.462334e-01 	 1.699039e-02 	4.993078e-01 	 6.484487e-04 	-4.462334e-01 	 6.545358e-03 	-4.462334e-01 	 1.689396e-02 	 
-4.424553e-01 	 5.301613e-03 	1.039629e-01 	 -4.980706e-04 	-4.424553e-01 	 1.674984e-02 	nan          	nan          	-4.424553e-01 	 5.649569e-03 	-4.424553e-01 	 1.667952e-02 	 
-4.385301e-01 	 4.506965e-03 	1.114595e-01 	 7.821766e-04 	-4.385301e-01 	 1.650730e-02 	nan          	nan          	-4.385301e-01 	 4.815938e-03 	-4.385301e-01 	 1.644433e-02 	 
-4.344577e-01 	 3.773704e-03 	1.217590e-01 	 2.011373e-03 	-4.344577e-01 	 1.626622e-02 	nan          	nan          	-4.344577e-01 	 4.041023e-03 	-4.344577e-01 	 1.619464e-02 	 
-4.302377e-01 	 3.099251e-03 	1.320593e-01 	 3.291764e-03 	-4.302377e-01 	 1.602311e-02 	nan          	nan          	-4.302377e-01 	 3.322234e-03 	-4.302377e-01 	 1.593143e-02 	 
-4.258703e-01 	 2.478292e-03 	1.442280e-01 	 4.521056e-03 	-4.258703e-01 	 1.577371e-02 	nan          	nan          	-4.258703e-01 	 2.657054e-03 	-4.258703e-01 	 1.565603e-02 	 
-4.213556e-01 	 1.910052e-03 	1.573256e-01 	 5.392033e-03 	-4.213556e-01 	 1.552334e-02 	nan          	nan          	-4.213556e-01 	 2.043696e-03 	-4.213556e-01 	 1.537366e-02 	 
-4.166939e-01 	 1.390743e-03 	1.788334e-01 	 6.186650e-03 	-4.166939e-01 	 1.526616e-02 	nan          	nan          	-4.166939e-01 	 1.480206e-03 	-4.166939e-01 	 1.508220e-02 	 
-4.118855e-01 	 9.184580e-04 	2.050060e-01 	 6.469560e-03 	-4.118855e-01 	 1.500634e-02 	nan          	nan          	-4.118855e-01 	 9.655941e-04 	-4.118855e-01 	 1.478846e-02 	 
-4.069311e-01 	 4.922366e-04 	2.339788e-01 	 6.522237e-03 	-4.069311e-01 	 1.474351e-02 	nan          	nan          	-4.069311e-01 	 4.993331e-04 	-4.069311e-01 	 1.449046e-02 	 
-4.018313e-01 	 1.115242e-04 	2.620130e-01 	 6.318894e-03 	-4.018313e-01 	 1.447404e-02 	nan          	nan          	-4.018313e-01 	 8.147952e-05 	-4.018313e-01 	 1.418935e-02 	 
-3.965869e-01 	 -2.240784e-04 	2.881741e-01 	 5.859483e-03 	-3.965869e-01 	 1.420015e-02 	nan          	nan          	-3.965869e-01 	 -2.880529e-04 	-3.965869e-01 	 1.388829e-02 	 
-3.911988e-01 	 -5.155139e-04 	3.152705e-01 	 5.451314e-03 	-3.911988e-01 	 1.392615e-02 	nan          	nan          	-3.911988e-01 	 -6.100539e-04 	-3.911988e-01 	 1.358763e-02 	 
-3.856680e-01 	 -7.646132e-04 	3.414340e-01 	 5.145486e-03 	-3.856680e-01 	 1.364701e-02 	nan          	nan          	-3.856680e-01 	 -8.861713e-04 	-3.856680e-01 	 1.328676e-02 	 
-3.799957e-01 	 -9.738237e-04 	3.722675e-01 	 4.660716e-03 	-3.799957e-01 	 1.336691e-02 	nan          	nan          	-3.799957e-01 	 -1.118658e-03 	-3.799957e-01 	 1.298899e-02 	 
-3.741831e-01 	 -1.145923e-03 	4.012319e-01 	 4.175851e-03 	-3.741831e-01 	 1.308542e-02 	nan          	nan          	-3.741831e-01 	 -1.309979e-03 	-3.741831e-01 	 1.269258e-02 	 
-3.682317e-01 	 -1.283489e-03 	4.367364e-01 	 3.563334e-03 	-3.682317e-01 	 1.280354e-02 	nan          	nan          	-3.682317e-01 	 -1.462608e-03 	-3.682317e-01 	 1.240067e-02 	 
-3.621429e-01 	 -1.388501e-03 	4.619629e-01 	 3.103875e-03 	-3.621429e-01 	 1.252204e-02 	nan          	nan          	-3.621429e-01 	 -1.579071e-03 	-3.621429e-01 	 1.211195e-02 	 
-3.559183e-01 	 -1.463939e-03 	4.843872e-01 	 2.746661e-03 	-3.559183e-01 	 1.224186e-02 	nan          	nan          	-3.559183e-01 	 -1.662707e-03 	-3.559183e-01 	 1.182779e-02 	 
-3.495596e-01 	 -1.513504e-03 	4.984307e-01 	 4.334411e-03 	-3.495596e-01 	 1.196244e-02 	nan          	nan          	-3.495596e-01 	 -1.717652e-03 	-3.495596e-01 	 1.154731e-02 	 
-3.430686e-01 	 -1.541523e-03 	nan          	nan          	-3.430686e-01 	 1.168421e-02 	nan          	nan          	-3.430686e-01 	 -1.748388e-03 	-3.430686e-01 	 1.127164e-02 	 
-3.364472e-01 	 -1.551846e-03 	nan          	nan          	-3.364472e-01 	 1.140929e-02 	nan          	nan          	-3.364472e-01 	 -1.758923e-03 	-3.364472e-01 	 1.100055e-02 	 
-3.296975e-01 	 -1.546889e-03 	nan          	nan          	-3.296975e-01 	 1.113531e-02 	nan          	nan          	-3.296975e-01 	 -1.752363e-03 	-3.296975e-01 	 1.073468e-02 	 
