x0	cfdudy	
-5.000000e-01 	 5.742869e-04 	 
-4.999955e-01 	 2.324436e-04 	 
-4.999821e-01 	 1.850738e-04 	 
-4.999596e-01 	 4.155204e-04 	 
-4.999282e-01 	 7.752041e-04 	 
-4.998893e-01 	 1.237050e-03 	 
-4.998329e-01 	 1.932489e-03 	 
-4.997422e-01 	 3.031880e-03 	 
-4.996011e-01 	 4.717439e-03 	 
-4.993942e-01 	 7.118417e-03 	 
-4.991066e-01 	 1.024667e-02 	 
-4.987246e-01 	 1.400120e-02 	 
-4.982345e-01 	 1.811010e-02 	 
-4.976237e-01 	 2.222178e-02 	 
-4.968801e-01 	 2.591368e-02 	 
-4.959923e-01 	 2.882508e-02 	 
-4.949495e-01 	 3.072087e-02 	 
-4.937416e-01 	 3.152252e-02 	 
-4.923589e-01 	 3.130276e-02 	 
-4.907925e-01 	 3.024186e-02 	 
-4.890340e-01 	 2.857704e-02 	 
-4.870756e-01 	 2.654427e-02 	 
-4.849101e-01 	 2.436075e-02 	 
-4.825307e-01 	 2.219681e-02 	 
-4.799315e-01 	 2.016508e-02 	 
-4.771068e-01 	 1.831662e-02 	 
-4.740515e-01 	 1.665493e-02 	 
-4.707611e-01 	 1.514440e-02 	 
-4.672316e-01 	 1.375134e-02 	 
-4.634595e-01 	 1.244075e-02 	 
-4.594418e-01 	 1.119146e-02 	 
-4.551758e-01 	 9.989272e-03 	 
-4.506595e-01 	 8.824564e-03 	 
-4.458913e-01 	 7.689501e-03 	 
-4.408700e-01 	 6.577754e-03 	 
-4.355949e-01 	 5.482978e-03 	 
-4.300657e-01 	 4.400054e-03 	 
-4.242825e-01 	 3.328846e-03 	 
-4.182458e-01 	 2.274994e-03 	 
-4.119565e-01 	 1.255203e-03 	 
-4.054160e-01 	 3.012299e-04 	 
-3.986260e-01 	 -5.403555e-04 	 
-3.915885e-01 	 -1.214900e-03 	 
-3.843059e-01 	 -1.677558e-03 	 
-3.767811e-01 	 -1.916230e-03 	 
-3.690172e-01 	 -1.967060e-03 	 
-3.610175e-01 	 -1.908320e-03 	 
-3.527859e-01 	 -1.830812e-03 	 
-3.443264e-01 	 -1.795665e-03 	 
-3.356435e-01 	 -1.805520e-03 	 
-3.267418e-01 	 -1.809968e-03 	 
-3.176262e-01 	 -1.747848e-03 	 
-3.083020e-01 	 -1.598373e-03 	 
-2.987745e-01 	 -1.399283e-03 	 
-2.890497e-01 	 -1.218433e-03 	 
-2.791335e-01 	 -1.105512e-03 	 
-2.690319e-01 	 -1.062345e-03 	 
-2.587515e-01 	 -1.050308e-03 	 
-2.482990e-01 	 -1.021948e-03 	 
-2.376810e-01 	 -9.516601e-04 	 
-2.269047e-01 	 -8.462198e-04 	 
-2.159773e-01 	 -7.332320e-04 	 
-2.049060e-01 	 -6.404355e-04 	 
-1.936986e-01 	 -5.806729e-04 	 
-1.823625e-01 	 -5.494403e-04 	 
-1.709058e-01 	 -5.330557e-04 	 
-1.593362e-01 	 -5.172112e-04 	 
-1.476619e-01 	 -4.912116e-04 	 
-1.358912e-01 	 -4.535163e-04 	 
-1.240322e-01 	 -4.138479e-04 	 
-1.120933e-01 	 -3.854800e-04 	 
-1.000830e-01 	 -3.788932e-04 	 
-8.800991e-02 	 -4.000299e-04 	 
-7.588250e-02 	 -4.605576e-04 	 
-6.370946e-02 	 -6.282070e-04 	 
-5.149946e-02 	 -1.046697e-03 	 
-3.926120e-02 	 -1.794666e-03 	 
-2.700344e-02 	 -2.775331e-03 	 
-1.473489e-02 	 -3.856036e-03 	 
-2.464324e-03 	 -4.985196e-03 	 
9.799541e-03 	 -6.054193e-03 	 
2.204799e-02 	 -6.761313e-03 	 
3.427232e-02 	 -6.849646e-03 	 
4.646391e-02 	 -6.395784e-03 	 
5.861415e-02 	 -5.615858e-03 	 
7.071450e-02 	 -4.562264e-03 	 
8.275648e-02 	 -3.237866e-03 	 
9.473172e-02 	 -1.766545e-03 	 
1.066319e-01 	 -2.821537e-04 	 
1.184488e-01 	 1.152453e-03 	 
1.301744e-01 	 2.473234e-03 	 
1.418007e-01 	 3.593235e-03 	 
1.533198e-01 	 4.470637e-03 	 
1.647241e-01 	 5.154378e-03 	 
1.760059e-01 	 5.722436e-03 	 
1.871578e-01 	 6.189558e-03 	 
1.981727e-01 	 6.518044e-03 	 
2.090436e-01 	 6.704694e-03 	 
2.197634e-01 	 6.799963e-03 	 
2.303256e-01 	 6.849046e-03 	 
2.407237e-01 	 6.863084e-03 	 
2.509516e-01 	 6.839691e-03 	 
2.610030e-01 	 6.783775e-03 	 
2.708724e-01 	 6.710907e-03 	 
2.805542e-01 	 6.637779e-03 	 
2.900431e-01 	 6.566592e-03 	 
2.993341e-01 	 6.484672e-03 	 
3.084225e-01 	 6.384690e-03 	 
3.173040e-01 	 6.275394e-03 	 
3.259743e-01 	 6.169233e-03 	 
3.344297e-01 	 6.067696e-03 	 
3.426666e-01 	 5.962734e-03 	 
3.506819e-01 	 5.847182e-03 	 
3.584728e-01 	 5.719724e-03 	 
3.660367e-01 	 5.584521e-03 	 
3.733716e-01 	 5.449051e-03 	 
3.804757e-01 	 5.320895e-03 	 
3.873476e-01 	 5.203476e-03 	 
3.939863e-01 	 5.095904e-03 	 
4.003913e-01 	 4.995229e-03 	 
4.065624e-01 	 4.898110e-03 	 
4.124997e-01 	 4.801717e-03 	 
4.182040e-01 	 4.704707e-03 	 
4.236763e-01 	 4.607919e-03 	 
4.289183e-01 	 4.513691e-03 	 
4.339319e-01 	 4.423597e-03 	 
4.387196e-01 	 4.336539e-03 	 
4.432844e-01 	 4.250194e-03 	 
4.476297e-01 	 4.164097e-03 	 
4.517594e-01 	 4.079934e-03 	 
4.556781e-01 	 3.999406e-03 	 
4.593906e-01 	 3.922654e-03 	 
4.629025e-01 	 3.848589e-03 	 
4.662198e-01 	 3.776725e-03 	 
4.693491e-01 	 3.707471e-03 	 
4.722976e-01 	 3.641569e-03 	 
4.750729e-01 	 3.579573e-03 	 
4.776833e-01 	 3.520246e-03 	 
4.801378e-01 	 3.463210e-03 	 
4.824458e-01 	 3.409370e-03 	 
4.846173e-01 	 3.357319e-03 	 
4.866631e-01 	 3.309440e-03 	 
4.885946e-01 	 3.265944e-03 	 
4.904236e-01 	 3.224267e-03 	 
4.921628e-01 	 3.188742e-03 	 
4.938255e-01 	 3.157295e-03 	 
4.954256e-01 	 3.127793e-03 	 
4.969777e-01 	 3.107610e-03 	 
4.984972e-01 	 3.102442e-03 	 
5.000000e-01 	 3.117296e-03 	 
