x0	cf	x1	cp	
-5.000000e-01 	 6.251785e-04 	-5.000000e-01 	 5.105436e-02 	 
-4.999955e-01 	 2.517366e-04 	-4.999955e-01 	 7.392392e-02 	 
-4.999821e-01 	 1.867440e-04 	-4.999821e-01 	 6.250814e-02 	 
-4.999596e-01 	 4.208025e-04 	-4.999596e-01 	 -1.792610e-03 	 
-4.999282e-01 	 7.825238e-04 	-4.999282e-01 	 -5.598664e-02 	 
-4.998893e-01 	 1.247251e-03 	-4.998893e-01 	 -1.096033e-01 	 
-4.998329e-01 	 1.945975e-03 	-4.998329e-01 	 -1.788042e-01 	 
-4.997422e-01 	 3.048642e-03 	-4.997422e-01 	 -2.657942e-01 	 
-4.996011e-01 	 4.736764e-03 	-4.996011e-01 	 -3.758200e-01 	 
-4.993942e-01 	 7.137950e-03 	-4.993942e-01 	 -5.040675e-01 	 
-4.991066e-01 	 1.026505e-02 	-4.991066e-01 	 -6.458573e-01 	 
-4.987246e-01 	 1.401537e-02 	-4.987246e-01 	 -7.941172e-01 	 
-4.982345e-01 	 1.811913e-02 	-4.982345e-01 	 -9.419538e-01 	 
-4.976237e-01 	 2.222491e-02 	-4.976237e-01 	 -1.083439e+00 	 
-4.968801e-01 	 2.591085e-02 	-4.968801e-01 	 -1.212214e+00 	 
-4.959923e-01 	 2.881802e-02 	-4.959923e-01 	 -1.325122e+00 	 
-4.949495e-01 	 3.071072e-02 	-4.949495e-01 	 -1.418854e+00 	 
-4.937416e-01 	 3.151149e-02 	-4.937416e-01 	 -1.493062e+00 	 
-4.923589e-01 	 3.129231e-02 	-4.923589e-01 	 -1.548243e+00 	 
-4.907925e-01 	 3.023290e-02 	-4.907925e-01 	 -1.585998e+00 	 
-4.890340e-01 	 2.857031e-02 	-4.890340e-01 	 -1.608698e+00 	 
-4.870756e-01 	 2.653960e-02 	-4.870756e-01 	 -1.618262e+00 	 
-4.849101e-01 	 2.435837e-02 	-4.849101e-01 	 -1.616650e+00 	 
-4.825307e-01 	 2.219646e-02 	-4.825307e-01 	 -1.605377e+00 	 
-4.799315e-01 	 2.016654e-02 	-4.799315e-01 	 -1.585944e+00 	 
-4.771068e-01 	 1.831961e-02 	-4.771068e-01 	 -1.559957e+00 	 
-4.740515e-01 	 1.665895e-02 	-4.740515e-01 	 -1.529040e+00 	 
-4.707611e-01 	 1.514908e-02 	-4.707611e-01 	 -1.494755e+00 	 
-4.672316e-01 	 1.375631e-02 	-4.672316e-01 	 -1.458410e+00 	 
-4.634595e-01 	 1.244573e-02 	-4.634595e-01 	 -1.421028e+00 	 
-4.594418e-01 	 1.119620e-02 	-4.594418e-01 	 -1.383219e+00 	 
-4.551758e-01 	 9.993552e-03 	-4.551758e-01 	 -1.345380e+00 	 
-4.506595e-01 	 8.828126e-03 	-4.506595e-01 	 -1.307764e+00 	 
-4.458913e-01 	 7.692067e-03 	-4.458913e-01 	 -1.270515e+00 	 
-4.408700e-01 	 6.579049e-03 	-4.408700e-01 	 -1.233787e+00 	 
-4.355949e-01 	 5.482709e-03 	-4.355949e-01 	 -1.197808e+00 	 
-4.300657e-01 	 4.397957e-03 	-4.300657e-01 	 -1.162852e+00 	 
-4.242825e-01 	 3.324639e-03 	-4.242825e-01 	 -1.129222e+00 	 
-4.182458e-01 	 2.268285e-03 	-4.182458e-01 	 -1.097291e+00 	 
-4.119565e-01 	 1.245365e-03 	-4.119565e-01 	 -1.067367e+00 	 
-4.054160e-01 	 2.872531e-04 	-4.054160e-01 	 -1.039705e+00 	 
-3.986260e-01 	 -5.597910e-04 	-3.986260e-01 	 -1.014461e+00 	 
-3.915885e-01 	 -1.240936e-03 	-3.915885e-01 	 -9.915926e-01 	 
-3.843059e-01 	 -1.710274e-03 	-3.843059e-01 	 -9.710073e-01 	 
-3.767811e-01 	 -1.953967e-03 	-3.767811e-01 	 -9.525120e-01 	 
