x0	g1_up	x1	dns_up	x2	g1_bot	x3	dns_bot	
-5.000000e-01 	 4.398453e-02 	-4.953990e-01 	 1.587692e-03 	-5.000000e-01 	 4.398453e-02 	-4.953783e-01 	 5.289002e-02 	 
-4.999955e-01 	 5.885547e-02 	-4.964893e-01 	 -1.996773e-01 	-4.999955e-01 	 2.170175e-01 	-4.963300e-01 	 1.949560e-01 	 
-4.999821e-01 	 4.377598e-02 	-4.945476e-01 	 -3.890973e-01 	-4.999821e-01 	 2.796046e-01 	-4.952461e-01 	 3.804357e-01 	 
-4.999596e-01 	 -1.604318e-02 	-4.946129e-01 	 -5.508969e-01 	-4.999596e-01 	 3.267686e-01 	-4.961596e-01 	 6.172137e-01 	 
-4.999282e-01 	 -6.882324e-02 	-4.936787e-01 	 -7.363726e-01 	-4.999282e-01 	 3.817360e-01 	-4.950725e-01 	 8.105860e-01 	 
-4.998910e-01 	 -1.191314e-01 	-4.947738e-01 	 -9.494766e-01 	-4.998910e-01 	 4.269145e-01 	-4.940172e-01 	 9.250316e-01 	 
-4.998469e-01 	 -1.742553e-01 	-4.928401e-01 	 -1.158628e+00 	-4.998469e-01 	 4.693759e-01 	-4.939853e-01 	 1.003958e+00 	 
-4.997891e-01 	 -2.331957e-01 	-4.919170e-01 	 -1.371728e+00 	-4.997891e-01 	 5.150396e-01 	-4.919480e-01 	 1.051318e+00 	 
-4.997108e-01 	 -3.032652e-01 	-4.899466e-01 	 -1.490114e+00 	-4.997108e-01 	 5.667052e-01 	-4.879324e-01 	 1.000024e+00 	 
-4.996058e-01 	 -3.830393e-01 	-4.889710e-01 	 -1.572985e+00 	-4.996058e-01 	 6.224397e-01 	-4.859413e-01 	 9.329402e-01 	 
-4.994680e-01 	 -4.726502e-01 	-4.869719e-01 	 -1.620337e+00 	-4.994680e-01 	 6.815250e-01 	-4.809262e-01 	 8.579698e-01 	 
-4.992912e-01 	 -5.704293e-01 	-4.839542e-01 	 -1.644009e+00 	-4.992912e-01 	 7.418314e-01 	-4.769313e-01 	 7.553731e-01 	 
-4.990698e-01 	 -6.738954e-01 	-4.778902e-01 	 -1.620319e+00 	-4.990698e-01 	 8.006573e-01 	-4.709150e-01 	 6.606731e-01 	 
-4.987982e-01 	 -7.811055e-01 	-4.708043e-01 	 -1.565057e+00 	-4.987982e-01 	 8.566702e-01 	-4.648924e-01 	 5.817584e-01 	 
-4.984711e-01 	 -8.889062e-01 	-4.616859e-01 	 -1.474273e+00 	-4.984711e-01 	 9.072354e-01 	-4.578606e-01 	 5.028457e-01 	 
-4.980831e-01 	 -9.952675e-01 	-4.515569e-01 	 -1.379541e+00 	-4.980831e-01 	 9.513937e-01 	-4.498198e-01 	 4.239349e-01 	 
-4.976295e-01 	 -1.097381e+00 	-4.373835e-01 	 -1.265070e+00 	-4.976295e-01 	 9.877295e-01 	-4.347202e-01 	 3.331991e-01 	 
-4.971053e-01 	 -1.193416e+00 	-4.232197e-01 	 -1.174276e+00 	-4.971053e-01 	 1.015630e+00 	-4.226367e-01 	 2.700817e-01 	 
-4.965060e-01 	 -1.281512e+00 	-4.009785e-01 	 -1.071628e+00 	-4.965060e-01 	 1.034914e+00 	-4.065169e-01 	 2.069722e-01 	 
-4.958272e-01 	 -1.360377e+00 	-3.848093e-01 	 -1.012401e+00 	-4.958272e-01 	 1.045553e+00 	-3.853501e-01 	 1.478190e-01 	 
-4.950646e-01 	 -1.429230e+00 	-3.615781e-01 	 -9.571064e-01 	-4.950646e-01 	 1.048118e+00 	-3.621603e-01 	 1.005088e-01 	 
