x0	g1_up	x1	dns_up	x2	g1_bot	x3	dns_bot	
-5.000000e-01 	 4.889068e-02 	-4.953990e-01 	 1.587692e-03 	-5.000000e-01 	 4.889068e-02 	-4.953783e-01 	 5.289002e-02 	 
-4.999955e-01 	 6.315845e-02 	-4.964893e-01 	 -1.996773e-01 	-4.999955e-01 	 2.214931e-01 	-4.963300e-01 	 1.949560e-01 	 
-4.999821e-01 	 4.827880e-02 	-4.945476e-01 	 -3.890973e-01 	-4.999821e-01 	 2.837552e-01 	-4.952461e-01 	 3.804357e-01 	 
-4.999596e-01 	 -1.135159e-02 	-4.946129e-01 	 -5.508969e-01 	-4.999596e-01 	 3.307892e-01 	-4.961596e-01 	 6.172137e-01 	 
-4.999282e-01 	 -6.402114e-02 	-4.936787e-01 	 -7.363726e-01 	-4.999282e-01 	 3.855777e-01 	-4.950725e-01 	 8.105860e-01 	 
-4.998909e-01 	 -1.144037e-01 	-4.947738e-01 	 -9.494766e-01 	-4.998909e-01 	 4.307520e-01 	-4.940172e-01 	 9.250316e-01 	 
-4.998460e-01 	 -1.702885e-01 	-4.928401e-01 	 -1.158628e+00 	-4.998460e-01 	 4.738015e-01 	-4.939853e-01 	 1.003958e+00 	 
-4.997860e-01 	 -2.310787e-01 	-4.919170e-01 	 -1.371728e+00 	-4.997860e-01 	 5.207752e-01 	-4.919480e-01 	 1.051318e+00 	 
-4.997035e-01 	 -3.040242e-01 	-4.899466e-01 	 -1.490114e+00 	-4.997035e-01 	 5.743368e-01 	-4.879324e-01 	 1.000024e+00 	 
-4.995917e-01 	 -3.875386e-01 	-4.889710e-01 	 -1.572985e+00 	-4.995917e-01 	 6.322572e-01 	-4.859413e-01 	 9.329402e-01 	 
-4.994438e-01 	 -4.814973e-01 	-4.869719e-01 	 -1.620337e+00 	-4.994438e-01 	 6.935301e-01 	-4.809262e-01 	 8.579698e-01 	 
-4.992531e-01 	 -5.838536e-01 	-4.839542e-01 	 -1.644009e+00 	-4.992531e-01 	 7.557059e-01 	-4.769313e-01 	 7.553731e-01 	 
-4.990135e-01 	 -6.918344e-01 	-4.778902e-01 	 -1.620319e+00 	-4.990135e-01 	 8.158410e-01 	-4.709150e-01 	 6.606731e-01 	 
-4.987188e-01 	 -8.031560e-01 	-4.708043e-01 	 -1.565057e+00 	-4.987188e-01 	 8.724166e-01 	-4.648924e-01 	 5.817584e-01 	 
-4.983631e-01 	 -9.143752e-01 	-4.616859e-01 	 -1.474273e+00 	-4.983631e-01 	 9.226820e-01 	-4.578606e-01 	 5.028457e-01 	 
-4.979408e-01 	 -1.023254e+00 	-4.515569e-01 	 -1.379541e+00 	-4.979408e-01 	 9.656569e-01 	-4.498198e-01 	 4.239349e-01 	 
-4.974464e-01 	 -1.126794e+00 	-4.373835e-01 	 -1.265070e+00 	-4.974464e-01 	 9.999566e-01 	-4.347202e-01 	 3.331991e-01 	 
-4.968748e-01 	 -1.223110e+00 	-4.232197e-01 	 -1.174276e+00 	-4.968748e-01 	 1.025086e+00 	-4.226367e-01 	 2.700817e-01 	 
-4.962209e-01 	 -1.310325e+00 	-4.009785e-01 	 -1.071628e+00 	-4.962209e-01 	 1.041008e+00 	-4.065169e-01 	 2.069722e-01 	 
-4.954798e-01 	 -1.387226e+00 	-3.848093e-01 	 -1.012401e+00 	-4.954798e-01 	 1.047869e+00 	-3.853501e-01 	 1.478190e-01 	 
-4.946470e-01 	 -1.453176e+00 	-3.615781e-01 	 -9.571064e-01 	-4.946470e-01 	 1.046421e+00 	-3.621603e-01 	 1.005088e-01 	 
-4.937181e-01 	 -1.507841e+00 	-3.403714e-01 	 -9.176013e-01 	-4.937181e-01 	 1.037377e+00 	-3.319069e-01 	 5.321258e-02 	 
-4.926888e-01 	 -1.551504e+00 	-3.191727e-01 	 -8.978278e-01 	-4.926888e-01 	 1.021751e+00 	-3.046760e-01 	 1.774934e-02 	 
-4.915552e-01 	 -1.584612e+00 	-2.878800e-01 	 -8.701417e-01 	-4.915552e-01 	 1.000537e+00 	-2.703768e-01 	 -5.860962e-03 	 
-4.903135e-01 	 -1.607930e+00 	-2.576036e-01 	 -8.602162e-01 	-4.903135e-01 	 9.747110e-01 	-2.360775e-01 	 -2.947126e-02 	 
-4.889600e-01 	 -1.622344e+00 	-2.253121e-01 	 -8.581793e-01 	-4.889600e-01 	 9.452487e-01 	-2.017719e-01 	 -3.729623e-02 	 
-4.874914e-01 	 -1.628809e+00 	-2.000819e-01 	 -8.502369e-01 	-4.874914e-01 	 9.129778e-01 	-1.674663e-01 	 -4.512120e-02 	 
-4.859043e-01 	 -1.628361e+00 	-1.698078e-01 	 -8.462308e-01 	-4.859043e-01 	 8.786821e-01 	-1.301334e-01 	 -5.294020e-02 	 
-4.841958e-01 	 -1.621997e+00 	-1.365049e-01 	 -8.382724e-01 	-4.841958e-01 	 8.430132e-01 	-9.481553e-02 	 -5.287051e-02 	 
-4.823629e-01 	 -1.610702e+00 	-1.011854e-01 	 -8.342564e-01 	-4.823629e-01 	 8.065314e-01 	-5.646880e-02 	 -4.884851e-02 	 
-4.804030e-01 	 -1.595368e+00 	-6.687820e-02 	 -8.381350e-01 	-4.804030e-01 	 7.697099e-01 	-1.711299e-02 	 -4.482453e-02 	 
-4.783135e-01 	 -1.576792e+00 	-3.761720e-02 	 -8.439968e-01 	-4.783135e-01 	 7.329261e-01 	2.426258e-02 	 -3.685023e-02 	 
-4.760922e-01 	 -1.555662e+00 	-1.137308e-02 	 -8.242134e-01 	-4.760922e-01 	 6.964932e-01 	5.857298e-02 	 -3.283620e-02 	 
-4.737368e-01 	 -1.532555e+00 	1.286481e-02 	 -7.748364e-01 	-4.737368e-01 	 6.606522e-01 	9.994696e-02 	 -2.880823e-02 	 
-4.712455e-01 	 -1.507949e+00 	2.903721e-02 	 -7.077169e-01 	-4.712455e-01 	 6.255925e-01 	1.372846e-01 	 -2.478823e-02 	 
-4.686162e-01 	 -1.482230e+00 	4.622665e-02 	 -6.208637e-01 	-4.686162e-01 	 5.914538e-01 	1.685709e-01 	 -1.288751e-02 	 
-4.658475e-01 	 -1.455706e+00 	6.140271e-02 	 -5.221755e-01 	-4.658475e-01 	 5.583380e-01 	1.998573e-01 	 -9.867824e-04 	 
-4.629378e-01 	 -1.428625e+00 	7.556013e-02 	 -4.471673e-01 	-4.629378e-01 	 5.263134e-01 	2.331602e-01 	 6.971590e-03 	 
-4.598858e-01 	 -1.401187e+00 	9.275276e-02 	 -3.524215e-01 	-4.598858e-01 	 4.954229e-01 	2.755480e-01 	 2.284055e-02 	 
-4.566903e-01 	 -1.373565e+00 	1.129647e-01 	 -2.774013e-01 	-4.566903e-01 	 4.656888e-01 	3.159161e-01 	 3.475919e-02 	 
-4.533503e-01 	 -1.345912e+00 	1.372097e-01 	 -2.102659e-01 	-4.533503e-01 	 4.371169e-01 	3.572917e-01 	 4.273349e-02 	 
-4.498649e-01 	 -1.318366e+00 	1.664859e-01 	 -1.786375e-01 	-4.498649e-01 	 4.097011e-01 	4.006902e-01 	 6.255077e-02 	 
-4.462334e-01 	 -1.291051e+00 	1.917225e-01 	 -1.549097e-01 	-4.462334e-01 	 3.834263e-01 	4.370219e-01 	 7.446145e-02 	 
-4.424553e-01 	 -1.264076e+00 	2.179650e-01 	 -1.390726e-01 	-4.424553e-01 	 3.582707e-01 	4.672992e-01 	 8.636018e-02 	 
-4.385301e-01 	 -1.237540e+00 	2.492529e-01 	 -1.232255e-01 	-4.385301e-01 	 3.342081e-01 	4.985808e-01 	 8.642191e-02 	 
-4.344577e-01 	 -1.211530e+00 	2.845804e-01 	 -9.947786e-02 	-4.344577e-01 	 3.112088e-01 	nan          	nan          	 
-4.302377e-01 	 -1.186128e+00 	3.178897e-01 	 -7.573415e-02 	-4.302377e-01 	 2.892415e-01 	nan          	nan          	 
-4.258703e-01 	 -1.161411e+00 	3.542262e-01 	 -5.198448e-02 	-4.258703e-01 	 2.682734e-01 	nan          	nan          	 
-4.213556e-01 	 -1.137456e+00 	3.865288e-01 	 -2.232326e-02 	-4.213556e-01 	 2.482713e-01 	nan          	nan          	 
-4.166939e-01 	 -1.114340e+00 	4.168132e-01 	 7.333967e-03 	-4.166939e-01 	 2.292021e-01 	nan          	nan          	 
-4.118855e-01 	 -1.092132e+00 	4.511332e-01 	 3.502600e-02 	-4.118855e-01 	 2.110325e-01 	nan          	nan          	 
-4.069311e-01 	 -1.070900e+00 	4.763698e-01 	 5.875377e-02 	-4.069311e-01 	 1.937302e-01 	nan          	nan          	 
-4.018313e-01 	 -1.050701e+00 	4.985776e-01 	 7.852924e-02 	-4.018313e-01 	 1.772633e-01 	nan          	nan          	 
-3.965869e-01 	 -1.031585e+00 	nan          	nan          	-3.965869e-01 	 1.616009e-01 	nan          	nan          	 
-3.911988e-01 	 -1.013589e+00 	nan          	nan          	-3.911988e-01 	 1.467131e-01 	nan          	nan          	 
-3.856680e-01 	 -9.967405e-01 	nan          	nan          	-3.856680e-01 	 1.325708e-01 	nan          	nan          	 
-3.799957e-01 	 -9.810513e-01 	nan          	nan          	-3.799957e-01 	 1.191460e-01 	nan          	nan          	 
-3.741831e-01 	 -9.665205e-01 	nan          	nan          	-3.741831e-01 	 1.064119e-01 	nan          	nan          	 
-3.682317e-01 	 -9.531315e-01 	nan          	nan          	-3.682317e-01 	 9.434283e-02 	nan          	nan          	 
-3.621429e-01 	 -9.408539e-01 	nan          	nan          	-3.621429e-01 	 8.291388e-02 	nan          	nan          	 
-3.559183e-01 	 -9.296442e-01 	nan          	nan          	-3.559183e-01 	 7.210132e-02 	nan          	nan          	 
-3.495596e-01 	 -9.194492e-01 	nan          	nan          	-3.495596e-01 	 6.188237e-02 	nan          	nan          	 
-3.430686e-01 	 -9.102070e-01 	nan          	nan          	-3.430686e-01 	 5.223514e-02 	nan          	nan          	 
-3.364472e-01 	 -9.018518e-01 	nan          	nan          	-3.364472e-01 	 4.313861e-02 	nan          	nan          	 
-3.296975e-01 	 -8.943142e-01 	nan          	nan          	-3.296975e-01 	 3.457251e-02 	nan          	nan          	 
-3.228214e-01 	 -8.875253e-01 	nan          	nan          	-3.228214e-01 	 2.651741e-02 	nan          	nan          	 
-3.158212e-01 	 -8.814164e-01 	nan          	nan          	-3.158212e-01 	 1.895448e-02 	nan          	nan          	 
-3.086991e-01 	 -8.759216e-01 	nan          	nan          	-3.086991e-01 	 1.186560e-02 	nan          	nan          	 
-3.014576e-01 	 -8.709787e-01 	nan          	nan          	-3.014576e-01 	 5.233185e-03 	nan          	nan          	 
-2.940990e-01 	 -8.665290e-01 	nan          	nan          	-2.940990e-01 	 -9.597632e-04 	nan          	nan          	 
-2.866260e-01 	 -8.625192e-01 	nan          	nan          	-2.866260e-01 	 -6.729756e-03 	nan          	nan          	 
-2.790410e-01 	 -8.589017e-01 	nan          	nan          	-2.790410e-01 	 -1.209283e-02 	nan          	nan          	 
-2.713469e-01 	 -8.556333e-01 	nan          	nan          	-2.713469e-01 	 -1.706459e-02 	nan          	nan          	 
-2.635463e-01 	 -8.526760e-01 	nan          	nan          	-2.635463e-01 	 -2.166022e-02 	nan          	nan          	 
-2.556421e-01 	 -8.499956e-01 	nan          	nan          	-2.556421e-01 	 -2.589451e-02 	nan          	nan          	 
-2.476372e-01 	 -8.475607e-01 	nan          	nan          	-2.476372e-01 	 -2.978189e-02 	nan          	nan          	 
-2.395346e-01 	 -8.453451e-01 	nan          	nan          	-2.395346e-01 	 -3.333642e-02 	nan          	nan          	 
-2.313373e-01 	 -8.433249e-01 	nan          	nan          	-2.313373e-01 	 -3.657183e-02 	nan          	nan          	 
-2.230484e-01 	 -8.414799e-01 	nan          	nan          	-2.230484e-01 	 -3.950150e-02 	nan          	nan          	 
-2.146711e-01 	 -8.397948e-01 	nan          	nan          	-2.146711e-01 	 -4.213848e-02 	nan          	nan          	 
-2.062086e-01 	 -8.382575e-01 	nan          	nan          	-2.062086e-01 	 -4.449550e-02 	nan          	nan          	 
-1.976642e-01 	 -8.368559e-01 	nan          	nan          	-1.976642e-01 	 -4.658499e-02 	nan          	nan          	 
-1.890413e-01 	 -8.355839e-01 	nan          	nan          	-1.890413e-01 	 -4.841903e-02 	nan          	nan          	 
-1.803431e-01 	 -8.344312e-01 	nan          	nan          	-1.803431e-01 	 -5.000941e-02 	nan          	nan          	 
-1.715731e-01 	 -8.333868e-01 	nan          	nan          	-1.715731e-01 	 -5.136755e-02 	nan          	nan          	 
-1.627349e-01 	 -8.324565e-01 	nan          	nan          	-1.627349e-01 	 -5.250464e-02 	nan          	nan          	 
-1.538319e-01 	 -8.316304e-01 	nan          	nan          	-1.538319e-01 	 -5.343144e-02 	nan          	nan          	 
-1.448677e-01 	 -8.308951e-01 	nan          	nan          	-1.448677e-01 	 -5.415842e-02 	nan          	nan          	 
-1.358459e-01 	 -8.302812e-01 	nan          	nan          	-1.358459e-01 	 -5.469570e-02 	nan          	nan          	 
-1.267700e-01 	 -8.297791e-01 	nan          	nan          	-1.267700e-01 	 -5.505301e-02 	nan          	nan          	 
-1.176439e-01 	 -8.293964e-01 	nan          	nan          	-1.176439e-01 	 -5.523977e-02 	nan          	nan          	 
-1.084712e-01 	 -8.292353e-01 	nan          	nan          	-1.084712e-01 	 -5.526506e-02 	nan          	nan          	 
-9.925561e-02 	 -8.292862e-01 	nan          	nan          	-9.925561e-02 	 -5.513751e-02 	nan          	nan          	 
-9.000088e-02 	 -8.295464e-01 	nan          	nan          	-9.000088e-02 	 -5.486545e-02 	nan          	nan          	 
-8.071080e-02 	 -8.301773e-01 	nan          	nan          	-8.071080e-02 	 -5.445683e-02 	nan          	nan          	 
-7.138918e-02 	 -8.312094e-01 	nan          	nan          	-7.138918e-02 	 -5.391927e-02 	nan          	nan          	 
-6.203983e-02 	 -8.327135e-01 	nan          	nan          	-6.203983e-02 	 -5.326002e-02 	nan          	nan          	 
-5.266659e-02 	 -8.347440e-01 	nan          	nan          	-5.266659e-02 	 -5.248597e-02 	nan          	nan          	 
-4.327331e-02 	 -8.370021e-01 	nan          	nan          	-4.327331e-02 	 -5.160375e-02 	nan          	nan          	 
-3.386385e-02 	 -8.395456e-01 	nan          	nan          	-3.386385e-02 	 -5.061964e-02 	nan          	nan          	 
-2.444209e-02 	 -8.416857e-01 	nan          	nan          	-2.444209e-02 	 -4.953955e-02 	nan          	nan          	 
-1.501189e-02 	 -8.395441e-01 	nan          	nan          	-1.501189e-02 	 -4.836913e-02 	nan          	nan          	 
-5.577145e-03 	 -8.286253e-01 	nan          	nan          	-5.577145e-03 	 -4.711374e-02 	nan          	nan          	 
3.858267e-03 	 -8.068308e-01 	nan          	nan          	3.858267e-03 	 -4.577836e-02 	nan          	nan          	 
1.329046e-02 	 -7.730828e-01 	nan          	nan          	1.329046e-02 	 -4.436779e-02 	nan          	nan          	 
2.271556e-02 	 -7.289688e-01 	nan          	nan          	2.271556e-02 	 -4.288641e-02 	nan          	nan          	 
3.212970e-02 	 -6.784462e-01 	nan          	nan          	3.212970e-02 	 -4.133843e-02 	nan          	nan          	 
4.152899e-02 	 -6.216763e-01 	nan          	nan          	4.152899e-02 	 -3.972771e-02 	nan          	nan          	 
5.090960e-02 	 -5.577928e-01 	nan          	nan          	5.090960e-02 	 -3.805783e-02 	nan          	nan          	 
6.026767e-02 	 -4.912260e-01 	nan          	nan          	6.026767e-02 	 -3.633216e-02 	nan          	nan          	 
6.959938e-02 	 -4.269702e-01 	nan          	nan          	6.959938e-02 	 -3.455379e-02 	nan          	nan          	 
7.890093e-02 	 -3.677377e-01 	nan          	nan          	7.890093e-02 	 -3.272561e-02 	nan          	nan          	 
8.816852e-02 	 -3.170407e-01 	nan          	nan          	8.816852e-02 	 -3.085027e-02 	nan          	nan          	 
9.739838e-02 	 -2.763077e-01 	nan          	nan          	9.739838e-02 	 -2.893026e-02 	nan          	nan          	 
1.065868e-01 	 -2.437641e-01 	nan          	nan          	1.065868e-01 	 -2.696788e-02 	nan          	nan          	 
1.157300e-01 	 -2.185963e-01 	nan          	nan          	1.157300e-01 	 -2.496527e-02 	nan          	nan          	 
1.248244e-01 	 -1.999358e-01 	nan          	nan          	1.248244e-01 	 -2.292443e-02 	nan          	nan          	 
1.338662e-01 	 -1.851930e-01 	nan          	nan          	1.338662e-01 	 -2.084722e-02 	nan          	nan          	 
1.428519e-01 	 -1.727116e-01 	nan          	nan          	1.428519e-01 	 -1.873541e-02 	nan          	nan          	 
1.517779e-01 	 -1.625053e-01 	nan          	nan          	1.517779e-01 	 -1.659066e-02 	nan          	nan          	 
1.606407e-01 	 -1.544357e-01 	nan          	nan          	1.606407e-01 	 -1.441459e-02 	nan          	nan          	 
1.694367e-01 	 -1.477850e-01 	nan          	nan          	1.694367e-01 	 -1.220875e-02 	nan          	nan          	 
1.781625e-01 	 -1.420745e-01 	nan          	nan          	1.781625e-01 	 -9.974692e-03 	nan          	nan          	 
1.868148e-01 	 -1.371765e-01 	nan          	nan          	1.868148e-01 	 -7.713948e-03 	nan          	nan          	 
1.953901e-01 	 -1.329604e-01 	nan          	nan          	1.953901e-01 	 -5.428090e-03 	nan          	nan          	 
2.038851e-01 	 -1.292847e-01 	nan          	nan          	2.038851e-01 	 -3.118728e-03 	nan          	nan          	 
2.122966e-01 	 -1.260220e-01 	nan          	nan          	2.122966e-01 	 -7.875445e-04 	nan          	nan          	 
2.206215e-01 	 -1.229504e-01 	nan          	nan          	2.206215e-01 	 1.563688e-03 	nan          	nan          	 
2.288565e-01 	 -1.197646e-01 	nan          	nan          	2.288565e-01 	 3.933080e-03 	nan          	nan          	 
2.369986e-01 	 -1.162666e-01 	nan          	nan          	2.369986e-01 	 6.318619e-03 	nan          	nan          	 
2.450449e-01 	 -1.124911e-01 	nan          	nan          	2.450449e-01 	 8.718130e-03 	nan          	nan          	 
2.529923e-01 	 -1.086056e-01 	nan          	nan          	2.529923e-01 	 1.112928e-02 	nan          	nan          	 
2.608380e-01 	 -1.047041e-01 	nan          	nan          	2.608380e-01 	 1.354955e-02 	nan          	nan          	 
2.685792e-01 	 -1.007435e-01 	nan          	nan          	2.685792e-01 	 1.597625e-02 	nan          	nan          	 
2.762132e-01 	 -9.667796e-02 	nan          	nan          	2.762132e-01 	 1.840650e-02 	nan          	nan          	 
2.837373e-01 	 -9.251811e-02 	nan          	nan          	2.837373e-01 	 2.083725e-02 	nan          	nan          	 
2.911490e-01 	 -8.823421e-02 	nan          	nan          	2.911490e-01 	 2.326528e-02 	nan          	nan          	 
2.984458e-01 	 -8.375502e-02 	nan          	nan          	2.984458e-01 	 2.568722e-02 	nan          	nan          	 
3.056253e-01 	 -7.906217e-02 	nan          	nan          	3.056253e-01 	 2.809958e-02 	nan          	nan          	 
3.126851e-01 	 -7.418709e-02 	nan          	nan          	3.126851e-01 	 3.049876e-02 	nan          	nan          	 
