x0	Gamma	
4.000000e+00 	 -1.096883e-01 	 
3.960000e+00 	 -1.161373e-01 	 
3.920000e+00 	 -1.211176e-01 	 
3.880000e+00 	 -1.247717e-01 	 
3.840000e+00 	 -1.267147e-01 	 
3.800000e+00 	 -1.278628e-01 	 
3.760000e+00 	 -1.295919e-01 	 
3.720000e+00 	 -1.307903e-01 	 
3.680000e+00 	 -1.282868e-01 	 
3.640000e+00 	 -1.217186e-01 	 
3.600000e+00 	 -1.136049e-01 	 
3.560000e+00 	 -1.064188e-01 	 
3.520000e+00 	 -1.013405e-01 	 
3.480000e+00 	 -9.841907e-02 	 
3.440000e+00 	 -9.715740e-02 	 
3.400000e+00 	 -9.628674e-02 	 
3.360000e+00 	 -9.376133e-02 	 
3.320000e+00 	 -8.959936e-02 	 
3.280000e+00 	 -8.557026e-02 	 
3.240000e+00 	 -8.192301e-02 	 
3.200000e+00 	 -7.802465e-02 	 
3.160000e+00 	 -7.386400e-02 	 
3.120000e+00 	 -6.996431e-02 	 
3.080000e+00 	 -6.679504e-02 	 
3.040000e+00 	 -6.412111e-02 	 
3.000000e+00 	 -5.980738e-02 	 
2.960000e+00 	 -5.132627e-02 	 
2.920000e+00 	 -4.005821e-02 	 
2.880000e+00 	 -3.168090e-02 	 
2.840000e+00 	 -2.875753e-02 	 
2.800000e+00 	 -2.788796e-02 	 
2.760000e+00 	 -2.540027e-02 	 
2.720000e+00 	 -2.067933e-02 	 
2.680000e+00 	 -1.210974e-02 	 
2.640000e+00 	 1.779308e-03 	 
2.600000e+00 	 1.782372e-02 	 
2.560000e+00 	 2.989762e-02 	 
2.520000e+00 	 3.608173e-02 	 
2.480000e+00 	 4.008047e-02 	 
2.440000e+00 	 4.555214e-02 	 
2.400000e+00 	 5.244306e-02 	 
2.360000e+00 	 5.876824e-02 	 
2.320000e+00 	 6.360058e-02 	 
2.280000e+00 	 6.644322e-02 	 
2.240000e+00 	 6.665472e-02 	 
2.200000e+00 	 6.534541e-02 	 
2.160000e+00 	 6.494054e-02 	 
2.120000e+00 	 6.782818e-02 	 
2.080000e+00 	 7.406126e-02 	 
2.040000e+00 	 8.216261e-02 	 
2.000000e+00 	 9.015987e-02 	 
1.960000e+00 	 9.495114e-02 	 
1.920000e+00 	 9.467892e-02 	 
1.880000e+00 	 9.066433e-02 	 
1.840000e+00 	 8.600998e-02 	 
1.800000e+00 	 8.121250e-02 	 
1.760000e+00 	 7.529619e-02 	 
1.720000e+00 	 6.962958e-02 	 
1.680000e+00 	 6.696006e-02 	 
1.640000e+00 	 6.705404e-02 	 
1.600000e+00 	 6.698786e-02 	 
1.560000e+00 	 6.561914e-02 	 
1.520000e+00 	 6.417866e-02 	 
1.480000e+00 	 6.249525e-02 	 
1.440000e+00 	 5.923714e-02 	 
1.400000e+00 	 5.506366e-02 	 
1.360000e+00 	 5.302795e-02 	 
1.320000e+00 	 5.603951e-02 	 
1.280000e+00 	 6.337784e-02 	 
1.240000e+00 	 7.192407e-02 	 
1.200000e+00 	 7.913283e-02 	 
1.160000e+00 	 8.452801e-02 	 
1.120000e+00 	 8.823135e-02 	 
1.080000e+00 	 9.041918e-02 	 
1.040000e+00 	 9.195076e-02 	 
1.000000e+00 	 9.401466e-02 	 
9.600000e-01 	 9.785468e-02 	 
9.200000e-01 	 1.025193e-01 	 
8.800000e-01 	 1.045183e-01 	 
8.400000e-01 	 1.031021e-01 	 
8.000000e-01 	 1.023762e-01 	 
7.600000e-01 	 1.065704e-01 	 
7.200000e-01 	 1.141366e-01 	 
6.800000e-01 	 1.200423e-01 	 
6.400000e-01 	 1.219932e-01 	 
6.000000e-01 	 1.227342e-01 	 
5.600000e-01 	 1.251899e-01 	 
5.200000e-01 	 1.275715e-01 	 
4.800000e-01 	 1.274313e-01 	 
4.400000e-01 	 1.259531e-01 	 
4.000000e-01 	 1.263468e-01 	 
3.600000e-01 	 1.305029e-01 	 
3.200000e-01 	 1.393920e-01 	 
2.800000e-01 	 1.518360e-01 	 
2.400000e-01 	 1.643760e-01 	 
2.000000e-01 	 1.742250e-01 	 
1.600000e-01 	 1.807025e-01 	 
1.200000e-01 	 1.843008e-01 	 
8.000000e-02 	 1.849339e-01 	 
4.000000e-02 	 1.817362e-01 	 
0.000000e+00 	 1.756022e-01 	 
-4.000000e-02 	 1.689259e-01 	 
-8.000000e-02 	 1.631807e-01 	 
-1.200000e-01 	 1.575727e-01 	 
-1.600000e-01 	 1.525899e-01 	 
-2.000000e-01 	 1.505427e-01 	 
-2.400000e-01 	 1.511245e-01 	 
-2.800000e-01 	 1.509022e-01 	 
-3.200000e-01 	 1.472383e-01 	 
-3.600000e-01 	 1.414256e-01 	 
-4.000000e-01 	 1.362487e-01 	 
-4.400000e-01 	 1.339706e-01 	 
-4.800000e-01 	 1.358749e-01 	 
-5.200000e-01 	 1.411874e-01 	 
-5.600000e-01 	 1.468967e-01 	 
-6.000000e-01 	 1.499040e-01 	 
-6.400000e-01 	 1.498332e-01 	 
-6.800000e-01 	 1.478425e-01 	 
-7.200000e-01 	 1.457467e-01 	 
-7.600000e-01 	 1.442168e-01 	 
-8.000000e-01 	 1.421563e-01 	 
-8.400000e-01 	 1.376882e-01 	 
-8.800000e-01 	 1.315665e-01 	 
-9.200000e-01 	 1.266070e-01 	 
-9.600000e-01 	 1.230626e-01 	 
-1.000000e+00 	 1.168703e-01 	 
-1.040000e+00 	 1.051978e-01 	 
-1.080000e+00 	 8.879696e-02 	 
-1.120000e+00 	 7.063924e-02 	 
-1.160000e+00 	 5.331832e-02 	 
-1.200000e+00 	 4.020865e-02 	 
-1.240000e+00 	 3.302186e-02 	 
-1.280000e+00 	 3.076007e-02 	 
-1.320000e+00 	 3.048312e-02 	 
-1.360000e+00 	 3.012543e-02 	 
-1.400000e+00 	 3.052006e-02 	 
-1.440000e+00 	 3.324316e-02 	 
-1.480000e+00 	 3.743333e-02 	 
-1.520000e+00 	 4.023722e-02 	 
-1.560000e+00 	 4.007353e-02 	 
-1.600000e+00 	 3.916578e-02 	 
-1.640000e+00 	 3.872952e-02 	 
-1.680000e+00 	 3.837099e-02 	 
-1.720000e+00 	 3.751249e-02 	 
-1.760000e+00 	 3.867527e-02 	 
-1.800000e+00 	 4.474669e-02 	 
-1.840000e+00 	 5.463580e-02 	 
-1.880000e+00 	 6.404229e-02 	 
-1.920000e+00 	 6.933776e-02 	 
-1.960000e+00 	 7.037279e-02 	 
-2.000000e+00 	 6.922173e-02 	 
-2.040000e+00 	 6.639819e-02 	 
