x0	cl	x1	cd	
-5.150000e-01 	 1.529187e-01 	-5.150000e-01 	 5.223472e-01 	 
-5.099752e-01 	 1.529187e-01 	-5.099752e-01 	 5.223472e-01 	 
-5.049505e-01 	 1.529187e-01 	-5.049505e-01 	 5.223472e-01 	 
-4.999257e-01 	 1.529187e-01 	-4.999257e-01 	 5.223472e-01 	 
-4.949010e-01 	 1.529187e-01 	-4.949010e-01 	 5.223472e-01 	 
-4.898762e-01 	 1.529187e-01 	-4.898762e-01 	 5.223472e-01 	 
-4.848515e-01 	 1.529187e-01 	-4.848515e-01 	 5.223472e-01 	 
-4.798267e-01 	 6.395986e-01 	-4.798267e-01 	 1.961757e+00 	 
-4.748020e-01 	 6.395986e-01 	-4.748020e-01 	 1.961757e+00 	 
-4.697772e-01 	 6.395986e-01 	-4.697772e-01 	 1.961757e+00 	 
-4.647525e-01 	 6.395986e-01 	-4.647525e-01 	 1.961757e+00 	 
-4.597277e-01 	 6.395986e-01 	-4.597277e-01 	 1.961757e+00 	 
-4.547030e-01 	 6.395986e-01 	-4.547030e-01 	 1.961757e+00 	 
-4.496782e-01 	 6.395986e-01 	-4.496782e-01 	 1.961757e+00 	 
-4.446535e-01 	 7.195748e-01 	-4.446535e-01 	 7.482637e-01 	 
-4.396287e-01 	 7.195748e-01 	-4.396287e-01 	 7.482637e-01 	 
-4.346040e-01 	 7.195748e-01 	-4.346040e-01 	 7.482637e-01 	 
-4.295792e-01 	 7.195748e-01 	-4.295792e-01 	 7.482637e-01 	 
-4.245545e-01 	 7.195748e-01 	-4.245545e-01 	 7.482637e-01 	 
-4.195297e-01 	 7.195748e-01 	-4.195297e-01 	 7.482637e-01 	 
-4.145050e-01 	 7.195748e-01 	-4.145050e-01 	 7.482637e-01 	 
-4.094802e-01 	 6.697483e-01 	-4.094802e-01 	 5.327040e-01 	 
-4.044554e-01 	 6.697483e-01 	-4.044554e-01 	 5.327040e-01 	 
-3.994307e-01 	 6.697483e-01 	-3.994307e-01 	 5.327040e-01 	 
-3.944059e-01 	 6.697483e-01 	-3.944059e-01 	 5.327040e-01 	 
-3.893812e-01 	 6.697483e-01 	-3.893812e-01 	 5.327040e-01 	 
-3.843564e-01 	 6.697483e-01 	-3.843564e-01 	 5.327040e-01 	 
-3.793317e-01 	 6.697483e-01 	-3.793317e-01 	 5.327040e-01 	 
-3.743069e-01 	 4.778816e-01 	-3.743069e-01 	 4.139140e-01 	 
-3.692822e-01 	 4.778816e-01 	-3.692822e-01 	 4.139140e-01 	 
-3.642574e-01 	 4.778816e-01 	-3.642574e-01 	 4.139140e-01 	 
-3.592327e-01 	 4.778816e-01 	-3.592327e-01 	 4.139140e-01 	 
-3.542079e-01 	 4.778816e-01 	-3.542079e-01 	 4.139140e-01 	 
-3.491832e-01 	 4.778816e-01 	-3.491832e-01 	 4.139140e-01 	 
-3.441584e-01 	 4.778816e-01 	-3.441584e-01 	 4.139140e-01 	 
-3.391337e-01 	 2.863654e-01 	-3.391337e-01 	 2.926196e-01 	 
-3.341089e-01 	 2.863654e-01 	-3.341089e-01 	 2.926196e-01 	 
-3.290842e-01 	 2.863654e-01 	-3.290842e-01 	 2.926196e-01 	 
-3.240594e-01 	 2.863654e-01 	-3.240594e-01 	 2.926196e-01 	 
-3.190347e-01 	 2.863654e-01 	-3.190347e-01 	 2.926196e-01 	 
-3.140099e-01 	 2.863654e-01 	-3.140099e-01 	 2.926196e-01 	 
-3.089851e-01 	 2.863654e-01 	-3.089851e-01 	 2.926196e-01 	 
-3.039604e-01 	 1.556218e-01 	-3.039604e-01 	 1.955034e-01 	 
-2.989356e-01 	 1.556218e-01 	-2.989356e-01 	 1.955034e-01 	 
-2.939109e-01 	 1.556218e-01 	-2.939109e-01 	 1.955034e-01 	 
-2.888861e-01 	 1.556218e-01 	-2.888861e-01 	 1.955034e-01 	 
