x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	
0.000000e+00 	6.745541e-01 	6.799701e-01 	6.809126e-01 	6.808799e-01 	6.790679e-01 	6.609633e-01 	6.772377e-01 	6.569169e-01 	6.924663e-01 	 
1.550293e-02 	6.745841e-01 	6.799735e-01 	6.809034e-01 	6.808885e-01 	6.796364e-01 	6.709459e-01 	6.785903e-01 	6.564821e-01 	6.940325e-01 	 
3.121948e-02 	6.746093e-01 	6.799748e-01 	6.809002e-01 	6.809043e-01 	6.803379e-01 	6.808567e-01 	6.820758e-01 	6.534439e-01 	6.951815e-01 	 
4.672241e-02 	6.746260e-01 	6.799730e-01 	6.809014e-01 	6.809269e-01 	6.810400e-01 	6.887711e-01 	6.871793e-01 	6.466275e-01 	6.961706e-01 	 
6.240845e-02 	6.746359e-01 	6.799735e-01 	6.809150e-01 	6.809673e-01 	6.816251e-01 	6.940437e-01 	6.926963e-01 	6.380443e-01 	6.967313e-01 	 
7.794189e-02 	6.746475e-01 	6.799833e-01 	6.809474e-01 	6.810371e-01 	6.819793e-01 	6.965855e-01 	6.972028e-01 	6.345542e-01 	6.961705e-01 	 
9.362793e-02 	6.746614e-01 	6.800076e-01 	6.810077e-01 	6.811474e-01 	6.820551e-01 	6.966358e-01 	6.994705e-01 	6.387411e-01 	6.942885e-01 	 
1.093445e-01 	6.746825e-01 	6.800568e-01 	6.811035e-01 	6.812939e-01 	6.818456e-01 	6.940675e-01 	6.980924e-01 	6.440677e-01 	6.918314e-01 	 
1.248779e-01 	6.747275e-01 	6.801431e-01 	6.812289e-01 	6.814580e-01 	6.814135e-01 	6.888585e-01 	6.924698e-01 	6.489104e-01 	6.892847e-01 	 
1.405640e-01 	6.748048e-01 	6.802571e-01 	6.813665e-01 	6.816189e-01 	6.808434e-01 	6.812361e-01 	6.832996e-01 	6.539497e-01 	6.871691e-01 	 
1.560974e-01 	6.749005e-01 	6.803795e-01 	6.814961e-01 	6.817572e-01 	6.802618e-01 	6.724777e-01 	6.729326e-01 	6.595804e-01 	6.850233e-01 	 
1.718140e-01 	6.750139e-01 	6.805042e-01 	6.816104e-01 	6.818699e-01 	6.797427e-01 	6.643630e-01 	6.633849e-01 	6.666960e-01 	6.769911e-01 	 
1.873474e-01 	6.751354e-01 	6.806132e-01 	6.817027e-01 	6.819341e-01 	6.793739e-01 	6.594206e-01 	6.565997e-01 	6.751422e-01 	6.675579e-01 	 
2.030640e-01 	6.752494e-01 	6.807017e-01 	6.817704e-01 	6.819450e-01 	6.792311e-01 	6.592224e-01 	6.532168e-01 	6.831391e-01 	6.653046e-01 	 
2.185974e-01 	6.753483e-01 	6.807727e-01 	6.818075e-01 	6.819199e-01 	6.793760e-01 	6.638810e-01 	6.528969e-01 	6.879925e-01 	6.676821e-01 	 
2.343140e-01 	6.754365e-01 	6.808184e-01 	6.818149e-01 	6.818850e-01 	6.798213e-01 	6.721763e-01 	6.546868e-01 	6.887352e-01 	6.670996e-01 	 
2.498474e-01 	6.754978e-01 	6.808343e-01 	6.818110e-01 	6.818717e-01 	6.805179e-01 	6.818330e-01 	6.578630e-01 	6.867452e-01 	6.642921e-01 	 
2.655640e-01 	6.755349e-01 	6.808454e-01 	6.818175e-01 	6.818911e-01 	6.813839e-01 	6.907715e-01 	6.617566e-01 	6.849350e-01 	6.640784e-01 	 
2.810974e-01 	6.755664e-01 	6.808663e-01 	6.818317e-01 	6.819310e-01 	6.822487e-01 	6.971633e-01 	6.652399e-01 	6.854706e-01 	6.662547e-01 	 
2.968140e-01 	6.755958e-01 	6.808898e-01 	6.818422e-01 	6.819768e-01 	6.829555e-01 	7.006866e-01 	6.676413e-01 	6.884252e-01 	6.681454e-01 	 
