x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	
0.000000e+00 	9.996487e-02 	1.029149e-01 	9.309644e-02 	8.257492e-02 	4.982914e-02 	6.316885e-02 	5.428896e-02 	3.614783e-01 	1.153482e-01 	 
1.550293e-02 	9.989262e-02 	1.027859e-01 	9.289643e-02 	8.221228e-02 	4.716160e-02 	4.002162e-02 	6.951555e-02 	3.579449e-01 	1.383199e-01 	 
3.121948e-02 	9.983726e-02 	1.026856e-01 	9.274258e-02 	8.194892e-02 	4.512625e-02 	2.780017e-02 	7.477023e-02 	3.123321e-01 	1.620984e-01 	 
4.672241e-02 	9.980122e-02 	1.026134e-01 	9.263326e-02 	8.175026e-02 	4.393923e-02 	2.935091e-02 	8.721110e-02 	2.431574e-01 	1.863029e-01 	 
6.240845e-02 	9.978095e-02 	1.025626e-01 	9.255059e-02 	8.154584e-02 	4.357064e-02 	4.304366e-02 	1.091753e-01 	1.698242e-01 	2.122834e-01 	 
7.794189e-02 	9.977104e-02 	1.025264e-01 	9.247436e-02 	8.127586e-02 	4.389860e-02 	6.357423e-02 	1.369607e-01 	1.122872e-01 	2.397367e-01 	 
9.362793e-02 	9.976744e-02 	1.024908e-01 	9.237072e-02 	8.089639e-02 	4.472606e-02 	8.662806e-02 	1.656318e-01 	1.105352e-01 	2.650812e-01 	 
1.093445e-01 	9.975966e-02 	1.024359e-01 	9.221253e-02 	8.041436e-02 	4.582805e-02 	1.086733e-01 	1.908483e-01 	1.140673e-01 	2.820903e-01 	 
1.248779e-01 	9.973366e-02 	1.023433e-01 	9.199131e-02 	7.988487e-02 	4.696076e-02 	1.265856e-01 	2.115945e-01 	1.032376e-01 	2.853094e-01 	 
1.405640e-01 	9.967619e-02 	1.022048e-01 	9.171174e-02 	7.936055e-02 	4.791105e-02 	1.372409e-01 	2.277884e-01 	8.767964e-02 	2.799389e-01 	 
1.560974e-01 	9.958642e-02 	1.020252e-01 	9.140263e-02 	7.890146e-02 	4.839928e-02 	1.367120e-01 	2.368653e-01 	6.995928e-02 	2.937633e-01 	 
1.718140e-01 	9.946424e-02 	1.018097e-01 	9.108333e-02 	7.850664e-02 	4.819786e-02 	1.229306e-01 	2.344425e-01 	5.680808e-02 	3.280987e-01 	 
1.873474e-01 	9.932181e-02 	1.015802e-01 	9.077431e-02 	7.817757e-02 	4.712794e-02 	9.803717e-02 	2.154776e-01 	5.167299e-02 	3.446754e-01 	 
2.030640e-01 	9.917357e-02 	1.013401e-01 	9.048342e-02 	7.787509e-02 	4.507571e-02 	6.722607e-02 	1.803555e-01 	4.911594e-02 	3.225719e-01 	 
2.185974e-01 	9.903482e-02 	1.011013e-01 	9.023453e-02 	7.755277e-02 	4.218128e-02 	3.762762e-02 	1.396494e-01 	4.331720e-02 	2.734253e-01 	 
2.343140e-01 	9.890737e-02 	1.008784e-01 	9.002013e-02 	7.715096e-02 	3.871906e-02 	1.344777e-02 	1.044773e-01 	3.246886e-02 	2.142405e-01 	 
2.498474e-01 	9.880675e-02 	1.006882e-01 	8.982263e-02 	7.666356e-02 	3.531977e-02 	-3.535021e-05 	8.166135e-02 	1.977542e-02 	1.623293e-01 	 
2.655640e-01 	9.873688e-02 	1.005176e-01 	8.961355e-02 	7.612052e-02 	3.254758e-02 	1.504458e-03 	7.046276e-02 	1.111650e-02 	1.202647e-01 	 
2.810974e-01 	9.869042e-02 	1.003640e-01 	8.938904e-02 	7.560992e-02 	3.102445e-02 	1.846145e-02 	6.772887e-02 	1.232310e-02 	8.170148e-02 	 
2.968140e-01 	9.865772e-02 	1.002251e-01 	8.914410e-02 	7.518895e-02 	3.105442e-02 	4.660666e-02 	6.869151e-02 	2.561542e-02 	4.301218e-02 	 
3.123474e-01 	9.863400e-02 	1.001083e-01 	8.888380e-02 	7.491724e-02 	3.264389e-02 	8.013606e-02 	6.827091e-02 	4.891067e-02 	8.863043e-03 	 
3.280640e-01 	9.861591e-02 	1.000118e-01 	8.861599e-02 	7.479266e-02 	3.551691e-02 	1.166305e-01 	6.189468e-02 	7.719858e-02 	-1.683061e-02 	 
3.436279e-01 	9.860261e-02 	9.994260e-02 	8.836922e-02 	7.478022e-02 	3.906170e-02 	1.524089e-01 	4.844517e-02 	1.019602e-01 	-3.128703e-02 	 
3.593445e-01 	9.859600e-02 	9.990898e-02 	8.816469e-02 	7.482327e-02 	4.265380e-02 	1.838030e-01 	2.782877e-02 	1.171106e-01 	-3.635883e-02 	 
3.748779e-01 	9.860310e-02 	9.991793e-02 	8.803137e-02 	7.486804e-02 	4.546473e-02 	2.043381e-01 	-5.093117e-04 	1.200825e-01 	-3.462792e-02 	 
3.905945e-01 	9.863110e-02 	9.997338e-02 	8.798660e-02 	7.487304e-02 	4.690157e-02 	2.097524e-01 	-3.517720e-02 	1.132253e-01 	-2.779552e-02 	 
4.061584e-01 	9.868283e-02 	1.000774e-01 	8.804173e-02 	7.480393e-02 	4.657911e-02 	1.997099e-01 	-6.464845e-02 	1.019648e-01 	-1.928038e-02 	 
4.216919e-01 	9.876024e-02 	1.002291e-01 	8.818590e-02 	7.464580e-02 	4.464437e-02 	1.798998e-01 	-7.404079e-02 	9.338284e-02 	-1.442702e-02 	 
4.374084e-01 	9.886344e-02 	1.004219e-01 	8.839915e-02 	7.441315e-02 	4.162628e-02 	1.557905e-01 	-5.627829e-02 	9.167827e-02 	-1.220619e-02 	 
4.529724e-01 	9.898370e-02 	1.006376e-01 	8.864998e-02 	7.415599e-02 	3.841217e-02 	1.264525e-01 	-1.795583e-02 	9.288159e-02 	-4.024182e-03 	 
4.686890e-01 	9.911374e-02 	1.008613e-01 	8.892030e-02 	7.392275e-02 	3.576577e-02 	8.767314e-02 	2.756987e-02 	9.081752e-02 	1.393971e-02 	 
4.842529e-01 	9.923285e-02 	1.010755e-01 	8.918514e-02 	7.379239e-02 	3.432279e-02 	4.817349e-02 	6.520848e-02 	8.411129e-02 	3.555600e-02 	 
4.999695e-01 	9.933234e-02 	1.012825e-01 	8.944264e-02 	7.383204e-02 	3.423760e-02 	2.322577e-02 	9.345679e-02 	7.235245e-02 	5.554119e-02 	 
5.155334e-01 	9.941148e-02 	1.014736e-01 	8.969163e-02 	7.406785e-02 	3.534492e-02 	2.041979e-02 	1.198100e-01 	4.674764e-02 	7.398916e-02 	 
5.310669e-01 	9.947240e-02 	1.016512e-01 	8.994450e-02 	7.448261e-02 	3.722348e-02 	3.371600e-02 	1.520480e-01 	2.220367e-02 	9.531189e-02 	 
5.468140e-01 	9.951819e-02 	1.018211e-01 	9.021378e-02 	7.503178e-02 	3.936589e-02 	5.459701e-02 	1.910321e-01 	2.467738e-02 	1.244919e-01 	 
5.623779e-01 	9.955628e-02 	1.019813e-01 	9.050183e-02 	7.562121e-02 	4.120792e-02 	7.687644e-02 	2.290909e-01 	3.107241e-02 	1.646070e-01 	 
5.780945e-01 	9.959227e-02 	1.021407e-01 	9.081711e-02 	7.617695e-02 	4.242337e-02 	9.827243e-02 	2.566445e-01 	1.800220e-02 	2.139161e-01 	 
5.936584e-01 	9.963425e-02 	1.022984e-01 	9.114399e-02 	7.661965e-02 	4.284326e-02 	1.160445e-01 	2.660684e-01 	-1.702677e-02 	2.605881e-01 	 
6.092224e-01 	9.968762e-02 	1.024520e-01 	9.147435e-02 	7.693277e-02 	4.256235e-02 	1.273635e-01 	2.610280e-01 	-4.318231e-02 	2.933487e-01 	 
6.249390e-01 	9.974880e-02 	1.026015e-01 	9.179814e-02 	7.713640e-02 	4.181468e-02 	1.279266e-01 	2.513475e-01 	-4.107109e-02 	3.070971e-01 	 
6.405029e-01 	9.981235e-02 	1.027412e-01 	9.209305e-02 	7.727955e-02 	4.094645e-02 	1.124495e-01 	2.438770e-01 	-2.218339e-02 	2.946579e-01 	 
6.562500e-01 	9.987583e-02 	1.028745e-01 	9.235017e-02 	7.743559e-02 	4.025090e-02 	7.579376e-02 	2.400213e-01 	4.804950e-03 	2.700662e-01 	 
6.718140e-01 	9.993505e-02 	1.029977e-01 	9.255251e-02 	7.766506e-02 	3.992560e-02 	2.093895e-02 	2.400712e-01 	3.624405e-02 	2.667854e-01 	 
6.873474e-01 	9.998867e-02 	1.031092e-01 	9.270501e-02 	7.799951e-02 	3.996002e-02 	-3.388329e-02 	2.443987e-01 	6.852384e-02 	2.439542e-01 	 
7.030945e-01 	1.000331e-01 	1.032113e-01 	9.281464e-02 	7.844257e-02 	4.021493e-02 	-5.944166e-02 	2.530125e-01 	9.952579e-02 	2.745279e-01 	 
7.186584e-01 	1.000685e-01 	1.033025e-01 	9.289821e-02 	7.895140e-02 	4.046409e-02 	-4.451963e-02 	2.632690e-01 	1.289545e-01 	3.410032e-01 	 
7.342224e-01 	1.000988e-01 	1.033907e-01 	9.297968e-02 	7.946667e-02 	4.050669e-02 	-8.688544e-03 	2.707920e-01 	1.575176e-01 	3.489234e-01 	 
