x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	
0.000000e+00 	1.294773e-01 	1.164942e-01 	9.665070e-02 	7.897368e-02 	5.275831e-02 	1.588308e-01 	1.632885e-01 	1.050001e-01 	1.315372e-01 	 
1.550293e-02 	1.293899e-01 	1.163479e-01 	9.642366e-02 	7.856071e-02 	5.094915e-02 	1.596670e-01 	1.720292e-01 	9.908431e-02 	1.204007e-01 	 
3.121948e-02 	1.293215e-01 	1.162300e-01 	9.623738e-02 	7.820399e-02 	4.812852e-02 	1.461697e-01 	1.714244e-01 	8.082044e-02 	1.111283e-01 	 
4.672241e-02 	1.292757e-01 	1.161414e-01 	9.609349e-02 	7.791398e-02 	4.459328e-02 	1.209824e-01 	1.561332e-01 	7.442835e-02 	1.055126e-01 	 
6.240845e-02 	1.292487e-01 	1.160758e-01 	9.597826e-02 	7.767464e-02 	4.071173e-02 	8.984835e-02 	1.300195e-01 	8.910922e-02 	1.025535e-01 	 
7.794189e-02 	1.292340e-01 	1.160282e-01 	9.588102e-02 	7.746136e-02 	3.716192e-02 	6.143556e-02 	9.829923e-02 	1.428470e-01 	1.005933e-01 	 
9.362793e-02 	1.292274e-01 	1.159862e-01 	9.577850e-02 	7.723100e-02 	3.445664e-02 	4.038000e-02 	6.456026e-02 	1.877545e-01 	9.551193e-02 	 
1.093445e-01 	1.292171e-01 	1.159325e-01 	9.564743e-02 	7.695282e-02 	3.309367e-02 	2.792302e-02 	3.449280e-02 	2.029908e-01 	8.035306e-02 	 
1.248779e-01 	1.291864e-01 	1.158473e-01 	9.547526e-02 	7.661694e-02 	3.324731e-02 	2.252456e-02 	1.531442e-02 	2.079801e-01 	5.712125e-02 	 
1.405640e-01 	1.291193e-01 	1.157208e-01 	9.525577e-02 	7.622489e-02 	3.479415e-02 	2.277461e-02 	1.323339e-02 	2.040994e-01 	3.560247e-02 	 
1.560974e-01 	1.290146e-01 	1.155551e-01 	9.500191e-02 	7.580828e-02 	3.729941e-02 	2.873286e-02 	2.594690e-02 	1.946214e-01 	2.154504e-02 	 
1.718140e-01 	1.288713e-01 	1.153512e-01 	9.472365e-02 	7.538289e-02 	4.024484e-02 	4.113726e-02 	4.142009e-02 	1.857054e-01 	1.827745e-02 	 
1.873474e-01 	1.287028e-01 	1.151285e-01 	9.444059e-02 	7.498730e-02 	4.296889e-02 	5.891750e-02 	4.998306e-02 	1.784312e-01 	1.044443e-02 	 
2.030640e-01 	1.285260e-01 	1.148936e-01 	9.415636e-02 	7.463669e-02 	4.501369e-02 	7.896124e-02 	5.197049e-02 	1.698757e-01 	-1.324832e-02 	 
2.185974e-01 	1.283599e-01 	1.146567e-01 	9.389442e-02 	7.434524e-02 	4.594644e-02 	9.551295e-02 	5.125272e-02 	1.589722e-01 	-3.246640e-02 	 
2.343140e-01 	1.282063e-01 	1.144291e-01 	9.366020e-02 	7.408667e-02 	4.554655e-02 	1.039122e-01 	5.002103e-02 	1.467181e-01 	-2.301743e-02 	 
