x0	8A00W11AoA20/	x1	8A15W11AoA20/	
0.000000e+00 	 3.607487e-01 	0.000000e+00 	 3.672213e-01 	 
1.250000e-01 	 3.607788e-01 	1.249600e-01 	 3.674850e-01 	 
2.500000e-01 	 3.608521e-01 	2.498800e-01 	 3.675832e-01 	 
3.751000e-01 	 3.604244e-01 	3.748900e-01 	 3.674732e-01 	 
5.001000e-01 	 3.605002e-01 	4.998900e-01 	 3.673017e-01 	 
6.251000e-01 	 3.608655e-01 	6.248600e-01 	 3.671293e-01 	 
7.500000e-01 	 3.618428e-01 	7.498600e-01 	 3.670600e-01 	 
8.750000e-01 	 3.630501e-01 	8.749200e-01 	 3.669638e-01 	 
1.000100e+00 	 3.650876e-01 	9.999700e-01 	 3.668936e-01 	 
1.125100e+00 	 3.678156e-01 	1.124880e+00 	 3.667858e-01 	 
1.250000e+00 	 3.708248e-01 	1.249910e+00 	 3.668095e-01 	 
1.375000e+00 	 3.732710e-01 	1.374950e+00 	 3.668528e-01 	 
1.500100e+00 	 3.743530e-01 	1.499890e+00 	 3.673758e-01 	 
1.625000e+00 	 3.764330e-01 	1.624920e+00 	 3.676354e-01 	 
1.750000e+00 	 3.790607e-01 	1.749950e+00 	 3.675204e-01 	 
1.875100e+00 	 3.814377e-01 	1.874860e+00 	 3.675029e-01 	 
2.000100e+00 	 3.843100e-01 	1.999840e+00 	 3.674583e-01 	 
2.125100e+00 	 3.874520e-01 	2.124960e+00 	 3.674634e-01 	 
2.250000e+00 	 3.908422e-01 	2.249900e+00 	 3.676249e-01 	 
2.375000e+00 	 3.934212e-01 	2.374960e+00 	 3.675828e-01 	 
2.500100e+00 	 3.965760e-01 	2.499990e+00 	 3.676700e-01 	 
2.625100e+00 	 3.992525e-01 	2.624870e+00 	 3.674058e-01 	 
2.750100e+00 	 4.014015e-01 	2.749930e+00 	 3.676989e-01 	 
2.875000e+00 	 4.032890e-01 	2.874970e+00 	 3.679679e-01 	 
3.000100e+00 	 4.053650e-01 	2.999900e+00 	 3.682641e-01 	 
3.125000e+00 	 4.069198e-01 	3.124880e+00 	 3.685892e-01 	 
3.250000e+00 	 4.076757e-01 	3.249870e+00 	 3.685680e-01 	 
3.375100e+00 	 4.082711e-01 	3.374930e+00 	 3.685781e-01 	 
3.500100e+00 	 4.090657e-01 	3.499870e+00 	 3.687159e-01 	 
