x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	
0.000000e+00 	1.013484e-01 	1.684327e-01 	1.375479e-01 	3.112617e-01 	1.725020e-01 	2.906694e-01 	3.534355e-01 	4.219004e-01 	7.492959e-02 	3.074828e-01 	 
1.554871e-02 	1.000637e-01 	1.605864e-01 	1.840128e-01 	3.290937e-01 	1.765068e-02 	3.043648e-01 	4.050503e-01 	4.233872e-01 	8.803162e-02 	4.034804e-01 	 
3.108215e-02 	9.856848e-02 	1.535868e-01 	2.340907e-01 	2.835699e-01 	-1.263816e-01 	3.329840e-01 	4.484636e-01 	4.163830e-01 	1.436055e-01 	3.755673e-01 	 
4.679871e-02 	9.695034e-02 	1.499515e-01 	2.733954e-01 	2.166423e-01 	-1.318342e-01 	3.598548e-01 	4.694279e-01 	4.234266e-01 	2.329063e-01 	3.130490e-01 	 
6.234741e-02 	9.531114e-02 	1.505263e-01 	2.903413e-01 	1.719641e-01 	-2.057696e-02 	3.778943e-01 	4.523370e-01 	4.453172e-01 	3.119676e-01 	2.506349e-01 	 
7.804871e-02 	9.373099e-02 	1.538103e-01 	2.691343e-01 	1.745755e-01 	1.202700e-01 	3.578137e-01 	4.057336e-01 	4.587849e-01 	3.570332e-01 	2.017540e-01 	 
9.359741e-02 	9.231477e-02 	1.568693e-01 	2.133296e-01 	2.009793e-01 	2.274836e-01 	2.446232e-01 	3.552175e-01 	4.576958e-01 	3.783416e-01 	1.794816e-01 	 
1.093140e-01 	9.103411e-02 	1.571579e-01 	1.603910e-01 	2.227612e-01 	2.812224e-01 	1.708903e-01 	3.607923e-01 	4.533140e-01 	3.877924e-01 	1.767664e-01 	 
1.248474e-01 	8.981568e-02 	1.538176e-01 	1.468551e-01 	2.611261e-01 	3.041126e-01 	2.135866e-01 	4.027508e-01 	4.459399e-01 	3.949904e-01 	1.929005e-01 	 
1.405640e-01 	8.848953e-02 	1.481576e-01 	1.695516e-01 	2.834529e-01 	3.297550e-01 	1.927606e-01 	4.186513e-01 	4.427869e-01 	4.047253e-01 	2.322478e-01 	 
1.561127e-01 	8.703561e-02 	1.428788e-01 	2.050974e-01 	2.677245e-01 	3.624942e-01 	1.268238e-01 	4.121031e-01 	4.467862e-01 	4.043094e-01 	2.665662e-01 	 
1.718292e-01 	8.551193e-02 	1.399602e-01 	2.378750e-01 	2.053077e-01 	3.960861e-01 	1.301771e-01 	3.761691e-01 	4.486580e-01 	4.013470e-01 	2.694338e-01 	 
1.873779e-01 	8.410066e-02 	1.397830e-01 	2.575173e-01 	9.908351e-02 	4.096863e-01 	2.042127e-01 	2.916378e-01 	4.392294e-01 	4.218488e-01 	2.595408e-01 	 
2.030945e-01 	8.287477e-02 	1.409857e-01 	2.543135e-01 	2.005275e-02 	3.928444e-01 	2.829620e-01 	2.520339e-01 	4.226317e-01 	4.563759e-01 	2.546346e-01 	 
2.186584e-01 	8.191410e-02 	1.416703e-01 	2.251463e-01 	4.869259e-02 	3.668348e-01 	3.220572e-01 	3.430972e-01 	4.064699e-01 	4.661669e-01 	2.607425e-01 	 
2.342072e-01 	8.121365e-02 	1.405230e-01 	1.882014e-01 	1.671015e-01 	2.946694e-01 	3.402731e-01 	3.342532e-01 	3.898808e-01 	4.474247e-01 	2.754083e-01 	 
2.499390e-01 	8.069044e-02 	1.374198e-01 	1.696490e-01 	2.935573e-01 	1.429012e-01 	3.706491e-01 	2.415520e-02 	3.626880e-01 	4.328670e-01 	2.893186e-01 	 
2.655029e-01 	8.023828e-02 	1.336021e-01 	1.780167e-01 	3.585706e-01 	7.116761e-02 	3.944553e-01 	-1.678762e-01 	3.220442e-01 	4.366029e-01 	2.991348e-01 	 
2.812347e-01 	7.978478e-02 	1.305085e-01 	2.008405e-01 	3.676270e-01 	4.563382e-02 	4.039217e-01 	-8.289307e-02 	2.783749e-01 	4.331562e-01 	3.117724e-01 	 
2.967834e-01 	7.928368e-02 	1.288747e-01 	2.193292e-01 	3.306681e-01 	3.123957e-02 	4.134538e-01 	5.873925e-02 	2.452486e-01 	4.135823e-01 	3.374859e-01 	 
3.123474e-01 	7.864578e-02 	1.283459e-01 	2.213100e-01 	2.045169e-01 	1.114292e-01 	3.442625e-01 	1.687121e-01 	2.259810e-01 	4.260923e-01 	3.720195e-01 	 
3.280792e-01 	7.792282e-02 	1.278408e-01 	2.040219e-01 	3.640935e-02 	2.475446e-01 	1.699739e-01 	2.437404e-01 	2.788685e-01 	4.274625e-01 	3.873918e-01 	 
3.436432e-01 	7.717106e-02 	1.263346e-01 	1.783253e-01 	4.139535e-02 	3.275598e-01 	1.085987e-01 	2.721965e-01 	2.819619e-01 	3.479970e-01 	3.747871e-01 	 
3.593750e-01 	7.637619e-02 	1.235818e-01 	1.621183e-01 	1.472696e-01 	3.725308e-01 	1.048465e-01 	2.788980e-01 	2.177166e-01 	2.847109e-01 	3.721714e-01 	 
3.749237e-01 	7.556825e-02 	1.200905e-01 	1.648367e-01 	2.315166e-01 	3.476803e-01 	1.606767e-01 	2.951941e-01 	1.853433e-01 	2.878720e-01 	3.926329e-01 	 
3.904877e-01 	7.462204e-02 	1.165841e-01 	1.791809e-01 	2.516957e-01 	2.036229e-01 	2.886649e-01 	3.192019e-01 	1.421195e-01 	2.832233e-01 	4.007081e-01 	 
4.062195e-01 	7.338084e-02 	1.136032e-01 	1.911630e-01 	2.051453e-01 	1.220580e-01 	3.710859e-01 	3.089171e-01 	1.327721e-01 	2.573792e-01 	4.150032e-01 	 
4.217682e-01 	7.183219e-02 	1.112327e-01 	1.897268e-01 	1.224287e-01 	1.225580e-01 	4.007735e-01 	3.484061e-01 	2.296799e-01 	2.642438e-01 	4.575343e-01 	 
4.373322e-01 	7.005131e-02 	1.089461e-01 	1.728156e-01 	6.344440e-02 	1.274175e-01 	4.249904e-01 	3.462211e-01 	3.149083e-01 	2.991307e-01 	4.860300e-01 	 
4.530487e-01 	6.814729e-02 	1.060456e-01 	1.479620e-01 	6.841630e-02 	1.281700e-01 	4.035504e-01 	3.105339e-01 	3.276394e-01 	3.254937e-01 	5.026124e-01 	 
4.686127e-01 	6.627179e-02 	1.022612e-01 	1.294566e-01 	1.222144e-01 	1.388405e-01 	3.123887e-01 	2.896141e-01 	3.346108e-01 	3.338870e-01 	4.584066e-01 	 
4.843445e-01 	6.443024e-02 	9.764844e-02 	1.262310e-01 	1.829818e-01 	1.781615e-01 	3.178008e-01 	2.919666e-01 	3.199956e-01 	3.017946e-01 	3.611229e-01 	 
4.999084e-01 	6.261414e-02 	9.293523e-02 	1.364558e-01 	2.141612e-01 	1.942639e-01 	3.448742e-01 	3.231753e-01 	3.132273e-01 	2.360719e-01 	2.874763e-01 	 
5.154724e-01 	6.080420e-02 	8.878313e-02 	1.504635e-01 	2.012324e-01 	1.381022e-01 	3.182403e-01 	3.774051e-01 	3.433519e-01 	1.728300e-01 	2.563561e-01 	 
5.312042e-01 	5.903531e-02 	8.537850e-02 	1.579758e-01 	1.490233e-01 	6.158579e-02 	2.540037e-01 	4.369942e-01 	3.921871e-01 	1.540449e-01 	2.571158e-01 	 
5.467682e-01 	5.733357e-02 	8.237151e-02 	1.527389e-01 	8.471339e-02 	4.864356e-02 	1.551782e-01 	4.546279e-01 	4.292220e-01 	2.238935e-01 	2.591762e-01 	 
5.623474e-01 	5.559723e-02 	7.910551e-02 	1.355293e-01 	3.975437e-02 	1.104412e-01 	7.003832e-02 	4.450540e-01 	4.449433e-01 	3.238397e-01 	2.481255e-01 	 
5.780792e-01 	5.377091e-02 	7.513629e-02 	1.128087e-01 	3.174951e-02 	1.978617e-01 	6.011448e-02 	4.334370e-01 	4.352557e-01 	3.745731e-01 	2.394964e-01 	 
5.936584e-01 	5.190117e-02 	7.053537e-02 	9.430619e-02 	6.021775e-02 	2.490928e-01 	1.192579e-01 	4.318650e-01 	3.998843e-01 	3.848226e-01 	2.454663e-01 	 
6.092224e-01 	4.999878e-02 	6.561004e-02 	8.615604e-02 	1.123157e-01 	2.458485e-01 	1.729156e-01 	4.414223e-01 	3.642041e-01 	3.916281e-01 	2.537028e-01 	 
6.249695e-01 	4.809964e-02 	6.073710e-02 	8.869273e-02 	1.646398e-01 	1.886699e-01 	1.661659e-01 	4.265292e-01 	3.459745e-01 	4.020236e-01 	2.489602e-01 	 
6.405487e-01 	4.627951e-02 	5.617653e-02 	9.672367e-02 	1.892090e-01 	7.955538e-02 	1.258742e-01 	3.229155e-01 	3.355572e-01 	4.128247e-01 	2.253937e-01 	 
6.561279e-01 	4.449126e-02 	5.171243e-02 	1.030621e-01 	1.748038e-01 	-4.001423e-03 	1.243121e-01 	1.546588e-01 	3.222957e-01 	4.216368e-01 	1.989731e-01 	 
6.717072e-01 	4.269092e-02 	4.693884e-02 	1.018887e-01 	1.305073e-01 	2.646783e-02 	1.888975e-01 	1.094534e-01 	3.057538e-01 	4.267302e-01 	2.095292e-01 	 
6.874542e-01 	4.074706e-02 	4.162605e-02 	9.082243e-02 	7.847076e-02 	9.960413e-02 	2.743462e-01 	1.091215e-01 	2.937475e-01 	4.367785e-01 	2.696907e-01 	 
7.030334e-01 	3.862578e-02 	3.621249e-02 	7.213843e-02 	4.127317e-02 	1.616573e-01 	3.158029e-01 	8.536948e-02 	2.962449e-01 	4.553504e-01 	3.436455e-01 	 
