x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	
0.000000e+00 	2.241119e-01 	2.875741e-01 	2.565853e-01 	2.193648e-01 	1.076055e-01 	1.847973e-01 	2.056735e-01 	1.323657e-01 	7.299611e-02 	1.701343e-01 	 
1.554871e-02 	2.223738e-01 	2.816133e-01 	2.750994e-01 	1.817607e-01 	1.069018e-01 	1.758930e-01 	1.955350e-01 	1.774510e-01 	8.853136e-02 	7.947280e-02 	 
3.108215e-02 	2.203254e-01 	2.740899e-01 	2.994752e-01 	1.819507e-01 	1.095443e-01 	1.559956e-01 	1.961244e-01 	1.748056e-01 	7.218424e-02 	1.460773e-01 	 
4.679871e-02 	2.180103e-01 	2.675477e-01 	3.057223e-01 	1.962769e-01 	9.467468e-02 	1.148815e-01 	2.006165e-01 	1.547597e-01 	5.364000e-02 	1.998967e-01 	 
6.234741e-02 	2.155463e-01 	2.642700e-01 	3.056272e-01 	2.165220e-01 	6.607141e-02 	8.244614e-02 	2.129119e-01 	1.341480e-01 	5.467086e-02 	2.078174e-01 	 
7.804871e-02 	2.130124e-01 	2.644165e-01 	3.095997e-01 	2.347909e-01 	7.484434e-02 	9.471153e-02 	2.365319e-01 	1.225286e-01 	6.196486e-02 	1.995317e-01 	 
9.359741e-02 	2.106192e-01 	2.661933e-01 	3.002344e-01 	2.547212e-01 	1.155468e-01 	1.634340e-01 	2.549814e-01 	1.208960e-01 	6.693539e-02 	1.756184e-01 	 
1.093140e-01 	2.084104e-01 	2.670797e-01 	2.746712e-01 	2.887561e-01 	1.432803e-01 	2.052573e-01 	2.314110e-01 	1.052386e-01 	7.354236e-02 	1.491541e-01 	 
1.248474e-01 	2.064019e-01 	2.651794e-01 	2.580499e-01 	3.099886e-01 	1.540090e-01 	2.353989e-01 	1.878338e-01 	9.583866e-02 	7.162493e-02 	1.401993e-01 	 
1.405640e-01 	2.043737e-01 	2.603077e-01 	2.647238e-01 	2.733580e-01 	1.752988e-01 	2.926950e-01 	1.629940e-01 	9.815847e-02 	6.785480e-02 	1.524135e-01 	 
1.561127e-01 	2.021951e-01 	2.542150e-01 	2.814489e-01 	2.170968e-01 	1.970122e-01 	3.183222e-01 	1.479980e-01 	1.021332e-01 	7.137450e-02 	1.783131e-01 	 
1.718292e-01 	1.998065e-01 	2.490430e-01 	2.934319e-01 	1.893066e-01 	2.265662e-01 	2.893781e-01 	1.576538e-01 	1.079870e-01 	6.580567e-02 	2.020854e-01 	 
1.873779e-01 	1.973877e-01 	2.462656e-01 	2.976527e-01 	1.714460e-01 	2.578202e-01 	2.278331e-01 	2.076238e-01 	1.144896e-01 	5.217245e-02 	2.000742e-01 	 
2.030945e-01 	1.950482e-01 	2.454799e-01 	2.971283e-01 	1.271691e-01 	2.615719e-01 	1.839750e-01 	2.403010e-01 	1.167662e-01 	5.325742e-02 	1.728989e-01 	 
2.186584e-01 	1.929730e-01 	2.452394e-01 	2.908486e-01 	9.256929e-02 	2.413681e-01 	1.703797e-01 	1.827905e-01 	1.160123e-01 	6.263969e-02 	1.400970e-01 	 
2.342072e-01 	1.912526e-01 	2.440522e-01 	2.765303e-01 	1.463655e-01 	2.217595e-01 	1.606762e-01 	8.250759e-02 	1.162848e-01 	6.705539e-02 	1.154197e-01 	 
2.499390e-01 	1.898976e-01 	2.411358e-01 	2.621095e-01 	2.322342e-01 	2.468115e-01 	1.677809e-01 	1.319468e-01 	1.090316e-01 	6.636719e-02 	9.746800e-02 	 
2.655029e-01 	1.888254e-01 	2.369359e-01 	2.600117e-01 	2.448155e-01 	2.947099e-01 	1.800306e-01 	2.462342e-01 	8.934625e-02 	6.378444e-02 	7.992528e-02 	 
2.812347e-01 	1.878682e-01 	2.326301e-01 	2.687921e-01 	2.319445e-01 	2.985539e-01 	1.514367e-01 	2.963351e-01 	5.936251e-02 	6.794176e-02 	6.416916e-02 	 
2.967834e-01 	1.869283e-01 	2.294373e-01 	2.774619e-01 	2.394631e-01 	2.738005e-01 	8.843111e-02 	2.992215e-01 	1.321228e-02 	6.797781e-02 	5.454644e-02 	 
3.123474e-01 	1.858435e-01 	2.275884e-01 	2.803317e-01 	2.706262e-01 	2.303497e-01 	4.040904e-02 	2.272756e-01 	-5.965716e-03 	6.472462e-02 	4.751938e-02 	 
3.280792e-01 	1.845859e-01 	2.264106e-01 	2.748059e-01 	2.647159e-01 	2.141920e-01 	9.295423e-02 	1.645580e-01 	-2.851130e-02 	7.762947e-02 	4.371082e-02 	 
3.436432e-01 	1.832410e-01 	2.247946e-01 	2.606404e-01 	1.857891e-01 	1.940663e-01 	1.513714e-01 	1.461800e-01 	-4.400147e-02 	9.003865e-02 	4.767255e-02 	 
3.593750e-01 	1.818059e-01 	2.219525e-01 	2.446264e-01 	1.584257e-01 	1.592740e-01 	1.622626e-01 	1.322253e-01 	-1.596250e-04 	6.036869e-02 	5.649744e-02 	 
3.749237e-01 	1.803537e-01 	2.178844e-01 	2.375775e-01 	1.893702e-01 	1.400900e-01 	2.107686e-01 	1.006281e-01 	6.465569e-02 	2.158798e-02 	6.239816e-02 	 
3.904877e-01 	1.787611e-01 	2.130540e-01 	2.414992e-01 	2.078862e-01 	1.617186e-01 	2.688264e-01 	3.559487e-02 	1.238482e-01 	-1.130692e-02 	5.211445e-02 	 
4.062195e-01 	1.767698e-01 	2.081302e-01 	2.479690e-01 	2.032671e-01 	1.737311e-01 	2.635387e-01 	-4.645356e-03 	1.550565e-01 	-3.447106e-02 	2.973906e-02 	 
4.217682e-01 	1.742424e-01 	2.036989e-01 	2.489380e-01 	1.920122e-01 	1.687758e-01 	2.061512e-01 	1.513372e-02 	1.734309e-01 	-3.591941e-02 	1.992099e-02 	 
4.373322e-01 	1.711622e-01 	1.996191e-01 	2.417543e-01 	1.731237e-01 	1.773079e-01 	1.578751e-01 	1.021863e-01 	2.062089e-01 	-5.216392e-02 	2.186007e-02 	 
4.530487e-01 	1.676328e-01 	1.952720e-01 	2.267714e-01 	1.458767e-01 	1.705275e-01 	1.316676e-01 	2.320544e-01 	2.226526e-01 	-7.097208e-02 	6.418426e-02 	 
4.686127e-01 	1.639226e-01 	1.901689e-01 	2.092362e-01 	1.356415e-01 	1.376951e-01 	1.569977e-01 	2.769296e-01 	2.145117e-01 	-5.383373e-02 	1.231313e-01 	 
4.843445e-01 	1.601172e-01 	1.839584e-01 	1.965865e-01 	1.508777e-01 	8.863908e-02 	2.085652e-01 	2.489669e-01 	1.899213e-01 	-7.802500e-03 	1.346267e-01 	 
