x0	i=0	x1	i=1	x2	i=2	
0.000000e+00 	 -0.000000e+00 	0.000000e+00 	 -0.000000e+00 	0.000000e+00 	 -0.000000e+00 	 
1.001001e-03 	 -1.634222e-09 	1.001001e-03 	 -9.539908e-18 	1.001001e-03 	 -2.765444e-10 	 
2.002002e-03 	 -6.536777e-09 	2.002002e-03 	 -3.150462e-17 	2.002002e-03 	 -1.106151e-09 	 
3.003003e-03 	 -1.470733e-08 	3.003003e-03 	 8.423371e-17 	3.003003e-03 	 -2.488743e-09 	 
4.004004e-03 	 -2.614531e-08 	4.004004e-03 	 9.151314e-16 	4.004004e-03 	 -4.424189e-09 	 
5.005005e-03 	 -4.084996e-08 	5.005005e-03 	 3.938216e-15 	5.005005e-03 	 -6.912308e-09 	 
6.006006e-03 	 -5.882026e-08 	6.006006e-03 	 1.222427e-14 	6.006006e-03 	 -9.952864e-09 	 
7.007007e-03 	 -8.005502e-08 	7.007007e-03 	 3.131269e-14 	7.007007e-03 	 -1.354557e-08 	 
8.008008e-03 	 -1.045528e-07 	8.008008e-03 	 7.028669e-14 	8.008008e-03 	 -1.769009e-08 	 
9.009009e-03 	 -1.323121e-07 	9.009009e-03 	 1.430515e-13 	9.009009e-03 	 -2.238604e-08 	 
1.001001e-02 	 -1.633309e-07 	1.001001e-02 	 2.697881e-13 	1.001001e-02 	 -2.763296e-08 	 
1.101101e-02 	 -1.976075e-07 	1.101101e-02 	 4.785563e-13 	1.101101e-02 	 -3.343037e-08 	 
1.201201e-02 	 -2.351395e-07 	1.201201e-02 	 8.072441e-13 	1.201201e-02 	 -3.977772e-08 	 
1.301301e-02 	 -2.759248e-07 	1.301301e-02 	 1.305522e-12 	1.301301e-02 	 -4.667441e-08 	 
1.401401e-02 	 -3.199609e-07 	1.401401e-02 	 2.037092e-12 	1.401401e-02 	 -5.411978e-08 	 
1.501502e-02 	 -3.672451e-07 	1.501502e-02 	 3.082152e-12 	1.501502e-02 	 -6.211314e-08 	 
1.601602e-02 	 -4.177748e-07 	1.601602e-02 	 4.539972e-12 	1.601602e-02 	 -7.065372e-08 	 
