x0	i=0	x1	i=1	x2	i=2	
0.000000e+00 	 0.000000e+00 	0.000000e+00 	 0.000000e+00 	0.000000e+00 	 0.000000e+00 	 
1.001001e-03 	 1.000299e-03 	1.001001e-03 	 1.001001e-03 	1.001001e-03 	 1.000950e-03 	 
2.002002e-03 	 2.000598e-03 	2.002002e-03 	 2.002002e-03 	2.002002e-03 	 2.001901e-03 	 
3.003003e-03 	 3.000897e-03 	3.003003e-03 	 3.003003e-03 	3.003003e-03 	 3.002851e-03 	 
4.004004e-03 	 4.001196e-03 	4.004004e-03 	 4.004004e-03 	4.004004e-03 	 4.003801e-03 	 
5.005005e-03 	 5.001496e-03 	5.005005e-03 	 5.005005e-03 	5.005005e-03 	 5.004751e-03 	 
6.006006e-03 	 6.001795e-03 	6.006006e-03 	 6.006006e-03 	6.006006e-03 	 6.005702e-03 	 
7.007007e-03 	 7.002095e-03 	7.007007e-03 	 7.007007e-03 	7.007007e-03 	 7.006652e-03 	 
8.008008e-03 	 8.002395e-03 	8.008008e-03 	 8.008008e-03 	8.008008e-03 	 8.007602e-03 	 
9.009009e-03 	 9.002695e-03 	9.009009e-03 	 9.009009e-03 	9.009009e-03 	 9.008553e-03 	 
1.001001e-02 	 1.000300e-02 	1.001001e-02 	 1.001001e-02 	1.001001e-02 	 1.000950e-02 	 
1.101101e-02 	 1.100330e-02 	1.101101e-02 	 1.101101e-02 	1.101101e-02 	 1.101045e-02 	 
1.201201e-02 	 1.200360e-02 	1.201201e-02 	 1.201201e-02 	1.201201e-02 	 1.201140e-02 	 
1.301301e-02 	 1.300390e-02 	1.301301e-02 	 1.301301e-02 	1.301301e-02 	 1.301236e-02 	 
1.401401e-02 	 1.400420e-02 	1.401401e-02 	 1.401401e-02 	1.401401e-02 	 1.401331e-02 	 
1.501502e-02 	 1.500450e-02 	1.501502e-02 	 1.501502e-02 	1.501502e-02 	 1.501426e-02 	 
1.601602e-02 	 1.600481e-02 	1.601602e-02 	 1.601602e-02 	1.601602e-02 	 1.601521e-02 	 
1.701702e-02 	 1.700511e-02 	1.701702e-02 	 1.701702e-02 	1.701702e-02 	 1.701616e-02 	 
