x0	Forced	x1	Inflow	x2	G2	x3	G3	x4	G4	x5	3DU	
-4.980973e-01 	 4.696520e-02 	-4.980973e-01 	 4.900440e-02 	-4.980973e-01 	 4.900580e-02 	-4.980973e-01 	 5.965413e-02 	-4.980973e-01 	 5.764093e-02 	-4.700272e-01 	 2.997280e-02 	 
-4.964410e-01 	 5.175280e-02 	-4.964410e-01 	 4.578820e-02 	-4.967723e-01 	 5.280880e-02 	-4.975452e-01 	 5.282627e-02 	-4.975452e-01 	 4.968960e-02 	-4.673025e-01 	 2.090950e-02 	 
-4.929879e-01 	 6.419280e-02 	-4.929879e-01 	 5.538140e-02 	-4.939917e-01 	 6.713300e-02 	-4.964611e-01 	 6.999747e-02 	-4.964611e-01 	 6.890067e-02 	-4.645777e-01 	 1.849780e-02 	 
-4.885008e-01 	 5.358180e-02 	-4.885008e-01 	 5.046500e-02 	-4.902776e-01 	 6.009440e-02 	-4.949152e-01 	 7.613160e-02 	-4.949152e-01 	 7.404693e-02 	-4.591281e-01 	 1.593580e-02 	 
-4.834617e-01 	 3.668840e-02 	-4.834617e-01 	 3.492920e-02 	-4.860415e-01 	 4.361880e-02 	-4.930180e-01 	 6.848400e-02 	-4.930180e-01 	 6.748387e-02 	-4.564033e-01 	 1.382570e-02 	 
-4.781113e-01 	 3.072280e-02 	-4.781113e-01 	 2.849100e-02 	-4.814942e-01 	 3.676380e-02 	-4.908698e-01 	 6.378267e-02 	-4.908698e-01 	 6.467307e-02 	-4.509537e-01 	 1.186670e-02 	 
-4.725702e-01 	 2.501200e-02 	-4.725702e-01 	 2.304820e-02 	-4.767561e-01 	 3.036260e-02 	-4.885410e-01 	 5.552320e-02 	-4.885410e-01 	 5.358760e-02 	-4.482289e-01 	 9.907300e-03 	 
-4.669087e-01 	 1.789520e-02 	-4.669087e-01 	 1.613160e-02 	-4.718876e-01 	 2.284560e-02 	-4.860716e-01 	 4.592640e-02 	-4.860716e-01 	 4.640773e-02 	-4.400545e-01 	 7.194970e-03 	 
-4.611568e-01 	 1.393640e-02 	-4.611568e-01 	 1.176380e-02 	-4.669287e-01 	 1.875700e-02 	-4.835118e-01 	 4.050813e-02 	-4.835118e-01 	 4.113853e-02 	-4.373297e-01 	 5.537090e-03 	 
-4.553848e-01 	 1.109300e-02 	-4.553848e-01 	 8.837000e-03 	-4.619297e-01 	 1.553700e-02 	-4.809019e-01 	 3.536720e-02 	-4.809019e-01 	 3.452800e-02 	-4.291553e-01 	 4.030780e-03 	 
-4.496229e-01 	 8.002800e-03 	-4.496229e-01 	 5.870200e-03 	-4.569608e-01 	 1.192980e-02 	-4.783121e-01 	 3.060813e-02 	-4.783121e-01 	 3.117413e-02 	-4.209809e-01 	 2.072210e-03 	 
-4.438610e-01 	 5.905800e-03 	-4.438610e-01 	 3.726400e-03 	-4.519919e-01 	 9.445800e-03 	-4.757122e-01 	 2.742160e-02 	-4.757322e-01 	 2.767920e-02 	-4.073569e-01 	 8.682380e-04 	 
-4.381091e-01 	 4.453400e-03 	-4.381091e-01 	 2.333400e-03 	-4.470431e-01 	 7.622000e-03 	-4.731223e-01 	 2.442987e-02 	-4.731524e-01 	 2.439253e-02 	-3.937330e-01 	 -3.357390e-04 	 
-4.323572e-01 	 3.058600e-03 	-4.323572e-01 	 1.049600e-03 	-4.420942e-01 	 5.839600e-03 	-4.705124e-01 	 2.151440e-02 	-4.705826e-01 	 2.207800e-02 	-3.773840e-01 	 -1.237800e-03 	 
-4.265953e-01 	 2.039600e-03 	-4.265953e-01 	 1.232000e-04 	-4.371655e-01 	 4.506800e-03 	-4.678924e-01 	 1.915200e-02 	-4.680229e-01 	 1.942773e-02 	-3.583110e-01 	 -1.837940e-03 	 
-4.208233e-01 	 1.231200e-03 	-4.208233e-01 	 -5.106000e-04 	-4.322367e-01 	 3.433000e-03 	-4.652624e-01 	 1.687960e-02 	-4.654531e-01 	 1.726173e-02 	-3.283380e-01 	 -1.984170e-03 	 
-4.150513e-01 	 5.768000e-04 	-4.150513e-01 	 -1.025200e-03 	-4.273080e-01 	 2.488400e-03 	-4.626023e-01 	 1.478027e-02 	-4.628934e-01 	 1.533107e-02 	-2.983650e-01 	 -1.678150e-03 	 
-4.092493e-01 	 2.058000e-04 	-4.092493e-01 	 -1.374600e-03 	-4.223893e-01 	 1.751000e-03 	-4.599221e-01 	 1.297040e-02 	-4.603336e-01 	 1.344000e-02 	-2.683920e-01 	 -1.372120e-03 	 
-4.034371e-01 	 -9.020000e-05 	-4.034371e-01 	 -1.603200e-03 	-4.174806e-01 	 1.108000e-03 	-4.572118e-01 	 1.130320e-02 	-4.577739e-01 	 1.192293e-02 	-2.356950e-01 	 -1.216440e-03 	 
-3.976049e-01 	 -5.128000e-04 	-3.976049e-01 	 -1.757400e-03 	-4.125719e-01 	 5.708000e-04 	-4.544713e-01 	 9.809067e-03 	-4.552041e-01 	 1.046387e-02 	-2.111720e-01 	 -1.061990e-03 	 
-3.917527e-01 	 -9.112000e-04 	-3.917527e-01 	 -1.842600e-03 	-4.076632e-01 	 2.436000e-04 	-4.517008e-01 	 8.492533e-03 	-4.526444e-01 	 9.186000e-03 	-1.811990e-01 	 -9.067130e-04 	 
-3.858703e-01 	 -1.127600e-03 	-3.858703e-01 	 -1.877400e-03 	-4.027545e-01 	 4.200000e-06 	-4.488901e-01 	 7.294400e-03 	-4.500746e-01 	 8.077200e-03 	-1.512260e-01 	 -7.514410e-04 	 
-3.799678e-01 	 -1.193800e-03 	-3.799678e-01 	 -1.878800e-03 	-3.978559e-01 	 -3.316000e-04 	-4.460393e-01 	 6.221600e-03 	-4.475048e-01 	 7.021067e-03 	-1.158040e-01 	 -7.461010e-04 	 
-3.740353e-01 	 -1.174000e-03 	-3.740353e-01 	 -1.855600e-03 	-3.929573e-01 	 -6.946000e-04 	-4.431382e-01 	 5.256400e-03 	-4.449351e-01 	 6.110933e-03 	-8.038100e-02 	 -5.900070e-04 	 
-3.680726e-01 	 -1.094200e-03 	-3.680726e-01 	 -1.813800e-03 	-3.880586e-01 	 -9.260000e-04 	-4.401970e-01 	 4.380267e-03 	-4.423552e-01 	 5.274667e-03 	-5.585800e-02 	 -8.878180e-04 	 
-3.620798e-01 	 -1.009000e-03 	-3.620798e-01 	 -1.759800e-03 	-3.831700e-01 	 -1.049400e-03 	-4.372157e-01 	 3.587333e-03 	-4.397654e-01 	 4.508933e-03 	-4.768400e-02 	 -1.037340e-03 	 
-3.560568e-01 	 -9.916000e-04 	-3.560568e-01 	 -1.698800e-03 	-3.782714e-01 	 -1.135200e-03 	-4.341741e-01 	 2.872267e-03 	-4.371856e-01 	 3.830133e-03 	-3.678500e-02 	 -1.487960e-03 	 
-3.500038e-01 	 -1.093600e-03 	-3.500038e-01 	 -1.633200e-03 	-3.733828e-01 	 -1.179200e-03 	-4.310823e-01 	 2.222267e-03 	-4.345857e-01 	 3.198667e-03 	-2.588600e-02 	 -1.938580e-03 	 
-3.439106e-01 	 -1.276400e-03 	-3.439106e-01 	 -1.566400e-03 	-3.684942e-01 	 -1.161400e-03 	-4.279404e-01 	 1.634800e-03 	-4.319858e-01 	 2.631733e-03 	-1.771100e-02 	 -2.691110e-03 	 
-3.377773e-01 	 -1.407600e-03 	-3.377773e-01 	 -1.499000e-03 	-3.635955e-01 	 -1.108800e-03 	-4.247382e-01 	 1.107333e-03 	-4.293758e-01 	 2.115200e-03 	-9.537000e-03 	 -3.292890e-03 	 
-3.316138e-01 	 -1.381000e-03 	-3.316138e-01 	 -1.432800e-03 	-3.587069e-01 	 -1.066600e-03 	-4.214858e-01 	 6.321333e-04 	-4.267659e-01 	 1.641600e-03 	-1.362000e-03 	 -4.346940e-03 	 
-3.254102e-01 	 -1.225000e-03 	-3.254102e-01 	 -1.368600e-03 	-3.538183e-01 	 -1.071200e-03 	-4.181632e-01 	 2.082667e-04 	-4.241459e-01 	 1.216267e-03 	6.812000e-03 	 -5.250230e-03 	 
-3.191665e-01 	 -1.062000e-03 	-3.191665e-01 	 -1.305600e-03 	-3.489297e-01 	 -1.144400e-03 	-4.147903e-01 	 -1.700000e-04 	-4.215159e-01 	 8.258667e-04 	1.226200e-02 	 -6.304680e-03 	 
-3.128826e-01 	 -9.806000e-04 	-3.128826e-01 	 -1.246400e-03 	-3.440411e-01 	 -1.276400e-03 	-4.113472e-01 	 -5.037333e-04 	-4.188859e-01 	 4.740000e-04 	2.043600e-02 	 -7.057220e-03 	 
-3.065685e-01 	 -9.946000e-04 	-3.065685e-01 	 -1.189000e-03 	-3.391525e-01 	 -1.408200e-03 	-4.078439e-01 	 -7.962667e-04 	-4.162358e-01 	 1.553333e-04 	2.861000e-02 	 -7.508250e-03 	 
-3.002043e-01 	 -1.068200e-03 	-3.002043e-01 	 -1.134800e-03 	-3.342639e-01 	 -1.464400e-03 	-4.042703e-01 	 -1.049467e-03 	-4.135858e-01 	 -1.338667e-04 	3.951000e-02 	 -7.808110e-03 	 
-2.937999e-01 	 -1.135200e-03 	-2.937999e-01 	 -1.083400e-03 	-3.293753e-01 	 -1.418400e-03 	-4.006365e-01 	 -1.268267e-03 	-4.109256e-01 	 -3.926667e-04 	5.040900e-02 	 -7.354210e-03 	 
-2.873655e-01 	 -1.129200e-03 	-2.873655e-01 	 -1.035800e-03 	-3.244867e-01 	 -1.300600e-03 	-3.969324e-01 	 -1.451733e-03 	-4.082555e-01 	 -6.250667e-04 	5.858300e-02 	 -6.599210e-03 	 
-2.808808e-01 	 -1.042600e-03 	-2.808808e-01 	 -9.908000e-04 	-3.195981e-01 	 -1.169800e-03 	-3.931580e-01 	 -1.606800e-03 	-4.055753e-01 	 -8.337333e-04 	6.403300e-02 	 -5.693860e-03 	 
-2.743559e-01 	 -9.440000e-04 	-2.743559e-01 	 -9.506000e-04 	-3.146995e-01 	 -1.076000e-03 	-3.893134e-01 	 -1.732267e-03 	-4.028850e-01 	 -1.018933e-03 	7.220700e-02 	 -4.938860e-03 	 
-2.677910e-01 	 -8.960000e-04 	-2.677910e-01 	 -9.122000e-04 	-3.098109e-01 	 -1.050200e-03 	-3.854085e-01 	 -1.832667e-03 	-4.001848e-01 	 -1.182267e-03 	8.038100e-02 	 -4.033110e-03 	 
