x0	delta	x1	wle	x2	sle	
-4.839139e-01 	 -9.998910e-04 	-4.839139e-01 	 2.382243e-04 	-4.839139e-01 	 1.238115e-03 	 
-4.846343e-01 	 -1.124840e-03 	-4.846343e-01 	 1.905830e-04 	-4.846343e-01 	 1.315423e-03 	 
-4.852543e-01 	 -1.131649e-03 	-4.852543e-01 	 1.906746e-04 	-4.852543e-01 	 1.322324e-03 	 
-4.857720e-01 	 -1.195836e-03 	-4.857720e-01 	 1.537325e-04 	-4.857720e-01 	 1.349568e-03 	 
-4.861855e-01 	 -1.253866e-03 	-4.861855e-01 	 1.085266e-04 	-4.861855e-01 	 1.362393e-03 	 
-4.864947e-01 	 -1.268460e-03 	-4.864947e-01 	 1.118030e-04 	-4.864947e-01 	 1.380263e-03 	 
-4.866998e-01 	 -1.332525e-03 	-4.866998e-01 	 5.836476e-05 	-4.866998e-01 	 1.390889e-03 	 
-4.868023e-01 	 -1.346479e-03 	-4.868023e-01 	 5.894575e-05 	-4.868023e-01 	 1.405424e-03 	 
-4.868041e-01 	 -1.329953e-03 	-4.868041e-01 	 5.817833e-05 	-4.868041e-01 	 1.388132e-03 	 
-4.867151e-01 	 -1.228611e-03 	-4.867151e-01 	 5.371277e-05 	-4.867151e-01 	 1.282324e-03 	 
-4.865581e-01 	 -1.076241e-03 	-4.865581e-01 	 1.071673e-04 	-4.865581e-01 	 1.183408e-03 	 
-4.863486e-01 	 -1.017483e-03 	-4.863486e-01 	 9.700408e-05 	-4.863486e-01 	 1.114487e-03 	 
-4.860963e-01 	 -9.080738e-04 	-4.860963e-01 	 1.491582e-04 	-4.860963e-01 	 1.057232e-03 	 
-4.858075e-01 	 -8.713005e-04 	-4.858075e-01 	 1.422989e-04 	-4.858075e-01 	 1.013599e-03 	 
-4.854867e-01 	 -8.304715e-04 	-4.854867e-01 	 1.462753e-04 	-4.854867e-01 	 9.767468e-04 	 
-4.851367e-01 	 -7.602050e-04 	-4.851367e-01 	 1.874691e-04 	-4.851367e-01 	 9.476741e-04 	 
