x0	delta	x1	wle	x2	sle	
-4.698463e-01 	 4.291193e-04 	-4.698463e-01 	 -2.151778e-05 	-4.698463e-01 	 -4.506371e-04 	 
-4.690273e-01 	 1.586577e-04 	-4.690273e-01 	 -3.309627e-05 	-4.690273e-01 	 -1.917539e-04 	 
-4.681099e-01 	 2.026731e-04 	-4.681099e-01 	 -2.046975e-05 	-4.681099e-01 	 -2.231429e-04 	 
-4.670953e-01 	 2.093250e-04 	-4.670953e-01 	 -3.949482e-05 	-4.670953e-01 	 -2.488199e-04 	 
-4.659856e-01 	 2.008281e-04 	-4.659856e-01 	 -7.113998e-05 	-4.659856e-01 	 -2.719681e-04 	 
-4.647839e-01 	 2.023662e-04 	-4.647839e-01 	 -9.016928e-05 	-4.647839e-01 	 -2.925355e-04 	 
-4.634938e-01 	 2.207990e-04 	-4.634938e-01 	 -8.374022e-05 	-4.634938e-01 	 -3.045392e-04 	 
-4.621197e-01 	 2.233726e-04 	-4.621197e-01 	 -9.768468e-05 	-4.621197e-01 	 -3.210573e-04 	 
-4.606663e-01 	 1.979165e-04 	-4.606663e-01 	 -1.145448e-04 	-4.606663e-01 	 -3.124613e-04 	 
-4.592159e-01 	 1.233557e-04 	-4.592159e-01 	 -1.253094e-04 	-4.592159e-01 	 -2.486651e-04 	 
-4.578303e-01 	 7.835198e-05 	-4.578303e-01 	 -1.040549e-04 	-4.578303e-01 	 -1.824069e-04 	 
-4.564915e-01 	 -2.636624e-06 	-4.564915e-01 	 -1.341418e-04 	-4.564915e-01 	 -1.315052e-04 	 
-4.551868e-01 	 -2.805274e-05 	-4.551868e-01 	 -1.145627e-04 	-4.551868e-01 	 -8.650999e-05 	 
-4.539071e-01 	 -5.954641e-05 	-4.539071e-01 	 -1.077856e-04 	-4.539071e-01 	 -4.823922e-05 	 
-4.526455e-01 	 -7.011996e-05 	-4.526455e-01 	 -8.421118e-05 	-4.526455e-01 	 -1.409122e-05 	 
-4.513961e-01 	 -1.009071e-04 	-4.513961e-01 	 -8.506077e-05 	-4.513961e-01 	 1.584628e-05 	 
-4.501543e-01 	 -1.318203e-04 	-4.501543e-01 	 -8.888718e-05 	-4.501543e-01 	 4.293309e-05 	 
-4.489163e-01 	 -1.336319e-04 	-4.489163e-01 	 -6.666189e-05 	-4.489163e-01 	 6.697004e-05 	 
-4.476784e-01 	 -1.335746e-04 	-4.476784e-01 	 -4.452343e-05 	-4.476784e-01 	 8.905120e-05 	 
-4.464377e-01 	 -1.439089e-04 	-4.464377e-01 	 -3.510824e-05 	-4.464377e-01 	 1.088006e-04 	 
-4.451916e-01 	 -1.517577e-04 	-4.451916e-01 	 -2.478048e-05 	-4.451916e-01 	 1.269772e-04 	 
