x0	G1	x1	G2	x2	G3	x3	G4	
-5.000000e-01 	 1.997222e-02 	-5.000000e-01 	 2.022121e-02 	-5.000000e-01 	 2.002180e-02 	-4.999999e-01 	 2.011845e-02 	 
-4.999470e-01 	 1.868685e-03 	-4.999470e-01 	 1.766181e-03 	-4.999470e-01 	 1.721623e-03 	-4.999470e-01 	 1.728397e-03 	 
-4.997879e-01 	 6.704192e-03 	-4.997879e-01 	 6.652566e-03 	-4.997879e-01 	 6.603477e-03 	-4.997876e-01 	 6.617516e-03 	 
-4.995210e-01 	 1.328820e-02 	-4.995210e-01 	 1.335351e-02 	-4.995210e-01 	 1.328461e-02 	-4.995209e-01 	 1.331443e-02 	 
-4.991477e-01 	 1.497556e-02 	-4.991477e-01 	 1.506199e-02 	-4.991477e-01 	 1.499133e-02 	-4.991479e-01 	 1.501951e-02 	 
-4.986691e-01 	 1.703143e-02 	-4.986691e-01 	 1.712788e-02 	-4.986691e-01 	 1.704802e-02 	-4.986690e-01 	 1.708044e-02 	 
-4.980868e-01 	 1.831340e-02 	-4.980868e-01 	 1.840933e-02 	-4.980868e-01 	 1.832007e-02 	-4.980870e-01 	 1.835264e-02 	 
-4.974051e-01 	 1.859213e-02 	-4.974051e-01 	 1.868233e-02 	-4.974051e-01 	 1.858904e-02 	-4.974053e-01 	 1.862247e-02 	 
-4.966267e-01 	 1.856484e-02 	-4.966267e-01 	 1.865453e-02 	-4.966267e-01 	 1.855857e-02 	-4.966268e-01 	 1.858733e-02 	 
-4.958017e-01 	 1.798895e-02 	-4.958008e-01 	 1.807367e-02 	-4.958014e-01 	 1.797512e-02 	-4.958013e-01 	 1.800622e-02 	 
-4.949747e-01 	 1.725937e-02 	-4.949670e-01 	 1.733183e-02 	-4.949723e-01 	 1.723794e-02 	-4.949723e-01 	 1.726939e-02 	 
-4.941445e-01 	 1.643397e-02 	-4.941188e-01 	 1.648434e-02 	-4.941367e-01 	 1.640679e-02 	-4.941368e-01 	 1.643556e-02 	 
-4.933098e-01 	 1.553232e-02 	-4.932494e-01 	 1.553994e-02 	-4.932921e-01 	 1.548875e-02 	-4.932917e-01 	 1.551874e-02 	 
-4.924692e-01 	 1.468831e-02 	-4.923531e-01 	 1.463883e-02 	-4.924341e-01 	 1.462459e-02 	-4.924341e-01 	 1.465442e-02 	 
