x0	G1	x1	G2	x2	G3	x3	G4	
-5.000000e-01 	 -4.047288e-01 	-5.000000e-01 	 -4.360558e-01 	-5.000000e-01 	 -4.199753e-01 	-5.000000e-01 	 -4.284204e-01 	 
-4.999470e-01 	 -7.245808e-01 	-4.999470e-01 	 -7.583341e-01 	-4.999470e-01 	 -7.395816e-01 	-4.999470e-01 	 -7.491745e-01 	 
-4.997880e-01 	 -6.210876e-01 	-4.997880e-01 	 -6.536512e-01 	-4.997880e-01 	 -6.359910e-01 	-4.997880e-01 	 -6.451743e-01 	 
-4.995210e-01 	 -7.040214e-01 	-4.995210e-01 	 -7.372902e-01 	-4.995210e-01 	 -7.189512e-01 	-4.995210e-01 	 -7.283600e-01 	 
-4.991480e-01 	 -7.232504e-01 	-4.991480e-01 	 -7.565741e-01 	-4.991480e-01 	 -7.380526e-01 	-4.991480e-01 	 -7.474562e-01 	 
-4.986690e-01 	 -7.834975e-01 	-4.986690e-01 	 -8.176325e-01 	-4.986690e-01 	 -7.987366e-01 	-4.986690e-01 	 -8.083493e-01 	 
-4.980870e-01 	 -8.631009e-01 	-4.980870e-01 	 -8.981635e-01 	-4.980870e-01 	 -8.785441e-01 	-4.980870e-01 	 -8.883476e-01 	 
-4.974060e-01 	 -9.049474e-01 	-4.974060e-01 	 -9.404076e-01 	-4.974060e-01 	 -9.204204e-01 	-4.974060e-01 	 -9.303672e-01 	 
-4.966270e-01 	 -9.773331e-01 	-4.966270e-01 	 -1.013621e+00 	-4.966270e-01 	 -9.929600e-01 	-4.966270e-01 	 -1.003132e+00 	 
-4.958020e-01 	 -1.017373e+00 	-4.958010e-01 	 -1.054159e+00 	-4.958020e-01 	 -1.033003e+00 	-4.958020e-01 	 -1.043311e+00 	 
-4.949750e-01 	 -1.054064e+00 	-4.949670e-01 	 -1.091539e+00 	-4.949730e-01 	 -1.069795e+00 	-4.949730e-01 	 -1.080267e+00 	 
-4.941450e-01 	 -1.086361e+00 	-4.941200e-01 	 -1.124751e+00 	-4.941370e-01 	 -1.102224e+00 	-4.941370e-01 	 -1.112826e+00 	 
