x0	8A00W11AoA20/	x1	8A15W11AoA20/	
0.000000e+00 	 7.049790e-01 	0.000000e+00 	 6.972613e-01 	 
1.250000e-01 	 7.045887e-01 	1.249600e-01 	 6.971270e-01 	 
2.500000e-01 	 7.043793e-01 	2.498800e-01 	 6.971312e-01 	 
3.751000e-01 	 7.045289e-01 	3.748900e-01 	 6.972899e-01 	 
5.001000e-01 	 7.042634e-01 	4.998900e-01 	 6.974910e-01 	 
6.251000e-01 	 7.038411e-01 	6.248600e-01 	 6.976187e-01 	 
7.500000e-01 	 7.030141e-01 	7.498600e-01 	 6.976774e-01 	 
8.750000e-01 	 7.021932e-01 	8.749200e-01 	 6.977029e-01 	 
1.000100e+00 	 7.005435e-01 	9.999700e-01 	 6.978143e-01 	 
1.125100e+00 	 6.986843e-01 	1.124880e+00 	 6.978861e-01 	 
1.250000e+00 	 6.967725e-01 	1.249910e+00 	 6.978161e-01 	 
1.375000e+00 	 6.955155e-01 	1.374950e+00 	 6.977646e-01 	 
1.500100e+00 	 6.951553e-01 	1.499890e+00 	 6.973665e-01 	 
1.625000e+00 	 6.938212e-01 	1.624920e+00 	 6.973109e-01 	 
1.750000e+00 	 6.922295e-01 	1.749950e+00 	 6.975070e-01 	 
1.875100e+00 	 6.907404e-01 	1.874860e+00 	 6.975330e-01 	 
2.000100e+00 	 6.890414e-01 	1.999840e+00 	 6.975909e-01 	 
2.125100e+00 	 6.870987e-01 	2.124960e+00 	 6.975439e-01 	 
2.250000e+00 	 6.851578e-01 	2.249900e+00 	 6.974743e-01 	 
2.375000e+00 	 6.838977e-01 	2.374960e+00 	 6.974633e-01 	 
2.500100e+00 	 6.821828e-01 	2.499990e+00 	 6.974351e-01 	 
2.625100e+00 	 6.810335e-01 	2.624870e+00 	 6.976379e-01 	 
2.750100e+00 	 6.801547e-01 	2.749930e+00 	 6.973553e-01 	 
2.875000e+00 	 6.794648e-01 	2.874970e+00 	 6.971827e-01 	 
3.000100e+00 	 6.785694e-01 	2.999900e+00 	 6.969628e-01 	 
3.125000e+00 	 6.781055e-01 	3.124880e+00 	 6.967754e-01 	 
3.250000e+00 	 6.782898e-01 	3.249870e+00 	 6.968678e-01 	 
3.375100e+00 	 6.783636e-01 	3.374930e+00 	 6.969145e-01 	 
3.500100e+00 	 6.782096e-01 	3.499870e+00 	 6.968305e-01 	 
3.625000e+00 	 6.785682e-01 	3.624840e+00 	 6.966362e-01 	 
3.750100e+00 	 6.794935e-01 	3.749900e+00 	 6.964958e-01 	 
3.875000e+00 	 6.801292e-01 	3.874980e+00 	 6.962765e-01 	 
4.000100e+00 	 6.805187e-01 	3.999940e+00 	 6.964667e-01 	 
4.125100e+00 	 6.808595e-01 	4.124910e+00 	 6.964729e-01 	 
4.250000e+00 	 6.820036e-01 	4.249880e+00 	 6.964552e-01 	 
4.375000e+00 	 6.832805e-01 	4.374940e+00 	 6.963401e-01 	 
4.500100e+00 	 6.846608e-01 	4.499920e+00 	 6.962588e-01 	 
