x0	LES	x1	Jones2008	
0.000000e+00 	 2.519581e-06 	3.484300e-01 	 8.016449e-04 	 
1.749912e-01 	 3.449779e-05 	6.968600e-01 	 2.021442e-05 	 
3.499824e-01 	 1.976761e-05 	1.045300e+00 	 2.527202e-05 	 
5.249737e-01 	 5.131770e-05 	1.393730e+00 	 5.659007e-05 	 
6.999649e-01 	 5.269884e-05 	1.742160e+00 	 1.154494e-04 	 
8.749561e-01 	 3.981704e-05 	2.090590e+00 	 1.194908e-04 	 
1.049947e+00 	 3.832782e-05 	2.439020e+00 	 8.753709e-05 	 
1.224939e+00 	 5.208507e-05 	2.787460e+00 	 2.374487e-05 	 
1.399930e+00 	 3.905724e-05 	3.135890e+00 	 3.227667e-05 	 
1.574921e+00 	 3.853071e-05 	3.484320e+00 	 5.555011e-05 	 
1.749912e+00 	 4.315749e-05 	3.832750e+00 	 2.034382e-05 	 
1.924903e+00 	 6.893205e-05 	4.181180e+00 	 3.081460e-05 	 
2.099895e+00 	 7.577724e-05 	4.529620e+00 	 5.275429e-05 	 
2.274886e+00 	 5.452520e-05 	4.878050e+00 	 1.987319e-05 	 
2.449877e+00 	 1.015176e-04 	5.226480e+00 	 7.918341e-06 	 
2.624868e+00 	 9.067657e-05 	5.574910e+00 	 1.433078e-05 	 
2.799859e+00 	 3.508299e-05 	5.923340e+00 	 2.707078e-05 	 
2.974851e+00 	 1.887073e-05 	6.271780e+00 	 2.178250e-05 	 
3.149842e+00 	 2.370208e-05 	6.620210e+00 	 6.490881e-06 	 
3.324833e+00 	 2.056421e-05 	6.968640e+00 	 8.826162e-06 	 
3.499824e+00 	 7.690077e-06 	7.317070e+00 	 8.070154e-06 	 
3.674816e+00 	 1.691731e-05 	7.665510e+00 	 6.211899e-06 	 
3.849807e+00 	 1.467267e-05 	8.013940e+00 	 6.566596e-06 	 
4.024798e+00 	 1.035256e-05 	8.362370e+00 	 4.832644e-06 	 
4.199789e+00 	 7.531998e-06 	8.710800e+00 	 1.203454e-05 	 
4.374780e+00 	 1.201091e-05 	9.059230e+00 	 2.044688e-05 	 
4.549772e+00 	 1.961619e-05 	9.407670e+00 	 3.499925e-05 	 
4.724763e+00 	 1.720249e-05 	9.756100e+00 	 3.377658e-05 	 
4.899754e+00 	 2.026132e-05 	1.010453e+01 	 1.319047e-05 	 
5.074745e+00 	 2.035566e-05 	1.045296e+01 	 1.503690e-05 	 
5.249737e+00 	 1.847001e-05 	1.080139e+01 	 1.820650e-06 	 
5.424728e+00 	 1.563517e-05 	1.114983e+01 	 5.151573e-06 	 
5.599719e+00 	 1.004010e-05 	1.149826e+01 	 8.212370e-06 	 
5.774710e+00 	 8.773585e-06 	1.184669e+01 	 1.803605e-05 	 
5.949701e+00 	 1.122047e-05 	1.219512e+01 	 1.020243e-05 	 
6.124693e+00 	 4.790115e-06 	1.254355e+01 	 7.883709e-06 	 
6.299684e+00 	 6.255463e-06 	1.289199e+01 	 1.002972e-05 	 
6.474675e+00 	 1.077649e-05 	1.324042e+01 	 1.172500e-05 	 
6.649666e+00 	 1.221898e-05 	1.358885e+01 	 1.570062e-05 	 
6.824657e+00 	 7.612974e-06 	1.393728e+01 	 8.326577e-06 	 
6.999649e+00 	 1.144288e-05 	1.428571e+01 	 5.912013e-06 	 
7.174640e+00 	 1.135208e-05 	1.463415e+01 	 6.037513e-06 	 
7.349631e+00 	 5.729063e-06 	1.498258e+01 	 1.114134e-05 	 
7.524622e+00 	 5.975781e-06 	1.533101e+01 	 1.431926e-05 	 
7.699614e+00 	 7.018176e-06 	1.567944e+01 	 6.688066e-06 	 
7.874605e+00 	 8.160224e-06 	1.602787e+01 	 3.107801e-06 	 
8.049596e+00 	 9.636505e-06 	1.637631e+01 	 3.301664e-06 	 
8.224587e+00 	 9.587286e-06 	1.672474e+01 	 6.023408e-06 	 
8.399578e+00 	 8.183299e-06 	1.707317e+01 	 1.030309e-05 	 
8.574570e+00 	 5.585747e-06 	1.742160e+01 	 7.953582e-06 	 
8.749561e+00 	 9.999932e-06 	1.777003e+01 	 8.861321e-06 	 
8.924552e+00 	 7.556286e-06 	1.811847e+01 	 8.275920e-06 	 
9.099543e+00 	 4.494028e-06 	1.846690e+01 	 3.468759e-06 	 
9.274534e+00 	 4.996303e-06 	1.881533e+01 	 1.615782e-06 	 
9.449526e+00 	 2.815086e-06 	1.916376e+01 	 5.753977e-06 	 
9.624517e+00 	 4.478932e-06 	1.951220e+01 	 1.614101e-05 	 
9.799508e+00 	 7.576897e-06 	1.986063e+01 	 1.139162e-05 	 
9.974499e+00 	 4.395671e-06 	2.020906e+01 	 2.723013e-06 	 
1.014949e+01 	 3.397796e-06 	2.055749e+01 	 1.337183e-06 	 
1.032448e+01 	 3.424841e-06 	2.090592e+01 	 1.794259e-06 	 
1.049947e+01 	 3.650797e-06 	2.125436e+01 	 3.468278e-06 	 
1.067446e+01 	 5.700526e-06 	2.160279e+01 	 2.838282e-06 	 
1.084946e+01 	 6.769922e-06 	2.195122e+01 	 1.581223e-06 	 
1.102445e+01 	 4.428830e-06 	2.229965e+01 	 1.848441e-06 	 
1.119944e+01 	 9.553419e-06 	2.264808e+01 	 2.293227e-06 	 
1.137443e+01 	 5.827345e-06 	2.299652e+01 	 1.330138e-06 	 
1.154942e+01 	 2.976730e-06 	2.334495e+01 	 3.822645e-06 	 
1.172441e+01 	 3.853370e-06 	2.369338e+01 	 8.001188e-06 	 
1.189940e+01 	 3.589948e-06 	2.404181e+01 	 5.789423e-06 	 
1.207439e+01 	 4.484625e-06 	2.439024e+01 	 3.170037e-06 	 
1.224939e+01 	 4.548038e-06 	2.473868e+01 	 1.785762e-06 	 
1.242438e+01 	 4.357078e-06 	2.508711e+01 	 1.430024e-06 	 
1.259937e+01 	 3.918259e-06 	2.543554e+01 	 2.584836e-06 	 
1.277436e+01 	 4.642077e-06 	2.578397e+01 	 2.833943e-06 	 
1.294935e+01 	 5.779071e-06 	2.613240e+01 	 1.092129e-06 	 
1.312434e+01 	 2.510291e-06 	2.648084e+01 	 2.054346e-06 	 
1.329933e+01 	 2.862701e-06 	2.682927e+01 	 2.347949e-06 	 
1.347432e+01 	 1.551545e-06 	2.717770e+01 	 2.336068e-06 	 
1.364931e+01 	 2.843044e-06 	2.752613e+01 	 2.679935e-06 	 
1.382431e+01 	 2.241694e-06 	2.787456e+01 	 2.949546e-06 	 
1.399930e+01 	 2.416076e-06 	2.822300e+01 	 2.996465e-06 	 
1.417429e+01 	 2.503738e-06 	2.857143e+01 	 2.160175e-06 	 
1.434928e+01 	 1.683595e-06 	2.891986e+01 	 2.197094e-06 	 
1.452427e+01 	 2.341321e-06 	2.926829e+01 	 1.361516e-06 	 
1.469926e+01 	 1.959277e-06 	2.961672e+01 	 1.109167e-06 	 
1.487425e+01 	 1.807413e-06 	2.996516e+01 	 1.524196e-06 	 
1.504924e+01 	 4.806294e-06 	3.031359e+01 	 1.055642e-06 	 
1.522424e+01 	 5.445075e-06 	3.066202e+01 	 2.014923e-06 	 
1.539923e+01 	 2.639207e-06 	3.101045e+01 	 1.888807e-06 	 
1.557422e+01 	 2.944303e-06 	3.135889e+01 	 6.032919e-07 	 
1.574921e+01 	 2.167424e-06 	3.170732e+01 	 1.242048e-06 	 
1.592420e+01 	 1.705951e-06 	3.205575e+01 	 1.106063e-06 	 
1.609919e+01 	 4.945842e-06 	3.240418e+01 	 1.532741e-06 	 
1.627418e+01 	 2.682728e-06 	3.275261e+01 	 1.390174e-06 	 
1.644917e+01 	 1.088315e-06 	3.310105e+01 	 6.051960e-07 	 
1.662417e+01 	 1.170438e-06 	3.344948e+01 	 3.538895e-07 	 
1.679916e+01 	 1.314056e-06 	3.379791e+01 	 3.973762e-07 	 
1.697415e+01 	 1.685224e-06 	3.414634e+01 	 1.181587e-06 	 
1.714914e+01 	 2.484075e-06 	3.449477e+01 	 1.165672e-06 	 
1.732413e+01 	 2.325715e-06 	3.484321e+01 	 7.126592e-07 	 
1.749912e+01 	 1.946882e-06 	3.519164e+01 	 1.142790e-06 	 
1.767411e+01 	 1.555033e-06 	3.554007e+01 	 1.150648e-06 	 
1.784910e+01 	 7.250003e-07 	3.588850e+01 	 1.478798e-06 	 
1.802410e+01 	 9.316148e-07 	3.623693e+01 	 1.204481e-06 	 
1.819909e+01 	 1.549926e-06 	3.658537e+01 	 8.738622e-07 	 
1.837408e+01 	 1.993957e-06 	3.693380e+01 	 1.357506e-06 	 
1.854907e+01 	 2.489742e-06 	3.728223e+01 	 1.117953e-06 	 
1.872406e+01 	 1.585158e-06 	3.763066e+01 	 1.306213e-06 	 
1.889905e+01 	 1.077126e-06 	3.797909e+01 	 5.848744e-07 	 
1.907404e+01 	 1.167982e-06 	3.832753e+01 	 5.080662e-07 	 
1.924903e+01 	 1.330029e-06 	3.867596e+01 	 8.812297e-07 	 
1.942403e+01 	 1.316427e-06 	3.902439e+01 	 5.669476e-07 	 
1.959902e+01 	 6.468303e-07 	3.937282e+01 	 1.079255e-06 	 
1.977401e+01 	 2.411562e-07 	3.972125e+01 	 6.959248e-07 	 
1.994900e+01 	 6.768395e-07 	4.006969e+01 	 2.318726e-07 	 
2.012399e+01 	 1.110884e-06 	4.041812e+01 	 2.037611e-07 	 
2.029898e+01 	 9.266070e-07 	4.076655e+01 	 4.972784e-07 	 
2.047397e+01 	 7.324235e-07 	4.111498e+01 	 5.620869e-07 	 
2.064896e+01 	 2.537929e-07 	4.146341e+01 	 4.115623e-07 	 
2.082395e+01 	 1.086768e-06 	4.181185e+01 	 4.630529e-07 	 
2.099895e+01 	 7.876831e-07 	4.216028e+01 	 2.371135e-07 	 
2.117394e+01 	 5.651119e-07 	4.250871e+01 	 3.000475e-07 	 
2.134893e+01 	 5.321700e-07 	4.285714e+01 	 5.962689e-07 	 
2.152392e+01 	 4.637117e-07 	4.320557e+01 	 5.604372e-07 	 
2.169891e+01 	 6.761722e-07 	4.355401e+01 	 5.520698e-07 	 
2.187390e+01 	 9.235654e-07 	4.390244e+01 	 4.731953e-07 	 
2.204889e+01 	 8.311164e-07 	4.425087e+01 	 1.946325e-07 	 
2.222388e+01 	 9.255954e-07 	4.459930e+01 	 5.350565e-07 	 
2.239888e+01 	 8.123068e-07 	4.494774e+01 	 8.278038e-07 	 
2.257387e+01 	 1.181332e-06 	4.529617e+01 	 7.298522e-07 	 
2.274886e+01 	 1.465959e-06 	4.564460e+01 	 4.873189e-07 	 
2.292385e+01 	 1.107223e-06 	4.599303e+01 	 3.006127e-07 	 
2.309884e+01 	 4.717320e-07 	4.634146e+01 	 3.588441e-07 	 
2.327383e+01 	 6.159541e-07 	4.668990e+01 	 6.507609e-07 	 
2.344882e+01 	 5.543683e-07 	4.703833e+01 	 8.671117e-07 	 
2.362381e+01 	 5.978413e-07 	4.738676e+01 	 3.967421e-07 	 
2.379881e+01 	 3.427408e-07 	4.773519e+01 	 1.365277e-07 	 
2.397380e+01 	 7.514501e-07 	4.808362e+01 	 6.127703e-08 	 
2.414879e+01 	 1.079076e-06 	4.843206e+01 	 4.299611e-07 	 
2.432378e+01 	 1.477926e-06 	4.878049e+01 	 5.897820e-07 	 
2.449877e+01 	 1.239721e-06 	4.912892e+01 	 5.213191e-07 	 
2.467376e+01 	 5.969867e-07 	4.947735e+01 	 3.423767e-07 	 
2.484875e+01 	 8.865169e-07 	4.982578e+01 	 5.870384e-08 	 
2.502374e+01 	 1.106012e-06 	5.017422e+01 	 2.602479e-07 	 
2.519874e+01 	 1.051874e-06 	5.052265e+01 	 4.700471e-07 	 
2.537373e+01 	 8.560065e-07 	5.087108e+01 	 2.367308e-07 	 
2.554872e+01 	 5.710701e-07 	5.121951e+01 	 8.490780e-08 	 
2.572371e+01 	 3.993626e-07 	5.156794e+01 	 4.952661e-08 	 
2.589870e+01 	 5.289528e-07 	5.191638e+01 	 1.402477e-07 	 
2.607369e+01 	 7.260883e-07 	5.226481e+01 	 3.658698e-07 	 
2.624868e+01 	 7.888493e-07 	5.261324e+01 	 4.610644e-07 	 
2.642367e+01 	 9.068062e-07 	5.296167e+01 	 2.357720e-07 	 
2.659866e+01 	 3.700507e-07 	5.331010e+01 	 7.337206e-08 	 
2.677366e+01 	 4.440000e-07 	5.365854e+01 	 1.037846e-07 	 
2.694865e+01 	 5.427804e-07 	5.400697e+01 	 2.347344e-07 	 
2.712364e+01 	 7.966763e-07 	5.435540e+01 	 3.431763e-07 	 
2.729863e+01 	 7.201226e-07 	5.470383e+01 	 2.640312e-07 	 
2.747362e+01 	 2.782658e-07 	5.505226e+01 	 1.161200e-07 	 
2.764861e+01 	 2.041728e-07 	5.540070e+01 	 8.392098e-08 	 
2.782360e+01 	 3.383487e-07 	5.574913e+01 	 1.724706e-07 	 
2.799859e+01 	 5.609064e-07 	5.609756e+01 	 3.153625e-07 	 
2.817359e+01 	 3.788506e-07 	5.644599e+01 	 3.854130e-07 	 
2.834858e+01 	 3.168739e-07 	5.679443e+01 	 3.704764e-07 	 
2.852357e+01 	 8.008283e-07 	5.714286e+01 	 1.657048e-07 	 
2.869856e+01 	 6.210138e-07 	5.749129e+01 	 7.690560e-08 	 
