xm 	 xl 	 cl 	 cd 	
-5.12500e-01 	 5.00000e-03 	 6.01495e-03 	 1.78858e-01 	
-5.07500e-01 	 5.00000e-03 	 6.01495e-03 	 1.78858e-01 	
-5.02500e-01 	 5.00000e-03 	 6.01495e-03 	 1.78858e-01 	
-4.97500e-01 	 5.00000e-03 	 6.01495e-03 	 1.78858e-01 	
-4.92500e-01 	 5.00000e-03 	 6.01495e-03 	 1.78858e-01 	
-4.87500e-01 	 5.00000e-03 	 6.01495e-03 	 1.78858e-01 	
-4.82500e-01 	 5.00000e-03 	 1.55819e-02 	 2.01818e-01 	
-4.77500e-01 	 5.00000e-03 	 1.70941e-02 	 1.51562e-01 	
-4.72500e-01 	 5.00000e-03 	 1.75914e-02 	 1.28372e-01 	
-4.67500e-01 	 5.00000e-03 	 1.75632e-02 	 1.13236e-01 	
-4.62500e-01 	 5.00000e-03 	 1.73042e-02 	 1.02078e-01 	
-4.57500e-01 	 5.00000e-03 	 1.69546e-02 	 9.32824e-02 	
-4.52500e-01 	 5.00000e-03 	 1.66066e-02 	 8.60182e-02 	
-4.47500e-01 	 5.00000e-03 	 1.63157e-02 	 7.98241e-02 	
-4.42500e-01 	 5.00000e-03 	 1.60782e-02 	 7.44524e-02 	
-4.37500e-01 	 5.00000e-03 	 1.58663e-02 	 6.97310e-02 	
-4.32500e-01 	 5.00000e-03 	 1.56818e-02 	 6.55267e-02 	
-4.27500e-01 	 5.00000e-03 	 1.55204e-02 	 6.17437e-02 	
-4.22500e-01 	 5.00000e-03 	 1.53593e-02 	 5.83025e-02 	
-4.17500e-01 	 5.00000e-03 	 1.52118e-02 	 5.51751e-02 	
-4.12500e-01 	 5.00000e-03 	 1.50810e-02 	 5.22789e-02 	
-4.07500e-01 	 5.00000e-03 	 1.49560e-02 	 4.96002e-02 	
-4.02500e-01 	 5.00000e-03 	 1.48281e-02 	 4.71106e-02 	
-3.97500e-01 	 5.00000e-03 	 1.47087e-02 	 4.47931e-02 	
-3.92500e-01 	 5.00000e-03 	 1.45988e-02 	 4.26153e-02 	
-3.87500e-01 	 5.00000e-03 	 1.44914e-02 	 4.05566e-02 	
-3.82500e-01 	 5.00000e-03 	 1.43867e-02 	 3.86338e-02 	
-3.77500e-01 	 5.00000e-03 	 1.42794e-02 	 3.68226e-02 	
-3.72500e-01 	 5.00000e-03 	 1.41759e-02 	 3.50951e-02 	
-3.67500e-01 	 5.00000e-03 	 1.40683e-02 	 3.34259e-02 	
-3.62500e-01 	 5.00000e-03 	 1.39402e-02 	 3.18486e-02 	
-3.57500e-01 	 5.00000e-03 	 1.37651e-02 	 3.03594e-02 	
-3.52500e-01 	 5.00000e-03 	 1.35070e-02 	 2.89443e-02 	
-3.47500e-01 	 5.00000e-03 	 1.31341e-02 	 2.75673e-02 	
-3.42500e-01 	 5.00000e-03 	 1.26223e-02 	 2.62251e-02 	
-3.37500e-01 	 5.00000e-03 	 1.19854e-02 	 2.49508e-02 	
-3.32500e-01 	 5.00000e-03 	 1.12997e-02 	 2.37270e-02 	
-3.27500e-01 	 5.00000e-03 	 1.06509e-02 	 2.25138e-02 	
-3.22500e-01 	 5.00000e-03 	 1.00854e-02 	 2.13293e-02 	
-3.17500e-01 	 5.00000e-03 	 9.61147e-03 	 2.02179e-02 	
-3.12500e-01 	 5.00000e-03 	 9.23410e-03 	 1.91258e-02 	
-3.07500e-01 	 5.00000e-03 	 8.93638e-03 	 1.80466e-02 	
-3.02500e-01 	 5.00000e-03 	 8.69583e-03 	 1.70096e-02 	
-2.97500e-01 	 5.00000e-03 	 8.49595e-03 	 1.59964e-02 	
-2.92500e-01 	 5.00000e-03 	 8.32787e-03 	 1.50156e-02 	
-2.87500e-01 	 5.00000e-03 	 8.18224e-03 	 1.40648e-02 	
-2.82500e-01 	 5.00000e-03 	 8.05037e-03 	 1.31441e-02 	
-2.77500e-01 	 5.00000e-03 	 7.92549e-03 	 1.22464e-02 	
-2.72500e-01 	 5.00000e-03 	 7.80707e-03 	 1.13697e-02 	
-2.67500e-01 	 5.00000e-03 	 7.69406e-03 	 1.05152e-02 	
-2.62500e-01 	 5.00000e-03 	 7.58503e-03 	 9.68268e-03 	
-2.57500e-01 	 5.00000e-03 	 7.47744e-03 	 8.87296e-03 	
-2.52500e-01 	 5.00000e-03 	 7.37043e-03 	 8.07929e-03 	
-2.47500e-01 	 5.00000e-03 	 7.26367e-03 	 7.30464e-03 	
-2.42500e-01 	 5.00000e-03 	 7.15592e-03 	 6.55348e-03 	
-2.37500e-01 	 5.00000e-03 	 7.04969e-03 	 5.81814e-03 	
-2.32500e-01 	 5.00000e-03 	 6.94400e-03 	 5.09870e-03 	
-2.27500e-01 	 5.00000e-03 	 6.83919e-03 	 4.38894e-03 	
-2.22500e-01 	 5.00000e-03 	 6.73363e-03 	 3.70003e-03 	
-2.17500e-01 	 5.00000e-03 	 6.62755e-03 	 3.03420e-03 	
-2.12500e-01 	 5.00000e-03 	 6.52229e-03 	 2.38311e-03 	
-2.07500e-01 	 5.00000e-03 	 6.41983e-03 	 1.72999e-03 	
-2.02500e-01 	 5.00000e-03 	 6.31762e-03 	 1.09381e-03 	
-1.97500e-01 	 5.00000e-03 	 6.21582e-03 	 4.73530e-04 	
-1.92500e-01 	 5.00000e-03 	 6.11698e-03 	-1.46068e-04 	
-1.87500e-01 	 5.00000e-03 	 6.01651e-03 	-7.40352e-04 	
-1.82500e-01 	 5.00000e-03 	 5.91621e-03 	-1.31825e-03 	
-1.77500e-01 	 5.00000e-03 	 5.81858e-03 	-1.89378e-03 	
-1.72500e-01 	 5.00000e-03 	 5.72307e-03 	-2.46099e-03 	
-1.67500e-01 	 5.00000e-03 	 5.62898e-03 	-3.02126e-03 	
-1.62500e-01 	 5.00000e-03 	 5.53459e-03 	-3.56214e-03 	
-1.57500e-01 	 5.00000e-03 	 5.44302e-03 	-4.09996e-03 	
-1.52500e-01 	 5.00000e-03 	 5.35322e-03 	-4.62664e-03 	
-1.47500e-01 	 5.00000e-03 	 5.26317e-03 	-5.13613e-03 	
-1.42500e-01 	 5.00000e-03 	 5.17572e-03 	-5.64155e-03 	
-1.37500e-01 	 5.00000e-03 	 5.09053e-03 	-6.14323e-03 	
-1.32500e-01 	 5.00000e-03 	 5.00665e-03 	-6.63627e-03 	
