xm 	 xl 	 cl 	 cd 	
-4.85313e-01 	 5.37485e-03 	 4.41169e-03 	 2.20363e-01 	
-4.79938e-01 	 5.37485e-03 	 4.41169e-03 	 2.20363e-01 	
-4.74563e-01 	 5.37485e-03 	 4.41169e-03 	 2.20363e-01 	
-4.69188e-01 	 5.37485e-03 	 4.41169e-03 	 2.20363e-01 	
-4.63813e-01 	 5.37485e-03 	 4.41169e-03 	 2.20363e-01 	
-4.58438e-01 	 5.37485e-03 	 4.41169e-03 	 2.20363e-01 	
-4.53402e-01 	 4.69846e-03 	 8.96852e-03 	 1.59525e-01 	
-4.48703e-01 	 4.69846e-03 	 8.70911e-03 	 1.39890e-01 	
-4.44005e-01 	 4.69846e-03 	 8.25981e-03 	 1.25269e-01 	
-4.39306e-01 	 4.69846e-03 	 7.75826e-03 	 1.13878e-01 	
-4.34608e-01 	 4.69846e-03 	 7.34465e-03 	 1.04432e-01 	
-4.29909e-01 	 4.69846e-03 	 7.05112e-03 	 9.64218e-02 	
-4.25211e-01 	 4.69846e-03 	 6.83171e-03 	 8.95095e-02 	
-4.20512e-01 	 4.69846e-03 	 6.64817e-03 	 8.35299e-02 	
-4.15814e-01 	 4.69846e-03 	 6.43824e-03 	 7.83747e-02 	
-4.11116e-01 	 4.69846e-03 	 6.23470e-03 	 7.36855e-02 	
-4.06417e-01 	 4.69846e-03 	 6.06761e-03 	 6.94558e-02 	
-4.01719e-01 	 4.69846e-03 	 5.91010e-03 	 6.55898e-02 	
-3.97020e-01 	 4.69846e-03 	 5.78499e-03 	 6.19640e-02 	
-3.92322e-01 	 4.69846e-03 	 5.67460e-03 	 5.87424e-02 	
-3.87623e-01 	 4.69846e-03 	 5.57453e-03 	 5.57384e-02 	
-3.82925e-01 	 4.69846e-03 	 5.48498e-03 	 5.29322e-02 	
-3.78226e-01 	 4.69846e-03 	 5.35819e-03 	 5.03699e-02 	
-3.73528e-01 	 4.69846e-03 	 5.24138e-03 	 4.78464e-02 	
-3.68829e-01 	 4.69846e-03 	 5.18093e-03 	 4.55236e-02 	
-3.64131e-01 	 4.69846e-03 	 5.08233e-03 	 4.33179e-02 	
-3.59432e-01 	 4.69846e-03 	 4.98811e-03 	 4.12980e-02 	
-3.54734e-01 	 4.69846e-03 	 4.90181e-03 	 3.93517e-02 	
-3.50036e-01 	 4.69846e-03 	 4.82527e-03 	 3.74663e-02 	
-3.45337e-01 	 4.69846e-03 	 4.75216e-03 	 3.56914e-02 	
-3.40639e-01 	 4.69846e-03 	 4.68376e-03 	 3.40202e-02 	
-3.35940e-01 	 4.69846e-03 	 4.62125e-03 	 3.23728e-02 	
-3.31242e-01 	 4.69846e-03 	 4.52405e-03 	 3.08430e-02 	
-3.26543e-01 	 4.69846e-03 	 4.47893e-03 	 2.93433e-02 	
-3.21845e-01 	 4.69846e-03 	 4.42999e-03 	 2.77408e-02 	
-3.17146e-01 	 4.69846e-03 	 4.33748e-03 	 2.65829e-02 	
-3.12448e-01 	 4.69846e-03 	 4.26167e-03 	 2.52599e-02 	
-3.07749e-01 	 4.69846e-03 	 4.22688e-03 	 2.39111e-02 	
-3.03051e-01 	 4.69846e-03 	 4.19770e-03 	 2.26204e-02 	
-2.98352e-01 	 4.69846e-03 	 4.13634e-03 	 2.13990e-02 	
-2.93654e-01 	 4.69846e-03 	 4.06367e-03 	 2.03798e-02 	
-2.88955e-01 	 4.69846e-03 	 4.00884e-03 	 1.92760e-02 	
-2.84257e-01 	 4.69846e-03 	 3.98939e-03 	 1.80229e-02 	
-2.79559e-01 	 4.69846e-03 	 3.95633e-03 	 1.69833e-02 	
-2.74860e-01 	 4.69846e-03 	 3.89294e-03 	 1.60550e-02 	
-2.70162e-01 	 4.69846e-03 	 3.84985e-03 	 1.50118e-02 	
-2.65463e-01 	 4.69846e-03 	 3.81034e-03 	 1.40135e-02 	
-2.60765e-01 	 4.69846e-03 	 3.75568e-03 	 1.31434e-02 	
-2.56066e-01 	 4.69846e-03 	 3.70333e-03 	 1.22905e-02 	
-2.51368e-01 	 4.69846e-03 	 3.67259e-03 	 1.13712e-02 	
-2.46669e-01 	 4.69846e-03 	 3.64495e-03 	 1.04145e-02 	
-2.41971e-01 	 4.69846e-03 	 3.62564e-03 	 9.52831e-03 	
-2.37272e-01 	 4.69846e-03 	 3.60804e-03 	 8.66856e-03 	
-2.32574e-01 	 4.69846e-03 	 3.56448e-03 	 7.90094e-03 	
-2.27875e-01 	 4.69846e-03 	 3.52267e-03 	 7.14707e-03 	
-2.23177e-01 	 4.69846e-03 	 3.48254e-03 	 6.40777e-03 	
-2.18479e-01 	 4.69846e-03 	 3.46612e-03 	 5.58040e-03 	
-2.13780e-01 	 4.69846e-03 	 3.45237e-03 	 4.78183e-03 	
-2.09082e-01 	 4.69846e-03 	 3.41786e-03 	 4.08557e-03 	
-2.04383e-01 	 4.69846e-03 	 3.38488e-03 	 3.40204e-03 	
-1.99685e-01 	 4.69846e-03 	 3.35290e-03 	 2.73068e-03 	
-1.94986e-01 	 4.69846e-03 	 3.32185e-03 	 2.07069e-03 	
-1.90288e-01 	 4.69846e-03 	 3.29190e-03 	 1.42260e-03 	
-1.85589e-01 	 4.69846e-03 	 3.26302e-03 	 7.85651e-04 	
-1.80891e-01 	 4.69846e-03 	 3.23499e-03 	 1.60475e-04 	
-1.76192e-01 	 4.69846e-03 	 3.20815e-03 	-4.54390e-04 	
-1.71494e-01 	 4.69846e-03 	 3.18239e-03 	-1.05790e-03 	
-1.66795e-01 	 4.69846e-03 	 3.15804e-03 	-1.65172e-03 	
-1.62097e-01 	 4.69846e-03 	 3.11482e-03 	-2.18265e-03 	
-1.57399e-01 	 4.69846e-03 	 3.09854e-03 	-2.77100e-03 	
-1.52700e-01 	 4.69846e-03 	 3.10171e-03 	-3.40702e-03 	
-1.48002e-01 	 4.69846e-03 	 3.08094e-03 	-3.95928e-03 	
-1.43303e-01 	 4.69846e-03 	 3.06115e-03 	-4.50326e-03 	
-1.38605e-01 	 4.69846e-03 	 3.04187e-03 	-5.03657e-03 	
-1.33906e-01 	 4.69846e-03 	 3.02301e-03 	-5.56146e-03 	
-1.29208e-01 	 4.69846e-03 	 3.00448e-03 	-6.07774e-03 	
-1.24509e-01 	 4.69846e-03 	 2.98618e-03 	-6.58530e-03 	
-1.19811e-01 	 4.69846e-03 	 2.96857e-03 	-7.08423e-03 	
-1.15112e-01 	 4.69846e-03 	 2.95177e-03 	-7.57414e-03 	
-1.10414e-01 	 4.69846e-03 	 2.93551e-03 	-8.05612e-03 	
-1.05715e-01 	 4.69846e-03 	 2.91968e-03 	-8.53035e-03 	
-1.01017e-01 	 4.69846e-03 	 2.88918e-03 	-8.95705e-03 	
-9.63185e-02 	 4.69846e-03 	 2.86078e-03 	-9.37330e-03 	
-9.16200e-02 	 4.69846e-03 	 2.84675e-03 	-9.82517e-03 	
-8.69216e-02 	 4.69846e-03 	 2.83351e-03 	-1.02696e-02 	
-8.22231e-02 	 4.69846e-03 	 2.82146e-03 	-1.07092e-02 	
-7.75246e-02 	 4.69846e-03 	 2.78415e-03 	-1.10865e-02 	
-7.28262e-02 	 4.69846e-03 	 2.74762e-03 	-1.14590e-02 	
-6.81277e-02 	 4.69846e-03 	 2.73549e-03 	-1.18785e-02 	
-6.34293e-02 	 4.69846e-03 	 2.72327e-03 	-1.22899e-02 	
-5.87308e-02 	 4.69846e-03 	 2.70007e-03 	-1.26569e-02 	
-5.40323e-02 	 4.69846e-03 	 2.67671e-03 	-1.30225e-02 	
-4.93339e-02 	 4.69846e-03 	 2.66559e-03 	-1.34156e-02 	
-4.46354e-02 	 4.69846e-03 	 2.65419e-03 	-1.38021e-02 	
-3.99369e-02 	 4.69846e-03 	 2.64287e-03 	-1.41825e-02 	
-3.52385e-02 	 4.69846e-03 	 2.63194e-03 	-1.45569e-02 	
-3.05400e-02 	 4.69846e-03 	 2.62146e-03 	-1.49253e-02 	
-2.58415e-02 	 4.69846e-03 	 2.61134e-03 	-1.52874e-02 	
-2.11431e-02 	 4.69846e-03 	 2.60167e-03 	-1.56451e-02 	
-1.64446e-02 	 4.69846e-03 	 2.58091e-03 	-1.59700e-02 	
-1.17462e-02 	 4.69846e-03 	 2.56309e-03 	-1.62804e-02 	
-7.04769e-03 	 4.69846e-03 	 2.55399e-03 	-1.66212e-02 	
-2.34923e-03 	 4.69846e-03 	 2.54503e-03 	-1.69569e-02 	
 2.34923e-03 	 4.69846e-03 	 2.53639e-03 	-1.72873e-02 	
 7.04769e-03 	 4.69846e-03 	 2.52817e-03 	-1.76124e-02 	
 1.17462e-02 	 4.69846e-03 	 2.52018e-03 	-1.79325e-02 	
