xm 	 xl 	 cl 	 cd 	
-5.12500e-01 	 5.00000e-03 	 4.77493e-03 	 1.68941e-01 	
-5.07500e-01 	 5.00000e-03 	 4.77493e-03 	 1.68941e-01 	
-5.02500e-01 	 5.00000e-03 	 4.77493e-03 	 1.68941e-01 	
-4.97500e-01 	 5.00000e-03 	 4.77493e-03 	 1.68941e-01 	
-4.92500e-01 	 5.00000e-03 	 4.77493e-03 	 1.68941e-01 	
-4.87500e-01 	 5.00000e-03 	 4.77493e-03 	 1.68941e-01 	
-4.82500e-01 	 5.00000e-03 	 1.11696e-02 	 2.18282e-01 	
-4.77500e-01 	 5.00000e-03 	 1.16260e-02 	 1.57780e-01 	
-4.72500e-01 	 5.00000e-03 	 1.16680e-02 	 1.33181e-01 	
-4.67500e-01 	 5.00000e-03 	 1.16274e-02 	 1.16994e-01 	
-4.62500e-01 	 5.00000e-03 	 1.15561e-02 	 1.05010e-01 	
-4.57500e-01 	 5.00000e-03 	 1.14552e-02 	 9.55363e-02 	
-4.52500e-01 	 5.00000e-03 	 1.13267e-02 	 8.77450e-02 	
-4.47500e-01 	 5.00000e-03 	 1.11650e-02 	 8.11843e-02 	
-4.42500e-01 	 5.00000e-03 	 1.09954e-02 	 7.55281e-02 	
-4.37500e-01 	 5.00000e-03 	 1.08127e-02 	 7.05593e-02 	
-4.32500e-01 	 5.00000e-03 	 1.06167e-02 	 6.61457e-02 	
-4.27500e-01 	 5.00000e-03 	 1.04118e-02 	 6.21885e-02 	
-4.22500e-01 	 5.00000e-03 	 1.02098e-02 	 5.86123e-02 	
-4.17500e-01 	 5.00000e-03 	 9.97144e-03 	 5.53591e-02 	
-4.12500e-01 	 5.00000e-03 	 9.70012e-03 	 5.23621e-02 	
-4.07500e-01 	 5.00000e-03 	 9.42477e-03 	 4.96122e-02 	
-4.02500e-01 	 5.00000e-03 	 9.14071e-03 	 4.70522e-02 	
-3.97500e-01 	 5.00000e-03 	 8.83846e-03 	 4.46699e-02 	
-3.92500e-01 	 5.00000e-03 	 8.53088e-03 	 4.24379e-02 	
-3.87500e-01 	 5.00000e-03 	 8.23277e-03 	 4.03347e-02 	
-3.82500e-01 	 5.00000e-03 	 7.93428e-03 	 3.83334e-02 	
-3.77500e-01 	 5.00000e-03 	 7.63652e-03 	 3.64544e-02 	
-3.72500e-01 	 5.00000e-03 	 7.37904e-03 	 3.46553e-02 	
-3.67500e-01 	 5.00000e-03 	 7.16162e-03 	 3.29406e-02 	
-3.62500e-01 	 5.00000e-03 	 6.95012e-03 	 3.13040e-02 	
-3.57500e-01 	 5.00000e-03 	 6.76157e-03 	 2.97180e-02 	
-3.52500e-01 	 5.00000e-03 	 6.56664e-03 	 2.82398e-02 	
-3.47500e-01 	 5.00000e-03 	 6.37136e-03 	 2.67885e-02 	
-3.42500e-01 	 5.00000e-03 	 6.16778e-03 	 2.54135e-02 	
-3.37500e-01 	 5.00000e-03 	 5.99028e-03 	 2.40930e-02 	
-3.32500e-01 	 5.00000e-03 	 5.84623e-03 	 2.28039e-02 	
-3.27500e-01 	 5.00000e-03 	 5.68860e-03 	 2.15451e-02 	
-3.22500e-01 	 5.00000e-03 	 5.53974e-03 	 2.03635e-02 	
-3.17500e-01 	 5.00000e-03 	 5.40844e-03 	 1.92248e-02 	
-3.12500e-01 	 5.00000e-03 	 5.26108e-03 	 1.80894e-02 	
-3.07500e-01 	 5.00000e-03 	 5.11704e-03 	 1.69997e-02 	
-3.02500e-01 	 5.00000e-03 	 4.99627e-03 	 1.59467e-02 	
-2.97500e-01 	 5.00000e-03 	 4.88159e-03 	 1.49330e-02 	
-2.92500e-01 	 5.00000e-03 	 4.76053e-03 	 1.39636e-02 	
-2.87500e-01 	 5.00000e-03 	 4.64087e-03 	 1.30150e-02 	
-2.82500e-01 	 5.00000e-03 	 4.52530e-03 	 1.20669e-02 	
-2.77500e-01 	 5.00000e-03 	 4.41315e-03 	 1.11428e-02 	
-2.72500e-01 	 5.00000e-03 	 4.30970e-03 	 1.02563e-02 	
-2.67500e-01 	 5.00000e-03 	 4.21284e-03 	 9.40935e-03 	
-2.62500e-01 	 5.00000e-03 	 4.12048e-03 	 8.57622e-03 	
-2.57500e-01 	 5.00000e-03 	 4.03184e-03 	 7.76080e-03 	
-2.52500e-01 	 5.00000e-03 	 3.95010e-03 	 6.96442e-03 	
-2.47500e-01 	 5.00000e-03 	 3.87443e-03 	 6.17905e-03 	
-2.42500e-01 	 5.00000e-03 	 3.80184e-03 	 5.43229e-03 	
-2.37500e-01 	 5.00000e-03 	 3.73088e-03 	 4.70906e-03 	
-2.32500e-01 	 5.00000e-03 	 3.66435e-03 	 3.99512e-03 	
-2.27500e-01 	 5.00000e-03 	 3.60739e-03 	 3.29052e-03 	
-2.22500e-01 	 5.00000e-03 	 3.55842e-03 	 2.60410e-03 	
-2.17500e-01 	 5.00000e-03 	 3.51280e-03 	 1.93496e-03 	
-2.12500e-01 	 5.00000e-03 	 3.47058e-03 	 1.27291e-03 	
-2.07500e-01 	 5.00000e-03 	 3.42924e-03 	 6.22783e-04 	
-2.02500e-01 	 5.00000e-03 	 3.38856e-03 	-1.48830e-05 	
-1.97500e-01 	 5.00000e-03 	 3.35119e-03 	-6.24347e-04 	
-1.92500e-01 	 5.00000e-03 	 3.31729e-03 	-1.22397e-03 	
-1.87500e-01 	 5.00000e-03 	 3.28540e-03 	-1.81196e-03 	
-1.82500e-01 	 5.00000e-03 	 3.25240e-03 	-2.38472e-03 	
-1.77500e-01 	 5.00000e-03 	 3.21945e-03 	-2.94680e-03 	
-1.72500e-01 	 5.00000e-03 	 3.18835e-03 	-3.49615e-03 	
-1.67500e-01 	 5.00000e-03 	 3.15448e-03 	-4.03225e-03 	
-1.62500e-01 	 5.00000e-03 	 3.11754e-03 	-4.56404e-03 	
-1.57500e-01 	 5.00000e-03 	 3.08188e-03 	-5.08616e-03 	
-1.52500e-01 	 5.00000e-03 	 3.05152e-03 	-5.59860e-03 	
-1.47500e-01 	 5.00000e-03 	 3.02500e-03 	-6.10149e-03 	
-1.42500e-01 	 5.00000e-03 	 2.99914e-03 	-6.59321e-03 	
-1.37500e-01 	 5.00000e-03 	 2.97568e-03 	-7.07294e-03 	
-1.32500e-01 	 5.00000e-03 	 2.95472e-03 	-7.54531e-03 	
-1.27500e-01 	 5.00000e-03 	 2.93412e-03 	-8.00099e-03 	
-1.22500e-01 	 5.00000e-03 	 2.91241e-03 	-8.45557e-03 	
-1.17500e-01 	 5.00000e-03 	 2.89163e-03 	-8.90225e-03 	
-1.12500e-01 	 5.00000e-03 	 2.87093e-03 	-9.33589e-03 	
-1.07500e-01 	 5.00000e-03 	 2.84964e-03 	-9.76823e-03 	
-1.02500e-01 	 5.00000e-03 	 2.82844e-03 	-1.01831e-02 	
-9.75000e-02 	 5.00000e-03 	 2.81001e-03 	-1.05892e-02 	
-9.25000e-02 	 5.00000e-03 	 2.79223e-03 	-1.09906e-02 	
-8.75000e-02 	 5.00000e-03 	 2.77349e-03 	-1.13890e-02 	
-8.25000e-02 	 5.00000e-03 	 2.75296e-03 	-1.17879e-02 	
-7.75000e-02 	 5.00000e-03 	 2.73331e-03 	-1.21741e-02 	
-7.25000e-02 	 5.00000e-03 	 2.71406e-03 	-1.25454e-02 	
-6.75000e-02 	 5.00000e-03 	 2.69335e-03 	-1.29162e-02 	
-6.25000e-02 	 5.00000e-03 	 2.67141e-03 	-1.32766e-02 	
-5.75000e-02 	 5.00000e-03 	 2.64860e-03 	-1.36334e-02 	
-5.25000e-02 	 5.00000e-03 	 2.62687e-03 	-1.39841e-02 	
-4.75000e-02 	 5.00000e-03 	 2.60651e-03 	-1.43265e-02 	
-4.25000e-02 	 5.00000e-03 	 2.58685e-03 	-1.46560e-02 	
-3.75000e-02 	 5.00000e-03 	 2.56862e-03 	-1.49853e-02 	
-3.25000e-02 	 5.00000e-03 	 2.55235e-03 	-1.53179e-02 	
-2.75000e-02 	 5.00000e-03 	 2.53763e-03 	-1.56434e-02 	
-2.25000e-02 	 5.00000e-03 	 2.52257e-03 	-1.59670e-02 	
-1.75000e-02 	 5.00000e-03 	 2.50750e-03 	-1.62839e-02 	
-1.25000e-02 	 5.00000e-03 	 2.49366e-03 	-1.65940e-02 	
-7.50000e-03 	 5.00000e-03 	 2.47987e-03 	-1.69002e-02 	
-2.50000e-03 	 5.00000e-03 	 2.46379e-03 	-1.71995e-02 	
 2.50000e-03 	 5.00000e-03 	 2.44527e-03 	-1.74935e-02 	
 7.50000e-03 	 5.00000e-03 	 2.42716e-03 	-1.77731e-02 	
 1.25000e-02 	 5.00000e-03 	 2.41084e-03 	-1.80468e-02 	
 1.75000e-02 	 5.00000e-03 	 2.39523e-03 	-1.83277e-02 	
 2.25000e-02 	 5.00000e-03 	 2.38115e-03 	-1.86042e-02 	
 2.75000e-02 	 5.00000e-03 	 2.36876e-03 	-1.88782e-02 	
 3.25000e-02 	 5.00000e-03 	 2.35653e-03 	-1.91501e-02 	
 3.75000e-02 	 5.00000e-03 	 2.34354e-03 	-1.94143e-02 	
 4.25000e-02 	 5.00000e-03 	 2.33023e-03 	-1.96754e-02 	
 4.75000e-02 	 5.00000e-03 	 2.31754e-03 	-1.99335e-02 	
 5.25000e-02 	 5.00000e-03 	 2.30499e-03 	-2.01891e-02 	
 5.75000e-02 	 5.00000e-03 	 2.29213e-03 	-2.04346e-02 	
 6.25000e-02 	 5.00000e-03 	 2.27794e-03 	-2.06806e-02 	
 6.75000e-02 	 5.00000e-03 	 2.26286e-03 	-2.09232e-02 	
 7.25000e-02 	 5.00000e-03 	 2.24832e-03 	-2.11695e-02 	
 7.75000e-02 	 5.00000e-03 	 2.23470e-03 	-2.14074e-02 	
 8.25000e-02 	 5.00000e-03 	 2.22107e-03 	-2.16408e-02 	
 8.75000e-02 	 5.00000e-03 	 2.20738e-03 	-2.18691e-02 	
 9.25000e-02 	 5.00000e-03 	 2.19371e-03 	-2.20959e-02 	
 9.75000e-02 	 5.00000e-03 	 2.18008e-03 	-2.23218e-02 	
 1.02500e-01 	 5.00000e-03 	 2.16562e-03 	-2.25459e-02 	
 1.07500e-01 	 5.00000e-03 	 2.15060e-03 	-2.27635e-02 	
 1.12500e-01 	 5.00000e-03 	 2.13579e-03 	-2.29783e-02 	
 1.17500e-01 	 5.00000e-03 	 2.12133e-03 	-2.31930e-02 	
 1.22500e-01 	 5.00000e-03 	 2.10689e-03 	-2.34032e-02 	
 1.27500e-01 	 5.00000e-03 	 2.09096e-03 	-2.36131e-02 	
 1.32500e-01 	 5.00000e-03 	 2.07338e-03 	-2.38251e-02 	
 1.37500e-01 	 5.00000e-03 	 2.05501e-03 	-2.40325e-02 	
 1.42500e-01 	 5.00000e-03 	 2.03747e-03 	-2.42419e-02 	
 1.47500e-01 	 5.00000e-03 	 2.02131e-03 	-2.44477e-02 	
 1.52500e-01 	 5.00000e-03 	 2.00498e-03 	-2.46494e-02 	
 1.57500e-01 	 5.00000e-03 	 1.98705e-03 	-2.48499e-02 	
 1.62500e-01 	 5.00000e-03 	 1.96881e-03 	-2.50498e-02 	
 1.67500e-01 	 5.00000e-03 	 1.95035e-03 	-2.52468e-02 	
 1.72500e-01 	 5.00000e-03 	 1.93064e-03 	-2.54440e-02 	
 1.77500e-01 	 5.00000e-03 	 1.90949e-03 	-2.56395e-02 	
 1.82500e-01 	 5.00000e-03 	 1.88832e-03 	-2.58325e-02 	
 1.87500e-01 	 5.00000e-03 	 1.86878e-03 	-2.60222e-02 	
 1.92500e-01 	 5.00000e-03 	 1.84991e-03 	-2.62123e-02 	
 1.97500e-01 	 5.00000e-03 	 1.82945e-03 	-2.64011e-02 	
 2.02500e-01 	 5.00000e-03 	 1.80618e-03 	-2.65889e-02 	
 2.07500e-01 	 5.00000e-03 	 1.78122e-03 	-2.67755e-02 	
 2.12500e-01 	 5.00000e-03 	 1.75748e-03 	-2.69619e-02 	
 2.17500e-01 	 5.00000e-03 	 1.73605e-03 	-2.71480e-02 	
 2.22500e-01 	 5.00000e-03 	 1.71444e-03 	-2.73314e-02 	
