xm 	 xl 	 cl 	 cd 	
-5.12500e-01 	 5.00000e-03 	 1.00549e-01 	-1.60703e-01 	
-5.07500e-01 	 5.00000e-03 	 1.00549e-01 	-1.60703e-01 	
-5.02500e-01 	 5.00000e-03 	 1.00549e-01 	-1.60703e-01 	
-4.97500e-01 	 5.00000e-03 	 1.00549e-01 	-1.60703e-01 	
-4.92500e-01 	 5.00000e-03 	 1.00549e-01 	-1.60703e-01 	
-4.87500e-01 	 5.00000e-03 	 1.00549e-01 	-1.60703e-01 	
-4.82500e-01 	 5.00000e-03 	 5.92822e-01 	-1.15004e+00 	
-4.77500e-01 	 5.00000e-03 	 5.82108e-01 	-1.30209e+00 	
-4.72500e-01 	 5.00000e-03 	 5.71518e-01 	-1.43419e+00 	
-4.67500e-01 	 5.00000e-03 	 5.61224e-01 	-1.55223e+00 	
-4.62500e-01 	 5.00000e-03 	 5.51181e-01 	-1.65938e+00 	
-4.57500e-01 	 5.00000e-03 	 5.41345e-01 	-1.75775e+00 	
-4.52500e-01 	 5.00000e-03 	 5.31728e-01 	-1.84874e+00 	
-4.47500e-01 	 5.00000e-03 	 5.22241e-01 	-1.93340e+00 	
-4.42500e-01 	 5.00000e-03 	 5.12901e-01 	-2.01256e+00 	
-4.37500e-01 	 5.00000e-03 	 5.03677e-01 	-2.08685e+00 	
-4.32500e-01 	 5.00000e-03 	 4.94564e-01 	-2.15676e+00 	
-4.27500e-01 	 5.00000e-03 	 4.85587e-01 	-2.22277e+00 	
-4.22500e-01 	 5.00000e-03 	 4.76736e-01 	-2.28519e+00 	
-4.17500e-01 	 5.00000e-03 	 4.68015e-01 	-2.34433e+00 	
-4.12500e-01 	 5.00000e-03 	 4.59420e-01 	-2.40044e+00 	
-4.07500e-01 	 5.00000e-03 	 4.50957e-01 	-2.45376e+00 	
-4.02500e-01 	 5.00000e-03 	 4.42630e-01 	-2.50444e+00 	
-3.97500e-01 	 5.00000e-03 	 4.34442e-01 	-2.55269e+00 	
-3.92500e-01 	 5.00000e-03 	 4.26414e-01 	-2.59863e+00 	
-3.87500e-01 	 5.00000e-03 	 4.18571e-01 	-2.64241e+00 	
-3.82500e-01 	 5.00000e-03 	 4.10923e-01 	-2.68412e+00 	
-3.77500e-01 	 5.00000e-03 	 4.03468e-01 	-2.72389e+00 	
-3.72500e-01 	 5.00000e-03 	 3.96225e-01 	-2.76180e+00 	
-3.67500e-01 	 5.00000e-03 	 3.89205e-01 	-2.79795e+00 	
-3.62500e-01 	 5.00000e-03 	 3.82416e-01 	-2.83239e+00 	
-3.57500e-01 	 5.00000e-03 	 3.75846e-01 	-2.86519e+00 	
-3.52500e-01 	 5.00000e-03 	 3.69507e-01 	-2.89645e+00 	
-3.47500e-01 	 5.00000e-03 	 3.63398e-01 	-2.92618e+00 	
-3.42500e-01 	 5.00000e-03 	 3.57493e-01 	-2.95448e+00 	
-3.37500e-01 	 5.00000e-03 	 3.51755e-01 	-2.98138e+00 	
-3.32500e-01 	 5.00000e-03 	 3.46175e-01 	-3.00695e+00 	
-3.27500e-01 	 5.00000e-03 	 3.40737e-01 	-3.03122e+00 	
-3.22500e-01 	 5.00000e-03 	 3.35440e-01 	-3.05424e+00 	
-3.17500e-01 	 5.00000e-03 	 3.30280e-01 	-3.07604e+00 	
-3.12500e-01 	 5.00000e-03 	 3.25271e-01 	-3.09666e+00 	
-3.07500e-01 	 5.00000e-03 	 3.20411e-01 	-3.11614e+00 	
-3.02500e-01 	 5.00000e-03 	 3.15684e-01 	-3.13452e+00 	
-2.97500e-01 	 5.00000e-03 	 3.11064e-01 	-3.15183e+00 	
-2.92500e-01 	 5.00000e-03 	 3.06552e-01 	-3.16809e+00 	
-2.87500e-01 	 5.00000e-03 	 3.02153e-01 	-3.18333e+00 	
-2.82500e-01 	 5.00000e-03 	 2.97856e-01 	-3.19760e+00 	
-2.77500e-01 	 5.00000e-03 	 2.93665e-01 	-3.21090e+00 	
-2.72500e-01 	 5.00000e-03 	 2.89579e-01 	-3.22325e+00 	
-2.67500e-01 	 5.00000e-03 	 2.85590e-01 	-3.23471e+00 	
-2.62500e-01 	 5.00000e-03 	 2.81687e-01 	-3.24528e+00 	
-2.57500e-01 	 5.00000e-03 	 2.77874e-01 	-3.25498e+00 	
-2.52500e-01 	 5.00000e-03 	 2.74145e-01 	-3.26382e+00 	
-2.47500e-01 	 5.00000e-03 	 2.70508e-01 	-3.27184e+00 	
-2.42500e-01 	 5.00000e-03 	 2.66955e-01 	-3.27905e+00 	
-2.37500e-01 	 5.00000e-03 	 2.63488e-01 	-3.28548e+00 	
-2.32500e-01 	 5.00000e-03 	 2.60091e-01 	-3.29114e+00 	
-2.27500e-01 	 5.00000e-03 	 2.56762e-01 	-3.29604e+00 	
-2.22500e-01 	 5.00000e-03 	 2.53501e-01 	-3.30020e+00 	
-2.17500e-01 	 5.00000e-03 	 2.50306e-01 	-3.30366e+00 	
-2.12500e-01 	 5.00000e-03 	 2.47167e-01 	-3.30641e+00 	
-2.07500e-01 	 5.00000e-03 	 2.44079e-01 	-3.30846e+00 	
-2.02500e-01 	 5.00000e-03 	 2.41050e-01 	-3.30986e+00 	
-1.97500e-01 	 5.00000e-03 	 2.38067e-01 	-3.31058e+00 	
-1.92500e-01 	 5.00000e-03 	 2.35127e-01 	-3.31066e+00 	
-1.87500e-01 	 5.00000e-03 	 2.32226e-01 	-3.31012e+00 	
-1.82500e-01 	 5.00000e-03 	 2.29354e-01 	-3.30895e+00 	
-1.77500e-01 	 5.00000e-03 	 2.26515e-01 	-3.30720e+00 	
-1.72500e-01 	 5.00000e-03 	 2.23698e-01 	-3.30484e+00 	
-1.67500e-01 	 5.00000e-03 	 2.20911e-01 	-3.30191e+00 	
-1.62500e-01 	 5.00000e-03 	 2.18150e-01 	-3.29842e+00 	
-1.57500e-01 	 5.00000e-03 	 2.15410e-01 	-3.29436e+00 	
-1.52500e-01 	 5.00000e-03 	 2.12691e-01 	-3.28977e+00 	
-1.47500e-01 	 5.00000e-03 	 2.09992e-01 	-3.28465e+00 	
-1.42500e-01 	 5.00000e-03 	 2.07315e-01 	-3.27900e+00 	
-1.37500e-01 	 5.00000e-03 	 2.04657e-01 	-3.27283e+00 	
-1.32500e-01 	 5.00000e-03 	 2.02023e-01 	-3.26617e+00 	
-1.27500e-01 	 5.00000e-03 	 1.99411e-01 	-3.25900e+00 	
-1.22500e-01 	 5.00000e-03 	 1.96825e-01 	-3.25134e+00 	
-1.17500e-01 	 5.00000e-03 	 1.94265e-01 	-3.24320e+00 	
-1.12500e-01 	 5.00000e-03 	 1.91725e-01 	-3.23460e+00 	
-1.07500e-01 	 5.00000e-03 	 1.89199e-01 	-3.22553e+00 	
-1.02500e-01 	 5.00000e-03 	 1.86688e-01 	-3.21601e+00 	
-9.75000e-02 	 5.00000e-03 	 1.84189e-01 	-3.20604e+00 	
-9.25000e-02 	 5.00000e-03 	 1.81705e-01 	-3.19563e+00 	
-8.75000e-02 	 5.00000e-03 	 1.79236e-01 	-3.18481e+00 	
-8.25000e-02 	 5.00000e-03 	 1.76779e-01 	-3.17355e+00 	
-7.75000e-02 	 5.00000e-03 	 1.74335e-01 	-3.16188e+00 	
-7.25000e-02 	 5.00000e-03 	 1.71908e-01 	-3.14981e+00 	
-6.75000e-02 	 5.00000e-03 	 1.69491e-01 	-3.13733e+00 	
-6.25000e-02 	 5.00000e-03 	 1.67090e-01 	-3.12446e+00 	
-5.75000e-02 	 5.00000e-03 	 1.64700e-01 	-3.11121e+00 	
-5.25000e-02 	 5.00000e-03 	 1.62322e-01 	-3.09757e+00 	
-4.75000e-02 	 5.00000e-03 	 1.59957e-01 	-3.08355e+00 	
-4.25000e-02 	 5.00000e-03 	 1.57606e-01 	-3.06916e+00 	
