"$C_p$" "Momentum:0" "Momentum:1" "Momentum:2" "Density" "Points:0" "Points:1" "Points:2"
nan nan nan nan nan -4.3000001e-01 0.0000000e+00 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.1679335e-03 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.3358669e-03 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 3.5038004e-03 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 4.6717338e-03 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 5.8396673e-03 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 7.0076007e-03 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 8.1755342e-03 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 9.3434677e-03 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.0511401e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.1679335e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.2847268e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.4015201e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.5183135e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.6351068e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.7519001e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.8686935e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.9854868e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.1022802e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.2190735e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.3358669e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.4526602e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.5694536e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.6862469e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.8030403e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.9198335e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 3.0366270e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 3.1534202e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 3.2702137e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 3.3870071e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 3.5038002e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 3.6205936e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 3.7373871e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 3.8541801e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 3.9709736e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 4.0877670e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 4.2045604e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 4.3213535e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 4.4381469e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 4.5549404e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 4.6717338e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 4.7885269e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 4.9053203e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 5.0221138e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 5.1389072e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 5.2557003e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 5.3724937e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 5.4892872e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 5.6060806e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 5.7228737e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 5.8396671e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 5.9564605e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 6.0732540e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 6.1900470e-02 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 6.3068405e-02 -8.2500003e-02
-1.2893192e+00 -6.8538492e-03 -3.0984601e-03 -3.0806162e-03 8.5514349e-01 -4.3000001e-01 6.4236335e-02 -8.2500003e-02
-1.2901064e+00 -2.3016738e-02 -9.2638005e-03 -1.1028249e-02 8.5399842e-01 -4.3000001e-01 6.5404274e-02 -8.2500003e-02
-1.2925210e+00 -2.5527103e-02 -9.7604748e-03 -1.2211909e-02 8.5325730e-01 -4.3000001e-01 6.6572204e-02 -8.2500003e-02
-1.2950972e+00 -2.3163330e-02 -8.8617327e-03 -9.9444361e-03 8.5283405e-01 -4.3000001e-01 6.7740142e-02 -8.2500003e-02
-1.2976995e+00 -1.6266616e-02 -7.2796005e-03 -7.2601456e-03 8.5253471e-01 -4.3000001e-01 6.8908073e-02 -8.2500003e-02
-1.3000123e+00 -8.2037337e-03 -6.2051569e-03 -4.1966829e-03 8.5225856e-01 -4.3000001e-01 7.0076004e-02 -8.2500003e-02
-1.3015734e+00 -2.0953699e-03 -6.0311072e-03 -7.8583742e-04 8.5208035e-01 -4.3000001e-01 7.1243942e-02 -8.2500003e-02
-1.3023219e+00 9.2180847e-04 -6.0951826e-03 2.8846746e-03 8.5202235e-01 -4.3000001e-01 7.2411872e-02 -8.2500003e-02
-1.3029385e+00 2.4199151e-03 -6.1496268e-03 7.2497856e-03 8.5199845e-01 -4.3000001e-01 7.3579803e-02 -8.2500003e-02
-1.3032148e+00 4.8355726e-03 -5.8586532e-03 1.2407530e-02 8.5201323e-01 -4.3000001e-01 7.4747741e-02 -8.2500003e-02
-1.3027569e+00 8.5027572e-03 -4.9946499e-03 1.7776929e-02 8.5208488e-01 -4.3000001e-01 7.5915672e-02 -8.2500003e-02
-1.3012771e+00 1.1596531e-02 -4.0002428e-03 2.3359766e-02 8.5225844e-01 -4.3000001e-01 7.7083603e-02 -8.2500003e-02
-1.2988160e+00 1.4014338e-02 -2.6808395e-03 2.9485209e-02 8.5251975e-01 -4.3000001e-01 7.8251541e-02 -8.2500003e-02
-1.2956409e+00 1.6731549e-02 9.8228673e-05 3.5391241e-02 8.5291183e-01 -4.3000001e-01 7.9419471e-02 -8.2500003e-02
-1.2922946e+00 1.8992437e-02 4.0026121e-03 3.9373919e-02 8.5332638e-01 -4.3000001e-01 8.0587409e-02 -8.2500003e-02
-1.2886495e+00 2.0380696e-02 8.2190493e-03 3.9493214e-02 8.5372859e-01 -4.3000001e-01 8.1755340e-02 -8.2500003e-02
-1.2847641e+00 2.4389414e-02 1.4563492e-02 3.5483699e-02 8.5417461e-01 -4.3000001e-01 8.2923271e-02 -8.2500003e-02
-1.2815345e+00 4.2211574e-02 3.1050159e-02 2.7022600e-02 8.5480249e-01 -4.3000001e-01 8.4091209e-02 -8.2500003e-02
