"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"$C_p$"	"Points:0"	"Points:1"	"Points:2"
9.87727e-01	5.44204e-03	4.24477e-02	3.11850e-03	7.06787e-01	2.82342e-01	-9.37400e-02	-5.00000e-01	0.00000e+00	5.50000e-02
9.63311e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.88673e-01	2.75469e-01	-3.20154e-01	-4.99947e-01	2.24938e-03	5.50000e-02
9.61924e-01	-6.93834e-18	0.00000e+00	0.00000e+00	6.86489e-01	2.74596e-01	-3.47455e-01	-4.99788e-01	4.49373e-03	5.50000e-02
9.43629e-01	0.00000e+00	-3.46945e-18	0.00000e+00	6.74669e-01	2.69868e-01	-4.95207e-01	-4.99521e-01	6.72789e-03	5.50000e-02
9.38154e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.69597e-01	2.67839e-01	-5.58610e-01	-4.99148e-01	8.94671e-03	5.50000e-02
9.19778e-01	1.38782e-17	0.00000e+00	0.00000e+00	6.57453e-01	2.62981e-01	-7.10414e-01	-4.98669e-01	1.11452e-02	5.50000e-02
9.05908e-01	6.93834e-18	0.00000e+00	0.00000e+00	6.46832e-01	2.58733e-01	-8.43171e-01	-4.98087e-01	1.33187e-02	5.50000e-02
8.92438e-01	1.38774e-17	0.00000e+00	0.00000e+00	6.37623e-01	2.55049e-01	-9.58287e-01	-4.97406e-01	1.54629e-02	5.50000e-02
8.75213e-01	1.38778e-17	0.00000e+00	0.00000e+00	6.25178e-01	2.50071e-01	-1.11384e+00	-4.96627e-01	1.75740e-02	5.50000e-02
8.62854e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.16309e-01	2.46524e-01	-1.22470e+00	-4.95802e-01	1.95471e-02	5.50000e-02
8.49711e-01	1.38778e-17	0.00000e+00	0.00000e+00	6.07055e-01	2.42822e-01	-1.34039e+00	-4.94976e-01	2.13254e-02	5.50000e-02
